Fungi_Scytalidium	Fungi_Acremonium	Bacteria_Promicromonospora	Bacteria_Pseudomonas	Fungi_Fusarium	Fungi_Myrmecridium	Fungi_Podospora	Bacteria_Variovorax	Bacteria_Flavobacterium	Bacteria_Lentzea	Bacteria_Rhizobium	Bacteria_Phyllobacterium	Bacteria_Nocardioides	Bacteria_Sphingomonas	Bacteria_Actinoplanes	Bacteria_Streptomyces	Bacteria_Pseudoxanthomonas	Bacteria_Devosia	Fungi_Bipolaris	Bacteria_Chryseobacterium	Bacteria_Massilia	Bacteria_Lysobacter	Bacteria_Herbaspirillum	Bacteria_Mesorhizobium	Bacteria_Kribbella	Bacteria_Stenotrophomonas	Bacteria_Microbacterium	Bacteria_Mycobacterium	Bacteria_Steroidobacter	Bacteria_Arthrobacter	Bacteria_Pantoea	Bacteria_Umezawaea	Bacteria_Aeromicrobium	Bacteria_Shinella	Bacteria_Sphingopyxis	Bacteria_Chondromyces	Bacteria_Caulobacter	Bacteria_Galbitalea	Bacteria_Agromyces	Bacteria_Polaromonas	Bacteria_Solirubrobacter	Bacteria_Bradyrhizobium	Bacteria_Bosea	Bacteria_Sorangium	Bacteria_Rudaibacter	Bacteria_Couchioplanes	Bacteria_Burkholderia	Bacteria_Cellulomonas	Bacteria_Altererythrobacter	Bacteria_Pseudonocardia	Bacteria_Xanthomonas	Bacteria_Bacillus	Bacteria_Glycomyces	Bacteria_Rhodanobacter	Bacteria_Phycicoccus	Bacteria_Rhodopseudomonas
TAD7	8950	2829	1066.37212571543	68.2799477859223	213	614	1060	178.732804498444	629.581283261372	251.531278240788	538.20664725374	682.29741941962	217.893362787429	297.720654684205	88.8643438096195	363.992368711718	123.506376142183	213.374836831007	274	473.943166984637	268.601265187268	71.2922984235365	138.568129330254	234.963349733909	376.041771262175	26.1070388593232	68.7820062255247	87.8602269304147	106.436389195702	64.2634802691034	3.01235063761422	129.531077417411	154.63399939753	103.926096997691	16.5679285068782	117.481674866955	132.041369615423	21.0864544632995	110.954915152124	29.1193894969375	54.7243699166583	97.9013957224621	42.6749673662014	207.852193995381	9.53911035244503	90.8725775680289	43.1770258058038	54.7243699166583	17.5720453860829	36.650266090973	19.5802791444925	63.2593633898986	40.1646751681896	11.5473441108545	33.6379154533588	15.0617531880711
TAD9	784	5565	1755.96447437163	104.487142276659	1502	8	380	334.358855285307	273.40802229059	437.104545190689	373.251291577175	441.167934057003	260.056887444128	437.685029314448	268.764149300517	274.568990538109	213.037673419632	198.525570325652	140	75.462936088698	86.4921344401231	146.281999187322	141.638126197249	105.067626400418	184.013467231671	281.534800023219	228.130260637371	56.8874441284031	78.9458408312533	34.2485633017937	9.86823010390667	27.2827538166831	86.4921344401231	42.9558251581819	134.091832588379	40.633888663145	53.985023509607	13.9316189702212	77.7848725837348	48.1801822720149	79.5263249550125	53.985023509607	26.7022696929239	47.0192140244964	7.5462936088698	36.5704997968305	77.7848725837348	25.5413014454054	43.5363092819411	136.994253207175	54.5655076333662	88.2335868114007	128.286991350787	2.90242061879608	35.9900156730713	8.12677773262901
TAD10	4950	1860	592.904683397448	676.558588264028	76	126	929	466.507907431154	473.224644318251	202.112719057215	419.490749221469	177.077608841668	165.475972400318	442.083409659889	237.528240825548	183.794345728766	432.313610551383	172.192709287415	299	332.173169689198	73.8841057580754	205.776393722904	185.626183061611	123.954326189168	89.7600293093974	86.0963546437077	128.228613299139	72.6628808695121	111.131464859254	69.6098186481041	580.081822067533	113.57391463638	62.8930817610063	64.7249190938511	147.157599071869	40.3004213225866	150.821273737559	75.1053306466386	44.5747084325579	164.865359956036	68.9992062038225	91.5918666422422	38.4685839897417	19.5395982170116	26.8669475483911	22.5926604384197	111.742077303535	41.5216462111498	54.9551199853452	21.3714355498565	43.3534835439946	39.0791964340233	16.4865359956036	12.2122488856322	27.4775599926726	3.05306222140807
TAH1	281	12	287.811575834389	32.7418673426278	167	50	182	275.137304604986	311.575834389523	60.2027883396704	336.924376848331	389.205745669624	322.665821715252	270.912547528517	758.871989860583	431.453316434305	209.125475285171	420.891423743135	113	5.28094634558513	277.777777777778	68.1242078580481	98.2256020278834	386.037177862274	229.721166032953	2.64047317279257	45.4161385720322	71.8208702999577	85.0232361639206	79.214195183777	3.6966624419096	108.787494719054	246.092099704267	144.697929869032	16.3709336713139	120.933671313899	130.439374735953	231.833544571187	97.1694127587665	130.967469370511	61.2589776087876	136.248415716096	57.5623151668779	14.2585551330798	167.405999155049	35.9104351499789	38.5509083227714	41.191381495564	53.3375580904098	15.8428390367554	11.6180819602873	57.0342205323194	5.80904098014364	46.4723278411492	74.4613434727503	5.80904098014364
TAH3	14	9	255.174544331171	340.438677788076	100	182	413	2480.69199876428	505.406240346	617.238183503244	283.595922150139	322.520852641334	128.5140562249	191.535372258264	74.1427247451343	209.453197405005	210.071053444547	113.06765523633	0	3.08928019771393	47.5749150447945	683.966635773865	358.974358974359	166.203274637009	24.0963855421687	600.556070435588	32.1285140562249	28.4213778189682	106.271238801359	46.9570590052518	6.17856039542786	80.9391411801051	24.0963855421687	67.9641643497065	31.5106580166822	41.3963546493667	24.0963855421687	71.6713005869632	30.2749459375965	82.7927092987334	22.8606734630831	24.0963855421687	130.98548038307	75.9962928637627	41.3963546493667	35.8356502934816	61.1677479147359	14.2106889094841	81.5569972196479	15.4464009885697	41.3963546493667	9.26784059314178	21.6249613839975	0.617856039542787	7.41427247451344	13.5928328699413
TAH4	3	46	234.206101369205	2085.03483065097	87	476	146	435.98366562575	203.579149651694	372.327648330531	266.634638481864	514.052366082153	327.288013451837	190.968051885659	109.296180638962	179.558011049724	258.227239971175	255.224597645928	5	47.4417487388903	73.2644727360077	40.2354071582993	329.089598846985	96.0845544078789	22.8200816718712	93.682440547682	52.2459764592841	60.6533749699736	213.78813355753	162.743214028345	370.526062935383	36.6322363680038	72.0634158059092	133.317319240932	156.737929377852	30.0264232524622	54.0475618544319	85.8755705020418	30.0264232524622	108.095123708864	16.8147970213788	42.6375210184962	130.915205380735	40.2354071582993	40.8359356233486	78.0687004564017	21.0184962767235	16.2142685563296	61.2539034350229	20.4179678116743	46.841220273841	5.4047561854432	34.2301225078069	5.40475618544319	7.20634158059092	10.8095123708864
TAH5	44	195	878.740584922304	1030.06039221008	28	208	25	125.534369274615	158.784013028432	401.709981678768	248.354481916265	59.7136459252222	523.851530162177	252.425866865712	624.279025581869	151.319807287779	168.283911243808	165.569654610844	0	2.03569247472349	71.2492366153219	54.2851326592929	12.8927190065821	74.6420574065278	63.1064667164281	16.964103956029	79.3920065142159	74.6420574065278	160.819705503155	196.783605889937	115.355906900997	92.284725520798	52.2494401845694	136.391395806474	29.17825880437	105.856008685621	9.49989821537626	78.7134423559748	63.1064667164281	75.320621564769	71.2492366153219	51.5708760263283	27.1425663296465	55.6422609757753	145.212729863609	86.1776480966275	59.035081766981	56.9993892922575	113.998778584515	111.284521951551	52.9280043428106	12.8927190065821	32.5710795955758	1.35712831648232	12.8927190065821	19.6783605889937
TAD6	498	1133	1539.31987247609	306.05738575983	1524	18	286	328.905419766206	434.643995749202	257.704569606801	696.599362380446	681.190223166844	83.4218916046759	287.460148777896	77.577045696068	64.2933049946865	295.96174282678	142.40170031881	529	533.475026567481	181.190223166844	275.77045696068	29.7555791710946	51.5409139213602	57.9171094580234	94.0488841657812	293.836344314559	678.002125398512	27.0988310308183	14.346439957492	16.4718384697131	11.1583421891604	13.2837407013815	81.82784272051	358.6609989373	1.59404888416578	126.992561105207	1.59404888416578	8.50159404888416	37.1944739638682	19.6599362380446	24.9734325185972	80.7651434643995	3.18809776833156	1.06269925611052	12.221041445271	52.6036131774707	5.84484590860786	30.8182784272051	10.0956429330499	80.7651434643996	17.5345377258236	20.1912858660999	243.35812964931	2.12539851222104	197.662061636557
TAD2	113	7124	2066.51067854831	52.2726141285408	408	23	1779	185.194404341116	308.657340568527	269.826255787325	333.051227161846	526.708816647583	479.41454672176	225.021157962862	235.475680788569	325.583710857769	143.874147458555	176.233384776223	97	164.783193109971	132.423955792304	91.6015333300144	102.553890575994	110.519241300344	247.423706875093	56.2552894907154	80.6491760840344	92.0993677502862	105.043062677354	133.917459053119	21.90471449196	54.2639518096282	147.85682282073	60.7357992731618	44.3072634041918	125.95210832877	74.1773286205009	46.2986010852791	139.891472096381	25.8873898541345	85.6275202867526	53.2682829690846	57.2509583312591	134.913127893663	21.90471449196	93.5928710111016	32.3592373176681	95.584208692189	18.9177079703291	50.2812764474536	25.3895554338627	55.7574550704435	63.7228057947926	4.97834420271818	41.3202568825609	15.4328670284263
TAD3	796	3082	1118.44060141439	2488.85719379568	409	2271	201	318.535686694004	175.313484281215	189.576276222737	482.557794021513	309.621441730552	156.890711356748	492.660604980091	96.2738456052772	120.045165507815	177.096333273905	108.75378855411	130	265.050216913294	82.6053366613182	90.3310156296428	218.101860105783	71.3139597076128	49.3254887977655	283.472989837761	219.884709098473	84.9824686515719	72.5025257027396	30.3084328757354	3.56569798538064	80.2282046710644	58.2397337612171	44.571224817258	118.262316515124	13.0742259463957	35.0626968562429	15.4513579366495	51.7026207880193	15.4513579366495	43.9769418196946	40.411243834314	40.4112438343139	24.9598858976645	7.72567896832472	11.2913769537054	55.8626017709634	43.3826588221311	30.3084328757354	21.3941879122838	20.205621917157	48.7312058002021	51.7026207880192	9.50852796101504	8.31996196588816	20.205621917157
TAD4	5802	708	1852.70880361173	50.2257336343116	810	1275	342	288.374717832958	795.711060948081	398.41986455982	319.977426636569	626.410835214446	361.17381489842	440.180586907449	49.6613995485327	150.677200902935	124.153498871332	158.013544018059	104	58.6907449209932	156.884875846501	121.896162528217	150.677200902934	116.252821670429	166.478555304741	137.133182844244	200.902934537246	59.8194130925507	101.58013544018	112.866817155756	1.12866817155756	47.9683972911964	107.223476297968	46.2753950338601	83.5214446952596	45.7110609480813	77.313769751693	14.6726862302483	152.93453724605	29.9097065462754	95.3724604966139	69.4130925507901	54.176072234763	44.5823927765237	8.46501128668171	18.6230248306997	72.7990970654627	53.6117381489842	44.0180586907449	36.6817155756207	29.3453724604966	65.4627539503385	60.3837471783296	0	52.4830699774266	13.5440180586907
TAH6	2604	183	556.567127943676	211.823258072347	458	489	170	315.610585093469	213.037144938092	512.260257344016	315.610585093469	85.5790240349599	987.496965282836	278.587035688274	269.482884195193	265.234280165089	109.856761349842	160.840009711095	18	8.49720806020878	105.608157319738	32.168001942219	61.9082301529497	103.18038358825	76.4748725418791	36.4166059723234	142.631706724933	160.840009711095	155.377518815246	121.388686574411	153.55668851663	117.747025977179	76.4748725418791	99.5387229910173	13.9596989560573	132.313668366108	24.2777373148822	124.423403738772	78.9026462733673	27.9193979121146	116.533139111435	61.9082301529498	74.0470988103908	67.3707210487983	28.5263413449866	103.18038358825	57.6596261228454	157.198349113863	37.6304928380675	83.1512503034717	54.017965525613	38.8443797038116	25.4916241806264	0.606943432872056	21.849963583394	16.3874726875455
