ZH11FunBI05501	ZH11FunBI05502	ZH11FunBI05503	ZH11FunBI05504	ZH11FunBI05505	ZH11FunBI05506	ZH11FunBI05507	ZH11FunBI05508	ZH11FunBI05509	ZH11FunBI0401	ZH11FunBI0402	ZH11FunBI0403	ZH11FunBI0404	ZH11FunBI0405	ZH11FunBI0406	ZH11FunBI0407	ZH11FunBI0408	ZH11FunBI0409	ZH11FunBI0301	ZH11FunBI0302	ZH11FunBI0303	ZH11FunBI0304	ZH11FunBI0305	ZH11FunBI0306	ZH11FunBI0307	ZH11FunBI0308	ZH11FunBI0309	ZH11FunBI0001	ZH11FunBI0002	ZH11FunBI0003	ZH11FunBI0004	ZH11FunBI0005	ZH11FunBI0006	ZH11FunBI0007	ZH11FunBI0008	ZH11FunBI0009
OTU_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308175616076075	7.15427425910372e-05	0.0002123425171472	0	0.000144601893281442	7.20880881128287e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32	0	0.000971627505220069	0.000981470330888	0	0.000540424655967015	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000513626026793459	0.000643884683319335	0.000283123356196267	0.000146622279015913	0.000361504733203605	0.000144176176225657	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000205450410717384	0.000143085485182074	0	0.000109966709261935	3.61504733203605e-05	7.20880881128287e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308175616076075	0	0	7.33111395079566e-05	0.000108451419961081	0.000180220220282072	0	0	0	0	0	0	0	0	0	0	0	0
OTU_55	0	0	0	0	0	0	0	0	0	0.00238048738778917	0.00047575667764548	0	0.000263100865999185	0	0.00053114795218346	0	0	0	0.00102725205358692	0.000429256455546223	0.0002123425171472	3.66555697539783e-05	3.61504733203605e-05	0.000252308308394901	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0.000971627505220069	0	0	0	0	0	0.00178472631222002	0	0	0.00047575667764548	0	0.000263100865999185	0	0.00079672192827519	0	0	0	0.00102725205358692	0.000143085485182074	0.000495465873343467	0.000109966709261935	0.000144601893281442	0.000180220220282072	0.00045522745114434	0.000558514351824148	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_29	0	0.000971627505220069	0.001962940661776	0	0.000540424655967015	0.000537710902314383	0	0	0	0	0.00047575667764548	0.00095906504858692	0.000789302597997556	0.000262912533238985	0.00053114795218346	0	0	0.00143859757288038	0.000719076437510842	0.000143085485182074	0.0006370275514416	0.000293244558031826	7.2300946640721e-05	0.000216264264338486	0	0	0	0	0	0	0	0	0	0	0	0
OTU_43	0	0	0.001962940661776	0.00053464265180189	0.00162127396790105	0	0	0	0.00332856931849624	0	0	0	0	0	0	0	0	0	0.00205450410717384	0.000930055653683484	0.0002123425171472	0.000256588988277848	0.000180752366601802	0.000216264264338486	0	0.0011170287036483	0	0	0	0	0	0	0	0	0	0
OTU_52	0	0	0	0	0	0	0	0	0	0.000952194955115667	0	0.00047953252429346	0	0.000788737599716956	0.00026557397609173	0	0	0	0.000616351232152151	0.000214628227773112	7.07808390490667e-05	0.000146622279015913	0.000180752366601802	0.000288352352451315	0	0	0	0	0	0	0	0	0	0	0	0
OTU_48	0	0.00194325501044014	0	0	0	0.000537710902314383	0.00341660452717183	0	0	0	0	0	0	0	0	0	0	0	0.000410900821434767	7.15427425910372e-05	0.000353904195245333	0.000366555697539783	0.000144601893281442	0.000180220220282072	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25	0	0.00194325501044014	0.001962940661776	0	0.000540424655967015	0.000537710902314383	0.00170830226358591	0	0	0.000952194955115667	0.00095151335529096	0.00095906504858692	0	0.000525825066477971	0.00132786988045865	0	0	0	0.000821801642869534	0.000286170970364149	7.07808390490667e-05	0.00021993341852387	0.000361504733203605	0.000144176176225657	0.00045522745114434	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_86	0	0	0.000981470330888	0.00053464265180189	0	0	0	0	0	0.000476097477557834	0	0	0.000263100865999185	0.000262912533238985	0	0	0	0	0.000205450410717384	0.000214628227773112	0.000353904195245333	3.66555697539783e-05	0	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	0	0.000971627505220069	0.000981470330888	0	0.000540424655967015	0	0	0	0	0.000476097477557834	0.00047575667764548	0.00143859757288038	0.000263100865999185	0.000262912533238985	0.00053114795218346	0.00135639199728722	0	0	0.000308175616076075	0.000214628227773112	0.000283123356196267	0.000146622279015913	0.000180752366601802	0.000108132132169243	0	0	0	0	0	0	0	0	0	0	0	0
OTU_145	0	0	0.000981470330888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102725205358692	0.000214628227773112	0.000283123356196267	7.33111395079566e-05	7.2300946640721e-05	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	0	0	0	0	0	0	0.00047575667764548	0	0	0	0	0	0	0	0.000205450410717384	0.000286170970364149	0.000141561678098133	0	0	7.20880881128287e-05	0	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_39	0	0	0	0.00106928530360378	0.000540424655967015	0.000537710902314383	0	0	0	0	0	0	0	0	0	0	0	0	0.000719076437510842	7.15427425910372e-05	0.0004246850342944	7.33111395079566e-05	0.000216902839922163	0.000216264264338486	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28	0	0	0.000981470330888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000410900821434767	0.000214628227773112	7.07808390490667e-05	0.000146622279015913	0.000216902839922163	7.20880881128287e-05	0	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000821801642869534	0	0.000283123356196267	3.66555697539783e-05	0	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_170	0	0	0	0	0	0.000537710902314383	0	0	0	0.000476097477557834	0	0.00143859757288038	0.000263100865999185	0	0.00053114795218346	0	0	0	0	0.000143085485182074	0.000141561678098133	0	7.2300946640721e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154087808038038	0.000143085485182074	0.000141561678098133	0.000109966709261935	7.2300946640721e-05	7.20880881128287e-05	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	0.000952194955115667	0	0	0.000263100865999185	0.000525825066477971	0.00079672192827519	0	0.00274641354822618	0	0.000410900821434767	0.000214628227773112	0.000141561678098133	7.33111395079566e-05	0.000216902839922163	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0	0	0	0	0	0	0	0	0	0.000476097477557834	0	0	0	0	0.00026557397609173	0	0	0	0.000205450410717384	7.15427425910372e-05	0	0	3.61504733203605e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000308175616076075	0.000286170970364149	7.07808390490667e-05	3.66555697539783e-05	7.2300946640721e-05	7.20880881128287e-05	0	0.000558514351824148	0	0	0	0	0	0	0	0	0	0
OTU_159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000205450410717384	0	7.07808390490667e-05	0	7.2300946640721e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_161	0	0.000971627505220069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66555697539783e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102725205358692	0.000143085485182074	0	0	0	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102725205358692	0	0.000141561678098133	3.66555697539783e-05	3.61504733203605e-05	7.20880881128287e-05	0.00045522745114434	0	0	0	0	0	0	0	0	0	0	0
OTU_246	0	0	0	0	0	0	0	0	0	0.000476097477557834	0.00047575667764548	0	0.00052620173199837	0	0	0	0	0	0.000102725205358692	0.000143085485182074	0	3.66555697539783e-05	0.000108451419961081	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000205450410717384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_66	0	0	0	0	0	0	0	0.00178472631222002	0	0	0.00047575667764548	0	0.000263100865999185	0.000262912533238985	0	0	0	0	0.000410900821434767	0.000286170970364149	0	3.66555697539783e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_241	0	0	0	0	0	0	0	0	0	0	0.00047575667764548	0	0	0	0	0	0	0	0	0	0.000141561678098133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33111395079566e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00026557397609173	0	0	0	0	7.15427425910372e-05	0	0	3.61504733203605e-05	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_221	0	0	0	0	0	0	0	0	0	0	0.00047575667764548	0.00047953252429346	0	0	0	0	0	0	0	0	0	0.000109966709261935	7.2300946640721e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_198	0	0	0	0	0	0.000537710902314383	0	0	0	0	0	0	0	0	0	0	0	0	0	7.15427425910372e-05	0.0002123425171472	3.66555697539783e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_120	0	0	0	0	0.000540424655967015	0	0	0	0	0	0	0	0.000263100865999185	0	0	0	0	0	0	0	0	3.66555697539783e-05	7.2300946640721e-05	3.60440440564144e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_178	0	0	0	0	0	0	0.00170830226358591	0	0	0	0	0	0	0	0	0	0	0	0.000205450410717384	0	7.07808390490667e-05	0.000109966709261935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07808390490667e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_157	0	0	0	0	0	0	0	0	0	0.000476097477557834	0	0.00047953252429346	0.000263100865999185	0	0	0	0	0	0.000102725205358692	0	0	3.66555697539783e-05	3.61504733203605e-05	7.20880881128287e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_185	0	0	0	0	0	0	0	0	0.00166428465924812	0	0	0	0	0	0	0	0	0	0	0.000143085485182074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_219	0	0	0	0	0	0	0	0	0	0.000476097477557834	0	0	0	0	0	0	0	0	0.000308175616076075	0	0.000141561678098133	0.000109966709261935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102725205358692	0	7.07808390490667e-05	0	3.61504733203605e-05	0	0	0	0.000511255445131335	0	0	0	0	0	0	0	0	0
