TAD2	TAD3	TAD4	TAD6	TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAH6	TAH8	TAH10	species	ID
bacOTU_1	0.206024280941755	9.21250648547063	0.252268675828997	0.252087374021432	10.8578957479278	0.0410531491632539	0.0759091087221639	1e-04	0.0448468980756677	0.0708820107915953	1e-04	0.0178410721460711	1e-04	0.15472403644872	bac	bacOTU_1
bacOTU_8	70.632128363022	14.1893237822191	4.2239253201357	13.8594055711788	14.9420207540291	17.0366100519136	21.6056959858167	38.8682669265825	3.26662355952374	1.74605626619268	5.92731265070956	2.62577867761852	15.9025924202416	38.3984023847655	bac	bacOTU_8
bacOTU_13	89.16531364778	15.6717799982719	15.7606422393123	19.0251467386181	60.3654598462775	8.14977668348752	10.15852056877	6.58161069363858	1.43200073842137	2.972944453247	0.325221369026263	1.57905542100033	3.17266706638236	3.29874611090603	bac	bacOTU_13
bacOTU_10	99.255603413926	8.1536091882901	17.6519073080298	12.9774497621038	72.5182220595545	12.6136699422822	10.7649934385473	13.1010316637523	1.61098833072404	0.731514111513151	1.12552012355245	2.1467697296746	3.76752339132905	18.5034430283635	bac	bacOTU_10
bacOTU_3	215.190973584134	95.0890772868118	126.525733097199	336.277250631601	125.910685553952	75.8453322503461	32.2947803156418	10.4311735521819	2.46117939416172	1.4157402158319	1.68823018532867	5.53531450957418	2.77609618308456	5.61810665763683	bac	bacOTU_3
bacOTU_5	127.261305622005	39.2851897253978	54.0272387963626	142.49896000912	74.7097037701455	22.8929103822589	11.8263209606576	16.2676075635218	21.9260800570772	17.2237226259548	0.775389418447242	0.922635751595696	3.80718047965883	2.37100189221371	bac	bacOTU_5
bacOTU_9	54.9818830114486	28.1667681050022	13.3019976499796	28.0966922033897	24.2060116215271	14.0060770138328	52.6874305619039	12.2938652579287	14.811323263046	9.67364147485135	2.83865964496006	2.92737690410173	16.6560770985074	6.08197876698299	bac	bacOTU_9
bacOTU_6	6.58967699013617	353.248238339426	4.4760939959647	18.7731593645967	11.5551853831158	3.27635193306031	49.3518297781287	1.2108496087354	23.5369683878012	65.4262719750312	0.0626233401973582	4.79018947943919	4.20375136295662	4.27803167508125	bac	bacOTU_6
bacOTU_18	27.1821050843117	12.8127572958844	8.95208799192939	14.8673550672645	31.2785207784342	3.80874287218261	5.07931028438498	6.95414903478793	5.14599327870179	0.354010053957976	0.162660684513131	0.762966102281056	2.93472453640368	5.61810665763683	bac	bacOTU_18
bacOTU_52	5.56005558542739	0.211879459436106	0.126184337914498	35.5303197370219	15.8385359992708	0.5324909391223	2.80503702272007	0.496817788199138	0.0895937961513354	0.0472880071943968	0.0501186721578866	1e-04	1.1501555615636	3.35028745638894	bac	bacOTU_52
bacOTU_7	85.0468280289449	17.5777951331968	27.6756121722324	54.3033791016187	36.2591610297773	22.4833788906264	12.6602211566014	1.45920850283497	19.3755068667641	4.05826861871813	3.56393039124942	4.91437698446169	37.1191346766736	11.1330306243078	bac	bacOTU_7
bacOTU_29	22.2399223417096	54.5333108047974	5.35868436136619	22.6789636619289	16.1373744143514	4.05446176716213	4.09379187099685	0.155324308812231	2.59542008838873	1.74605626619268	0.362735373144678	0.443626803651777	3.05369580139302	0.515513454829067	bac	bacOTU_29
bacOTU_14	15.8562696325151	11.859749728422	4.03479881326395	2.39398005320361	21.6160786908288	1.84299171234642	12.508602939157	6.08489290543944	4.11681462296143	0.424792064749571	0.275202696868376	2.12902865752853	15.5456786252736	23.3483295037567	bac	bacOTU_14
