TAD7	TAD9	TAD10	TAH1	TAH3	TAH4	TAH5	TAD6	TAD2	TAD3	TAD4	TAH6	TAH8	TAH10	species	ID
bacOTU_1	54.7243699166583	0.580484123759215	0.610612444281614	0	0.617856039542787	1.80158539514773	0	1.06269925611052	0.497834420271818	51.7026207880193	2.25733634311512	0.606943432872056	0	1.47333267851881	bac	bacOTU_1
bacOTU_8	75.3087659403555	241.481395483834	174.02454662026	661.174482467258	45.1034908866234	44.439106413644	321.639411006311	58.4484590860786	170.757206153233	79.6339216735009	37.8103837471783	89.8276280650643	200.159728461615	365.877615165504	bac	bacOTU_8
bacOTU_13	304.247414399036	115.516340628084	81.8220675337363	111.956062526405	19.7713932653692	75.6665865962047	17.6426681142702	80.2337938363443	215.562303977697	87.9538836393891	141.083521444695	54.017965525613	39.9321154038135	31.4310971417346	bac	bacOTU_13
bacOTU_10	365.498544030525	178.789110117838	86.7069670879893	222.855935783692	22.2428174235403	18.6163824165265	61.0707742417046	54.7290116896918	239.956190571016	45.7597908123849	158.013544018059	73.4401553775188	47.4193870420286	176.308810529418	bac	bacOTU_10
bacOTU_3	634.601867657395	1075.05659720207	260.120901263968	177.43979721166	33.9820821748533	36.0317079029546	91.6061613625568	1418.17215727949	520.236969184049	533.666131811969	1132.61851015801	189.366351056082	34.9406009783368	53.5310873195167	bac	bacOTU_3
bacOTU_5	376.543829701777	324.490625181401	95.2555413079318	276.721588508661	302.749459375965	438.385779485948	42.070977810952	600.9564293305	307.661671727983	220.478992096036	483.634311512415	31.5610585093469	47.9185384845762	22.5911010706217	bac	bacOTU_5
bacOTU_9	122.000200823376	198.525570325652	424.375648775722	209.125475285171	204.510349088662	246.21667067019	154.034063920744	118.490967056323	132.921790212575	158.079277351875	119.074492099323	100.145666423889	209.643605870021	57.9510853550732	bac	bacOTU_9
bacOTU_6	58.2387789938749	46.4387299007372	397.508701227331	20.595690747782	324.992276799506	1665.26543358155	3.39282079120581	79.1710945802338	15.9307014486982	1982.52807987163	40.0677200902935	163.874726875455	52.9100529100529	40.7622041056871	bac	bacOTU_6
bacOTU_18	157.646350035144	53.985023509607	40.9110337668682	118.293198141107	71.0534445474205	9.00792697573865	8.8213340571351	62.6992561105207	65.7141434758799	71.9082427051762	80.1354401805869	26.0985676134984	36.9372067485275	53.5310873195167	bac	bacOTU_18
bacOTU_52	79.8272918967768	7.5462936088698	22.5926604384197	8.44951415293621	1.23571207908557	1.20105693009849	2.71425663296465	149.840595111583	13.4415293473391	1.18856599512688	1.12866817155756	0	14.4753918338824	31.9222080345742	bac	bacOTU_52
