	GOS.Bac.BI05.01	GOS.Bac.BI05.03	GOS.Bac.BI05.04	GOS.Bac.BI05.05	GOS.Bac.BI05.06	GOS.Bac.BI05.09	GOS.Bac.BI05.10	GOS.Bac.BI05.11	GOS.Bac.BI05.12	GOS.Bac.BI05.13	GOS.Bac.BI05.14	GOS.Bac.BI05.15	GOS.Bac.BI055.01	GOS.Bac.BI055.04	GOS.Bac.BI055.05	GOS.Bac.BI055.06	GOS.Bac.BI055.09	GOS.Bac.BI055.10	GOS.Bac.BI055.11	GOS.Bac.BI055.12	GOS.Bac.BI055.13	GOS.Bac.BI055.14	GOS.Bac.BI055.15	GOS.Bac.BI04.01	GOS.Bac.BI04.03	GOS.Bac.BI04.04	GOS.Bac.BI04.05	GOS.Bac.BI04.06	GOS.Bac.BI04.09	GOS.Bac.BI04.10	GOS.Bac.BI04.11	GOS.Bac.BI04.12	GOS.Bac.BI04.13	GOS.Bac.BI04.14	GOS.Bac.BI04.15	GOS.Bac.BI0520.01	GOS.Bac.BI0520.03	GOS.Bac.BI0520.04	GOS.Bac.BI0520.05	GOS.Bac.BI0520.06	GOS.Bac.BI0520.09	GOS.Bac.BI0520.10	GOS.Bac.BI0520.11	GOS.Bac.BI0520.12	GOS.Bac.BI0520.13	GOS.Bac.BI0520.14	GOS.Bac.BI0520.15	GOS.Bac.BI00.01	GOS.Bac.BI00.03	GOS.Bac.BI00.04	GOS.Bac.BI00.05	GOS.Bac.BI00.06	GOS.Bac.BI00.09	GOS.Bac.BI00.10	GOS.Bac.BI00.11	GOS.Bac.BI00.12	GOS.Bac.BI00.13	GOS.Bac.BI00.14	GOS.Bac.BI00.15
Bac-186	23.90%	30.81%	26.91%	21.97%	20.11%	25.66%	23.04%	23.71%	25.58%	26.00%	25.59%	27.25%	22.94%	27.47%	22.12%	20.79%	25.66%	22.37%	21.42%	25.17%	25.44%	26.13%	27.84%	26.59%	32.51%	28.64%	22.96%	21.32%	28.11%	25.23%	25.19%	29.02%	27.33%	26.96%	28.79%	25.91%	31.08%	29.43%	22.75%	22.11%	27.69%	24.91%	24.02%	27.69%	25.88%	26.00%	28.99%	25.81%	30.87%	28.69%	22.45%	21.57%	27.33%	24.34%	24.70%	27.72%	26.46%	26.51%	28.71%
Fir-11	25.17%	16.18%	22.27%	24.03%	26.21%	20.86%	24.09%	31.16%	29.60%	27.83%	27.61%	26.01%	24.59%	20.88%	24.28%	25.78%	20.85%	22.45%	30.31%	27.33%	28.51%	28.70%	26.84%	23.78%	15.66%	20.05%	23.65%	25.07%	18.36%	22.71%	30.35%	27.17%	26.94%	27.00%	26.01%	23.43%	16.54%	19.70%	23.91%	24.43%	19.42%	22.25%	30.18%	27.09%	28.51%	27.47%	26.25%	22.87%	17.19%	19.85%	23.77%	25.16%	19.93%	22.83%	30.05%	28.05%	27.98%	27.49%	26.08%
Act-101	10.44%	15.34%	12.57%	11.60%	11.09%	13.03%	11.97%	11.91%	12.47%	13.36%	12.81%	13.65%	10.17%	12.36%	11.42%	10.95%	12.51%	12.08%	12.08%	12.86%	12.72%	11.57%	12.11%	11.07%	14.76%	12.92%	11.05%	11.54%	13.50%	11.99%	12.48%	12.72%	13.55%	12.85%	13.31%	9.79%	13.82%	11.88%	10.72%	10.87%	12.36%	11.31%	11.16%	11.85%	12.23%	12.03%	12.24%	10.64%	14.33%	12.16%	11.22%	10.91%	12.63%	11.31%	11.43%	11.74%	12.94%	11.84%	13.14%
Act-135	3.83%	4.99%	4.23%	3.78%	3.72%	4.39%	4.56%	4.00%	4.32%	4.57%	4.19%	4.78%	3.99%	4.05%	4.01%	3.82%	4.49%	3.90%	3.80%	4.64%	4.53%	4.07%	4.18%	3.84%	5.10%	4.17%	3.98%	3.74%	4.29%	4.10%	3.67%	4.29%	4.62%	4.71%	4.76%	3.99%	5.40%	4.64%	4.10%	4.03%	4.16%	3.87%	4.05%	4.40%	4.74%	4.46%	4.71%	3.68%	4.73%	4.34%	3.57%	3.50%	4.46%	4.09%	3.84%	4.05%	4.47%	4.38%	4.51%
Act-140	7.53%	13.05%	10.16%	9.71%	9.43%	12.23%	9.82%	9.94%	9.82%	10.21%	10.66%	11.06%	8.66%	9.99%	9.48%	9.61%	12.69%	10.86%	10.04%	10.25%	10.69%	10.73%	11.03%	7.30%	11.97%	10.30%	9.27%	9.15%	11.64%	9.49%	9.51%	9.10%	9.62%	9.97%	10.35%	7.62%	11.16%	9.45%	8.58%	8.91%	12.35%	9.82%	9.92%	10.05%	10.00%	10.32%	10.29%	7.85%	11.29%	9.84%	8.64%	8.73%	11.01%	9.29%	9.21%	9.29%	9.31%	9.71%	10.08%
Pro-670	5.95%	3.39%	4.93%	5.61%	5.47%	4.29%	4.93%	3.60%	3.12%	3.92%	3.91%	3.48%	5.74%	4.99%	5.73%	5.34%	4.30%	5.41%	4.34%	3.99%	3.48%	3.37%	3.37%	4.96%	3.82%	4.35%	5.42%	5.32%	4.31%	4.89%	3.33%	3.46%	3.60%	3.37%	3.04%	5.85%	3.97%	4.54%	5.91%	5.57%	4.40%	5.08%	4.01%	3.55%	3.70%	3.59%	3.51%	5.71%	4.04%	5.02%	6.00%	5.65%	5.00%	5.53%	4.09%	3.80%	3.88%	3.75%	3.29%
Pro-672	3.30%	2.40%	2.93%	3.49%	3.10%	2.26%	3.07%	2.43%	2.23%	1.51%	1.95%	1.67%	3.48%	3.06%	3.56%	3.58%	2.58%	3.01%	2.66%	2.22%	2.43%	2.40%	2.33%	3.28%	2.19%	2.57%	3.41%	3.25%	2.81%	3.12%	2.24%	1.86%	2.11%	2.19%	1.92%	3.60%	2.54%	2.93%	3.80%	3.56%	2.60%	3.24%	2.66%	2.43%	2.36%	2.39%	2.17%	3.31%	2.40%	3.05%	4.00%	3.67%	2.57%	3.39%	2.58%	2.32%	2.42%	2.38%	2.11%
Pro-1203	9.52%	6.71%	7.21%	9.48%	10.39%	8.92%	8.58%	6.42%	6.66%	6.09%	6.54%	6.02%	10.18%	8.37%	9.64%	9.90%	8.16%	9.75%	7.60%	6.62%	5.53%	6.30%	5.81%	9.47%	6.73%	8.37%	9.96%	10.18%	8.11%	9.02%	6.48%	6.19%	6.00%	6.10%	5.58%	9.59%	7.46%	8.59%	9.62%	10.10%	8.02%	9.07%	6.66%	6.09%	6.24%	6.73%	5.67%	10.00%	7.46%	8.29%	9.82%	10.28%	8.32%	9.20%	7.07%	6.30%	6.15%	6.65%	5.99%
Pro-1204	10.33%	7.10%	8.78%	10.30%	10.47%	8.30%	9.92%	6.81%	6.18%	6.50%	6.72%	6.07%	10.22%	8.83%	9.75%	10.21%	8.74%	10.15%	7.72%	6.91%	6.63%	6.72%	6.46%	9.67%	7.25%	8.61%	10.28%	10.42%	8.84%	9.45%	6.71%	6.17%	6.20%	6.82%	6.23%	10.20%	8.03%	8.84%	10.60%	10.40%	9.00%	10.42%	7.32%	6.84%	6.30%	6.98%	6.14%	10.11%	7.68%	8.73%	10.51%	10.53%	8.74%	10.00%	6.99%	6.71%	6.36%	7.27%	6.07%
