Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
FunWMH6302	0.527	0.000855	337.8	0.678	0.370	4.03	8.46	9893.0	319.0	0.556	0.322	2.14	3.08	0.928
FunWMH6303	0.511	0.00116	387.3	0.721	0.411	5.03	11.5	9916.0	376.0	0.568	0.279	2.44	3.52	1.06
FunWMH6304	0.633	0.000687	326.9	0.580	0.332	3.09	6.78	9879.0	320.0	0.498	0.420	1.91	2.76	0.832
FunWMH6305	0.440	0.000828	273.3	0.717	0.376	4.38	8.19	9897.0	270.0	0.443	0.283	2.10	3.03	0.913
FunWMH6306	0.509	0.0011	391.2	0.715	0.404	4.83	11.0	9936.0	378.0	0.570	0.285	2.39	3.46	1.04
FunWMH6307	0.646	0.000874	388.5	0.578	0.362	3.27	8.63	9875.0	384.0	0.481	0.422	2.16	3.11	0.936
FunWMH6308	0.519	0.00076	320.4	0.663	0.351	3.69	7.49	9854.0	312.0	0.498	0.337	2.01	2.91	0.875
FunWMH6309	0.417	0.0011	296.9	0.788	0.423	6.11	10.9	9916.0	287.0	0.524	0.212	2.39	3.45	1.04
FunWMH6310	0.471	0.00169	472.6	0.764	0.462	6.42	16.8	9909.0	447.0	0.592	0.236	2.82	4.07	1.23
FunWMH6311	0.518	0.00125	376.9	0.719	0.426	5.15	12.4	9888.0	366.0	0.548	0.281	2.52	3.63	1.09
FunWMH6312	0.492	0.00124	416.3	0.732	0.418	5.23	12.3	9909.0	403.0	0.574	0.268	2.51	3.62	1.09
FunWMH6313	0.565	0.00107	402.1	0.668	0.395	4.25	10.6	9896.0	394.0	0.559	0.332	2.36	3.41	1.03
FunWMH6314	0.433	0.00166	384.7	0.790	0.472	6.98	16.4	9894.0	375.0	0.527	0.210	2.80	4.03	1.21
FunWMH6315	0.500	0.00132	346.9	0.735	0.440	5.48	13.0	9864.0	343.0	0.471	0.265	2.57	3.70	1.11
FunWMH63ZH01	0.511	0.00124	465.1	0.717	0.412	4.98	12.3	9952.0	449.0	0.618	0.283	2.51	3.63	1.09
FunWMH63ZH02	0.440	0.000894	307.5	0.734	0.382	4.71	8.87	9923.0	301.0	0.526	0.266	2.18	3.15	0.948
FunWMH63ZH03	0.370	0.00165	389.2	0.831	0.470	8.21	16.3	9910.0	379.0	0.582	0.169	2.79	4.03	1.21
FunWMH63ZH04	0.310	0.00163	216.4	0.856	0.519	9.28	16.2	9915.0	214.0	0.419	0.144	2.78	4.02	1.21
FunWMH63ZH05	0.443	0.00133	364.3	0.778	0.440	6.30	13.2	9928.0	355.0	0.570	0.222	2.58	3.73	1.12
FunWMH63ZH06	0.327	0.00112	245.3	0.786	0.440	6.00	11.1	9895.0	237.0	0.479	0.214	2.41	3.47	1.05
FunWMH63ZH07	0.544	0.000897	337.1	0.670	0.376	4.01	8.85	9862.0	332.0	0.477	0.330	2.18	3.15	0.947
