bacOTUID	Kindom	Phylum	Class	Order	Family	Genus	Species
bacOTU_5320	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5323	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5310	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5324	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5326	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5321	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5328	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5329	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5311	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Robillarda	Unassigned
bacOTU_5307	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5314	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5330	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5332	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5336	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5338	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5334	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5340	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5342	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5345	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5344	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5348	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5341	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5346	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5350	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5349	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5354	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5351	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5355	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5358	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5369	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Cephalotheca	Cephalotheca_purpurea_SH022769.07FU
bacOTU_5357	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5359	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5352	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5362	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5363	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5356	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5368	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5364	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5353	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Unassigned	Unassigned	Unassigned
bacOTU_5374	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5371	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5377	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5378	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5375	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5360	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Unassigned	Unassigned	Unassigned
bacOTU_5379	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5370	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5380	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5383	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5381	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5384	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5373	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5385	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5372	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Conlarium	Unassigned
bacOTU_5387	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5391	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5386	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5393	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5394	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5392	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5396	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5398	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5400	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5406	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5404	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5388	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5407	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5395	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5409	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5417	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5402	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5410	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5397	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5413	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5425	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Panellus	Panellus_serotinus_SH215735.07FU
bacOTU_5415	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5419	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
bacOTU_5414	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
