Sample	load	ratio
D6303_1_kneaddata	0.966650285	0.002187219
D6314_1_kneaddata	1.521835412	0.003256666
D6315_1_kneaddata	1.852127371	0.002479592
W6306_1_kneaddata	0.4104868	0.000696685
W6308_1_kneaddata	0.387150783	0.002763378
W6312_1_kneaddata	0.413920217	0.001884559
DWYJ03_1_kneaddata	1.261201704	0.005541789
DWYJ12_1_kneaddata	1.826038383	0.00463529
DWYJ15_1_kneaddata	1.002264148	0.002311355
WWYJ08_1_kneaddata	0.561738758	0.001083081
WWYJ12_1_kneaddata	0.549337696	0.001270854
WWYJ13_1_kneaddata	0.327863606	0.001118243
