"BacDMH6301"	"BacDMH6302"	"BacDMH6303"	"BacDMH6304"	"BacDMH6305"	"BacDMH6306"	"BacDMH6307"	"BacDMH6308"	"BacDMH6309"	"BacDMH6310"	"BacDMH6311"	"BacDMH6312"	"BacDMH6313"	"BacDMH6314"	"BacDMH6315"	"BacWMH6301"	"BacWMH6302"	"BacWMH6303"	"BacWMH6304"	"BacWMH6305"	"BacWMH6306"	"BacWMH6307"	"BacWMH6308"	"BacWMH6309"	"BacWMH6310"	"BacWMH6311"	"BacWMH6312"	"BacWMH6313"	"BacWMH6314"	"BacWMH6315"	"BacDWYJ01"	"BacDWYJ02"	"BacDWYJ03"	"BacDWYJ04"	"BacDWYJ05"	"BacDWYJ06"	"BacDWYJ07"	"BacDWYJ08"	"BacDWYJ09"	"BacDWYJ10"	"BacDWYJ11"	"BacDWYJ12"	"BacDWYJ13"	"BacDWYJ14"	"BacDWYJ15"	"BacWWYJ01"	"BacWWYJ02"	"BacWWYJ03"	"BacWWYJ04"	"BacWWYJ05"	"BacWWYJ06"	"BacWWYJ07"	"BacWWYJ08"	"BacWWYJ09"	"BacWWYJ10"	"BacWWYJ11"	"BacWWYJ12"	"BacWWYJ13"	"BacWWYJ14"	"BacWWYJ15"	"Bac2DWYJ01"	"Bac2DWYJ02"	"Bac2DWYJ03"	"Bac2DWYJ04"	"Bac2DWYJ05"	"Bac2DWYJ06"	"Bac2DWYJ07"	"Bac2DWYJ08"	"Bac2DWYJ09"	"Bac2DWYJ10"	"Bac2DWYJ11"	"Bac2DWYJ12"	"Bac2DWYJ13"	"Bac2DWYJ14"	"Bac2DWYJ15"	"Bac2WWYJ01"	"Bac2WWYJ02"	"Bac2WWYJ03"	"Bac2WWYJ04"	"Bac2WWYJ05"	"Bac2WWYJ06"	"Bac2WWYJ07"	"Bac2WWYJ08"	"Bac2WWYJ09"	"Bac2WWYJ10"	"Bac2WWYJ11"	"Bac2WWYJ12"	"Bac2WWYJ13"	"Bac2WWYJ14"	"Bac2WWYJ15"	"Bac2DMH6301"	"Bac2DMH6302"	"Bac2DMH6303"	"Bac2DMH6304"	"Bac2DMH6305"	"Bac2DMH6306"	"Bac2DMH6307"	"Bac2DMH6308"	"Bac2DMH6309"	"Bac2DMH6310"	"Bac2DMH6311"	"Bac2DMH6312"	"Bac2WMH6301"	"Bac2WMH6302"	"Bac2WMH6303"	"Bac2WMH6304"	"Bac2WMH6305"	"Bac2WMH6306"	"Bac2WMH6307"	"Bac2WMH6308"	"Bac2WMH6309"	"Bac2WMH6310"	"Bac2WMH6311"	"Bac2WMH6312"
"OTU_4"	0.0693785664318915	0.245442401736308	0.107334228137799	0.048518397167602	0.0844722600808552	0.186652131623278	0.291891484071697	0.797550769241574	0.574236806594287	0.143439068957862	0.049589418627568	0.0228100723566579	0.0147754840238503	0.711242539611995	0.322198917482327	0.251901029089235	0.0793268710663785	0.0340819256651414	0.0311396020780206	0.0158246490136083	0.018961141683306	0.0129457394095335	0.00691342975767354	0.0162746364781691	0.0205393376268324	0.0137312763167432	0.00579597647501069	0.045455559677239	0.0164567058504897	0.00475831806456212	2.67744980376607	0.0953828345930463	0.545265581964878	3.73058795665604	3.56461126775318	1.73245883053913	6.25763839434018	1.08328734335134	0.477597561511365	0.524475977610377	2.69125115047615	0.68777368908084	0.431557021273137	0.123323623025377	0.643544234638076	0.0117421061150175	0.0157090245857425	0.0112655097911147	0.0314042537689815	0.00479379103099415	0.0321802479077196	0.0436160475346199	0.00408216761458137	0.0171891047199988	0.00753597107392863	0.0313371769130628	0.0116394529855823	0.0419082553654671	0.00728757380683855	0.0107721755042629	0.00127749628033373	0.00247839689711663	0.00118019670757478	0.00118841211162829	0.00591101344370224	0.00216988059012469	0.00243926811944544	0.000798124975848738	0.00238551040039084	0.00150837511807111	0.00275094470121447	0.00130047414792014	0.00227036806971113	0.00162758881156823	0.00207692000052527	0.0024149147596914	0.000785854134560134	0.000542988492210982	0.00160238911638999	0.00118068662919472	0.00157092053836667	0.0022543471513207	0.00189595461175665	0.00105633328279488	0.00118992194183457	0.00122960011326157	0.00261003311502765	0.00212214371311652	0.00397025301299922	0.00213707015862824	0.00290093246371086	0.00762518174675948	0.00271040322762222	0.0013719775731936	0.00893205618089108	0.00129905215842841	0.00348139440583645	0.00415725850451046	0.00588658641786286	0.00773075354699154	0.00254554890129271	0.0195620969245888	0.00216029842769907	0.00123161428460471	0.000790895486151698	0.00246384831379263	0.00265508101557532	0.00151950684416134	0.0240864402787218	0.00289908600492218	0.00291782967697231	0.00200714306298821	0.00151548642975609	0.000892006944500724
"OTU_3"	0.00702350919433963	0.00519062481013341	0.00601312202452654	0.00279019536427104	0.00279709470466408	0.0263999292866671	0.0084795291462169	0.0609826935486418	0.0262305701777637	0.00810899259183894	0.00199585895405072	0.00223315393701546	0.00369387100596257	0.0159063826750286	0.0191451530677904	0.149745725761516	0.0756796586035565	0.0520523955613069	0.0534625698327462	0.03137645925112	0.0231299033299903	0.127072652625157	0.0559721909227031	0.018117048154943	0.026316026334379	0.0138855603203021	0.0198512194269116	0.0252530887095772	0.0207874179164081	0.013303868874388	0.0417536031776385	0.00217438072780501	0.0124058258085183	0.00653571821418368	0.0084790943571674	0.0344137143546717	0.0965477039672148	0.0215497099672034	0.0523355411716047	0.0224421998505788	0.0802665489789533	0.0760263975076507	0.175389199671262	0.101806220049595	0.0933340787926305	0.210206723196294	0.164648361459999	0.187537604169732	0.0876702084384067	0.15538495065981	0.107156907981375	0.279023208200924	0.066481015437468	0.08039212053661	0.11718435019959	0.136714523112948	0.0537205522411489	0.100579812877121	0.0436546896972756	0.0390692335453116	0.374397659872094	0.215818801800916	0.410446188301007	0.581133522586235	0.513938655361895	0.431806237434813	0.458770042464931	0.608011606601569	0.30517493765	0.280325714250754	0.289974580096198	0.177700503212231	0.366251649063854	0.202227909837352	0.496937725459012	0.215833006647419	0.123266834249575	0.111079931549447	0.573655303667617	0.14869272236421	0.0876943288770568	0.202891243618863	0.241628882187209	0.106971350437695	0.0716184268741681	0.0840226744062076	0.119387966358362	0.227732547213817	0.30650353260354	0.151731981262605	0.827636031896709	1.49453562236486	0.573521322964862	0.306362592094132	0.679497903538899	0.496237924519653	2.06620757986393	1.5539238395788	1.4981362433461	3.12554365904868	0.480334010070015	0.446549321614933	0.476028112362394	0.212805353889914	0.286304165986915	0.919584001424756	0.245632923669511	0.134006032161276	0.444452171809748	0.224561634867756	0.180434822282449	0.273077095674974	0.160909000335867	0.270501105919845
"OTU_7"	0.0993569593345607	0.0556138372514294	0.0225492075919745	0.0759553182496006	0.0408375826880956	0.0581261600960829	0.0684885046425211	0.213072061796459	0.14745834045878	0.027210175141504	0.022107976106408	0.0164296325366138	0.0522418899414706	0.0890757429801604	0.249820899787022	0.143181529563751	0.060179005636563	0.0313966830369788	0.0142566852887323	0.0203264888192038	0.00779961856476419	0.0514422802852514	0.00545097346278106	0.0187311853805343	0.00410786752536648	0.0374910128648157	0.00536127823938489	0.173787165028636	0.0101771733549081	0.00572940338386052	2.97703190656562	0.0176849632528141	2.09835682246939	1.0424470551623	5.25703850144379	1.35934171700953	8.71623690234251	1.47781280275091	0.407816839949226	0.105672720556269	0.786744851975526	1.30880327337299	0.718155145657091	0.245362624977573	0.282882917822108	0.0117421061150175	0.0463860820314849	0.00357845605129525	0.00956219265401681	0.00595091300399274	0.0299685470205911	0.0283803049026636	0.00151623368541594	0.010974582244307	0.0024491905990268	0.0209455742061404	0.0174591794783734	0.0224628248758904	0.00537723892543427	0.013103467217872	0.000547498405857315	0.0045602502906946	0.00209812748013295	0.00415944239069903	0.00111829984070042	0.000120548921673594	0.00187636009188111	0.000159624995169748	0.00298188800048855	0.000696173131417436	0.00137547235060724	0.000464455052828623	0.000722389840362631	0.0406897202892057	0.000692306666841756	0.00105652520736499	0.00359247604370347	0.0037233496608753	0.000686738192738568	0.00118068662919472	0.00101647799541373	0.00260116978998542	0.000947977305878326	0.000845066626235906	0.000818071335011266	0.000526971477112103	0.000168389233227591	0.000795803892418695	0.00449962008139912	0.00055749656312041	0.00377121220282412	0.00364682605279801	0.00108416129104889	0.00836906319648099	0.00264653516470847	0.00909336510899888	0.00174069720291823	0.0145504047657866	0.00882987962679429	0.0293768634785678	0.00143878850942631	0.00160053520292091	0.00152491653719934	0.00175944897800673	0.00464651098114123	0.00568580380105991	0.00151718915175733	0.0046308780012536	0.00215057502488588	0.00125365881293932	0.00470617689834243	0.00422556434313307	0.00106975512688665	0.00267602083350217
"OTU_2"	0.446763706800921	3.14922622409094	1.26365759345425	0.527036902140086	0.996045424330879	0.67505082342662	0.6483578439492	0.889024809564537	0.310040613272306	0.595019856405604	0.598757686215217	0.633099141143884	2.85536228760906	1.19252423255072	1.23229412063168	0.532110154281333	0.193484621152707	0.264186563186157	0.414944577087841	0.137920001316879	0.326508170262887	0.490575388150742	0.242634794379889	0.420683999530032	0.225034117873983	0.372750152598332	0.434553336213927	0.175623753298423	0.370708952842611	0.226554204992315	0.0208768015888192	0.0413132338282951	0.0194948691276717	0.00718929003560205	0.0797034869573736	0.111391759621701	0.00673588632329406	0.0211352924678341	0.00171591938267556	0.000176710235043927	0	0.00309409757298578	0.000553278232401457	0.00513848429272403	0.0011522725776868	0.143207647128253	0.0198585782499009	0.146849233512412	0.0646202914092504	0.196214825992761	0.0584994884645486	0.576568299601482	0.214488749806147	0.146504061767375	0.0700845309875363	0.104727871030702	0.0640169914207025	0.225466413866213	0.0341737684340099	0.08143443123745	0.00072999787447642	0.000693951131192657	0.00118019670757478	0	0.00431344224270164	0.00253152735514547	0.00356508417457411	0.00478874985509243	0.00690094080113065	0.00139234626283487	0.00575197528435754	0.00585213366564065	0.0152733851962385	0.00528966363759674	0.00221538133389362	0.000452796517442137	0.0220039157676838	0.0200130044272048	0.00732520738921139	0	0.0012936992668902	0	0.000631984870585551	0.00281688875411969	0.000371850606823303	0.0000585523863457892	0.00109453001597934	0.00344848353381434	0.00741113895759855	0.000929160938534017	0.0205966204923471	0.00132611856465382	0.00189728225933555	0.00411593271958081	0.0138943096147194	0.0489309646341368	0.0160144142668477	0.00534504664865631	0.225161930483254	0.145338166683441	0.00121743643105303	0.0183172362112059	0.0198239149835914	0.00457456734281749	0.00939188389805142	0.0233117955843456	0.00273094047316319	0.0320543586649272	0.00544812339637755	0.0000783536758087075	0.00809462426514899	0.00126766930293992	0.0389569158707888	0.00267602083350217
"OTU_22"	0.0453958521097562	0.349996415768995	0.243230785892099	0.0488284188747432	0.106009889306769	0.141494357843453	0.0971884494451014	0.185519640012434	0.0274121273929783	0.0401845632884463	0.0703156462273255	0.302911380456597	0.240629311245562	0.105436593731618	0.257292179032989	0.266260208271847	0.121999256881396	0.102865448371154	0.108988607273072	0.0634350154424816	0.0683139005327622	0.289575749950091	0.0600936586628546	0.0681692320406329	0.0748402114777706	0.0836219299289305	0.0744782977038874	0.0544089274924527	0.0928937738139485	0.032628466728426	0.441544353603527	0.0443573668472221	0.216215821234177	0.265350159495857	1.23455613840357	2.59914105783968	1.5874238768563	0.151262387269793	0.0437559442582269	0.0342817855985219	0.46634201596863	0.057019798130738	0.10622942062108	0.0658368300005267	0.0432102216632549	0.0379891668427038	0.0248973219849504	0.042941472615543	0.0164067095011025	0.0428135130009478	0.0195735528510872	0.0860371348628118	0.033823674520817	0.0282959108467673	0.0665049447274202	0.0326361272514281	0.0571526986343334	0.0422435214083908	0.0159902104887914	0.0174444931673511	0.019162444205006	0.024288289591743	0.0365860979348182	0.0316414724721033	0.028916038738111	0.0176001425643447	0.103199805053461	0.0440564986668504	0.0176357376028894	0.0613792644199706	0.0772765375159338	0.0487677805470054	0.0228068792457345	0.0668667736752614	0.0319845680080891	0.00950872686628487	0.0125736661529621	0.00667100147573492	0.0141925893165971	0.00457516068812955	0.00997996577315294	0.0126590263112624	0.00832113412937642	0.00528166641397441	0.00535464873825556	0.00415721943055104	0.00572523392973808	0.0100801826373035	0.0177337967913965	0.00836244844680615	0.0406130544919521	0.0430988533512492	0.00433664516419555	0.0212656523845009	0.010089915315451	0.0176093737031407	0.0271548763655243	0.0264282862072451	0.22663357708772	0.169303502679115	0.0109569278794773	0.0266755867153484	0.0133430197004942	0.0210254152871804	0.0119622942280444	0.0316509744925668	0.0126685294171737	0.0183064395987056	0.0121865918076866	0.00329085438396571	0.0120478128597566	0.00644398562327792	0.0131936465649353	0.0127110989591353
"OTU_6"	0.0241540194244363	0.0304022310307814	0.0345754516410276	0.00480533646068902	0.0346839743378346	0.0157473262411699	0.0345703880576535	0.0334302717646169	0.00732565473433041	0.00306339720136138	0.0153527611850056	0.00334973090552319	0.0147754840238503	0.0418110630315039	0.0551006844390067	0.0262567847910604	0.0169595379521223	0.0216884981505445	0.0226981436833764	0.0150061326853182	0.0182887607725505	0.050420248226604	0.0147575135211877	0.0119756758990301	0.0102696688134162	0.00848562019574018	0.014634840599402	0.0284671181817052	0.023602380759255	0.0129154347466686	0.219206416682602	0.0542145594799382	0.0649828970922389	0.019607154642551	0.0237414642000687	0.603145625268721	0.231265430433096	0.0331533999495437	0.0486177158424743	0.107263112671664	0.130681902056643	1.18282930075857	1.04292946807675	0.728701303761927	0.932764651637461	0.00644664649451943	0.0084473056734653	0.00583155800951818	0.00362356774257479	0.00462848789199435	0.00519749708475196	0.0116508620126724	0.00279920064999865	0.00423116423876895	0.00301438842957145	0.00893028357626142	0.00358137014940993	0.00569952272970352	0.00297163203773999	0.00144700864982636	0.0343099001003917	0.0532359653500653	0.0293737847218612	0.0256994119139618	0.0495247072310188	0.0167563001126295	0.0666107832617793	0.0236244992851227	0.0132055040021636	0.0184485879825621	0.0227578152555016	0.0149554527010817	0.00784308969536571	0.0259057885841276	0.0292153413407221	0.014187624213187	0.0250350674295586	0.0103167813520087	0.0167106293566385	0.00472274651677889	0.0149699486597294	0.0648558334303032	0.00737315682349809	0.0139435993328924	0.0221622961666688	0.00661641965707418	0.00665137471248983	0.0126002282966293	0.0727879719049857	0.00882702891607316	0.342310030717882	0.952484659062608	0.0180241814636878	0.0112502161001876	0.0200144221831078	0.0072169564357134	0.0407323145482865	0.39107924646002	0.04635686804067	0.0231922606409746	0.0496935415948011	0.0305880061002662	0.0120722559194948	0.00782954795212993	0.00227382452268613	0.00511722342095392	0.00728250792843516	0.00564388256402782	0.0121865918076866	0.00321250070815701	0.0034825709047734	0.00686654205759123	0.0116781601351792	0.0154986206607001
"OTU_2077"	0.0954169419816384	0.00519062481013341	0.00210459270858429	0.00046503256071184	0.00167825682279845	0.0159789045682459	0.00652271472785916	0.0286545186553859	0.00212680298738625	0.0302735723428654	0.00859754626360312	0.000797554977505522	0.000527695857994652	0.0090893615285878	0.00560345943447525	0.0045128848859635	0.0098474736496194	0.00144589987670297	0.00281381946488138	0.00136419388048348	0.0020171427322666	0.00272541882305968	0.00292491258978496	0.000153534306397822	0.00205393376268324	0.00154284003558912	0.000869396471251604	0.011249103152448	0.0145078854208265	0.00145662797894759	0.201461135332106	0.012756366936456	0.153005184971726	0.232017996603521	2.2639181933637	0.512583219072216	2.03199237419371	0.222127779661943	0.0374642398550831	0.0263298250215452	0.118078063787221	0.0119343763529452	0.750798561368777	0.0285828188782774	1.07449417869294	0.00253261112284692	0.00963289243465341	0.00159042491168678	0.0146955802893311	0.00562030672599314	0.0231122742704927	0.041823607224978	0.00233266720833221	0.00753676130030718	0.0489838119805361	0.00763133323789612	0.0204436546028817	0.0497870073741749	0.00219334745642714	0.0543432137379232	0.000821247608785972	0.0000991358758846653	0	0.000297103027907073	0.000639028480400242	0	0	0	0	0	0.000125042940964294	0	0	0.000135632400964019	0.000276922666736702	0	0.000112264876365733	0	0.000228912730912856	0.0000737929143246702	0.000184814180984314	0.000173411319332362	0.000210661623528517	0.0000704222188529921	0.0000743701213646606	0.000117104772691578	0.000252583849841386	0	0.000529367068399896	0	0.00319102571008195	0.000331529641163456	0.000406560484143333	0.00013719775731936	0	0.00072169564357134	0.000348139440583645	0.00118778814414585	0.000735823302232857	0.000773075354699154	0	0.000177837244768989	0	0.0000879724489003363	0.000593171614613774	0	0	0	0	0	0.0000941235379668487	0	0	0.000111500868062591
"OTU_13"	0.0882221276849978	0.266946418806861	0.141308367576374	0.0491384405818844	0.119435943889156	0.147052237693277	0.092296413399207	0.319608092694689	0.110121132457999	0.0718997343143053	0.0891995424848823	0.0767247888360312	0.194719771600027	0.212691059768954	0.10646572925503	0.25723443849992	0.0855271322531759	0.0948097204866661	0.0688447829074311	0.0720294368895276	0.0559420917748604	0.0766524043985534	0.044937293424878	0.0337775474075208	0.0514767149272487	0.0478280411032628	0.0676680253457499	0.141646870307356	0.124291436291857	0.0496224598161479	0.210855696047074	0.0275421558855301	0.0702996795816039	0.0901929113557348	0.161102792786181	0.277120962961304	0.325567838959213	0.128469424804482	0.116682518021938	0.0526596500430904	0.230185888394188	0.0914968853725796	0.204712945988539	0.0632675878541647	0.14921929881044	0.119723434898218	0.0904009905405936	0.0535443053601215	0.0690490964279529	0.0886024825038919	0.076303680605933	0.144590184977781	0.0505022450603923	0.0728553592363028	0.0538821931785897	0.0617001410723516	0.0468562594547799	0.075099593614917	0.0343860278652771	0.0498414090495745	0.00319374070083434	0.0022801251453473	0.00511418573282405	0.00594206055814147	0.00543174208340206	0.0196494742327958	0.015198516744237	0.00734274977780839	0.00809369600132607	0.00696173131417436	0.0107536929229293	0.00520189659168058	0.00412794194492932	0.0155977261108622	0.00844614133546942	0.0271677910465282	0.00392927067280067	0.0024822331072502	0.0313610441350613	0.00361585280190884	0.00563683252002157	0.00849715464728572	0.0111650660470114	0.00415491091232654	0.00475968776733828	0.00679207681611155	0.00564103931312428	0.00795803892418695	0.0201159485991961	0.0173753095505861	0.0162452217967808	0.015250363493519	0.00677600806905555	0.00192076860247105	0.00562388722500549	0.0076499738218562	0.0153181353856804	0.0246466039910263	0.110373495334929	0.0471575966366484	0.0225779119940745	0.00586862907737665	0.0113097976508951	0.0103807489702397	0.00454764904537227	0.024259429551189	0.00424812962492051	0.00159186431293092	0.0233695819370932	0.00368262276300925	0.0071533888854805	0.00327481236592813	0.00463560554984215	0.00925457204919501
"OTU_11"	0.0135331030817764	0.13347320940343	0.145517552993542	0.0677397430103581	0.405019313235359	0.0659998232166679	0.0580521610779465	0.0826572653520747	0.0191412268864762	0.101993106821797	0.0503570566868183	0.0602951562994175	0.293926592903021	0.578992329371043	0.0868536212343664	0.289645157226385	0.105586800798697	0.121042475392563	0.112552778595255	0.0983583787828586	0.129635039593667	0.236430082900427	0.0783078870628791	0.107320480172077	0.0784345955624663	0.107535950480562	0.0953438130139259	0.0397162213341533	0.0926772382106526	0.0539923437529906	0.081419526196395	0.0182647981135621	0.0632106362624506	0.0176464391782959	0.088182581314541	0.111391759621701	0.184114226170038	0.018234369972249	0.0214489922834445	0.00477117634618604	0.0238809567210109	0.0212166690719025	0.0796720654658098	0.0215174029757819	0.0103704531991812	0.0320029950977929	0.0277130905427721	0.0592433279603324	0.0187217666699697	0.0914126358668885	0.0258769003794034	0.118599800487973	0.0347567414041499	0.0413860752104587	0.0548241895628308	0.0530945950806815	0.0629724251271246	0.0504575394600224	0.0303530986712014	0.0506453027439225	0.0185236960648391	0.0212150774393184	0.0348813693572102	0.0571923328721116	0.0164549833703062	0.01543026197422	0.0833103880795212	0.0654462480195965	0.0189136896030988	0.0409581858983925	0.0663978016520402	0.0362274941206326	0.0455105599428457	0.0648322876608011	0.0400153253434535	0.00664101558915134	0.00819533597469854	0.0059728734143208	0.0153371529711613	0.00405861028785686	0.00526720415805294	0.0112717357566035	0.0043185632823346	0.00338026650494362	0.00758575237919538	0.00275196215825209	0.00370456313100699	0.0114065224580013	0.0177337967913965	0.00445997250496328	0.0319102571008195	0.0245331934460957	0.0189728225933555	0.0222260366857364	0.0358936331713586	0.024248973623997	0.0466506850382085	0.0412756380090681	0.134655664308613	0.142245865264644	0.0167120819171826	0.0184950734559749	0.00965780473559583	0.00818143774773128	0.00405333936652745	0.0161097774363364	0.00455156745527198	0.012807271972217	0.0106095034561037	0.00164542719198286	0.00545916520207722	0.0099300762063627	0.0178292521147775	0.00869706770888206
"OTU_9"	0.00548176327363093	0.119384370633068	0.0333728272361223	0.00945566206780742	0.0531447993886175	0.0162104828953219	0.0300044877481521	0.00881677497088797	0.0101613920508454	0.00828919242721314	0.0337760746070122	0.00558288484253866	0.086542120711123	0.0181787230571756	0.0172773332562987	0.242875259317308	0.0671087093159248	0.0512261670603338	0.10167267666438	0.0276931357738146	0.0469321875707362	0.142062456151986	0.0381568142394674	0.0555794189160115	0.0313224898809194	0.0965817862278791	0.0544821788651005	0.123280987609481	0.130787504390734	0.0534096925614116	0.0647180849253396	0.016815210961692	0.0183133619078128	0.0254893010353163	0.0101749132286009	0.0326024662307417	0.0538870905863525	0.0161622824754026	0.0443279173857854	0.0247394329061498	0.0610291116203612	0.0388972266318213	0.0619671620289632	0.0443194270247448	0.0241977241314227	0.669760523305608	0.180209187700593	0.124583284748797	0.089884610947758	0.192412853795765	0.113239085420979	0.554760275834172	0.145325167079097	0.0687564188799954	0.159950986044135	0.0532569638729772	0.0793870383119201	0.0925334278469513	0.0275937260647285	0.0501629665273137	0.00374123910669165	0.0129867997408912	0.00786797805049854	0.00594206055814147	0.00798785600500303	0.00397811441522859	0.00506617224807899	0.00446949986475293	0.00119275520019542	0.00939833727413539	0.00250085881928589	0.00510900558111485	0.0253868429613153	0.00325517762313646	0.00443076266778724	0.0304882988411039	0.0246982728004614	0.012954154028462	0.0146504147784228	0.00280413074433747	0.0133990281213627	0.0412718940011021	0.00495054815292015	0.0136619104574805	0.0133122517242742	0.00685062920245734	0.00681976394571742	0.00689696706762869	0.0659062000157871	0.0152382393919579	0.0661412601726076	0.0145873042111921	0.00474320564833888	0.0253815851040817	0.0186911546007535	0.0190527649902834	0.0243697608408552	0.0178168221621877	0.384835587067784	0.303818614396767	0.00343095721478582	0.0328998902822631	0.0507034748618781	0.0244563407942935	0.0368755020418229	0.0388529926405761	0.00591703769185357	0.0632404277046194	0.0563450656520099	0.00470122054852245	0.0151538896126626	0.0455304557972588	0.0098952349237015	0.0157216223968253
