ID	ratio 	treatment	genotype
BacDMH6303	0.528242125	dry	MH63
BacDMH6314	0.886810586	dry	MH63
BacDMH6315	0.466079575	dry	MH63
BacWMH6306	0.278944521	wet	MH63
BacWMH6308	0.230998938	wet	MH63
BacWMH6312	0.27719935	wet	MH63
BacDWYJ03	1.420392352	dry	WYJ
BacDWYJ12	0.924025388	dry	WYJ
BacDWYJ15	0.925893436	dry	WYJ
BacWWYJ08	0.275438305	wet	WYJ
BacWWYJ12	0.388602668	wet	WYJ
BacWWYJ13	0.39023057	wet	WYJ
