id	microbialload	site	Condition	Genotype	type
Fun2DMH6301	0.720629599	Ah	dry	MH63	Fun
Fun2DMH6302	0.421328792	Ah	dry	MH63	Fun
Fun2DMH6304	0.56314963	Ah	dry	MH63	Fun
Fun2DMH6305	0.244107596	Ah	dry	MH63	Fun
Fun2DMH6306	0.308180926	Ah	dry	MH63	Fun
Fun2DMH6307	0.399477565	Ah	dry	MH63	Fun
Fun2DMH6308	0.312765277	Ah	dry	MH63	Fun
Fun2DMH6312	1.302726665	Ah	dry	MH63	Fun
Fun2DWYJ01	0.322315638	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ02	0.45439016	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ03	0.69852802	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ04	0.598259402	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ05	0.714908622	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ06	0.846960342	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ07	0.580528398	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ08	0.383224269	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ09	0.434751683	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ10	0.351242344	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ11	0.217632108	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ12	0.248510329	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ13	0.355732352	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ14	0.372624904	Ah	dry	WYJ7DEP1	Fun
Fun2DWYJ15	0.456834113	Ah	dry	WYJ7DEP1	Fun
Fun2WMH6301	0.592738131	Ah	wet	MH63	Fun
Fun2WMH6302	0.677499277	Ah	wet	MH63	Fun
Fun2WMH6303	0.222735693	Ah	wet	MH63	Fun
Fun2WMH6305	0.509011237	Ah	wet	MH63	Fun
Fun2WMH6306	0.251444744	Ah	wet	MH63	Fun
Fun2WMH6307	1.38628676	Ah	wet	MH63	Fun
Fun2WMH6309	0.729249888	Ah	wet	MH63	Fun
Fun2WMH6310	0.204918391	Ah	wet	MH63	Fun
Fun2WMH6311	0.795640314	Ah	wet	MH63	Fun
Fun2WMH6312	0.868329854	Ah	wet	MH63	Fun
Fun2WWYJ01	0.442385207	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ02	0.437028228	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ03	0.31959775	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ05	0.395214699	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ06	0.409037631	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ07	0.763276886	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ08	0.370188917	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ09	0.269974411	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ12	0.271975589	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ13	0.402547436	Ah	wet	WYJ7DEP1	Fun
Fun2WWYJ15	0.334330172	Ah	wet	WYJ7DEP1	Fun
FunDMH6301	0.92556834	Hn	dry	MH63	Fun
FunDMH6302	1.268118447	Hn	dry	MH63	Fun
FunDMH6303	0.966650285	Hn	dry	MH63	Fun
FunDMH6304	0.591198902	Hn	dry	MH63	Fun
FunDMH6305	0.972275354	Hn	dry	MH63	Fun
FunDMH6306	0.65179816	Hn	dry	MH63	Fun
FunDMH6307	1.138776825	Hn	dry	MH63	Fun
FunDMH6308	0.523044552	Hn	dry	MH63	Fun
FunDMH6309	1.369947709	Hn	dry	MH63	Fun
FunDMH6310	0.598062596	Hn	dry	MH63	Fun
FunDMH6311	0.334074036	Hn	dry	MH63	Fun
FunDMH6312	0.465034871	Hn	dry	MH63	Fun
FunDMH6313	1.298611769	Hn	dry	MH63	Fun
FunDMH6314	1.521835412	Hn	dry	MH63	Fun
FunDMH6315	1.852127371	Hn	dry	MH63	Fun
FunDWYJ01	3.242793933	Hn	dry	WYJ7DEP1	Fun
FunDWYJ03	1.261201704	Hn	dry	WYJ7DEP1	Fun
FunDWYJ04	1.890235483	Hn	dry	WYJ7DEP1	Fun
FunDWYJ06	2.174856043	Hn	dry	WYJ7DEP1	Fun
FunDWYJ08	1.467714653	Hn	dry	WYJ7DEP1	Fun
FunDWYJ09	1.132059945	Hn	dry	WYJ7DEP1	Fun
FunDWYJ11	1.533781228	Hn	dry	WYJ7DEP1	Fun
FunDWYJ12	1.826038383	Hn	dry	WYJ7DEP1	Fun
FunDWYJ13	1.925493359	Hn	dry	WYJ7DEP1	Fun
FunDWYJ14	1.677293928	Hn	dry	WYJ7DEP1	Fun
FunDWYJ15	1.002264148	Hn	dry	WYJ7DEP1	Fun
FunWMH6302	0.449888962	Hn	wet	MH63	Fun
FunWMH6303	0.558463873	Hn	wet	MH63	Fun
FunWMH6304	0.3179361	Hn	wet	MH63	Fun
FunWMH6305	0.603364866	Hn	wet	MH63	Fun
FunWMH6306	0.4104868	Hn	wet	MH63	Fun
FunWMH6308	0.387150783	Hn	wet	MH63	Fun
FunWMH6309	0.600329794	Hn	wet	MH63	Fun
FunWMH6310	0.504708278	Hn	wet	MH63	Fun
FunWMH6311	0.363977277	Hn	wet	MH63	Fun
FunWMH6312	0.413920217	Hn	wet	MH63	Fun
FunWMH6313	0.601637	Hn	wet	MH63	Fun
FunWMH6314	0.796891125	Hn	wet	MH63	Fun
FunWMH6315	0.372980991	Hn	wet	MH63	Fun
FunWWYJ01	0.365437643	Hn	wet	WYJ7DEP1	Fun
FunWWYJ02	0.641620893	Hn	wet	WYJ7DEP1	Fun
FunWWYJ03	0.888112936	Hn	wet	WYJ7DEP1	Fun
FunWWYJ04	0.436614532	Hn	wet	WYJ7DEP1	Fun
FunWWYJ05	1.888445931	Hn	wet	WYJ7DEP1	Fun
FunWWYJ06	0.635873621	Hn	wet	WYJ7DEP1	Fun
FunWWYJ08	0.561738758	Hn	wet	WYJ7DEP1	Fun
FunWWYJ09	0.424144974	Hn	wet	WYJ7DEP1	Fun
FunWWYJ10	1.061548761	Hn	wet	WYJ7DEP1	Fun
FunWWYJ11	0.636141842	Hn	wet	WYJ7DEP1	Fun
FunWWYJ12	0.549337696	Hn	wet	WYJ7DEP1	Fun
FunWWYJ13	0.327863606	Hn	wet	WYJ7DEP1	Fun
FunWWYJ15	0.321394578	Hn	wet	WYJ7DEP1	Fun
