fungi,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Asco-AF1,E05,2:02:01,0.225999416,0.23670994,0.225399951,0.227038542,0.229428035,0.228915177
Asco-AF105,E05,2:02:01,0.398550725,0.401686724,0.395028304,0.389329238,0.398943001,0.396707598
Basi-AF78,E05,2:02:01,0.375449859,0.361603336,0.379571745,0.38363222,0.371628964,0.374377225
Asco-AF1,E055,2:02:01,0.229274098,0.236671001,0.228563385,0.226435493,0.229982153,0.230185226
Asco-AF105,E055,2:02:01,0.388615629,0.386609922,0.384169884,0.38231761,0.391195717,0.386581752
Basi-AF78,E055,2:02:01,0.382110274,0.376719076,0.387266731,0.391246897,0.37882213,0.383233022
Asco-AF1,E04,2:02:01,0.225676389,0.231798254,0.232210879,0.227398822,0.228299237,0.229076716
Asco-AF105,E04,2:02:01,0.3945286,0.397384494,0.383627914,0.384267528,0.386305841,0.389222876
Basi-AF78,E04,2:02:01,0.379795011,0.370817252,0.384161207,0.38833365,0.385394922,0.381700408
Asco-AF1,E0520,2:02:01,0.227481468,0.238523495,0.229997796,0.228243021,0.233717316,0.231592619
Asco-AF105,E0520,2:02:01,0.386512385,0.379203236,0.374770406,0.376573618,0.376961053,0.37880414
Basi-AF78,E0520,2:02:01,0.386006147,0.382273269,0.395231798,0.395183361,0.389321631,0.389603241
Asco-AF1,E05,1:01:01,0.267281343,0.258189633,0.27551432,NA,NA,0.266995099
Asco-AF105,E05,1:01:01,0.454053776,0.459353216,0.455677693,NA,NA,0.456361561
Basi-AF78,E05,1:01:01,0.278664881,0.282457152,0.268807987,NA,NA,0.27664334
Asco-AF1,E055,1:01:01,0.262199089,0.265112263,0.272061814,NA,NA,0.266457722
Asco-AF105,E055,1:01:01,0.437703318,0.42951723,0.441927613,NA,NA,0.43638272
Basi-AF78,E055,1:01:01,0.300097593,0.305370507,0.286010573,NA,NA,0.297159558
Asco-AF1,E04,1:01:01,0.261008838,0.257690818,0.267927441,NA,NA,0.262209032
Asco-AF105,E04,1:01:01,0.433522442,0.442735374,0.447742184,NA,NA,0.441333334
Basi-AF78,E04,1:01:01,0.30546872,0.299573809,0.284330374,NA,NA,0.296457634
Asco-AF1,E0520,1:01:01,0.264517318,0.258934192,0.269385811,NA,NA,0.264279107
Asco-AF105,E0520,1:01:01,0.418386146,0.426397067,0.433377309,NA,NA,0.426053507
Basi-AF78,E0520,1:01:01,0.317096536,0.314668741,0.297236881,NA,NA,0.309667386
