	TABS1	TABS2	TABS3	TABS4	TABS5	TAD1	TAD10	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH1	TAH10	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
TAE0BS2	0.2354	0.1379	0.2212	0.2396	0.2478	0.9123	0.6856	0.6568	0.7554	0.6316	0.9137	0.8075	0.6791	0.7145	0.681	0.243	0.0	0.2178	0.225	0.2584	0.9096	0.6174	0.9154	0.6745	0.6787	0.6214	0.6125	0.6966	0.7134	0.6434	0.6693	0.6407	0.7172	0.785	0.7516	0.6525	0.6144	0.7019	0.7059	0.6349
TAE0BS3	0.2695	0.2339	0.1374	0.2072	0.1846	0.9315	0.7628	0.7306	0.8161	0.7034	0.9347	0.8805	0.7465	0.7604	0.7479	0.2746	0.2178	0.0	0.1776	0.1903	0.9303	0.6889	0.9375	0.7382	0.7448	0.6905	0.6694	0.7518	0.7775	0.713	0.7358	0.7083	0.784	0.8287	0.8056	0.7061	0.6692	0.7588	0.772	0.708
TAE0BS4	0.2915	0.2364	0.1918	0.1631	0.1918	0.9133	0.7279	0.696	0.7822	0.6726	0.9162	0.8464	0.718	0.7354	0.7157	0.2893	0.225	0.1776	0.0	0.2047	0.9118	0.6619	0.9178	0.7105	0.7114	0.6592	0.6309	0.7255	0.7411	0.6787	0.6996	0.6753	0.7519	0.8006	0.7714	0.6743	0.6344	0.7358	0.7342	0.6717
TAE0BS5	0.2838	0.2619	0.1883	0.2343	0.1672	0.9271	0.7662	0.7418	0.8153	0.7157	0.9301	0.8742	0.7578	0.7641	0.7539	0.2762	0.2584	0.1903	0.2047	0.0	0.9257	0.7043	0.9354	0.7457	0.7488	0.7004	0.6814	0.7575	0.7842	0.73	0.7436	0.7188	0.79	0.8302	0.805	0.7243	0.688	0.7684	0.7771	0.7231
TAE0D1	0.9157	0.9125	0.9305	0.9062	0.9242	0.0284	0.8702	0.8681	0.8679	0.874	0.1371	0.8846	0.8648	0.5739	0.8683	0.9174	0.9096	0.9303	0.9118	0.9257	0.0	0.8761	0.1144	0.8629	0.8677	0.8701	0.8705	0.8724	0.876	0.8715	0.8702	0.8744	0.873	0.8838	0.8812	0.8722	0.8717	0.8736	0.876	0.8734
TAE0D4	0.6511	0.6222	0.6909	0.6597	0.6993	0.8814	0.4253	0.2705	0.4455	0.1124	0.8403	0.4261	0.3218	0.4293	0.2577	0.6539	0.6174	0.6889	0.6619	0.7043	0.8761	0.0	0.8529	0.3391	0.2848	0.4913	0.4452	0.4911	0.4969	0.4715	0.469	0.5277	0.4677	0.552	0.5346	0.4819	0.4492	0.4956	0.4958	0.4752
TAE0D5	0.9239	0.9214	0.9354	0.9182	0.9315	0.1174	0.8136	0.8538	0.8156	0.8519	0.0529	0.8287	0.8462	0.5505	0.8513	0.9258	0.9154	0.9375	0.9178	0.9354	0.1144	0.8529	0.0	0.8434	0.8497	0.8794	0.8389	0.8613	0.8472	0.8439	0.8748	0.8855	0.8493	0.8455	0.8373	0.8286	0.84	0.8655	0.8395	0.8433
TAE0D7	0.698	0.679	0.7408	0.712	0.7431	0.8693	0.4387	0.3402	0.4761	0.3368	0.8288	0.4799	0.1317	0.4143	0.4	0.7056	0.6745	0.7382	0.7105	0.7457	0.8629	0.3391	0.8434	0.0	0.3914	0.4364	0.4481	0.3993	0.4862	0.4492	0.3992	0.4788	0.4226	0.554	0.5355	0.4851	0.4624	0.4164	0.4889	0.4554
TAE0D9	0.6956	0.6865	0.744	0.7198	0.7455	0.8743	0.3877	0.318	0.3861	0.2831	0.8368	0.399	0.3878	0.4547	0.1424	0.7009	0.6787	0.7448	0.7114	0.7488	0.8677	0.2848	0.8497	0.3914	0.0	0.5429	0.4418	0.5156	0.5015	0.4742	0.512	0.5819	0.4945	0.5277	0.5022	0.4895	0.4701	0.5313	0.5022	0.4801
TAE0H10	0.6322	0.6251	0.6959	0.6594	0.6976	0.8772	0.4802	0.4967	0.629	0.5074	0.8729	0.6543	0.4437	0.5823	0.5476	0.6389	0.6214	0.6905	0.6592	0.7004	0.8701	0.4913	0.8794	0.4364	0.5429	0.0	0.409	0.3342	0.4451	0.4255	0.3063	0.2277	0.3838	0.576	0.5698	0.4657	0.4182	0.3505	0.4546	0.4178
TAE0H6	0.6252	0.6229	0.6691	0.6357	0.6802	0.8782	0.4466	0.45	0.5432	0.4586	0.8261	0.5844	0.4601	0.537	0.4696	0.6277	0.6125	0.6694	0.6309	0.6814	0.8705	0.4452	0.8389	0.4481	0.4418	0.409	0.0	0.4649	0.3801	0.2624	0.4742	0.4586	0.3904	0.5261	0.4586	0.3367	0.1928	0.4809	0.3711	0.2687
TAE0H7	0.694	0.7007	0.7544	0.7196	0.7556	0.8777	0.4509	0.4923	0.609	0.4964	0.8479	0.6493	0.4115	0.5714	0.5312	0.6995	0.6966	0.7518	0.7255	0.7575	0.8724	0.4911	0.8613	0.3993	0.5156	0.3342	0.4649	0.0	0.4727	0.4866	0.2862	0.3649	0.3717	0.5404	0.5548	0.5229	0.491	0.1597	0.4731	0.4723
TAE0H8	0.7461	0.7207	0.7797	0.7376	0.7836	0.8811	0.4434	0.5326	0.5847	0.508	0.8392	0.582	0.4973	0.6099	0.5118	0.7563	0.7134	0.7775	0.7411	0.7842	0.876	0.4969	0.8472	0.4862	0.5015	0.4451	0.3801	0.4727	0.0	0.367	0.4902	0.4901	0.2477	0.48	0.4773	0.4394	0.4049	0.4958	0.1069	0.3716
TAE0H9	0.6712	0.6512	0.7147	0.676	0.7281	0.8785	0.4686	0.4647	0.5528	0.4752	0.8384	0.5843	0.4621	0.5857	0.4894	0.6788	0.6434	0.713	0.6787	0.73	0.8715	0.4715	0.8439	0.4492	0.4742	0.4255	0.2624	0.4866	0.367	0.0	0.483	0.4503	0.3979	0.5434	0.4826	0.327	0.2933	0.4943	0.3639	0.1558
TAH1	0.6821	0.6696	0.7378	0.6924	0.7363	0.8766	0.4832	0.464	0.6114	0.4757	0.8683	0.6287	0.4062	0.5573	0.5128	0.6871	0.6693	0.7358	0.6996	0.7436	0.8702	0.469	0.8748	0.3992	0.512	0.3063	0.4742	0.2862	0.4902	0.483	0.0	0.3112	0.4135	0.5724	0.5544	0.5006	0.4874	0.283	0.4857	0.4768
TAH10	0.6485	0.6439	0.7142	0.6671	0.7112	0.882	0.5254	0.4764	0.657	0.5211	0.8775	0.6818	0.4661	0.6076	0.5741	0.6542	0.6407	0.7083	0.6753	0.7188	0.8744	0.5277	0.8855	0.4788	0.5819	0.2277	0.4586	0.3649	0.4901	0.4503	0.3112	0.0	0.4349	0.6048	0.6052	0.4673	0.4368	0.3332	0.4791	0.4388
TAH2	0.74	0.721	0.7841	0.7487	0.7911	0.8792	0.3743	0.4964	0.5842	0.4731	0.8381	0.5676	0.4218	0.5652	0.5042	0.7468	0.7172	0.784	0.7519	0.79	0.873	0.4677	0.8493	0.4226	0.4945	0.3838	0.3904	0.3717	0.2477	0.3979	0.4135	0.4349	0.0	0.4687	0.463	0.4625	0.4056	0.3996	0.2617	0.4054
TAH3	0.8031	0.788	0.8316	0.7999	0.8309	0.8895	0.4935	0.603	0.5789	0.555	0.8374	0.5824	0.565	0.634	0.5554	0.8092	0.785	0.8287	0.8006	0.8302	0.8838	0.552	0.8455	0.554	0.5277	0.576	0.5261	0.5404	0.48	0.5434	0.5724	0.6048	0.4687	0.0	0.4738	0.5691	0.5414	0.5711	0.4994	0.5487
TAH4	0.7727	0.7627	0.8025	0.77	0.8054	0.8857	0.4267	0.5405	0.3869	0.5357	0.8138	0.561	0.5412	0.5848	0.5071	0.7772	0.7516	0.8056	0.7714	0.805	0.8812	0.5346	0.8373	0.5355	0.5022	0.5698	0.4586	0.5548	0.4773	0.4826	0.5544	0.6052	0.463	0.4738	0.0	0.4493	0.4836	0.5743	0.4657	0.476
TAH5	0.6619	0.6631	0.7113	0.6675	0.7221	0.883	0.4509	0.4619	0.4834	0.4872	0.8088	0.6047	0.4834	0.5636	0.4884	0.67	0.6525	0.7061	0.6743	0.7243	0.8722	0.4819	0.8286	0.4851	0.4895	0.4657	0.3367	0.5229	0.4394	0.327	0.5006	0.4673	0.4625	0.5691	0.4493	0.0	0.3169	0.5039	0.4152	0.3273
TAH6	0.6249	0.6235	0.673	0.63	0.6825	0.878	0.4435	0.427	0.5458	0.4518	0.8262	0.6017	0.459	0.5376	0.4603	0.631	0.6144	0.6692	0.6344	0.688	0.8717	0.4492	0.84	0.4624	0.4701	0.4182	0.1928	0.491	0.4049	0.2933	0.4874	0.4368	0.4056	0.5414	0.4836	0.3169	0.0	0.478	0.3818	0.2607
TAH7	0.705	0.7047	0.7621	0.7261	0.7622	0.8789	0.4672	0.4741	0.6083	0.4979	0.8501	0.6401	0.4089	0.5778	0.535	0.713	0.7019	0.7588	0.7358	0.7684	0.8736	0.4956	0.8655	0.4164	0.5313	0.3505	0.4809	0.1597	0.4958	0.4943	0.283	0.3332	0.3996	0.5711	0.5743	0.5039	0.478	0.0	0.4846	0.4762
TAH8	0.7401	0.7145	0.7731	0.7272	0.7747	0.8813	0.4354	0.5188	0.5814	0.4988	0.8294	0.5913	0.4923	0.6017	0.5062	0.7478	0.7059	0.772	0.7342	0.7771	0.876	0.4958	0.8395	0.4889	0.5022	0.4546	0.3711	0.4731	0.1069	0.3639	0.4857	0.4791	0.2617	0.4994	0.4657	0.4152	0.3818	0.4846	0.0	0.3602
TAH9	0.6574	0.6432	0.7102	0.6711	0.7186	0.8786	0.4623	0.4512	0.5528	0.4787	0.8336	0.5886	0.4563	0.5826	0.485	0.6612	0.6349	0.708	0.6717	0.7231	0.8734	0.4752	0.8433	0.4554	0.4801	0.4178	0.2687	0.4723	0.3716	0.1558	0.4768	0.4388	0.4054	0.5487	0.476	0.3273	0.2607	0.4762	0.3602	0.0
