ID	SampleID	Totalload	Treatment	Micro
1	TAD1	9.440085022	Disease	Bacteria
2	TAD2	45.85384124	Disease	Bacteria
3	TAD3	20.00465945	Disease	Bacteria
4	TAD4	12.53901744	Disease	Bacteria
5	TAD5	23.34013315	Disease	Bacteria
6	TAD6	27.19683662	Disease	Bacteria
7	TAD7	22.41497906	Disease	Bacteria
8	TAD8	88.12648332	Disease	Bacteria
9	TAD9	7.95911438	Disease	Bacteria
10	TAD10	13.74260161	Disease	Bacteria
11	TAH1	6.706925704	Healthy	Bacteria
12	TAH2	20.77601112	Healthy	Bacteria
13	TAH3	8.336413084	Healthy	Bacteria
14	TAH4	4.404299319	Healthy	Bacteria
15	TAH5	2.054105493	Healthy	Bacteria
16	TAH6	3.293465045	Healthy	Bacteria
17	TAH7	23.00598611	Healthy	Bacteria
18	TAH8	9.041685085	Healthy	Bacteria
19	TAH9	0.802849832	Healthy	Bacteria
20	TAH10	12.44405718	Healthy	Bacteria
21	TAD1	0.676587238	Disease	Fungi
22	TAD2	18.87835028	Disease	Fungi
23	TAD3	15.65598768	Disease	Fungi
24	TAD4	9.552447073	Disease	Fungi
25	TAD5	2.034909478	Disease	Fungi
26	TAD6	9.684499228	Disease	Fungi
27	TAD7	10.89785212	Disease	Fungi
28	TAD8	20.38168754	Disease	Fungi
29	TAD9	6.564851962	Disease	Fungi
30	TAD10	12.0608964	Disease	Fungi
31	TAH1	1.120655573	Healthy	Fungi
32	TAH2	5.955159709	Healthy	Fungi
33	TAH3	4.05352313	Healthy	Fungi
34	TAH4	1.483448521	Healthy	Fungi
35	TAH5	1.224499835	Healthy	Fungi
36	TAH6	1.406149973	Healthy	Fungi
37	TAH7	6.942976178	Healthy	Fungi
38	TAH8	4.238110675	Healthy	Fungi
39	TAH9	0.791303148	Healthy	Fungi
40	TAH10	1.532802606	Healthy	Fungi
