Steroidobacter	Bradyrhizobium	Amycolatopsis	Galbitalea	Phycicoccus	Gaiella	Conexibacter	g__Exophiala	Micromonospora	Terrabacter	Dactylosporangium	Saccharibacteria_genera_incertae_sedis	Rudaibacter	Aquabacterium	g__Mortierella	Kibdelosporangium	Kaistia	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Asticcacaulis	Kinneretia	Sporichthya	Ilumatobacter	Nitrospira	Arenimonas	Methylotenera	Niastella	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Dactylosporangium	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.738095238095238	0.833333333333333	0.857142857142857	0.642857142857143	0.904761904761905	0.80952380952381	1	0.714285714285714	0.904761904761905	0.80952380952381	0.690476190476191	0.778457070243618	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.714285714285714	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.785714285714286	0.976190476190476	0.886243433815812	0.690476190476191	0.761904761904762	0.952380952380953	0.738095238095238	0.880952380952381	0.690476190476191	0.904761904761905	0.761904761904762	0.80952380952381	0.714285714285714	0.928571428571429	0.880952380952381	0.904761904761905	0.730552019767088	0.785714285714286	0.738095238095238	0.904761904761905	0.976190476190476	0.976190476190476	0.690476190476191	0.880952380952381	0.642857142857143	0.833333333333333	0.833333333333333	0.802409595481884	0.886243433815812	0.730552019767088	0.886243433815812	0.778457070243618	0.802409595481884	0.802409595481884	0.802409595481884
Saccharibacteria_genera_incertae_sedis	0.833333333333333	0.904761904761905	0.690476190476191	0.833333333333333	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.761904761904762	0.976190476190476	0.714285714285714	1	0.761904761904762	0.857142857142857	0.976190476190476	0.790433332862751	0.666666666666667	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.642857142857143	0.952380952380953	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.80952380952381	1	0.904761904761905	0.857142857142857	0.80952380952381	0.934148484292342	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.690476190476191	0.976190476190476	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.886243433815812	0.778457070243618	0.934148484292342	0.778457070243618	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Rudaibacter	0.928571428571429	0.880952380952381	0.880952380952381	0.952380952380953	0.690476190476191	0.785714285714286	0.80952380952381	0.666666666666667	1	0.785714285714286	0.904761904761905	0.761904761904762	1	0.666666666666667	0.738095238095238	0.682646969290558	0.690476190476191	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.761904761904762	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.738095238095238	0.880952380952381	0.880952380952381	0.690476190476191	0.857142857142857	0.738095238095238	0.952380952380953	0.928571428571429	0.761904761904762	0.761904761904762	0.880952380952381	0.833333333333333	0.833333333333333	0.658694444052292	0.761904761904762	0.690476190476191	0.80952380952381	0.928571428571429	0.880952380952381	0.738095238095238	0.857142857142857	0.666666666666667	0.714285714285714	0.80952380952381	0.730552019767088	0.922172221673209	0.658694444052292	0.922172221673209	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Aquabacterium	0.857142857142857	0.928571428571429	0.761904761904762	0.738095238095238	0.880952380952381	0.904761904761905	0.952380952380953	0.833333333333333	0.666666666666667	0.904761904761905	0.80952380952381	0.857142857142857	0.666666666666667	1	0.80952380952381	0.778457070243618	0.880952380952381	0.738095238095238	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.761904761904762	0.857142857142857	0.857142857142857	0.934148484292342	0.80952380952381	0.761904761904762	0.761904761904762	0.880952380952381	0.880952380952381	0.80952380952381	0.738095238095238	0.690476190476191	0.857142857142857	0.857142857142857	0.928571428571429	0.833333333333333	0.833333333333333	0.898219696434944	0.857142857142857	0.880952380952381	0.952380952380953	0.857142857142857	0.761904761904762	0.80952380952381	0.880952380952381	0.833333333333333	0.928571428571429	0.785714285714286	0.874267171196679	0.670670706671425	0.898219696434944	0.670670706671425	0.802409595481884	0.874267171196679	0.874267171196679	0.874267171196679
g__Mortierella	0.80952380952381	0.857142857142857	0.714285714285714	0.785714285714286	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.738095238095238	0.952380952380953	0.690476190476191	0.976190476190476	0.738095238095238	0.80952380952381	1	0.706599494528823	0.619047619047619	0.785714285714286	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.857142857142857	0.571428571428572	0.904761904761905	0.880952380952381	1	0.785714285714286	0.80952380952381	0.690476190476191	0.976190476190476	0.857142857142857	0.904761904761905	0.785714285714286	0.874267171196679	0.976190476190476	0.904761904761905	0.785714285714286	0.80952380952381	0.714285714285714	1	0.880952380952381	0.928571428571429	0.642857142857143	0.928571428571429	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Kibdelosporangium	0.814385858101016	0.850314645958414	0.69462323190969	0.850314645958414	0.922172221673209	0.718575757147955	0.802409595481884	0.850314645958414	0.682646969290558	0.862290908577547	0.778457070243618	0.790433332862751	0.682646969290558	0.778457070243618	0.706599494528823	1	0.730552019767088	0.850314645958414	0.826362120720149	0.862290908577547	0.862290908577547	0.790433332862751	0.910195959054077	0.862290908577547	0.850314645958414	0.790433332862751	0.778457070243618	0.814385858101016	0.86144578313253	0.706599494528823	0.814385858101016	0.754504545005353	0.922172221673209	0.910195959054077	0.706599494528823	0.850314645958414	0.64671818143316	0.886243433815812	0.790433332862751	0.850314645958414	0.682646969290558	0.850314645958414	0.927710843373494	0.778457070243618	0.922172221673209	0.850314645958414	0.814385858101016	0.69462323190969	0.706599494528823	0.910195959054077	0.850314645958414	0.778457070243618	0.742528282386221	0.975903614457831	0.656626506024096	0.927710843373494	0.656626506024096	0.951807228915663	0.975903614457831	0.975903614457831	0.975903614457831
Kaistia	0.833333333333333	0.857142857142857	0.833333333333333	0.690476190476191	0.714285714285714	0.785714285714286	0.833333333333333	0.642857142857143	0.690476190476191	0.738095238095238	0.880952380952381	0.666666666666667	0.690476190476191	0.880952380952381	0.619047619047619	0.730552019767088	1	0.690476190476191	0.80952380952381	0.738095238095238	0.738095238095238	0.666666666666667	0.761904761904762	0.738095238095238	0.857142857142857	0.690476190476191	0.690476190476191	0.833333333333333	0.790433332862751	0.619047619047619	0.642857142857143	0.904761904761905	0.714285714285714	0.761904761904762	0.619047619047619	0.690476190476191	0.642857142857143	0.857142857142857	0.666666666666667	0.857142857142857	0.761904761904762	0.714285714285714	0.754504545005353	0.690476190476191	0.714285714285714	0.928571428571429	0.833333333333333	0.833333333333333	0.619047619047619	0.761904761904762	0.642857142857143	0.833333333333333	0.666666666666667	0.778457070243618	0.64671818143316	0.754504545005353	0.64671818143316	0.730552019767088	0.778457070243618	0.778457070243618	0.778457070243618
Chryseolinea	0.952380952380953	0.928571428571429	0.857142857142857	1	0.833333333333333	0.80952380952381	0.857142857142857	0.785714285714286	0.952380952380953	0.880952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.738095238095238	0.785714285714286	0.850314645958414	0.690476190476191	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	0.785714285714286	1	0.880952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.928571428571429	0.802409595481884	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.952380952380953	0.976190476190476	0.833333333333333	0.952380952380953	0.857142857142857	0.857142857142857	0.928571428571429	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.80952380952381	0.826362120720149	0.80952380952381	0.952380952380953	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.833333333333333	0.952380952380953	0.922172221673209	0.80952380952381	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.850314645958414	0.833333333333333	0.857142857142857	0.952380952380953	0.952380952380953	0.833333333333333	0.80952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.80952380952381	0.898219696434944	0.826362120720149	0.850314645958414	0.826362120720149	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.785714285714286	1	0.80952380952381	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.862290908577547	0.738095238095238	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.785714285714286	1	0.80952380952381	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.862290908577547	0.738095238095238	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.833333333333333	0.904761904761905	0.690476190476191	0.833333333333333	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.761904761904762	0.976190476190476	0.714285714285714	1	0.761904761904762	0.857142857142857	0.976190476190476	0.790433332862751	0.666666666666667	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.642857142857143	0.952380952380953	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.80952380952381	1	0.904761904761905	0.857142857142857	0.80952380952381	0.934148484292342	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.690476190476191	0.976190476190476	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.886243433815812	0.778457070243618	0.934148484292342	0.778457070243618	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.952380952380953	0.976190476190476	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.880952380952381	0.880952380952381	0.910195959054077	0.761904761904762	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	1	0.880952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.785714285714286	1	0.80952380952381	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.862290908577547	0.738095238095238	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.976190476190476	1	0.880952380952381	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.857142857142857	0.880952380952381	0.952380952380953	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.850314645958414	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Aquihabitans	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.761904761904762	0.857142857142857	0.790433332862751	0.690476190476191	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	1	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.80952380952381	0.761904761904762	0.833333333333333	0.928571428571429	0.857142857142857	0.928571428571429	0.761904761904762	0.690476190476191	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.790433332862751	0.928571428571429	0.833333333333333	0.80952380952381	0.952380952380953	0.928571428571429	0.857142857142857	0.928571428571429	0.761904761904762	0.714285714285714	0.976190476190476	0.814385858101016	0.97007727214974	0.790433332862751	0.97007727214974	0.766480807624486	0.814385858101016	0.814385858101016	0.814385858101016
Haliangium	0.880952380952381	0.904761904761905	0.80952380952381	0.833333333333333	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.761904761904762	0.976190476190476	0.785714285714286	0.952380952380953	0.761904761904762	0.857142857142857	0.976190476190476	0.778457070243618	0.690476190476191	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.833333333333333	0.642857142857143	0.928571428571429	0.928571428571429	0.976190476190476	0.833333333333333	0.761904761904762	0.714285714285714	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	1	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
