Steroidobacter	Bradyrhizobium	Amycolatopsis	Galbitalea	Phycicoccus	Gaiella	Conexibacter	g__Exophiala	Micromonospora	Terrabacter	Dactylosporangium	Saccharibacteria_genera_incertae_sedis	Rudaibacter	Aquabacterium	g__Mortierella	Kibdelosporangium	Kaistia	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Asticcacaulis	Kinneretia	Sporichthya	Ilumatobacter	Nitrospira	Arenimonas	Methylotenera	Niastella	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.976190476190476	0.952380952380953	0.952380952380953	0.833333333333333	0.904761904761905	0.928571428571429	0.761904761904762	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.928571428571429	0.857142857142857	0.80952380952381	0.814385858101016	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.857142857142857	0.904761904761905	0.833333333333333	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.833333333333333	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Bradyrhizobium	0.976190476190476	1	0.880952380952381	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.857142857142857	0.880952380952381	0.952380952380953	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.850314645958414	0.857142857142857	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Amycolatopsis	0.952380952380953	0.880952380952381	1	0.857142857142857	0.690476190476191	0.857142857142857	0.833333333333333	0.595238095238095	0.880952380952381	0.785714285714286	0.976190476190476	0.690476190476191	0.880952380952381	0.761904761904762	0.714285714285714	0.69462323190969	0.833333333333333	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.690476190476191	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.838338383339281	0.714285714285714	0.690476190476191	0.880952380952381	0.690476190476191	0.833333333333333	0.714285714285714	0.857142857142857	0.714285714285714	0.690476190476191	0.690476190476191	0.880952380952381	0.928571428571429	0.880952380952381	0.670670706671425	0.80952380952381	0.690476190476191	0.833333333333333	0.952380952380953	1	0.714285714285714	0.833333333333333	0.595238095238095	0.738095238095238	0.880952380952381	0.718575757147955	0.934148484292342	0.670670706671425	0.934148484292342	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Galbitalea	0.952380952380953	0.928571428571429	0.857142857142857	1	0.833333333333333	0.80952380952381	0.857142857142857	0.785714285714286	0.952380952380953	0.880952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.738095238095238	0.785714285714286	0.850314645958414	0.690476190476191	1	0.952380952380953	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	0.785714285714286	1	0.880952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.928571428571429	0.802409595481884	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Phycicoccus	0.833333333333333	0.904761904761905	0.690476190476191	0.833333333333333	1	0.880952380952381	0.928571428571429	0.976190476190476	0.690476190476191	0.976190476190476	0.738095238095238	0.952380952380953	0.690476190476191	0.880952380952381	0.904761904761905	0.922172221673209	0.714285714285714	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.928571428571429	0.833333333333333	0.910195959054077	0.904761904761905	0.880952380952381	0.666666666666667	1	0.952380952380953	0.904761904761905	0.833333333333333	0.738095238095238	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Gaiella	0.904761904761905	0.928571428571429	0.857142857142857	0.80952380952381	0.880952380952381	1	0.976190476190476	0.857142857142857	0.785714285714286	0.952380952380953	0.833333333333333	0.928571428571429	0.785714285714286	0.904761904761905	0.952380952380953	0.718575757147955	0.785714285714286	0.80952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.898219696434944	0.952380952380953	0.80952380952381	0.714285714285714	0.880952380952381	0.904761904761905	0.952380952380953	0.80952380952381	0.785714285714286	0.738095238095238	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.862290908577547	0.976190476190476	0.880952380952381	0.880952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.761904761904762	0.952380952380953	0.814385858101016	0.874267171196679	0.862290908577547	0.874267171196679	0.742528282386221	0.814385858101016	0.814385858101016	0.814385858101016
Conexibacter	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	1	0.904761904761905	0.80952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.946124746911475	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	0.833333333333333	0.857142857142857	0.952380952380953	0.976190476190476	0.928571428571429	0.880952380952381	0.922172221673209	0.952380952380953	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.928571428571429	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.898219696434944	0.826362120720149	0.922172221673209	0.826362120720149	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
g__Exophiala	0.761904761904762	0.857142857142857	0.595238095238095	0.785714285714286	0.976190476190476	0.857142857142857	0.904761904761905	1	0.666666666666667	0.952380952380953	0.642857142857143	0.976190476190476	0.666666666666667	0.833333333333333	0.928571428571429	0.850314645958414	0.642857142857143	0.785714285714286	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.904761904761905	0.761904761904762	0.838338383339281	0.928571428571429	0.904761904761905	0.595238095238095	0.976190476190476	0.904761904761905	0.928571428571429	0.785714285714286	0.785714285714286	0.833333333333333	0.976190476190476	0.857142857142857	0.761904761904762	0.761904761904762	0.97007727214974	0.904761904761905	0.976190476190476	0.833333333333333	0.761904761904762	0.595238095238095	0.928571428571429	0.904761904761905	1	0.714285714285714	0.80952380952381	0.922172221673209	0.670670706671425	0.97007727214974	0.670670706671425	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Micromonospora	0.928571428571429	0.880952380952381	0.880952380952381	0.952380952380953	0.690476190476191	0.785714285714286	0.80952380952381	0.666666666666667	1	0.785714285714286	0.904761904761905	0.761904761904762	1	0.666666666666667	0.738095238095238	0.682646969290558	0.690476190476191	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.761904761904762	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.738095238095238	0.880952380952381	0.880952380952381	0.690476190476191	0.857142857142857	0.738095238095238	0.952380952380953	0.928571428571429	0.761904761904762	0.761904761904762	0.880952380952381	0.833333333333333	0.833333333333333	0.658694444052292	0.761904761904762	0.690476190476191	0.80952380952381	0.928571428571429	0.880952380952381	0.738095238095238	0.857142857142857	0.666666666666667	0.714285714285714	0.80952380952381	0.730552019767088	0.922172221673209	0.658694444052292	0.922172221673209	0.778457070243618	0.730552019767088	0.730552019767088	0.730552019767088
Terrabacter	0.904761904761905	0.952380952380953	0.785714285714286	0.880952380952381	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.785714285714286	1	0.80952380952381	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.862290908577547	0.738095238095238	0.880952380952381	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
