Amycolatopsis	Parachlamydia	Thiomonas	Halobacteriovorax	Sanguibacter	Tahibacter	Sulfurisoma	Polyangium	g__Phaeosphaeria
Amycolatopsis	1	0.952380952380953	0.952380952380953	1	0.934148484292342	0.886243433815812	0.934148484292342	0.833333333333333	0.80952380952381
Parachlamydia	0.952380952380953	1	0.857142857142857	0.952380952380953	0.922172221673209	0.898219696434944	0.922172221673209	0.857142857142857	0.880952380952381
Thiomonas	0.952380952380953	0.857142857142857	1	0.952380952380953	0.922172221673209	0.850314645958414	0.922172221673209	0.80952380952381	0.714285714285714
Halobacteriovorax	1	0.952380952380953	0.952380952380953	1	0.934148484292342	0.886243433815812	0.934148484292342	0.833333333333333	0.80952380952381
Sanguibacter	0.934148484292342	0.922172221673209	0.922172221673209	0.934148484292342	1	0.975903614457831	1	0.874267171196679	0.826362120720149
Tahibacter	0.886243433815812	0.898219696434944	0.850314645958414	0.886243433815812	0.975903614457831	1	0.975903614457831	0.826362120720149	0.850314645958414
Sulfurisoma	0.934148484292342	0.922172221673209	0.922172221673209	0.934148484292342	1	0.975903614457831	1	0.874267171196679	0.826362120720149
Polyangium	0.833333333333333	0.857142857142857	0.80952380952381	0.833333333333333	0.874267171196679	0.826362120720149	0.874267171196679	1	0.571428571428572
g__Phaeosphaeria	0.80952380952381	0.880952380952381	0.714285714285714	0.80952380952381	0.826362120720149	0.850314645958414	0.826362120720149	0.571428571428572	1
