Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Bradyrhizobium	Bacillus	Amycolatopsis	Galbitalea	Phycicoccus	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Phenylobacterium	g__Mortierella	Chryseolinea	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Neptunomonas	Pseudolabrys	Ramlibacter	Chitinimonas	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Nitrincola	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Ardenticatena	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Aeromicrobium	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.880952380952381	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.857142857142857	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Sorangium	0.976190476190476	1	0.952380952380953	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	0.976190476190476	0.80952380952381	0.761904761904762	0.833333333333333	0.928571428571429	0.904761904761905	0.833333333333333	0.880952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.904761904761905	0.761904761904762	0.880952380952381	0.880952380952381	0.833333333333333	0.833333333333333	0.880952380952381	0.785714285714286	0.928571428571429	0.952380952380953	0.80952380952381	0.790433332862751	0.904761904761905	0.857142857142857	0.952380952380953	0.833333333333333	0.833333333333333	0.904761904761905	0.976190476190476	0.761904761904762	0.904761904761905	0.928571428571429	0.833333333333333	0.833333333333333	0.80952380952381	0.785714285714286	0.928571428571429	0.833333333333333	0.928571428571429	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.898219696434944	0.922172221673209	0.904761904761905	0.80952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.880952380952381	0.886243433815812	0.838338383339281	0.946124746911475	0.886243433815812	0.928571428571429	0.862290908577547
Agromyces	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Umezawaea	0.952380952380953	0.880952380952381	0.904761904761905	1	0.904761904761905	0.952380952380953	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.785714285714286	0.761904761904762	0.928571428571429	0.904761904761905	0.880952380952381	0.80952380952381	0.80952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.80952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944	0.833333333333333	0.880952380952381	0.785714285714286	0.785714285714286	0.904761904761905	0.833333333333333	0.833333333333333	0.904761904761905	0.952380952380953	0.761904761904762	0.904761904761905	0.80952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.928571428571429	0.738095238095238	0.904761904761905	0.80952380952381	0.738095238095238	0.952380952380953	0.785714285714286	0.718575757147955	0.718575757147955	0.80952380952381	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.738095238095238	0.952380952380953	0.80952380952381	0.97007727214974	0.922172221673209	0.790433332862751	0.97007727214974	0.857142857142857	0.826362120720149
Solirubrobacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Cellulomonas	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.880952380952381	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.857142857142857	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.904761904761905	0.880952380952381	1	0.904761904761905	0.946124746911475	0.898219696434944	0.886243433815812	0.946124746911475	0.904761904761905	0.898219696434944
Bradyrhizobium	0.880952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.904761904761905	0.880952380952381	1	0.714285714285714	0.880952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.785714285714286	0.738095238095238	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	0.738095238095238	1	0.904761904761905	0.928571428571429	0.761904761904762	0.904761904761905	0.761904761904762	0.761904761904762	0.833333333333333	0.904761904761905	0.658694444052292	0.730552019767088	0.761904761904762	0.976190476190476	0.880952380952381	0.857142857142857	0.976190476190476	0.690476190476191	0.880952380952381	0.785714285714286	0.850314645958414	0.754504545005353	0.610789393575762	0.850314645958414	0.738095238095238	0.802409595481884
Bacillus	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.904761904761905	0.928571428571429	0.714285714285714	1	0.785714285714286	0.642857142857143	0.761904761904762	0.904761904761905	0.880952380952381	0.785714285714286	0.80952380952381	0.928571428571429	0.761904761904762	0.928571428571429	0.857142857142857	0.642857142857143	0.80952380952381	0.80952380952381	0.761904761904762	0.738095238095238	0.80952380952381	0.714285714285714	0.857142857142857	0.904761904761905	0.738095238095238	0.706599494528823	0.857142857142857	0.833333333333333	0.976190476190476	0.761904761904762	0.738095238095238	0.857142857142857	0.952380952380953	0.642857142857143	0.880952380952381	0.904761904761905	0.880952380952381	0.761904761904762	0.738095238095238	0.714285714285714	0.904761904761905	0.738095238095238	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.880952380952381	0.761904761904762	0.898219696434944	0.922172221673209	0.952380952380953	0.738095238095238	0.785714285714286	0.857142857142857	0.738095238095238	0.880952380952381	0.928571428571429	0.833333333333333	0.826362120720149	0.778457070243618	0.946124746911475	0.826362120720149	0.880952380952381	0.826362120720149
Amycolatopsis	0.880952380952381	0.80952380952381	0.80952380952381	0.976190476190476	0.80952380952381	0.880952380952381	0.880952380952381	0.785714285714286	1	0.857142857142857	0.690476190476191	0.642857142857143	0.857142857142857	0.833333333333333	0.785714285714286	0.714285714285714	0.690476190476191	0.904761904761905	0.714285714285714	0.857142857142857	0.785714285714286	0.785714285714286	0.690476190476191	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.838338383339281	0.714285714285714	0.80952380952381	0.714285714285714	0.690476190476191	0.833333333333333	0.714285714285714	0.738095238095238	0.857142857142857	0.904761904761905	0.642857142857143	0.928571428571429	0.690476190476191	0.714285714285714	0.880952380952381	0.928571428571429	0.880952380952381	0.642857142857143	0.80952380952381	0.761904761904762	0.642857142857143	0.904761904761905	0.690476190476191	0.610789393575762	0.634741918814027	0.761904761904762	0.952380952380953	1	0.714285714285714	0.833333333333333	0.619047619047619	0.880952380952381	0.690476190476191	0.934148484292342	0.886243433815812	0.754504545005353	0.934148484292342	0.833333333333333	0.718575757147955
Galbitalea	0.857142857142857	0.761904761904762	0.833333333333333	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.642857142857143	0.857142857142857	1	0.833333333333333	0.690476190476191	0.80952380952381	0.857142857142857	0.880952380952381	0.690476190476191	0.833333333333333	0.714285714285714	0.785714285714286	1	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.785714285714286	0.761904761904762	0.619047619047619	0.833333333333333	0.952380952380953	0.785714285714286	0.738095238095238	1	0.80952380952381	0.690476190476191	0.666666666666667	0.833333333333333	0.80952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.690476190476191	0.833333333333333	0.595238095238095	0.690476190476191	0.80952380952381	0.833333333333333	0.610789393575762	0.634741918814027	0.595238095238095	0.952380952380953	0.857142857142857	0.785714285714286	0.952380952380953	0.666666666666667	0.857142857142857	0.761904761904762	0.898219696434944	0.826362120720149	0.658694444052292	0.898219696434944	0.80952380952381	0.754504545005353
