Agromyces	Solirubrobacter	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Pyxidicoccus	Amaricoccus	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Gp22	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Nakamurella	Acidiphilium	Armatimonadetes_gp5
Agromyces	1	1	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.761904761904762	0.742528282386221	0.928571428571429	0.898219696434944	0.922172221673209
Solirubrobacter	1	1	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.761904761904762	0.742528282386221	0.928571428571429	0.898219696434944	0.922172221673209
Blastococcus	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.850314645958414	0.934148484292342
Gaiella	0.976190476190476	0.976190476190476	0.904761904761905	1	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.814385858101016	0.862290908577547	0.857142857142857	0.976190476190476	0.928571428571429	0.714285714285714	0.857142857142857	0.880952380952381	0.850314645958414	0.761904761904762	0.850314645958414	0.928571428571429	0.952380952380953	0.857142857142857	0.857142857142857	0.952380952380953	0.666666666666667	0.658694444052292	0.904761904761905	0.862290908577547	0.922172221673209
Conexibacter	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	1	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.850314645958414	0.922172221673209	0.833333333333333	0.952380952380953	0.857142857142857	0.619047619047619	0.833333333333333	0.928571428571429	0.766480807624486	0.785714285714286	0.814385858101016	0.857142857142857	0.928571428571429	0.904761904761905	0.785714285714286	0.904761904761905	0.619047619047619	0.59881313095663	0.857142857142857	0.922172221673209	0.874267171196679
g__Exophiala	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	1	0.952380952380953	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.928571428571429	0.714285714285714	0.80952380952381	0.976190476190476	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.761904761904762	0.946124746911475	0.97007727214974	0.904761904761905	0.904761904761905	0.761904761904762	0.714285714285714	0.904761904761905	0.976190476190476	0.802409595481884	0.952380952380953	0.874267171196679	0.761904761904762	0.928571428571429	1	0.833333333333333	0.80952380952381	0.80952380952381	0.778457070243618	0.857142857142857	0.97007727214974	0.838338383339281
Terrabacter	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.666666666666667	0.904761904761905	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.928571428571429	0.714285714285714	0.682646969290558	0.880952380952381	0.958101009530607	0.874267171196679
Paenibacillus	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.857142857142857	0.833333333333333	0.904761904761905	1	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.761904761904762	0.952380952380953	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.880952380952381	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.738095238095238	0.952380952380953	0.880952380952381	0.850314645958414	0.833333333333333	0.946124746911475	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.738095238095238	0.730552019767088	0.833333333333333	0.850314645958414	0.814385858101016
Saccharibacteria_genera_incertae_sedis	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.857142857142857	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.738095238095238	0.880952380952381	0.952380952380953	0.850314645958414	0.904761904761905	0.850314645958414	0.80952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.880952380952381	0.785714285714286	0.754504545005353	0.928571428571429	0.934148484292342	0.922172221673209
g__Mortierella	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.874267171196679	0.97007727214974
