Agromyces	Solirubrobacter	Blastococcus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Haliangium	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Nitrospira	Cellvibrio	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Pyxidicoccus	Amaricoccus	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Gp22	Rubrobacter	Luteivirga	Actinomycetospora	Oceanibacterium	Nakamurella	Acidiphilium	Armatimonadetes_gp5
Ideonella	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.666666666666667	0.904761904761905	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.928571428571429	0.714285714285714	0.682646969290558	0.880952380952381	0.958101009530607	0.874267171196679
Marmoricola	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.666666666666667	0.904761904761905	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.928571428571429	0.714285714285714	0.682646969290558	0.880952380952381	0.958101009530607	0.874267171196679
Dissulfuribacter	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.857142857142857	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.738095238095238	0.880952380952381	0.952380952380953	0.850314645958414	0.904761904761905	0.850314645958414	0.80952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.880952380952381	0.785714285714286	0.754504545005353	0.928571428571429	0.934148484292342	0.922172221673209
Gemmatimonas	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.952380952380953	1	1	0.976190476190476	1	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.666666666666667	0.904761904761905	0.976190476190476	0.802409595481884	0.857142857142857	0.874267171196679	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.928571428571429	0.714285714285714	0.682646969290558	0.880952380952381	0.958101009530607	0.874267171196679
Haliangium	1	1	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.761904761904762	0.742528282386221	0.928571428571429	0.898219696434944	0.922172221673209
Knoellia	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.874267171196679	0.97007727214974
Saccharothrix	0.880952380952381	0.880952380952381	0.857142857142857	0.904761904761905	0.833333333333333	0.714285714285714	0.80952380952381	0.761904761904762	0.833333333333333	0.904761904761905	0.80952380952381	0.80952380952381	0.833333333333333	0.80952380952381	0.880952380952381	0.904761904761905	1	0.80952380952381	0.690476190476191	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.928571428571429	0.59881313095663	0.64671818143316	0.714285714285714	0.880952380952381	0.833333333333333	0.80952380952381	0.714285714285714	0.690476190476191	0.898219696434944	0.619047619047619	0.706599494528823	0.833333333333333	0.904761904761905	0.714285714285714	0.904761904761905	0.904761904761905	0.714285714285714	0.706599494528823	0.952380952380953	0.64671818143316	0.97007727214974
Sporosarcina	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.833333333333333	0.80952380952381	0.857142857142857	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.928571428571429	0.904761904761905	0.80952380952381	1	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.833333333333333	0.880952380952381	0.862290908577547	0.814385858101016	0.952380952380953	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.833333333333333	0.922172221673209	0.80952380952381	0.97007727214974	0.976190476190476	0.904761904761905	0.80952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.826362120720149	0.857142857142857	0.814385858101016	0.850314645958414
Sporichthya	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.690476190476191	0.833333333333333	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.785714285714286	0.642857142857143	0.928571428571429	1	0.754504545005353	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.976190476190476	0.785714285714286	0.857142857142857	0.738095238095238	0.706599494528823	0.80952380952381	0.994029797388005	0.790433332862751
Nitrospira	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.874267171196679	0.97007727214974
Cellvibrio	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.976190476190476	0.904761904761905	0.952380952380953	1	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.874267171196679	0.976190476190476	0.976190476190476	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.857142857142857	0.97007727214974	0.928571428571429	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.833333333333333	0.826362120720149	0.904761904761905	0.874267171196679	0.886243433815812
Peredibacter	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.857142857142857	0.874267171196679	0.850314645958414	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.97007727214974	0.904761904761905	0.946124746911475	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.898219696434944	0.952380952380953	0.850314645958414	0.934148484292342
Rhodoligotrophos	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	0.857142857142857	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	1	0.857142857142857	0.886243433815812	0.934148484292342	0.880952380952381	0.952380952380953	0.80952380952381	0.738095238095238	0.880952380952381	0.952380952380953	0.850314645958414	0.904761904761905	0.850314645958414	0.80952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.880952380952381	0.785714285714286	0.754504545005353	0.928571428571429	0.934148484292342	0.922172221673209
Ramlibacter	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	0.928571428571429	0.761904761904762	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.880952380952381	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	1	0.730552019767088	0.778457070243618	0.80952380952381	0.952380952380953	0.904761904761905	0.690476190476191	0.80952380952381	0.80952380952381	0.826362120720149	0.642857142857143	0.802409595481884	0.904761904761905	0.904761904761905	0.761904761904762	0.833333333333333	0.976190476190476	0.619047619047619	0.610789393575762	0.880952380952381	0.778457070243618	0.898219696434944
Ohtaekwangia	0.874267171196679	0.874267171196679	0.874267171196679	0.814385858101016	0.850314645958414	0.946124746911475	0.910195959054077	0.874267171196679	0.886243433815812	0.850314645958414	0.910195959054077	0.910195959054077	0.886243433815812	0.910195959054077	0.874267171196679	0.850314645958414	0.59881313095663	0.862290908577547	0.97007727214974	0.850314645958414	0.898219696434944	0.874267171196679	0.886243433815812	0.730552019767088	1	0.975903614457831	0.958101009530607	0.874267171196679	0.802409595481884	0.682646969290558	0.958101009530607	0.97007727214974	0.753012048192771	0.922172221673209	0.94578313253012	0.802409595481884	0.850314645958414	0.946124746911475	0.766480807624486	0.790433332862751	0.778457070243618	0.765060240963855	0.742528282386221	0.975903614457831	0.716867469879518
Oscillochloris	0.898219696434944	0.898219696434944	0.850314645958414	0.862290908577547	0.922172221673209	0.97007727214974	0.958101009530607	0.850314645958414	0.934148484292342	0.874267171196679	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.874267171196679	0.64671818143316	0.814385858101016	0.994029797388005	0.874267171196679	0.874267171196679	0.850314645958414	0.934148484292342	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.778457070243618	0.610789393575762	0.910195959054077	0.994029797388005	0.716867469879518	0.898219696434944	0.885542168674699	0.778457070243618	0.874267171196679	0.97007727214974	0.742528282386221	0.814385858101016	0.706599494528823	0.680722891566265	0.766480807624486	1	0.753012048192771
Nannocystis	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.714285714285714	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	0.80952380952381	1	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.833333333333333	0.910195959054077	0.802409595481884
Methyloceanibacter	1	1	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.874267171196679	0.898219696434944	0.928571428571429	1	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.886243433815812	0.833333333333333	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.761904761904762	0.742528282386221	0.928571428571429	0.898219696434944	0.922172221673209
Streptosporangium	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.857142857142857	0.761904761904762	0.833333333333333	0.904761904761905	0.80952380952381	0.880952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.833333333333333	0.976190476190476	0.785714285714286	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.80952380952381	0.880952380952381	0.785714285714286	0.886243433815812	0.738095238095238	0.910195959054077	1	0.880952380952381	0.761904761904762	0.857142857142857	0.880952380952381	0.714285714285714	0.742528282386221	0.833333333333333	0.778457070243618	0.850314645958414
Pyxidicoccus	0.761904761904762	0.761904761904762	0.904761904761905	0.714285714285714	0.619047619047619	0.714285714285714	0.666666666666667	0.738095238095238	0.738095238095238	0.833333333333333	0.666666666666667	0.666666666666667	0.738095238095238	0.666666666666667	0.761904761904762	0.833333333333333	0.80952380952381	0.857142857142857	0.642857142857143	0.833333333333333	0.833333333333333	0.904761904761905	0.738095238095238	0.690476190476191	0.682646969290558	0.610789393575762	0.80952380952381	0.761904761904762	0.80952380952381	1	0.80952380952381	0.642857142857143	0.97007727214974	0.761904761904762	0.826362120720149	0.80952380952381	0.833333333333333	0.714285714285714	0.952380952380953	0.738095238095238	0.952380952380953	0.97007727214974	0.880952380952381	0.610789393575762	0.862290908577547
Amaricoccus	0.928571428571429	0.928571428571429	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.714285714285714	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	0.80952380952381	1	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.857142857142857	0.850314645958414	0.833333333333333	0.910195959054077	0.802409595481884
Labilithrix	0.928571428571429	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.904761904761905	0.690476190476191	0.833333333333333	1	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.785714285714286	0.642857142857143	0.928571428571429	1	0.754504545005353	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.976190476190476	0.785714285714286	0.857142857142857	0.738095238095238	0.706599494528823	0.80952380952381	0.994029797388005	0.790433332862751
Adhaeribacter	0.886243433815812	0.886243433815812	0.97007727214974	0.850314645958414	0.766480807624486	0.802409595481884	0.802409595481884	0.850314645958414	0.850314645958414	0.934148484292342	0.802409595481884	0.802409595481884	0.850314645958414	0.802409595481884	0.886243433815812	0.934148484292342	0.898219696434944	0.922172221673209	0.754504545005353	0.934148484292342	0.922172221673209	0.97007727214974	0.850314645958414	0.826362120720149	0.753012048192771	0.716867469879518	0.874267171196679	0.886243433815812	0.886243433815812	0.97007727214974	0.874267171196679	0.754504545005353	1	0.814385858101016	0.879518072289157	0.886243433815812	0.934148484292342	0.802409595481884	0.994029797388005	0.862290908577547	0.922172221673209	0.927710843373494	0.958101009530607	0.716867469879518	0.94578313253012
Uliginosibacterium	0.833333333333333	0.833333333333333	0.904761904761905	0.761904761904762	0.785714285714286	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.833333333333333	0.880952380952381	0.619047619047619	0.80952380952381	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.642857142857143	0.922172221673209	0.898219696434944	0.904761904761905	0.833333333333333	0.738095238095238	0.761904761904762	0.904761904761905	0.904761904761905	0.814385858101016	1	0.886243433815812	0.738095238095238	0.880952380952381	0.952380952380953	0.833333333333333	0.714285714285714	0.857142857142857	0.838338383339281	0.80952380952381	0.898219696434944	0.778457070243618
Nitrincola	0.910195959054077	0.910195959054077	0.946124746911475	0.850314645958414	0.814385858101016	0.874267171196679	0.874267171196679	0.946124746911475	0.850314645958414	0.886243433815812	0.874267171196679	0.874267171196679	0.850314645958414	0.874267171196679	0.910195959054077	0.886243433815812	0.706599494528823	0.97007727214974	0.898219696434944	0.886243433815812	0.97007727214974	0.946124746911475	0.850314645958414	0.802409595481884	0.94578313253012	0.885542168674699	0.994029797388005	0.910195959054077	0.910195959054077	0.826362120720149	0.994029797388005	0.898219696434944	0.879518072289157	0.886243433815812	1	0.910195959054077	0.886243433815812	0.874267171196679	0.874267171196679	0.862290908577547	0.850314645958414	0.855421686746988	0.814385858101016	0.885542168674699	0.789156626506024
Lautropia	0.904761904761905	0.904761904761905	0.904761904761905	0.928571428571429	0.857142857142857	0.761904761904762	0.833333333333333	0.904761904761905	0.80952380952381	0.880952380952381	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.833333333333333	0.976190476190476	0.785714285714286	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.80952380952381	0.880952380952381	0.785714285714286	0.886243433815812	0.738095238095238	0.910195959054077	1	0.880952380952381	0.761904761904762	0.857142857142857	0.880952380952381	0.714285714285714	0.742528282386221	0.833333333333333	0.778457070243618	0.850314645958414
Tumebacillus	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	1	0.904761904761905	0.904761904761905	0.904761904761905	1	0.952380952380953	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.814385858101016	0.976190476190476	0.874267171196679	0.97007727214974
