Promicromonospora	Phyllobacterium	Flavobacterium	Lentzea	Massilia	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Kaistia	Reyranella	Haloactinopolyspora	Panacagrimonas	Actinocorallia	Gp6	Inquilinus	Luteolibacter	Cohnella	Pedobacter	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Promicromonospora	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.833333333333333	0.833333333333333	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Phyllobacterium	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.833333333333333	0.833333333333333	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Flavobacterium	0.904761904761905	0.904761904761905	1	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.785714285714286	0.976190476190476	0.857142857142857	0.80952380952381	0.857142857142857	0.952380952380953	0.761904761904762	0.857142857142857	0.714285714285714	0.976190476190476	0.80952380952381	0.928571428571429	0.976190476190476	0.850314645958414	0.946124746911475
Lentzea	1	1	0.904761904761905	1	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.833333333333333	0.833333333333333	0.80952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Massilia	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.880952380952381	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.857142857142857	0.928571428571429	0.80952380952381	1	0.833333333333333	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Bosea	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	1	0.928571428571429	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.880952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.898219696434944	0.910195959054077
Rhodopseudomonas	0.952380952380953	0.952380952380953	0.80952380952381	0.952380952380953	0.880952380952381	0.928571428571429	1	0.857142857142857	0.880952380952381	0.761904761904762	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.880952380952381	0.904761904761905	0.761904761904762	0.898219696434944	0.790433332862751
Nitrobacter	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.857142857142857	1	0.928571428571429	0.928571428571429	0.904761904761905	0.761904761904762	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.928571428571429	0.761904761904762	0.880952380952381	0.833333333333333	0.730552019767088	0.874267171196679
Microvirga	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.833333333333333	0.880952380952381	0.880952380952381	0.928571428571429	1	0.80952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.761904761904762	0.928571428571429	0.904761904761905	0.904761904761905	0.833333333333333	0.714285714285714	0.785714285714286	0.690476190476191	0.69462323190969	0.814385858101016
Kaistia	0.833333333333333	0.833333333333333	0.976190476190476	0.833333333333333	0.928571428571429	0.904761904761905	0.761904761904762	0.928571428571429	0.80952380952381	1	0.904761904761905	0.738095238095238	0.833333333333333	0.904761904761905	0.714285714285714	0.80952380952381	0.666666666666667	0.928571428571429	0.761904761904762	0.857142857142857	0.952380952380953	0.790433332862751	0.97007727214974
