Pantoea	Burkholderia	g__Chaetomium	Actinosynnema	Chitinophaga	g__Monocillium	g__Clonostachys	Pedomicrobium	Chelatococcus
Pantoea	1	0.880952380952381	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.880952380952381	0.857142857142857	0.928571428571429
Burkholderia	0.880952380952381	1	0.761904761904762	0.857142857142857	0.880952380952381	0.904761904761905	0.714285714285714	0.952380952380953	0.952380952380953
g__Chaetomium	0.880952380952381	0.761904761904762	1	0.761904761904762	0.833333333333333	0.785714285714286	0.714285714285714	0.857142857142857	0.761904761904762
Actinosynnema	0.857142857142857	0.857142857142857	0.761904761904762	1	0.904761904761905	0.690476190476191	0.571428571428572	0.761904761904762	0.952380952380953
Chitinophaga	0.904761904761905	0.880952380952381	0.833333333333333	0.904761904761905	1	0.80952380952381	0.690476190476191	0.80952380952381	0.928571428571429
g__Monocillium	0.928571428571429	0.904761904761905	0.785714285714286	0.690476190476191	0.80952380952381	1	0.904761904761905	0.904761904761905	0.857142857142857
g__Clonostachys	0.880952380952381	0.714285714285714	0.714285714285714	0.571428571428572	0.690476190476191	0.904761904761905	1	0.714285714285714	0.714285714285714
Pedomicrobium	0.857142857142857	0.952380952380953	0.857142857142857	0.761904761904762	0.80952380952381	0.904761904761905	0.714285714285714	1	0.857142857142857
Chelatococcus	0.928571428571429	0.952380952380953	0.761904761904762	0.952380952380953	0.928571428571429	0.857142857142857	0.714285714285714	0.857142857142857	1
