Agromyces	Arthrobacter	Chondromyces	Solirubrobacter	Bradyrhizobium	Phycicoccus	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Asticcacaulis	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Peredibacter	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Amaricoccus	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Thiomonas	Tumebacillus	Ardenticatena	Gp22	Luteivirga	Nakamurella	Roseiflexus	Acidiphilium	Armatimonadetes_gp5	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Saccharibacteria_genera_incertae_sedis	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
g__Mortierella	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	0.80952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Ideonella	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.874267171196679	0.976190476190476	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.928571428571429	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.880952380952381	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.880952380952381	0.928571428571429	0.886243433815812	0.934148484292342	0.922172221673209	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.928571428571429	0.761904761904762	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.80952380952381	0.958101009530607	0.934148484292342	0.802409595481884	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.952380952380953	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.904761904761905	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.934148484292342	0.958101009530607	0.874267171196679	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	1	0.904761904761905	0.928571428571429	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.857142857142857	0.904761904761905	0.738095238095238	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.761904761904762	0.904761904761905	1	0.904761904761905	0.802409595481884	0.928571428571429	0.898219696434944	0.761904761904762	0.904761904761905	0.761904761904762	0.904761904761905	0.976190476190476	0.690476190476191	0.730552019767088	0.976190476190476	0.857142857142857	0.976190476190476	0.857142857142857	0.880952380952381	0.785714285714286	0.922172221673209	0.898219696434944	0.802409595481884	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Aquihabitans	0.928571428571429	0.80952380952381	0.833333333333333	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.904761904761905	0.833333333333333	0.857142857142857	0.904761904761905	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.904761904761905	1	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.80952380952381	0.80952380952381	0.833333333333333	0.928571428571429	0.857142857142857	0.880952380952381	0.928571428571429	0.80952380952381	0.833333333333333	0.904761904761905	0.952380952380953	0.742528282386221	0.952380952380953	0.790433332862751	0.80952380952381	0.928571428571429	0.80952380952381	0.833333333333333	0.80952380952381	0.619047619047619	0.778457070243618	0.952380952380953	0.857142857142857	0.928571428571429	0.761904761904762	0.976190476190476	0.833333333333333	0.814385858101016	0.790433332862751	0.826362120720149	0.766480807624486	0.814385858101016	0.814385858101016	0.814385858101016
Haliangium	1	0.928571428571429	0.928571428571429	1	0.904761904761905	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	0.928571428571429	1	0.928571428571429	0.928571428571429	0.833333333333333	0.833333333333333	0.910195959054077	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.850314645958414	0.898219696434944	0.922172221673209	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Rhizocola	0.880952380952381	0.857142857142857	0.833333333333333	0.880952380952381	0.976190476190476	0.833333333333333	0.904761904761905	0.928571428571429	0.761904761904762	0.904761904761905	0.833333333333333	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.857142857142857	0.714285714285714	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.714285714285714	0.833333333333333	0.976190476190476	0.928571428571429	0.718575757147955	0.952380952380953	0.814385858101016	0.714285714285714	0.880952380952381	0.714285714285714	0.833333333333333	0.928571428571429	0.571428571428572	0.682646969290558	1	0.80952380952381	0.952380952380953	0.761904761904762	0.904761904761905	0.761904761904762	0.862290908577547	0.814385858101016	0.778457070243618	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.898219696434944	0.874267171196679	0.910195959054077	0.898219696434944	0.97007727214974	0.910195959054077	0.898219696434944	0.946124746911475	0.838338383339281	0.946124746911475	0.874267171196679	0.826362120720149	0.946124746911475	0.946124746911475	0.874267171196679	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.898219696434944	0.946124746911475	1	0.826362120720149	0.850314645958414	0.730552019767088	0.910195959054077	0.97007727214974	0.826362120720149	0.814385858101016	0.898219696434944	0.742528282386221	0.874267171196679	0.97007727214974	0.874267171196679	0.813253012048193	0.97007727214974	0.897590361445783	0.778457070243618	0.898219696434944	0.778457070243618	0.910195959054077	0.934148484292342	0.706599494528823	0.740963855421687	0.946124746911475	0.826362120720149	0.97007727214974	0.838338383339281	0.874267171196679	0.730552019767088	0.921686746987952	0.897590361445783	0.734939759036145	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Knoellia	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	0.80952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Asticcacaulis	0.833333333333333	0.904761904761905	0.880952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.80952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.833333333333333	0.857142857142857	0.850314645958414	0.857142857142857	1	0.619047619047619	0.880952380952381	0.928571428571429	0.857142857142857	0.738095238095238	0.928571428571429	0.761904761904762	0.928571428571429	0.904761904761905	0.761904761904762	0.766480807624486	0.80952380952381	0.862290908577547	0.714285714285714	0.833333333333333	0.714285714285714	0.880952380952381	0.857142857142857	0.761904761904762	0.658694444052292	0.857142857142857	0.857142857142857	0.928571428571429	0.904761904761905	0.785714285714286	0.833333333333333	0.886243433815812	0.862290908577547	0.826362120720149	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Sporosarcina	0.928571428571429	0.80952380952381	0.833333333333333	0.928571428571429	0.738095238095238	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.857142857142857	0.833333333333333	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.761904761904762	0.857142857142857	0.738095238095238	0.80952380952381	0.928571428571429	0.714285714285714	0.730552019767088	0.904761904761905	0.619047619047619	1	0.833333333333333	0.761904761904762	0.904761904761905	0.976190476190476	0.619047619047619	0.952380952380953	0.833333333333333	0.738095238095238	0.880952380952381	0.862290908577547	0.714285714285714	0.814385858101016	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.690476190476191	0.80952380952381	0.97007727214974	0.714285714285714	0.904761904761905	0.761904761904762	0.80952380952381	0.904761904761905	0.857142857142857	0.718575757147955	0.814385858101016	0.850314645958414	0.59881313095663	0.718575757147955	0.718575757147955	0.718575757147955
Sporichthya	0.928571428571429	0.904761904761905	1	0.928571428571429	0.904761904761905	1	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.928571428571429	0.833333333333333	0.910195959054077	0.904761904761905	0.880952380952381	0.833333333333333	1	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.880952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.97007727214974	0.857142857142857	0.994029797388005	0.928571428571429	0.928571428571429	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.833333333333333	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.80952380952381	0.97007727214974	0.994029797388005	0.790433332862751	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.880952380952381	0.928571428571429	0.761904761904762	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.80952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.952380952380953	0.880952380952381	1	0.904761904761905	0.904761904761905	0.80952380952381	0.958101009530607	0.934148484292342	0.802409595481884	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Nitrospira	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.80952380952381	0.826362120720149	1	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.904761904761905	0.976190476190476	0.904761904761905	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	0.80952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.802409595481884	0.874267171196679	0.97007727214974	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Cellvibrio	0.976190476190476	0.857142857142857	0.904761904761905	0.976190476190476	0.80952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.857142857142857	0.928571428571429	0.80952380952381	0.880952380952381	0.976190476190476	0.785714285714286	0.814385858101016	0.952380952380953	0.738095238095238	0.976190476190476	0.904761904761905	0.857142857142857	0.952380952380953	1	0.738095238095238	0.976190476190476	0.904761904761905	0.80952380952381	0.904761904761905	0.898219696434944	0.80952380952381	0.874267171196679	0.976190476190476	0.976190476190476	0.976190476190476	0.904761904761905	0.738095238095238	0.857142857142857	0.97007727214974	0.785714285714286	0.952380952380953	0.857142857142857	0.880952380952381	0.952380952380953	0.904761904761905	0.802409595481884	0.874267171196679	0.886243433815812	0.706599494528823	0.802409595481884	0.802409595481884	0.802409595481884
