Galbitalea	Micromonospora	Dactylosporangium	Rudaibacter	Polaromonas	Chryseolinea	Hyphomicrobium	Pseudorhodoferax	Geobacter	Dongia	Aquihabitans	Rhizocola	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Methylotenera	Catellatospora	Aquimonas	Neptunomonas	Pseudolabrys	Povalibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Clavibacter	Ardenticatena	Sanguibacter	Tahibacter	Sulfurisoma	Methylosinus	Thiobacillus	g__Phaeosphaeria
Pseudolabrys	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.833333333333333	0.928571428571429	0.976190476190476	0.690476190476191	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.785714285714286	0.738095238095238	1	0.833333333333333	0.738095238095238	0.976190476190476	0.880952380952381	0.833333333333333	0.976190476190476	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.64671818143316	0.595238095238095
Povalibacter	0.80952380952381	0.857142857142857	0.833333333333333	0.857142857142857	0.714285714285714	0.80952380952381	0.785714285714286	0.880952380952381	0.80952380952381	0.833333333333333	0.928571428571429	0.880952380952381	0.738095238095238	0.690476190476191	0.80952380952381	0.80952380952381	0.785714285714286	1	0.761904761904762	0.904761904761905	0.833333333333333	1	0.857142857142857	0.880952380952381	0.904761904761905	0.80952380952381	0.80952380952381	0.97007727214974	0.946124746911475	0.97007727214974	0.754504545005353	0.682646969290558	0.785714285714286
Parachlamydia	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.80952380952381	0.714285714285714	0.785714285714286	0.714285714285714	0.738095238095238	0.880952380952381	0.857142857142857	0.595238095238095	0.80952380952381	0.714285714285714	0.80952380952381	0.642857142857143	0.857142857142857	0.857142857142857	0.714285714285714	0.738095238095238	0.857142857142857	1	0.857142857142857	0.952380952380953	0.571428571428572	0.714285714285714	0.922172221673209	0.898219696434944	0.922172221673209	0.778457070243618	0.64671818143316	0.880952380952381
Thiomonas	0.952380952380953	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.761904761904762	0.952380952380953	0.976190476190476	0.952380952380953	1	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.880952380952381	0.857142857142857	0.761904761904762	0.976190476190476	0.880952380952381	0.857142857142857	1	0.952380952380953	0.785714285714286	0.952380952380953	0.922172221673209	0.850314645958414	0.922172221673209	0.874267171196679	0.670670706671425	0.714285714285714
Halobacteriovorax	0.857142857142857	0.880952380952381	0.976190476190476	0.880952380952381	0.904761904761905	0.857142857142857	0.833333333333333	0.761904761904762	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.690476190476191	0.880952380952381	0.833333333333333	0.857142857142857	0.714285714285714	0.904761904761905	0.80952380952381	0.714285714285714	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	1	0.666666666666667	0.833333333333333	0.934148484292342	0.886243433815812	0.934148484292342	0.790433332862751	0.586836868337497	0.80952380952381
Clavibacter	0.80952380952381	0.857142857142857	0.690476190476191	0.857142857142857	0.619047619047619	0.80952380952381	0.880952380952381	0.833333333333333	0.80952380952381	0.833333333333333	0.738095238095238	0.785714285714286	0.928571428571429	0.690476190476191	0.80952380952381	0.80952380952381	0.976190476190476	0.80952380952381	0.714285714285714	0.904761904761905	0.833333333333333	0.80952380952381	0.571428571428572	0.785714285714286	0.666666666666667	1	0.80952380952381	0.778457070243618	0.706599494528823	0.778457070243618	0.802409595481884	0.850314645958414	0.642857142857143
Ardenticatena	0.952380952380953	0.857142857142857	0.880952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.952380952380953	0.666666666666667	1	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.80952380952381	0.833333333333333	0.761904761904762	0.976190476190476	0.80952380952381	0.714285714285714	0.952380952380953	0.833333333333333	0.80952380952381	1	0.850314645958414	0.754504545005353	0.850314645958414	0.826362120720149	0.682646969290558	0.523809523809524
Sanguibacter	0.898219696434944	0.922172221673209	0.886243433815812	0.922172221673209	0.826362120720149	0.898219696434944	0.826362120720149	0.898219696434944	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.778457070243618	0.754504545005353	0.850314645958414	0.898219696434944	0.802409595481884	0.97007727214974	0.886243433815812	0.898219696434944	0.850314645958414	0.97007727214974	0.922172221673209	0.922172221673209	0.934148484292342	0.778457070243618	0.850314645958414	1	0.975903614457831	1	0.855421686746988	0.753012048192771	0.826362120720149
Tahibacter	0.826362120720149	0.874267171196679	0.814385858101016	0.874267171196679	0.754504545005353	0.826362120720149	0.730552019767088	0.922172221673209	0.754504545005353	0.754504545005353	0.922172221673209	0.850314645958414	0.682646969290558	0.658694444052292	0.754504545005353	0.826362120720149	0.730552019767088	0.946124746911475	0.838338383339281	0.874267171196679	0.754504545005353	0.946124746911475	0.898219696434944	0.850314645958414	0.886243433815812	0.706599494528823	0.754504545005353	0.975903614457831	1	0.975903614457831	0.831325301204819	0.704819277108434	0.850314645958414
Sulfurisoma	0.898219696434944	0.922172221673209	0.886243433815812	0.922172221673209	0.826362120720149	0.898219696434944	0.826362120720149	0.898219696434944	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.778457070243618	0.754504545005353	0.850314645958414	0.898219696434944	0.802409595481884	0.97007727214974	0.886243433815812	0.898219696434944	0.850314645958414	0.97007727214974	0.922172221673209	0.922172221673209	0.934148484292342	0.778457070243618	0.850314645958414	1	0.975903614457831	1	0.855421686746988	0.753012048192771	0.826362120720149
Methylosinus	0.946124746911475	0.97007727214974	0.838338383339281	0.97007727214974	0.874267171196679	0.946124746911475	0.898219696434944	0.874267171196679	0.826362120720149	0.826362120720149	0.826362120720149	0.874267171196679	0.874267171196679	0.826362120720149	0.826362120720149	0.946124746911475	0.898219696434944	0.754504545005353	0.934148484292342	0.802409595481884	0.826362120720149	0.754504545005353	0.778457070243618	0.874267171196679	0.790433332862751	0.802409595481884	0.826362120720149	0.855421686746988	0.831325301204819	0.855421686746988	1	0.86144578313253	0.802409595481884
Thiobacillus	0.814385858101016	0.862290908577547	0.610789393575762	0.862290908577547	0.69462323190969	0.814385858101016	0.754504545005353	0.850314645958414	0.682646969290558	0.64671818143316	0.682646969290558	0.670670706671425	0.850314645958414	0.634741918814027	0.682646969290558	0.814385858101016	0.898219696434944	0.682646969290558	0.874267171196679	0.886243433815812	0.64671818143316	0.682646969290558	0.64671818143316	0.670670706671425	0.586836868337497	0.850314645958414	0.682646969290558	0.753012048192771	0.704819277108434	0.753012048192771	0.86144578313253	1	0.730552019767088
g__Phaeosphaeria	0.690476190476191	0.857142857142857	0.761904761904762	0.857142857142857	0.785714285714286	0.690476190476191	0.642857142857143	0.904761904761905	0.523809523809524	0.595238095238095	0.690476190476191	0.714285714285714	0.547619047619048	0.738095238095238	0.523809523809524	0.690476190476191	0.714285714285714	0.785714285714286	0.761904761904762	0.738095238095238	0.595238095238095	0.785714285714286	0.880952380952381	0.714285714285714	0.80952380952381	0.642857142857143	0.523809523809524	0.826362120720149	0.850314645958414	0.826362120720149	0.802409595481884	0.730552019767088	1
