Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Saccharibacteria_genera_incertae_sedis	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Sporichthya	Ilumatobacter	Rhodoligotrophos	Ohtaekwangia	Oscillochloris	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Tumebacillus	Gp3	Ardenticatena	Gp22	Luteivirga	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
g__Exophiala	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.946124746911475	0.97007727214974	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	1	0.80952380952381	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Saccharibacteria_genera_incertae_sedis	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	1	0.886243433815812	0.934148484292342	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Ideonella	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dissulfuribacter	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	1	0.886243433815812	0.934148484292342	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Geobacter	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.952380952380953	1	0.928571428571429	0.862290908577547	0.934148484292342	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.880952380952381	0.880952380952381	1	0.904761904761905	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.976190476190476	0.976190476190476	0.952380952380953	1	0.976190476190476	1	1	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.976190476190476	0.910195959054077	0.958101009530607	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Sporichthya	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.952380952380953	1	0.928571428571429	0.862290908577547	0.934148484292342	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.880952380952381	0.880952380952381	1	0.904761904761905	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Rhodoligotrophos	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	1	0.886243433815812	0.934148484292342	0.952380952380953	0.857142857142857	0.904761904761905	0.850314645958414	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Ohtaekwangia	0.97007727214974	0.97007727214974	0.946124746911475	0.910195959054077	0.886243433815812	0.910195959054077	0.910195959054077	0.886243433815812	0.862290908577547	0.910195959054077	0.97007727214974	0.862290908577547	0.886243433815812	1	0.975903614457831	0.97007727214974	0.802409595481884	0.922172221673209	0.94578313253012	0.850314645958414	0.898219696434944	0.862290908577547	0.946124746911475	0.790433332862751	0.927710843373494	0.975903614457831	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.934148484292342	0.958101009530607	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.994029797388005	0.934148484292342	0.934148484292342	0.975903614457831	1	0.994029797388005	0.898219696434944	0.898219696434944	0.885542168674699	0.874267171196679	0.922172221673209	0.934148484292342	0.97007727214974	0.814385858101016	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	1	1	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	1	0.952380952380953	0.952380952380953	0.97007727214974	0.994029797388005	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.880952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.802409595481884	0.898219696434944	0.880952380952381	1	0.666666666666667	0.69462323190969	0.785714285714286	0.857142857142857	0.928571428571429	0.833333333333333	0.785714285714286	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Uliginosibacterium	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.904761904761905	0.761904761904762	0.857142857142857	0.904761904761905	0.761904761904762	0.904761904761905	0.922172221673209	0.898219696434944	0.904761904761905	0.666666666666667	1	0.886243433815812	0.880952380952381	0.714285714285714	0.761904761904762	0.952380952380953	0.714285714285714	0.802409595481884	0.898219696434944	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Nitrincola	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.850314645958414	0.874267171196679	0.874267171196679	0.850314645958414	0.790433332862751	0.874267171196679	0.898219696434944	0.790433332862751	0.850314645958414	0.94578313253012	0.885542168674699	0.898219696434944	0.69462323190969	0.886243433815812	1	0.886243433815812	0.754504545005353	0.790433332862751	0.874267171196679	0.862290908577547	0.801204819277108	0.885542168674699	0.692771084337349	0.801204819277108	0.801204819277108	0.801204819277108
Tumebacillus	0.904761904761905	0.904761904761905	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.850314645958414	0.874267171196679	0.904761904761905	0.785714285714286	0.880952380952381	0.886243433815812	1	0.666666666666667	0.880952380952381	0.928571428571429	0.928571428571429	0.802409595481884	0.874267171196679	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Gp3	0.904761904761905	0.904761904761905	0.833333333333333	0.833333333333333	0.761904761904762	0.833333333333333	0.833333333333333	0.761904761904762	0.880952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.898219696434944	0.922172221673209	0.904761904761905	0.857142857142857	0.714285714285714	0.754504545005353	0.666666666666667	1	0.880952380952381	0.833333333333333	0.690476190476191	0.97007727214974	0.922172221673209	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.952380952380953	1	0.928571428571429	0.862290908577547	0.934148484292342	0.952380952380953	0.928571428571429	0.761904761904762	0.790433332862751	0.880952380952381	0.880952380952381	1	0.904761904761905	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.976190476190476	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.946124746911475	0.97007727214974	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	1	0.80952380952381	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Luteivirga	0.857142857142857	0.857142857142857	0.80952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.857142857142857	0.904761904761905	0.880952380952381	0.790433332862751	0.814385858101016	0.857142857142857	0.785714285714286	0.714285714285714	0.862290908577547	0.928571428571429	0.690476190476191	0.904761904761905	0.80952380952381	1	0.790433332862751	0.814385858101016	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
