Steroidobacter	Bradyrhizobium	Galbitalea	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Sporichthya	Ilumatobacter	Arenimonas	Methylotenera	Niastella	Kineosporia	Rhodoligotrophos	Pseudolabrys	Chitinimonas	Oscillochloris	Labilithrix	Variibacter	Thiomonas	Clavibacter	Ardenticatena	Chelativorans	Roseiflexus	Acidiphilium	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Niastella	0.833333333333333	0.904761904761905	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.833333333333333	0.80952380952381	0.880952380952381	0.833333333333333	0.904761904761905	0.690476190476191	0.833333333333333	0.850314645958414	0.880952380952381	0.880952380952381	0.857142857142857	0.880952380952381	0.833333333333333	0.80952380952381	1	0.952380952380953	0.80952380952381	0.904761904761905	0.761904761904762	0.886243433815812	0.857142857142857	0.952380952380953	0.833333333333333	0.761904761904762	0.880952380952381	0.880952380952381	0.934148484292342	0.886243433815812	0.730552019767088	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Kineosporia	0.761904761904762	0.80952380952381	0.761904761904762	0.761904761904762	0.857142857142857	0.666666666666667	0.666666666666667	0.619047619047619	0.761904761904762	0.666666666666667	0.80952380952381	0.571428571428572	0.761904761904762	0.766480807624486	0.761904761904762	0.904761904761905	0.690476190476191	0.761904761904762	0.761904761904762	0.714285714285714	0.952380952380953	1	0.619047619047619	0.80952380952381	0.690476190476191	0.730552019767088	0.690476190476191	0.880952380952381	0.761904761904762	0.619047619047619	0.761904761904762	0.880952380952381	0.826362120720149	0.730552019767088	0.718575757147955	0.874267171196679	0.826362120720149	0.826362120720149	0.826362120720149
Rhodoligotrophos	0.833333333333333	0.904761904761905	0.833333333333333	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	1	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.833333333333333	0.874267171196679	0.928571428571429	0.642857142857143	0.952380952380953	0.928571428571429	0.833333333333333	0.857142857142857	0.80952380952381	0.619047619047619	1	0.904761904761905	0.80952380952381	0.934148484292342	0.952380952380953	0.857142857142857	0.833333333333333	0.904761904761905	0.928571428571429	0.738095238095238	0.886243433815812	0.934148484292342	0.706599494528823	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	0.976190476190476	1	0.928571428571429	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	1	0.928571428571429	0.898219696434944	0.904761904761905	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.898219696434944	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Chitinimonas	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.97007727214974	0.80952380952381	0.785714285714286	0.857142857142857	0.952380952380953	0.928571428571429	0.714285714285714	0.761904761904762	0.690476190476191	0.80952380952381	0.928571428571429	1	0.826362120720149	0.857142857142857	0.857142857142857	0.952380952380953	0.666666666666667	0.952380952380953	0.857142857142857	0.874267171196679	0.826362120720149	0.826362120720149	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Oscillochloris	0.814385858101016	0.898219696434944	0.802409595481884	0.802409595481884	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.898219696434944	0.790433332862751	0.814385858101016	0.897590361445783	0.862290908577547	0.682646969290558	0.994029797388005	0.934148484292342	0.802409595481884	0.718575757147955	0.886243433815812	0.730552019767088	0.934148484292342	0.898219696434944	0.826362120720149	1	0.994029797388005	0.898219696434944	0.814385858101016	0.742528282386221	0.934148484292342	0.802409595481884	0.975903614457831	1	0.608433734939759	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.833333333333333	0.904761904761905	0.833333333333333	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.833333333333333	0.910195959054077	0.880952380952381	0.666666666666667	1	0.952380952380953	0.833333333333333	0.738095238095238	0.857142857142857	0.690476190476191	0.952380952380953	0.904761904761905	0.857142857142857	0.994029797388005	1	0.880952380952381	0.833333333333333	0.761904761904762	0.952380952380953	0.785714285714286	0.97007727214974	0.994029797388005	0.64671818143316	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.928571428571429	0.976190476190476	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.934148484292342	0.857142857142857	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.80952380952381	0.952380952380953	0.880952380952381	0.857142857142857	0.976190476190476	0.857142857142857	0.898219696434944	0.880952380952381	1	0.928571428571429	0.785714285714286	0.928571428571429	0.928571428571429	0.922172221673209	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	1	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.833333333333333	0.761904761904762	0.833333333333333	0.976190476190476	0.952380952380953	0.814385858101016	0.833333333333333	0.928571428571429	1	0.785714285714286	0.952380952380953	0.857142857142857	0.862290908577547	0.814385858101016	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Clavibacter	0.785714285714286	0.833333333333333	0.80952380952381	0.80952380952381	0.880952380952381	0.833333333333333	0.833333333333333	0.904761904761905	0.80952380952381	0.833333333333333	0.833333333333333	0.738095238095238	0.785714285714286	0.730552019767088	0.928571428571429	0.690476190476191	0.761904761904762	0.80952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.619047619047619	0.904761904761905	0.833333333333333	0.666666666666667	0.742528282386221	0.761904761904762	0.785714285714286	0.785714285714286	1	0.80952380952381	0.642857142857143	0.718575757147955	0.742528282386221	0.802409595481884	0.766480807624486	0.718575757147955	0.718575757147955	0.718575757147955
Ardenticatena	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	0.952380952380953	1	0.952380952380953	0.833333333333333	0.880952380952381	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.934148484292342	0.952380952380953	0.928571428571429	0.952380952380953	0.80952380952381	1	0.857142857142857	0.958101009530607	0.934148484292342	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.857142857142857	0.904761904761905	0.785714285714286	0.785714285714286	0.880952380952381	0.80952380952381	0.80952380952381	0.738095238095238	0.857142857142857	0.80952380952381	0.904761904761905	0.714285714285714	0.857142857142857	0.934148484292342	0.761904761904762	0.833333333333333	0.785714285714286	0.857142857142857	0.785714285714286	0.690476190476191	0.880952380952381	0.880952380952381	0.738095238095238	0.904761904761905	0.857142857142857	0.802409595481884	0.785714285714286	0.928571428571429	0.857142857142857	0.642857142857143	0.857142857142857	1	0.850314645958414	0.802409595481884	0.718575757147955	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Roseiflexus	0.862290908577547	0.922172221673209	0.874267171196679	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.97007727214974	0.958101009530607	0.874267171196679	0.742528282386221	0.934148484292342	0.826362120720149	0.886243433815812	0.922172221673209	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	1	0.975903614457831	0.704819277108434	0.975903614457831	1	1	1
Acidiphilium	0.814385858101016	0.898219696434944	0.802409595481884	0.802409595481884	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.898219696434944	0.790433332862751	0.814385858101016	0.897590361445783	0.862290908577547	0.682646969290558	0.994029797388005	0.934148484292342	0.802409595481884	0.718575757147955	0.886243433815812	0.730552019767088	0.934148484292342	0.898219696434944	0.826362120720149	1	0.994029797388005	0.898219696434944	0.814385858101016	0.742528282386221	0.934148484292342	0.802409595481884	0.975903614457831	1	0.608433734939759	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Methylosinus	0.874267171196679	0.826362120720149	0.946124746911475	0.946124746911475	0.898219696434944	0.730552019767088	0.730552019767088	0.706599494528823	0.826362120720149	0.730552019767088	0.826362120720149	0.826362120720149	0.874267171196679	0.783132530120482	0.874267171196679	0.826362120720149	0.64671818143316	0.826362120720149	0.946124746911475	0.898219696434944	0.730552019767088	0.718575757147955	0.706599494528823	0.826362120720149	0.826362120720149	0.608433734939759	0.64671818143316	0.742528282386221	0.874267171196679	0.802409595481884	0.826362120720149	0.718575757147955	0.704819277108434	0.608433734939759	1	0.77710843373494	0.704819277108434	0.704819277108434	0.704819277108434
Aciditerrimonas	0.838338383339281	0.898219696434944	0.898219696434944	0.898219696434944	0.922172221673209	0.886243433815812	0.886243433815812	0.862290908577547	0.934148484292342	0.886243433815812	0.898219696434944	0.766480807624486	0.838338383339281	0.873493975903614	0.934148484292342	0.802409595481884	0.922172221673209	0.934148484292342	0.898219696434944	0.814385858101016	0.958101009530607	0.874267171196679	0.862290908577547	0.898219696434944	0.826362120720149	0.927710843373494	0.922172221673209	0.898219696434944	0.838338383339281	0.766480807624486	0.934148484292342	0.826362120720149	0.975903614457831	0.927710843373494	0.77710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.862290908577547	0.922172221673209	0.874267171196679	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.97007727214974	0.958101009530607	0.874267171196679	0.742528282386221	0.934148484292342	0.826362120720149	0.886243433815812	0.922172221673209	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	1	0.975903614457831	0.704819277108434	0.975903614457831	1	1	1
Sneathiella	0.862290908577547	0.922172221673209	0.874267171196679	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.97007727214974	0.958101009530607	0.874267171196679	0.742528282386221	0.934148484292342	0.826362120720149	0.886243433815812	0.922172221673209	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	1	0.975903614457831	0.704819277108434	0.975903614457831	1	1	1
Terrimonas	0.862290908577547	0.922172221673209	0.874267171196679	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.97007727214974	0.958101009530607	0.874267171196679	0.742528282386221	0.934148484292342	0.826362120720149	0.886243433815812	0.922172221673209	0.874267171196679	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.850314645958414	1	0.975903614457831	0.704819277108434	0.975903614457831	1	1	1
