Chondromyces	Phycicoccus	Actinokineospora	Sporichthya	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Sulfuriferula	Amaricoccus	Labilithrix	Uliginosibacterium	Nitrincola	Geodermatophilus	Tumebacillus	Gp3	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	1	0.880952380952381	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	1	1	0.880952380952381	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Actinokineospora	0.880952380952381	0.880952380952381	1	0.880952380952381	0.958101009530607	0.910195959054077	0.904761904761905	0.785714285714286	0.976190476190476	0.904761904761905	0.880952380952381	0.857142857142857	0.922172221673209	0.952380952380953	0.761904761904762	0.833333333333333	0.738095238095238	0.857142857142857	0.838338383339281	0.910195959054077	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Sporichthya	1	1	0.880952380952381	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ohtaekwangia	0.97007727214974	0.97007727214974	0.958101009530607	0.97007727214974	1	0.975903614457831	0.958101009530607	0.874267171196679	0.898219696434944	0.958101009530607	0.97007727214974	0.922172221673209	0.94578313253012	0.898219696434944	0.850314645958414	0.898219696434944	0.862290908577547	0.946124746911475	0.927710843373494	0.975903614457831	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.994029797388005	0.994029797388005	0.910195959054077	0.994029797388005	0.975903614457831	1	0.910195959054077	0.898219696434944	0.874267171196679	0.910195959054077	0.994029797388005	0.898219696434944	0.885542168674699	0.802409595481884	0.874267171196679	0.922172221673209	0.934148484292342	0.97007727214974	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Nannocystis	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.958101009530607	0.910195959054077	1	0.928571428571429	0.833333333333333	1	0.928571428571429	0.904761904761905	0.994029797388005	0.904761904761905	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.838338383339281	0.910195959054077	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Methyloceanibacter	0.928571428571429	0.928571428571429	0.785714285714286	0.928571428571429	0.874267171196679	0.898219696434944	0.928571428571429	1	0.761904761904762	0.928571428571429	0.928571428571429	0.833333333333333	0.910195959054077	0.738095238095238	0.976190476190476	0.738095238095238	0.928571428571429	0.904761904761905	0.850314645958414	0.898219696434944	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Sulfuriferula	0.833333333333333	0.833333333333333	0.976190476190476	0.833333333333333	0.898219696434944	0.874267171196679	0.833333333333333	0.761904761904762	1	0.833333333333333	0.833333333333333	0.785714285714286	0.862290908577547	0.904761904761905	0.738095238095238	0.785714285714286	0.714285714285714	0.80952380952381	0.802409595481884	0.874267171196679	0.706599494528823	0.802409595481884	0.802409595481884	0.802409595481884
Amaricoccus	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.958101009530607	0.910195959054077	1	0.928571428571429	0.833333333333333	1	0.928571428571429	0.904761904761905	0.994029797388005	0.904761904761905	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.838338383339281	0.910195959054077	0.742528282386221	0.838338383339281	0.838338383339281	0.838338383339281
Labilithrix	1	1	0.880952380952381	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Uliginosibacterium	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.922172221673209	0.898219696434944	0.904761904761905	0.833333333333333	0.785714285714286	0.904761904761905	0.904761904761905	1	0.886243433815812	0.761904761904762	0.880952380952381	0.714285714285714	0.761904761904762	0.952380952380953	0.802409595481884	0.898219696434944	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
