Microbacterium	Sphingopyxis	Stenotrophomonas	Sphingobium	Brevundimonas	Novosphingobium	Sphingobacterium	Methylovirgula	Oxalicibacterium
Microbacterium	1	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.857142857142857	0.880952380952381	0.904761904761905	0.838338383339281
Sphingopyxis	0.904761904761905	1	0.857142857142857	0.952380952380953	0.904761904761905	0.761904761904762	0.976190476190476	0.952380952380953	0.886243433815812
Stenotrophomonas	0.904761904761905	0.857142857142857	1	0.738095238095238	0.976190476190476	0.666666666666667	0.833333333333333	0.880952380952381	0.802409595481884
Sphingobium	0.857142857142857	0.952380952380953	0.738095238095238	1	0.785714285714286	0.785714285714286	0.904761904761905	0.833333333333333	0.850314645958414
Brevundimonas	0.857142857142857	0.904761904761905	0.976190476190476	0.785714285714286	1	0.619047619047619	0.880952380952381	0.904761904761905	0.826362120720149
Novosphingobium	0.857142857142857	0.761904761904762	0.666666666666667	0.785714285714286	0.619047619047619	1	0.80952380952381	0.761904761904762	0.898219696434944
Sphingobacterium	0.880952380952381	0.976190476190476	0.833333333333333	0.904761904761905	0.880952380952381	0.80952380952381	1	0.976190476190476	0.934148484292342
Methylovirgula	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.904761904761905	0.761904761904762	0.976190476190476	1	0.874267171196679
Oxalicibacterium	0.838338383339281	0.886243433815812	0.802409595481884	0.850314645958414	0.826362120720149	0.898219696434944	0.934148484292342	0.874267171196679	1
