Kribbella	Massilia	Aquabacterium	Actinokineospora	Ohtaekwangia	Actinocorallia	Oscillochloris	Streptosporangium	Sulfuriferula	Nitrincola	Lautropia	Geodermatophilus	Cohnella	Pedobacter	Saccharomonospora	Microlunatus	Thermoleophilum	Acidiphilium	Pseudenhygromyxa
Kribbella	1	0.880952380952381	0.857142857142857	0.976190476190476	0.898219696434944	0.857142857142857	0.874267171196679	0.857142857142857	1	0.862290908577547	0.857142857142857	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.874267171196679	0.850314645958414
Massilia	0.880952380952381	1	0.857142857142857	0.785714285714286	0.69462323190969	0.976190476190476	0.718575757147955	0.904761904761905	0.880952380952381	0.730552019767088	0.904761904761905	0.738095238095238	1	0.833333333333333	0.976190476190476	0.761904761904762	0.928571428571429	0.718575757147955	0.850314645958414
Aquabacterium	0.857142857142857	0.857142857142857	1	0.80952380952381	0.826362120720149	0.880952380952381	0.898219696434944	0.80952380952381	0.857142857142857	0.754504545005353	0.80952380952381	0.666666666666667	0.857142857142857	0.571428571428572	0.785714285714286	0.785714285714286	0.880952380952381	0.898219696434944	0.622765656194895
Actinokineospora	0.976190476190476	0.785714285714286	0.80952380952381	1	0.958101009530607	0.761904761904762	0.910195959054077	0.833333333333333	0.976190476190476	0.922172221673209	0.833333333333333	0.952380952380953	0.785714285714286	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.910195959054077	0.754504545005353
Ohtaekwangia	0.898219696434944	0.69462323190969	0.826362120720149	0.958101009530607	1	0.670670706671425	0.975903614457831	0.802409595481884	0.898219696434944	0.94578313253012	0.802409595481884	0.898219696434944	0.69462323190969	0.64671818143316	0.718575757147955	0.826362120720149	0.790433332862751	0.975903614457831	0.560240963855422
Actinocorallia	0.857142857142857	0.976190476190476	0.880952380952381	0.761904761904762	0.670670706671425	1	0.69462323190969	0.880952380952381	0.857142857142857	0.706599494528823	0.880952380952381	0.714285714285714	0.976190476190476	0.785714285714286	0.952380952380953	0.738095238095238	0.904761904761905	0.69462323190969	0.826362120720149
Oscillochloris	0.874267171196679	0.718575757147955	0.898219696434944	0.910195959054077	0.975903614457831	0.69462323190969	1	0.778457070243618	0.874267171196679	0.885542168674699	0.778457070243618	0.802409595481884	0.718575757147955	0.574860605718364	0.69462323190969	0.802409595481884	0.814385858101016	1	0.524096385542169
Streptosporangium	0.857142857142857	0.904761904761905	0.80952380952381	0.833333333333333	0.802409595481884	0.880952380952381	0.778457070243618	1	0.857142857142857	0.910195959054077	1	0.833333333333333	0.904761904761905	0.738095238095238	0.928571428571429	0.785714285714286	0.785714285714286	0.778457070243618	0.682646969290558
Sulfuriferula	1	0.880952380952381	0.857142857142857	0.976190476190476	0.898219696434944	0.857142857142857	0.874267171196679	0.857142857142857	1	0.862290908577547	0.857142857142857	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.874267171196679	0.850314645958414
Nitrincola	0.862290908577547	0.730552019767088	0.754504545005353	0.922172221673209	0.94578313253012	0.706599494528823	0.885542168674699	0.910195959054077	0.862290908577547	1	0.910195959054077	0.934148484292342	0.730552019767088	0.682646969290558	0.790433332862751	0.790433332862751	0.718575757147955	0.885542168674699	0.560240963855422
Lautropia	0.857142857142857	0.904761904761905	0.80952380952381	0.833333333333333	0.802409595481884	0.880952380952381	0.778457070243618	1	0.857142857142857	0.910195959054077	1	0.833333333333333	0.904761904761905	0.738095238095238	0.928571428571429	0.785714285714286	0.785714285714286	0.778457070243618	0.682646969290558
Geodermatophilus	0.904761904761905	0.738095238095238	0.666666666666667	0.952380952380953	0.898219696434944	0.714285714285714	0.802409595481884	0.833333333333333	0.904761904761905	0.934148484292342	0.833333333333333	1	0.738095238095238	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.802409595481884	0.730552019767088
Cohnella	0.880952380952381	1	0.857142857142857	0.785714285714286	0.69462323190969	0.976190476190476	0.718575757147955	0.904761904761905	0.880952380952381	0.730552019767088	0.904761904761905	0.738095238095238	1	0.833333333333333	0.976190476190476	0.761904761904762	0.928571428571429	0.718575757147955	0.850314645958414
Pedobacter	0.857142857142857	0.833333333333333	0.571428571428572	0.80952380952381	0.64671818143316	0.785714285714286	0.574860605718364	0.738095238095238	0.857142857142857	0.682646969290558	0.738095238095238	0.857142857142857	0.833333333333333	1	0.904761904761905	0.714285714285714	0.857142857142857	0.574860605718364	0.946124746911475
Saccharomonospora	0.904761904761905	0.976190476190476	0.785714285714286	0.833333333333333	0.718575757147955	0.952380952380953	0.69462323190969	0.928571428571429	0.904761904761905	0.790433332862751	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	1	0.785714285714286	0.904761904761905	0.69462323190969	0.886243433815812
