Nocardioides	Massilia	Aeromicrobium	Sorangium	Agromyces	Arthrobacter	Umezawaea	Solirubrobacter	Bosea	Cellulomonas	Bradyrhizobium	Bacillus	Blastococcus	Gaiella	Conexibacter	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Dissulfuribacter	Gemmatimonas	Dongia	Haliangium	Knoellia	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Actinocorallia	Methyloceanibacter	Streptosporangium	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Cohnella	Saccharomonospora	Luteivirga	Nakamurella	Armatimonadetes_gp5
g__Mortierella	0.904761904761905	0.714285714285714	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.833333333333333	0.976190476190476	0.619047619047619	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.976190476190476	0.857142857142857	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.714285714285714	0.690476190476191	0.928571428571429	0.976190476190476	0.97007727214974
Ideonella	0.880952380952381	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.619047619047619	0.928571428571429	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.833333333333333	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.738095238095238	0.690476190476191	0.928571428571429	0.880952380952381	0.874267171196679
Marmoricola	0.880952380952381	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.619047619047619	0.928571428571429	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.833333333333333	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.738095238095238	0.690476190476191	0.928571428571429	0.880952380952381	0.874267171196679
Dissulfuribacter	0.857142857142857	0.690476190476191	0.880952380952381	0.833333333333333	0.952380952380953	0.976190476190476	0.80952380952381	0.952380952380953	0.595238095238095	0.880952380952381	0.904761904761905	0.761904761904762	0.928571428571429	0.928571428571429	0.952380952380953	0.976190476190476	0.857142857142857	1	0.857142857142857	0.785714285714286	0.976190476190476	0.976190476190476	0.976190476190476	1	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.904761904761905	0.80952380952381	0.928571428571429	0.666666666666667	1	0.904761904761905	0.857142857142857	0.642857142857143	0.952380952380953	0.80952380952381	0.80952380952381	0.850314645958414	0.850314645958414	0.80952380952381	0.976190476190476	0.690476190476191	0.642857142857143	0.880952380952381	0.928571428571429	0.922172221673209
Gemmatimonas	0.880952380952381	0.738095238095238	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.619047619047619	0.928571428571429	0.952380952380953	0.80952380952381	0.904761904761905	0.952380952380953	0.976190476190476	1	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	1	1	0.976190476190476	1	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.714285714285714	0.976190476190476	0.833333333333333	0.833333333333333	0.802409595481884	0.874267171196679	0.833333333333333	0.952380952380953	0.738095238095238	0.690476190476191	0.928571428571429	0.880952380952381	0.874267171196679
Dongia	0.857142857142857	0.785714285714286	0.880952380952381	0.785714285714286	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.690476190476191	0.880952380952381	1	0.714285714285714	0.761904761904762	0.928571428571429	0.976190476190476	0.952380952380953	0.785714285714286	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	1	0.904761904761905	0.857142857142857	0.785714285714286	0.738095238095238	0.857142857142857	0.80952380952381	0.833333333333333	0.761904761904762	0.785714285714286	0.904761904761905	1	0.904761904761905	0.761904761904762	0.904761904761905	0.761904761904762	0.833333333333333	0.658694444052292	0.730552019767088	0.761904761904762	0.857142857142857	0.785714285714286	0.690476190476191	0.880952380952381	0.785714285714286	0.802409595481884
Haliangium	0.928571428571429	0.761904761904762	0.976190476190476	0.952380952380953	1	0.928571428571429	0.904761904761905	1	0.642857142857143	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	1	0.976190476190476	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.738095238095238	1	0.904761904761905	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.761904761904762	0.738095238095238	0.976190476190476	0.928571428571429	0.922172221673209
Knoellia	0.904761904761905	0.714285714285714	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.833333333333333	0.976190476190476	0.619047619047619	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.976190476190476	0.857142857142857	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.714285714285714	0.690476190476191	0.928571428571429	0.976190476190476	0.97007727214974
Saccharothrix	0.880952380952381	0.714285714285714	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.880952380952381	0.880952380952381	0.666666666666667	0.904761904761905	0.785714285714286	0.833333333333333	0.857142857142857	0.904761904761905	0.833333333333333	0.80952380952381	0.761904761904762	0.833333333333333	0.666666666666667	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.833333333333333	0.80952380952381	0.785714285714286	0.880952380952381	0.904761904761905	1	0.80952380952381	0.904761904761905	0.833333333333333	0.976190476190476	0.857142857142857	0.833333333333333	0.833333333333333	0.785714285714286	0.928571428571429	0.642857142857143	0.880952380952381	0.833333333333333	0.976190476190476	0.898219696434944	0.706599494528823	0.833333333333333	0.904761904761905	0.714285714285714	0.666666666666667	0.904761904761905	0.952380952380953	0.97007727214974
Sporosarcina	0.928571428571429	0.80952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.80952380952381	0.785714285714286	0.928571428571429	0.714285714285714	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.952380952380953	0.833333333333333	0.761904761904762	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.738095238095238	0.928571428571429	0.904761904761905	0.80952380952381	1	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.833333333333333	0.833333333333333	0.738095238095238	0.880952380952381	0.785714285714286	0.928571428571429	0.976190476190476	0.833333333333333	0.922172221673209	0.97007727214974	0.976190476190476	0.904761904761905	0.80952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.850314645958414
Nitrospira	0.904761904761905	0.714285714285714	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.833333333333333	0.976190476190476	0.619047619047619	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.80952380952381	0.857142857142857	1	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.976190476190476	1	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.738095238095238	0.976190476190476	0.857142857142857	0.904761904761905	0.666666666666667	0.976190476190476	0.880952380952381	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.714285714285714	0.690476190476191	0.928571428571429	0.976190476190476	0.97007727214974
