Aeromicrobium	Sorangium	Agromyces	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Paenibacillus	g__Mortierella	Haliangium	Knoellia	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Rhodoligotrophos	Ramlibacter	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Adhaeribacter	Uliginosibacterium	Nitrincola	Lautropia	Tumebacillus	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Acidiphilium	Sandaracinus	Polyangium	Armatimonadetes_gp5
Streptosporangium	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.785714285714286	0.886243433815812	0.738095238095238	0.910195959054077	1	0.880952380952381	0.738095238095238	0.761904761904762	0.857142857142857	0.880952380952381	0.833333333333333	0.778457070243618	0.814385858101016	0.738095238095238	0.850314645958414
Amaricoccus	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.880952380952381	0.80952380952381	0.958101009530607	0.910195959054077	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.928571428571429	0.874267171196679	0.904761904761905	0.994029797388005	0.880952380952381	0.904761904761905	0.833333333333333	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.910195959054077	0.826362120720149	0.833333333333333	0.802409595481884
Povalibacter	0.952380952380953	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.80952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.80952380952381	0.976190476190476	0.622765656194895	0.670670706671425	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.714285714285714	0.850314645958414	0.571428571428572	0.730552019767088	0.857142857142857	0.880952380952381	0.80952380952381	0.690476190476191	0.857142857142857	0.952380952380953	0.904761904761905	0.670670706671425	0.850314645958414	0.80952380952381	0.922172221673209
Labilithrix	0.857142857142857	0.833333333333333	0.928571428571429	0.928571428571429	0.857142857142857	0.761904761904762	0.880952380952381	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	0.904761904761905	0.714285714285714	0.880952380952381	0.952380952380953	0.80952380952381	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.785714285714286	0.928571428571429	0.714285714285714	1	0.754504545005353	0.904761904761905	0.898219696434944	0.785714285714286	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.80952380952381	0.994029797388005	0.658694444052292	0.761904761904762	0.790433332862751
Adhaeribacter	0.862290908577547	0.898219696434944	0.886243433815812	0.886243433815812	0.862290908577547	0.898219696434944	0.97007727214974	0.850314645958414	0.934148484292342	0.886243433815812	0.934148484292342	0.922172221673209	0.934148484292342	0.922172221673209	0.850314645958414	0.97007727214974	0.850314645958414	0.826362120720149	0.753012048192771	0.716867469879518	0.874267171196679	0.886243433815812	0.886243433815812	0.874267171196679	0.850314645958414	0.754504545005353	1	0.814385858101016	0.879518072289157	0.886243433815812	0.934148484292342	0.69462323190969	0.802409595481884	0.994029797388005	0.862290908577547	0.958101009530607	0.716867469879518	0.855421686746988	0.718575757147955	0.94578313253012
Uliginosibacterium	0.714285714285714	0.738095238095238	0.833333333333333	0.833333333333333	0.714285714285714	0.690476190476191	0.904761904761905	0.833333333333333	0.880952380952381	0.833333333333333	0.880952380952381	0.80952380952381	0.880952380952381	0.857142857142857	0.571428571428572	0.904761904761905	0.904761904761905	0.642857142857143	0.922172221673209	0.898219696434944	0.904761904761905	0.833333333333333	0.738095238095238	0.904761904761905	0.571428571428572	0.904761904761905	0.814385858101016	1	0.886243433815812	0.738095238095238	0.880952380952381	0.761904761904762	0.952380952380953	0.833333333333333	0.714285714285714	0.80952380952381	0.898219696434944	0.574860605718364	0.571428571428572	0.778457070243618
Nitrincola	0.862290908577547	0.922172221673209	0.910195959054077	0.910195959054077	0.862290908577547	0.922172221673209	0.946124746911475	0.946124746911475	0.886243433815812	0.910195959054077	0.886243433815812	0.97007727214974	0.886243433815812	0.97007727214974	0.730552019767088	0.946124746911475	0.850314645958414	0.802409595481884	0.94578313253012	0.885542168674699	0.994029797388005	0.910195959054077	0.910195959054077	0.994029797388005	0.730552019767088	0.898219696434944	0.879518072289157	0.886243433815812	1	0.910195959054077	0.886243433815812	0.790433332862751	0.874267171196679	0.874267171196679	0.862290908577547	0.814385858101016	0.885542168674699	0.831325301204819	0.814385858101016	0.789156626506024
Lautropia	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.880952380952381	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.80952380952381	0.904761904761905	0.802409595481884	0.778457070243618	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.785714285714286	0.886243433815812	0.738095238095238	0.910195959054077	1	0.880952380952381	0.738095238095238	0.761904761904762	0.857142857142857	0.880952380952381	0.833333333333333	0.778457070243618	0.814385858101016	0.738095238095238	0.850314645958414
Tumebacillus	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.904761904761905	1	0.976190476190476	1	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.850314645958414	0.874267171196679	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.934148484292342	0.880952380952381	0.886243433815812	0.880952380952381	1	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.874267171196679	0.766480807624486	0.738095238095238	0.97007727214974
Ardenticatena	0.904761904761905	0.833333333333333	0.928571428571429	0.928571428571429	0.904761904761905	0.738095238095238	0.80952380952381	0.833333333333333	0.880952380952381	0.928571428571429	0.880952380952381	0.761904761904762	0.880952380952381	0.857142857142857	0.80952380952381	0.80952380952381	0.928571428571429	0.880952380952381	0.862290908577547	0.934148484292342	0.833333333333333	0.928571428571429	0.738095238095238	0.833333333333333	0.80952380952381	0.952380952380953	0.69462323190969	0.761904761904762	0.790433332862751	0.738095238095238	0.880952380952381	1	0.904761904761905	0.738095238095238	0.904761904761905	0.80952380952381	0.934148484292342	0.670670706671425	0.80952380952381	0.802409595481884
Gp22	0.80952380952381	0.785714285714286	0.904761904761905	0.904761904761905	0.80952380952381	0.714285714285714	0.904761904761905	0.833333333333333	0.928571428571429	0.904761904761905	0.928571428571429	0.80952380952381	0.928571428571429	0.880952380952381	0.690476190476191	0.904761904761905	0.976190476190476	0.761904761904762	0.946124746911475	0.97007727214974	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	0.690476190476191	0.976190476190476	0.802409595481884	0.952380952380953	0.874267171196679	0.761904761904762	0.928571428571429	0.904761904761905	1	0.833333333333333	0.80952380952381	0.857142857142857	0.97007727214974	0.610789393575762	0.666666666666667	0.838338383339281
Rubrobacter	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.857142857142857	0.976190476190476	0.880952380952381	0.833333333333333	0.766480807624486	0.742528282386221	0.880952380952381	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.785714285714286	0.994029797388005	0.833333333333333	0.874267171196679	0.857142857142857	0.952380952380953	0.738095238095238	0.833333333333333	1	0.880952380952381	0.976190476190476	0.742528282386221	0.850314645958414	0.738095238095238	0.958101009530607
Luteivirga	1	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.904761904761905	0.928571428571429	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.880952380952381	0.976190476190476	0.790433332862751	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.862290908577547	0.880952380952381	0.928571428571429	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.814385858101016	0.886243433815812	0.904761904761905	0.898219696434944
Nakamurella	0.904761904761905	0.880952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.833333333333333	0.952380952380953	0.833333333333333	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.928571428571429	0.880952380952381	0.742528282386221	0.766480807624486	0.833333333333333	0.928571428571429	0.833333333333333	0.833333333333333	0.904761904761905	0.80952380952381	0.958101009530607	0.80952380952381	0.814385858101016	0.833333333333333	0.976190476190476	0.80952380952381	0.857142857142857	0.976190476190476	0.904761904761905	1	0.766480807624486	0.790433332862751	0.714285714285714	0.994029797388005
Acidiphilium	0.814385858101016	0.790433332862751	0.898219696434944	0.898219696434944	0.814385858101016	0.730552019767088	0.850314645958414	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.814385858101016	0.874267171196679	0.874267171196679	0.670670706671425	0.850314645958414	0.934148484292342	0.778457070243618	0.975903614457831	1	0.910195959054077	0.898219696434944	0.778457070243618	0.910195959054077	0.670670706671425	0.994029797388005	0.716867469879518	0.898219696434944	0.885542168674699	0.778457070243618	0.874267171196679	0.934148484292342	0.97007727214974	0.742528282386221	0.814385858101016	0.766480807624486	1	0.608433734939759	0.718575757147955	0.753012048192771
Sandaracinus	0.886243433815812	0.946124746911475	0.814385858101016	0.814385858101016	0.886243433815812	0.946124746911475	0.826362120720149	0.826362120720149	0.766480807624486	0.814385858101016	0.766480807624486	0.874267171196679	0.766480807624486	0.874267171196679	0.850314645958414	0.826362120720149	0.658694444052292	0.826362120720149	0.668674698795181	0.608433734939759	0.826362120720149	0.814385858101016	0.814385858101016	0.826362120720149	0.850314645958414	0.658694444052292	0.855421686746988	0.574860605718364	0.831325301204819	0.814385858101016	0.766480807624486	0.670670706671425	0.610789393575762	0.850314645958414	0.886243433815812	0.790433332862751	0.608433734939759	1	0.934148484292342	0.765060240963855
Polyangium	0.904761904761905	0.928571428571429	0.833333333333333	0.833333333333333	0.904761904761905	0.880952380952381	0.761904761904762	0.833333333333333	0.738095238095238	0.833333333333333	0.738095238095238	0.80952380952381	0.738095238095238	0.857142857142857	0.80952380952381	0.761904761904762	0.690476190476191	0.833333333333333	0.742528282386221	0.718575757147955	0.833333333333333	0.833333333333333	0.738095238095238	0.833333333333333	0.80952380952381	0.761904761904762	0.718575757147955	0.571428571428572	0.814385858101016	0.738095238095238	0.738095238095238	0.80952380952381	0.666666666666667	0.738095238095238	0.904761904761905	0.714285714285714	0.718575757147955	0.934148484292342	1	0.682646969290558
Armatimonadetes_gp5	0.898219696434944	0.862290908577547	0.922172221673209	0.922172221673209	0.898219696434944	0.826362120720149	0.934148484292342	0.814385858101016	0.97007727214974	0.922172221673209	0.97007727214974	0.850314645958414	0.97007727214974	0.886243433815812	0.922172221673209	0.934148484292342	0.922172221673209	0.898219696434944	0.716867469879518	0.753012048192771	0.802409595481884	0.922172221673209	0.850314645958414	0.802409595481884	0.922172221673209	0.790433332862751	0.94578313253012	0.778457070243618	0.789156626506024	0.850314645958414	0.97007727214974	0.802409595481884	0.838338383339281	0.958101009530607	0.898219696434944	0.994029797388005	0.753012048192771	0.765060240963855	0.682646969290558	1
