Steroidobacter	Chondromyces	Bradyrhizobium	Galbitalea	Phycicoccus	Conexibacter	Terrabacter	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Rhizocola	g__Apodus	Sporichthya	Ilumatobacter	Arenimonas	Pseudolabrys	Chitinimonas	Labilithrix	Thiomonas	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Steroidobacter	1	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	1	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Chondromyces	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	1	0.833333333333333	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Bradyrhizobium	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.928571428571429	1	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Galbitalea	0.952380952380953	0.833333333333333	0.928571428571429	1	0.833333333333333	0.857142857142857	0.880952380952381	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.898219696434944	0.833333333333333	0.952380952380953	1	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Phycicoccus	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	1	0.833333333333333	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Conexibacter	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.928571428571429	1	0.976190476190476	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	0.946124746911475	0.928571428571429	0.952380952380953	0.857142857142857	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.857142857142857	0.904761904761905	0.898219696434944	0.826362120720149	0.922172221673209	0.826362120720149	0.850314645958414	0.898219696434944	0.898219696434944	0.898219696434944
Terrabacter	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Chryseolinea	0.952380952380953	0.833333333333333	0.928571428571429	1	0.833333333333333	0.857142857142857	0.880952380952381	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.898219696434944	0.833333333333333	0.952380952380953	1	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Hyphomicrobium	0.952380952380953	0.857142857142857	0.976190476190476	0.952380952380953	0.857142857142857	0.928571428571429	0.904761904761905	0.952380952380953	1	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.922172221673209	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.880952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.833333333333333	0.880952380952381	0.80952380952381	0.898219696434944	0.826362120720149	0.850314645958414	0.826362120720149	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Ideonella	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Geobacter	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.928571428571429	1	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Rhizocola	1	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	1	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.910195959054077	0.97007727214974	0.898219696434944	0.910195959054077	0.946124746911475	0.946124746911475	0.898219696434944	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.946124746911475	1	0.910195959054077	0.97007727214974	0.898219696434944	0.97007727214974	0.97007727214974	0.910195959054077	0.946124746911475	0.97007727214974	0.838338383339281	0.934148484292342	0.874267171196679	0.921686746987952	0.807228915662651	0.897590361445783	0.807228915662651	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Sporichthya	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	1	0.833333333333333	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.952380952380953	0.833333333333333	0.928571428571429	1	0.833333333333333	0.857142857142857	0.880952380952381	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.898219696434944	0.833333333333333	0.952380952380953	1	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Pseudolabrys	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.928571428571429	1	0.928571428571429	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Chitinimonas	0.952380952380953	0.857142857142857	0.928571428571429	0.928571428571429	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.97007727214974	0.857142857142857	0.952380952380953	0.928571428571429	0.928571428571429	1	0.857142857142857	0.952380952380953	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.874267171196679	0.874267171196679	0.826362120720149	0.874267171196679	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Labilithrix	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.833333333333333	0.904761904761905	0.857142857142857	1	0.833333333333333	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Thiomonas	1	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.833333333333333	1	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Ardenticatena	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.761904761904762	0.976190476190476	0.857142857142857	0.785714285714286	0.976190476190476	0.904761904761905	0.952380952380953	0.785714285714286	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.838338383339281	0.976190476190476	0.904761904761905	0.785714285714286	0.857142857142857	0.761904761904762	0.976190476190476	0.761904761904762	0.904761904761905	1	0.714285714285714	0.80952380952381	0.922172221673209	0.670670706671425	0.97007727214974	0.670670706671425	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Chelativorans	0.857142857142857	0.785714285714286	0.904761904761905	0.785714285714286	0.785714285714286	0.857142857142857	0.80952380952381	0.785714285714286	0.880952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.904761904761905	0.857142857142857	0.934148484292342	0.785714285714286	0.857142857142857	0.785714285714286	0.904761904761905	0.857142857142857	0.785714285714286	0.857142857142857	0.857142857142857	0.714285714285714	1	0.666666666666667	0.850314645958414	0.622765656194895	0.802409595481884	0.622765656194895	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Luteivirga	0.904761904761905	0.857142857142857	0.880952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.928571428571429	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.874267171196679	0.857142857142857	0.904761904761905	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.904761904761905	0.904761904761905	0.80952380952381	0.666666666666667	1	0.790433332862751	0.946124746911475	0.814385858101016	0.946124746911475	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Roseiflexus	0.862290908577547	0.97007727214974	0.922172221673209	0.874267171196679	0.97007727214974	0.898219696434944	0.934148484292342	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.922172221673209	0.874267171196679	0.97007727214974	0.862290908577547	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Sanguibacter	0.922172221673209	0.718575757147955	0.850314645958414	0.898219696434944	0.718575757147955	0.826362120720149	0.826362120720149	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.922172221673209	0.807228915662651	0.718575757147955	0.850314645958414	0.898219696434944	0.850314645958414	0.874267171196679	0.718575757147955	0.922172221673209	0.850314645958414	0.670670706671425	0.622765656194895	0.946124746911475	0.692771084337349	1	0.668674698795181	1	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Acidiphilium	0.814385858101016	0.994029797388005	0.898219696434944	0.802409595481884	0.994029797388005	0.922172221673209	0.958101009530607	0.802409595481884	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.814385858101016	0.897590361445783	0.994029797388005	0.934148484292342	0.802409595481884	0.898219696434944	0.826362120720149	0.994029797388005	0.814385858101016	0.934148484292342	0.97007727214974	0.802409595481884	0.814385858101016	0.975903614457831	0.668674698795181	1	0.668674698795181	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Sulfurisoma	0.922172221673209	0.718575757147955	0.850314645958414	0.898219696434944	0.718575757147955	0.826362120720149	0.826362120720149	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.922172221673209	0.807228915662651	0.718575757147955	0.850314645958414	0.898219696434944	0.850314645958414	0.874267171196679	0.718575757147955	0.922172221673209	0.850314645958414	0.670670706671425	0.622765656194895	0.946124746911475	0.692771084337349	1	0.668674698795181	1	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Aciditerrimonas	0.838338383339281	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.850314645958414	0.886243433815812	0.898219696434944	0.922172221673209	0.886243433815812	0.886243433815812	0.934148484292342	0.886243433815812	0.898219696434944	0.838338383339281	0.873493975903614	0.922172221673209	0.934148484292342	0.898219696434944	0.898219696434944	0.826362120720149	0.922172221673209	0.838338383339281	0.934148484292342	0.898219696434944	0.826362120720149	0.718575757147955	0.975903614457831	0.668674698795181	0.927710843373494	0.668674698795181	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.862290908577547	0.97007727214974	0.922172221673209	0.874267171196679	0.97007727214974	0.898219696434944	0.934148484292342	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.922172221673209	0.874267171196679	0.97007727214974	0.862290908577547	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Sneathiella	0.862290908577547	0.97007727214974	0.922172221673209	0.874267171196679	0.97007727214974	0.898219696434944	0.934148484292342	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.922172221673209	0.874267171196679	0.97007727214974	0.862290908577547	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
Terrimonas	0.862290908577547	0.97007727214974	0.922172221673209	0.874267171196679	0.97007727214974	0.898219696434944	0.934148484292342	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.874267171196679	0.922172221673209	0.874267171196679	0.97007727214974	0.862290908577547	0.958101009530607	0.922172221673209	0.850314645958414	0.790433332862751	1	0.692771084337349	0.975903614457831	0.692771084337349	0.975903614457831	1	1	1
