Sphingomonas	Variovorax	Pseudoxanthomonas	Herbaspirillum	Rhodanobacter	Burkholderia	Achromobacter	Microvirga	Nocardia	Methylophilus	Afipia	Pedomicrobium	Parachlamydia	Oxalicibacterium	g__Phaeosphaeria
Sphingomonas	1	0.880952380952381	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.928571428571429	0.857142857142857	0.880952380952381	0.934148484292342	0.952380952380953
Variovorax	0.880952380952381	1	1	0.833333333333333	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	0.952380952380953	0.666666666666667	0.976190476190476	0.904761904761905	0.666666666666667	0.910195959054077	0.785714285714286
Pseudoxanthomonas	0.880952380952381	1	1	0.833333333333333	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	0.952380952380953	0.666666666666667	0.976190476190476	0.904761904761905	0.666666666666667	0.910195959054077	0.785714285714286
Herbaspirillum	0.976190476190476	0.833333333333333	0.833333333333333	1	0.904761904761905	0.785714285714286	0.857142857142857	0.976190476190476	0.880952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.904761904761905	0.874267171196679	0.904761904761905
Rhodanobacter	0.880952380952381	0.904761904761905	0.904761904761905	0.904761904761905	1	0.714285714285714	0.833333333333333	0.952380952380953	0.976190476190476	0.833333333333333	0.952380952380953	0.761904761904762	0.761904761904762	0.838338383339281	0.761904761904762
Burkholderia	0.880952380952381	0.904761904761905	0.904761904761905	0.785714285714286	0.714285714285714	1	0.738095238095238	0.80952380952381	0.80952380952381	0.595238095238095	0.857142857142857	0.952380952380953	0.690476190476191	0.922172221673209	0.833333333333333
Achromobacter	0.904761904761905	0.761904761904762	0.761904761904762	0.857142857142857	0.833333333333333	0.738095238095238	1	0.80952380952381	0.880952380952381	0.761904761904762	0.833333333333333	0.785714285714286	0.80952380952381	0.850314645958414	0.904761904761905
Microvirga	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.80952380952381	1	0.928571428571429	0.904761904761905	0.952380952380953	0.80952380952381	0.833333333333333	0.898219696434944	0.833333333333333
Nocardia	0.904761904761905	0.952380952380953	0.952380952380953	0.880952380952381	0.976190476190476	0.80952380952381	0.880952380952381	0.928571428571429	1	0.761904761904762	0.976190476190476	0.857142857142857	0.738095238095238	0.898219696434944	0.80952380952381
Methylophilus	0.857142857142857	0.666666666666667	0.666666666666667	0.928571428571429	0.833333333333333	0.595238095238095	0.761904761904762	0.904761904761905	0.761904761904762	1	0.785714285714286	0.642857142857143	0.785714285714286	0.790433332862751	0.738095238095238
Afipia	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.833333333333333	0.952380952380953	0.976190476190476	0.785714285714286	1	0.880952380952381	0.714285714285714	0.934148484292342	0.833333333333333
Pedomicrobium	0.857142857142857	0.904761904761905	0.904761904761905	0.761904761904762	0.761904761904762	0.952380952380953	0.785714285714286	0.80952380952381	0.857142857142857	0.642857142857143	0.880952380952381	1	0.595238095238095	0.97007727214974	0.761904761904762
Parachlamydia	0.880952380952381	0.666666666666667	0.666666666666667	0.904761904761905	0.761904761904762	0.690476190476191	0.80952380952381	0.833333333333333	0.738095238095238	0.785714285714286	0.714285714285714	0.595238095238095	1	0.682646969290558	0.880952380952381
Oxalicibacterium	0.934148484292342	0.910195959054077	0.910195959054077	0.874267171196679	0.838338383339281	0.922172221673209	0.850314645958414	0.898219696434944	0.898219696434944	0.790433332862751	0.934148484292342	0.97007727214974	0.682646969290558	1	0.838338383339281
g__Phaeosphaeria	0.952380952380953	0.785714285714286	0.785714285714286	0.904761904761905	0.761904761904762	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.738095238095238	0.833333333333333	0.761904761904762	0.880952380952381	0.838338383339281	1
