Hyphomicrobium	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Arenimonas	Methylotenera	Niastella	Rhodoligotrophos	Pseudolabrys	Oscillochloris	Labilithrix	Variibacter	Thiomonas	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	Methylosinus	g__Olpidium	Thiobacillus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Hyphomicrobium	1	0.952380952380953	0.857142857142857	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.880952380952381	0.976190476190476	0.850314645958414	0.857142857142857	0.952380952380953	0.952380952380953	0.80952380952381	0.880952380952381	0.952380952380953	0.833333333333333	0.898219696434944	0.850314645958414	0.898219696434944	0.730552019767088	0.754504545005353	0.922172221673209	0.898219696434944	0.898219696434944	0.898219696434944
Asticcacaulis	0.952380952380953	1	0.880952380952381	0.928571428571429	0.857142857142857	0.928571428571429	0.952380952380953	0.880952380952381	0.928571428571429	0.904761904761905	0.862290908577547	0.880952380952381	0.857142857142857	0.857142857142857	0.857142857142857	0.928571428571429	0.928571428571429	0.904761904761905	0.886243433815812	0.862290908577547	0.874267171196679	0.838338383339281	0.850314645958414	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Sporichthya	0.857142857142857	0.880952380952381	1	0.952380952380953	0.904761904761905	0.833333333333333	0.738095238095238	0.857142857142857	0.952380952380953	0.904761904761905	0.994029797388005	1	0.880952380952381	0.833333333333333	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.64671818143316	0.778457070243618	0.586836868337497	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.928571428571429	0.952380952380953	1	0.880952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.928571428571429	0.976190476190476	0.934148484292342	0.952380952380953	0.928571428571429	0.952380952380953	0.880952380952381	0.80952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.826362120720149	0.742528282386221	0.682646969290558	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Nitrospira	0.80952380952381	0.857142857142857	0.904761904761905	0.880952380952381	1	0.785714285714286	0.80952380952381	0.690476190476191	0.976190476190476	0.857142857142857	0.874267171196679	0.904761904761905	0.785714285714286	0.80952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.874267171196679	0.658694444052292	0.610789393575762	0.670670706671425	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Arenimonas	0.952380952380953	0.928571428571429	0.833333333333333	0.952380952380953	0.785714285714286	1	0.880952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.785714285714286	0.874267171196679	0.802409595481884	0.946124746911475	0.754504545005353	0.814385858101016	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Methylotenera	0.928571428571429	0.952380952380953	0.738095238095238	0.833333333333333	0.80952380952381	0.880952380952381	1	0.80952380952381	0.857142857142857	0.857142857142857	0.718575757147955	0.738095238095238	0.80952380952381	0.833333333333333	0.80952380952381	0.976190476190476	0.833333333333333	0.785714285714286	0.742528282386221	0.718575757147955	0.898219696434944	0.718575757147955	0.898219696434944	0.814385858101016	0.742528282386221	0.742528282386221	0.742528282386221
Niastella	0.928571428571429	0.880952380952381	0.857142857142857	0.880952380952381	0.690476190476191	0.833333333333333	0.80952380952381	1	0.80952380952381	0.904761904761905	0.886243433815812	0.857142857142857	0.952380952380953	0.833333333333333	0.690476190476191	0.761904761904762	0.880952380952381	0.833333333333333	0.934148484292342	0.886243433815812	0.730552019767088	0.814385858101016	0.622765656194895	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Rhodoligotrophos	0.880952380952381	0.928571428571429	0.952380952380953	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.80952380952381	1	0.904761904761905	0.934148484292342	0.952380952380953	0.857142857142857	0.833333333333333	0.976190476190476	0.904761904761905	0.928571428571429	0.976190476190476	0.886243433815812	0.934148484292342	0.706599494528823	0.718575757147955	0.69462323190969	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	1	0.898219696434944	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.922172221673209	0.898219696434944	0.826362120720149	0.658694444052292	0.64671818143316	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Oscillochloris	0.850314645958414	0.862290908577547	0.994029797388005	0.934148484292342	0.874267171196679	0.802409595481884	0.718575757147955	0.886243433815812	0.934148484292342	0.898219696434944	1	0.994029797388005	0.898219696434944	0.814385858101016	0.874267171196679	0.742528282386221	0.934148484292342	0.97007727214974	0.975903614457831	1	0.608433734939759	0.783132530120482	0.548192771084337	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.857142857142857	0.880952380952381	1	0.952380952380953	0.904761904761905	0.833333333333333	0.738095238095238	0.857142857142857	0.952380952380953	0.904761904761905	0.994029797388005	1	0.880952380952381	0.833333333333333	0.904761904761905	0.761904761904762	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.64671818143316	0.778457070243618	0.586836868337497	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
