Hyphomicrobium	Asticcacaulis	Sporichthya	Ilumatobacter	Nitrospira	Arenimonas	Methylotenera	Niastella	Rhodoligotrophos	Pseudolabrys	Oscillochloris	Labilithrix	Variibacter	Thiomonas	Tumebacillus	Clavibacter	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	Methylosinus	g__Olpidium	Thiobacillus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Variibacter	0.952380952380953	0.857142857142857	0.880952380952381	0.928571428571429	0.785714285714286	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.976190476190476	0.898219696434944	0.880952380952381	1	0.928571428571429	0.785714285714286	0.785714285714286	0.928571428571429	0.833333333333333	0.922172221673209	0.898219696434944	0.742528282386221	0.658694444052292	0.562884343099232	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	0.952380952380953	0.857142857142857	0.833333333333333	0.952380952380953	0.80952380952381	0.952380952380953	0.833333333333333	0.833333333333333	0.833333333333333	0.976190476190476	0.814385858101016	0.833333333333333	0.928571428571429	1	0.80952380952381	0.785714285714286	0.952380952380953	0.761904761904762	0.862290908577547	0.814385858101016	0.874267171196679	0.59881313095663	0.670670706671425	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Tumebacillus	0.80952380952381	0.857142857142857	0.904761904761905	0.880952380952381	1	0.785714285714286	0.80952380952381	0.690476190476191	0.976190476190476	0.857142857142857	0.874267171196679	0.904761904761905	0.785714285714286	0.80952380952381	1	0.880952380952381	0.880952380952381	0.928571428571429	0.802409595481884	0.874267171196679	0.658694444052292	0.610789393575762	0.670670706671425	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Clavibacter	0.880952380952381	0.928571428571429	0.761904761904762	0.80952380952381	0.880952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.904761904761905	0.833333333333333	0.742528282386221	0.761904761904762	0.785714285714286	0.785714285714286	0.880952380952381	1	0.80952380952381	0.833333333333333	0.718575757147955	0.742528282386221	0.802409595481884	0.670670706671425	0.850314645958414	0.766480807624486	0.718575757147955	0.718575757147955	0.718575757147955
Ardenticatena	0.952380952380953	0.928571428571429	0.952380952380953	1	0.880952380952381	0.952380952380953	0.833333333333333	0.880952380952381	0.928571428571429	0.976190476190476	0.934148484292342	0.952380952380953	0.928571428571429	0.952380952380953	0.880952380952381	0.80952380952381	1	0.904761904761905	0.958101009530607	0.934148484292342	0.826362120720149	0.742528282386221	0.682646969290558	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.833333333333333	0.904761904761905	0.976190476190476	0.904761904761905	0.928571428571429	0.785714285714286	0.785714285714286	0.833333333333333	0.976190476190476	0.857142857142857	0.97007727214974	0.976190476190476	0.833333333333333	0.761904761904762	0.928571428571429	0.833333333333333	0.904761904761905	1	0.922172221673209	0.97007727214974	0.622765656194895	0.802409595481884	0.64671818143316	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Roseiflexus	0.898219696434944	0.886243433815812	0.97007727214974	0.958101009530607	0.802409595481884	0.874267171196679	0.742528282386221	0.934148484292342	0.886243433815812	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.802409595481884	0.718575757147955	0.958101009530607	0.922172221673209	1	0.975903614457831	0.704819277108434	0.831325301204819	0.596385542168675	0.975903614457831	1	1	1
Acidiphilium	0.850314645958414	0.862290908577547	0.994029797388005	0.934148484292342	0.874267171196679	0.802409595481884	0.718575757147955	0.886243433815812	0.934148484292342	0.898219696434944	1	0.994029797388005	0.898219696434944	0.814385858101016	0.874267171196679	0.742528282386221	0.934148484292342	0.97007727214974	0.975903614457831	1	0.608433734939759	0.783132530120482	0.548192771084337	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Methylosinus	0.898219696434944	0.874267171196679	0.64671818143316	0.826362120720149	0.658694444052292	0.946124746911475	0.898219696434944	0.730552019767088	0.706599494528823	0.826362120720149	0.608433734939759	0.64671818143316	0.742528282386221	0.874267171196679	0.658694444052292	0.802409595481884	0.826362120720149	0.622765656194895	0.704819277108434	0.608433734939759	1	0.656626506024096	0.86144578313253	0.77710843373494	0.704819277108434	0.704819277108434	0.704819277108434
g__Olpidium	0.730552019767088	0.838338383339281	0.778457070243618	0.742528282386221	0.610789393575762	0.754504545005353	0.718575757147955	0.814385858101016	0.718575757147955	0.658694444052292	0.783132530120482	0.778457070243618	0.658694444052292	0.59881313095663	0.610789393575762	0.670670706671425	0.742528282386221	0.802409595481884	0.831325301204819	0.783132530120482	0.656626506024096	1	0.77710843373494	0.903614457831325	0.831325301204819	0.831325301204819	0.831325301204819
Thiobacillus	0.754504545005353	0.850314645958414	0.586836868337497	0.682646969290558	0.670670706671425	0.814385858101016	0.898219696434944	0.622765656194895	0.69462323190969	0.64671818143316	0.548192771084337	0.586836868337497	0.562884343099232	0.670670706671425	0.670670706671425	0.850314645958414	0.682646969290558	0.64671818143316	0.596385542168675	0.548192771084337	0.86144578313253	0.77710843373494	1	0.704819277108434	0.596385542168675	0.596385542168675	0.596385542168675
Aciditerrimonas	0.922172221673209	0.934148484292342	0.922172221673209	0.934148484292342	0.754504545005353	0.898219696434944	0.814385858101016	0.958101009530607	0.862290908577547	0.898219696434944	0.927710843373494	0.922172221673209	0.898219696434944	0.838338383339281	0.754504545005353	0.766480807624486	0.934148484292342	0.898219696434944	0.975903614457831	0.927710843373494	0.77710843373494	0.903614457831325	0.704819277108434	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.898219696434944	0.886243433815812	0.97007727214974	0.958101009530607	0.802409595481884	0.874267171196679	0.742528282386221	0.934148484292342	0.886243433815812	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.802409595481884	0.718575757147955	0.958101009530607	0.922172221673209	1	0.975903614457831	0.704819277108434	0.831325301204819	0.596385542168675	0.975903614457831	1	1	1
Sneathiella	0.898219696434944	0.886243433815812	0.97007727214974	0.958101009530607	0.802409595481884	0.874267171196679	0.742528282386221	0.934148484292342	0.886243433815812	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.802409595481884	0.718575757147955	0.958101009530607	0.922172221673209	1	0.975903614457831	0.704819277108434	0.831325301204819	0.596385542168675	0.975903614457831	1	1	1
Terrimonas	0.898219696434944	0.886243433815812	0.97007727214974	0.958101009530607	0.802409595481884	0.874267171196679	0.742528282386221	0.934148484292342	0.886243433815812	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.862290908577547	0.802409595481884	0.718575757147955	0.958101009530607	0.922172221673209	1	0.975903614457831	0.704819277108434	0.831325301204819	0.596385542168675	0.975903614457831	1	1	1
