Asticcacaulis	Methylotenera	Rhodoligotrophos	Neptunomonas	Pseudolabrys	Clavibacter	Methylosinus	Armatimonadetes_gp5	Thiobacillus
Asticcacaulis	1	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.928571428571429	0.874267171196679	0.826362120720149	0.850314645958414
Methylotenera	0.952380952380953	1	0.857142857142857	0.880952380952381	0.857142857142857	0.976190476190476	0.898219696434944	0.850314645958414	0.898219696434944
Rhodoligotrophos	0.928571428571429	0.857142857142857	1	0.833333333333333	0.904761904761905	0.904761904761905	0.706599494528823	0.922172221673209	0.69462323190969
Neptunomonas	0.833333333333333	0.880952380952381	0.833333333333333	1	0.738095238095238	0.904761904761905	0.802409595481884	0.946124746911475	0.886243433815812
Pseudolabrys	0.904761904761905	0.857142857142857	0.904761904761905	0.738095238095238	1	0.833333333333333	0.826362120720149	0.802409595481884	0.64671818143316
Clavibacter	0.928571428571429	0.976190476190476	0.904761904761905	0.904761904761905	0.833333333333333	1	0.802409595481884	0.922172221673209	0.850314645958414
Methylosinus	0.874267171196679	0.898219696434944	0.706599494528823	0.802409595481884	0.826362120720149	0.802409595481884	1	0.686746987951807	0.86144578313253
Armatimonadetes_gp5	0.826362120720149	0.850314645958414	0.922172221673209	0.946124746911475	0.802409595481884	0.922172221673209	0.686746987951807	1	0.740963855421687
Thiobacillus	0.850314645958414	0.898219696434944	0.69462323190969	0.886243433815812	0.64671818143316	0.850314645958414	0.86144578313253	0.740963855421687	1
