Aeromicrobium	Steroidobacter	Umezawaea	Solirubrobacter	Cellulomonas	Bradyrhizobium	Amycolatopsis	Galbitalea	Gaiella	Conexibacter	Micromonospora	Terrabacter	Dactylosporangium	Rudaibacter	Phenylobacterium	Nitrobacter	Polaromonas	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Saccharothrix	Ilumatobacter	Arenimonas	Catellatospora	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma	Polyangium
Aeromicrobium	1	0.904761904761905	0.952380952380953	0.976190476190476	1	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.928571428571429	0.738095238095238	0.714285714285714	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	1	0.946124746911475	0.898219696434944	0.946124746911475	0.904761904761905
Steroidobacter	0.904761904761905	1	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209	0.80952380952381
Umezawaea	0.952380952380953	0.976190476190476	1	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	0.904761904761905	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.976190476190476	0.904761904761905	0.976190476190476	0.898219696434944	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.928571428571429	0.904761904761905	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.97007727214974	0.922172221673209	0.97007727214974	0.857142857142857
Solirubrobacter	0.976190476190476	0.880952380952381	0.904761904761905	1	0.976190476190476	0.904761904761905	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.761904761904762	0.976190476190476	0.785714285714286	0.761904761904762	0.904761904761905	0.690476190476191	0.642857142857143	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.880952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.833333333333333	0.690476190476191	0.880952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.874267171196679	0.802409595481884	0.874267171196679	0.833333333333333
Cellulomonas	1	0.904761904761905	0.952380952380953	0.976190476190476	1	0.880952380952381	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.928571428571429	0.738095238095238	0.714285714285714	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.904761904761905	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.785714285714286	0.80952380952381	0.904761904761905	0.880952380952381	0.904761904761905	1	0.946124746911475	0.898219696434944	0.946124746911475	0.904761904761905
Bradyrhizobium	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.785714285714286	0.833333333333333	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.785714285714286	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.850314645958414	0.754504545005353	0.850314645958414	0.738095238095238
Amycolatopsis	0.880952380952381	0.952380952380953	0.976190476190476	0.80952380952381	0.880952380952381	0.880952380952381	1	0.857142857142857	0.857142857142857	0.833333333333333	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.80952380952381	0.952380952380953	0.838338383339281	0.80952380952381	0.833333333333333	0.857142857142857	0.904761904761905	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	1	0.833333333333333	0.880952380952381	0.934148484292342	0.886243433815812	0.934148484292342	0.833333333333333
Galbitalea	0.857142857142857	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.857142857142857	1	0.80952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.761904761904762	0.952380952380953	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944	0.80952380952381
Gaiella	0.952380952380953	0.904761904761905	0.928571428571429	0.976190476190476	0.952380952380953	0.928571428571429	0.857142857142857	0.80952380952381	1	0.976190476190476	0.785714285714286	0.952380952380953	0.833333333333333	0.785714285714286	0.952380952380953	0.785714285714286	0.666666666666667	0.80952380952381	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.880952380952381	0.928571428571429	0.976190476190476	0.857142857142857	0.976190476190476	0.928571428571429	0.880952380952381	0.714285714285714	0.904761904761905	0.857142857142857	0.904761904761905	0.952380952380953	0.874267171196679	0.802409595481884	0.874267171196679	0.761904761904762
Conexibacter	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	1	0.80952380952381	0.976190476190476	0.857142857142857	0.80952380952381	0.880952380952381	0.761904761904762	0.714285714285714	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.946124746911475	0.833333333333333	0.952380952380953	0.857142857142857	0.857142857142857	0.80952380952381	0.976190476190476	0.928571428571429	0.880952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.666666666666667	0.928571428571429	0.833333333333333	0.952380952380953	0.904761904761905	0.826362120720149	0.730552019767088	0.826362120720149	0.714285714285714
