Aeromicrobium	Steroidobacter	Umezawaea	Solirubrobacter	Cellulomonas	Bradyrhizobium	Amycolatopsis	Galbitalea	Gaiella	Conexibacter	Micromonospora	Terrabacter	Dactylosporangium	Rudaibacter	Phenylobacterium	Nitrobacter	Polaromonas	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Saccharothrix	Ilumatobacter	Arenimonas	Catellatospora	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Methyloceanibacter	Povalibacter	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Luteivirga	Sanguibacter	Tahibacter	Sulfurisoma	Polyangium
Micromonospora	0.80952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.785714285714286	0.80952380952381	1	0.785714285714286	0.904761904761905	1	0.738095238095238	0.714285714285714	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.714285714285714	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.857142857142857	0.80952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.80952380952381	0.922172221673209	0.874267171196679	0.922172221673209	0.714285714285714
Terrabacter	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	1	0.80952380952381	0.785714285714286	0.833333333333333	0.666666666666667	0.690476190476191	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.80952380952381	0.976190476190476	0.880952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.642857142857143	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.826362120720149	0.730552019767088	0.826362120720149	0.785714285714286
Dactylosporangium	0.833333333333333	0.976190476190476	0.952380952380953	0.785714285714286	0.833333333333333	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.857142857142857	0.904761904761905	0.80952380952381	1	0.904761904761905	0.833333333333333	0.904761904761905	0.952380952380953	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.880952380952381	0.80952380952381	0.928571428571429	0.904761904761905	0.785714285714286	0.976190476190476	0.886243433815812	0.738095238095238	0.880952380952381	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.880952380952381	0.904761904761905	0.785714285714286	0.833333333333333	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.886243433815812	0.814385858101016	0.886243433815812	0.785714285714286
Rudaibacter	0.80952380952381	0.928571428571429	0.904761904761905	0.761904761904762	0.80952380952381	0.880952380952381	0.880952380952381	0.952380952380953	0.785714285714286	0.80952380952381	1	0.785714285714286	0.904761904761905	1	0.738095238095238	0.714285714285714	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.785714285714286	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.761904761904762	0.928571428571429	0.802409595481884	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.714285714285714	0.880952380952381	0.833333333333333	0.833333333333333	0.761904761904762	0.857142857142857	0.80952380952381	0.857142857142857	0.928571428571429	0.880952380952381	0.857142857142857	0.80952380952381	0.922172221673209	0.874267171196679	0.922172221673209	0.714285714285714
Phenylobacterium	0.928571428571429	0.857142857142857	0.928571428571429	0.904761904761905	0.928571428571429	0.833333333333333	0.904761904761905	0.714285714285714	0.952380952380953	0.880952380952381	0.738095238095238	0.833333333333333	0.833333333333333	0.738095238095238	1	0.880952380952381	0.666666666666667	0.714285714285714	0.738095238095238	0.833333333333333	0.833333333333333	0.785714285714286	0.833333333333333	0.833333333333333	0.880952380952381	0.904761904761905	0.857142857142857	0.790433332862751	0.904761904761905	0.785714285714286	0.714285714285714	0.952380952380953	0.976190476190476	0.833333333333333	0.976190476190476	0.785714285714286	0.904761904761905	0.952380952380953	0.785714285714286	0.80952380952381	0.857142857142857	0.904761904761905	0.785714285714286	0.928571428571429	0.886243433815812	0.838338383339281	0.886243433815812	0.785714285714286
Nitrobacter	0.738095238095238	0.833333333333333	0.857142857142857	0.690476190476191	0.738095238095238	0.785714285714286	0.928571428571429	0.666666666666667	0.785714285714286	0.761904761904762	0.714285714285714	0.666666666666667	0.904761904761905	0.714285714285714	0.880952380952381	1	0.80952380952381	0.666666666666667	0.714285714285714	0.666666666666667	0.666666666666667	0.690476190476191	0.666666666666667	0.785714285714286	0.761904761904762	0.690476190476191	0.833333333333333	0.718575757147955	0.690476190476191	0.690476190476191	0.666666666666667	0.785714285714286	0.952380952380953	0.785714285714286	0.833333333333333	0.714285714285714	0.690476190476191	0.785714285714286	0.80952380952381	0.857142857142857	0.833333333333333	0.928571428571429	0.690476190476191	0.738095238095238	0.766480807624486	0.69462323190969	0.766480807624486	0.690476190476191
Polaromonas	0.714285714285714	0.904761904761905	0.857142857142857	0.642857142857143	0.714285714285714	0.833333333333333	0.904761904761905	0.904761904761905	0.666666666666667	0.714285714285714	0.904761904761905	0.690476190476191	0.952380952380953	0.904761904761905	0.666666666666667	0.80952380952381	1	0.904761904761905	0.857142857142857	0.690476190476191	0.690476190476191	0.80952380952381	0.690476190476191	0.833333333333333	0.833333333333333	0.642857142857143	0.904761904761905	0.778457070243618	0.619047619047619	0.80952380952381	0.904761904761905	0.714285714285714	0.714285714285714	0.833333333333333	0.738095238095238	0.833333333333333	0.642857142857143	0.714285714285714	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.714285714285714	0.826362120720149	0.754504545005353	0.826362120720149	0.761904761904762
Chryseolinea	0.857142857142857	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.857142857142857	1	0.80952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.761904761904762	0.952380952380953	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944	0.80952380952381
Hyphomicrobium	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.80952380952381	0.976190476190476	0.833333333333333	0.952380952380953	0.857142857142857	0.928571428571429	0.928571428571429	0.904761904761905	0.904761904761905	0.928571428571429	0.738095238095238	0.714285714285714	0.857142857142857	0.952380952380953	1	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.857142857142857	0.833333333333333	0.952380952380953	0.922172221673209	0.761904761904762	0.952380952380953	0.952380952380953	0.785714285714286	0.690476190476191	0.976190476190476	0.833333333333333	0.880952380952381	0.833333333333333	0.785714285714286	0.952380952380953	0.714285714285714	0.952380952380953	0.833333333333333	0.952380952380953	0.80952380952381	0.826362120720149	0.730552019767088	0.826362120720149	0.666666666666667
Ideonella	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	1	0.80952380952381	0.785714285714286	0.833333333333333	0.666666666666667	0.690476190476191	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.80952380952381	0.976190476190476	0.880952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.642857142857143	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.826362120720149	0.730552019767088	0.826362120720149	0.785714285714286
Marmoricola	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	1	0.80952380952381	0.785714285714286	0.833333333333333	0.666666666666667	0.690476190476191	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.80952380952381	0.976190476190476	0.880952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.642857142857143	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.826362120720149	0.730552019767088	0.826362120720149	0.785714285714286
Geobacter	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.880952380952381	0.857142857142857	0.785714285714286	0.690476190476191	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.761904761904762	1	0.952380952380953	0.80952380952381	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.904761904761905	0.850314645958414	0.754504545005353	0.850314645958414	0.80952380952381
Gemmatimonas	0.928571428571429	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.952380952380953	0.785714285714286	0.880952380952381	0.952380952380953	0.976190476190476	0.785714285714286	1	0.80952380952381	0.785714285714286	0.833333333333333	0.666666666666667	0.690476190476191	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.80952380952381	0.976190476190476	0.880952380952381	0.833333333333333	0.738095238095238	0.952380952380953	0.904761904761905	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.642857142857143	0.904761904761905	0.785714285714286	0.976190476190476	0.928571428571429	0.826362120720149	0.730552019767088	0.826362120720149	0.785714285714286
Dongia	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.785714285714286	0.833333333333333	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.785714285714286	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.850314645958414	0.754504545005353	0.850314645958414	0.738095238095238
Aquihabitans	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.880952380952381	0.880952380952381	0.761904761904762	0.833333333333333	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	1	0.928571428571429	0.952380952380953	0.898219696434944	0.857142857142857	0.928571428571429	0.928571428571429	0.928571428571429	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.928571428571429	0.80952380952381	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.97007727214974	0.922172221673209	0.97007727214974	0.928571428571429
Haliangium	0.976190476190476	0.880952380952381	0.904761904761905	1	0.976190476190476	0.904761904761905	0.80952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.761904761904762	0.976190476190476	0.785714285714286	0.761904761904762	0.904761904761905	0.690476190476191	0.642857142857143	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.880952380952381	0.928571428571429	0.833333333333333	0.904761904761905	0.80952380952381	0.904761904761905	0.952380952380953	0.880952380952381	1	0.904761904761905	0.833333333333333	0.690476190476191	0.880952380952381	0.80952380952381	0.928571428571429	0.976190476190476	0.874267171196679	0.802409595481884	0.874267171196679	0.833333333333333
Rhizocola	0.904761904761905	1	0.976190476190476	0.880952380952381	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.904761904761905	0.928571428571429	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	1	0.946124746911475	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.904761904761905	0.922172221673209	0.850314645958414	0.922172221673209	0.80952380952381
g__Apodus	0.874267171196679	0.946124746911475	0.898219696434944	0.898219696434944	0.874267171196679	0.97007727214974	0.838338383339281	0.898219696434944	0.898219696434944	0.946124746911475	0.802409595481884	0.946124746911475	0.886243433815812	0.802409595481884	0.790433332862751	0.718575757147955	0.778457070243618	0.898219696434944	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.898219696434944	0.946124746911475	1	0.706599494528823	0.97007727214974	0.898219696434944	0.778457070243618	0.730552019767088	0.97007727214974	0.874267171196679	0.97007727214974	0.898219696434944	0.778457070243618	0.934148484292342	0.682646969290558	0.946124746911475	0.838338383339281	0.97007727214974	0.874267171196679	0.807228915662651	0.734939759036145	0.807228915662651	0.754504545005353
Saccharothrix	0.904761904761905	0.80952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.785714285714286	0.80952380952381	0.761904761904762	0.904761904761905	0.833333333333333	0.833333333333333	0.80952380952381	0.738095238095238	0.833333333333333	0.904761904761905	0.690476190476191	0.619047619047619	0.761904761904762	0.761904761904762	0.80952380952381	0.80952380952381	0.761904761904762	0.80952380952381	0.785714285714286	0.857142857142857	0.880952380952381	0.80952380952381	0.706599494528823	1	0.761904761904762	0.761904761904762	0.976190476190476	0.833333333333333	0.785714285714286	0.928571428571429	0.714285714285714	0.880952380952381	0.976190476190476	0.690476190476191	0.761904761904762	0.80952380952381	0.80952380952381	0.761904761904762	0.904761904761905	0.922172221673209	0.898219696434944	0.922172221673209	0.714285714285714
Ilumatobacter	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.880952380952381	0.857142857142857	0.785714285714286	0.690476190476191	0.80952380952381	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.928571428571429	0.952380952380953	0.97007727214974	0.761904761904762	1	0.952380952380953	0.80952380952381	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.904761904761905	0.850314645958414	0.754504545005353	0.850314645958414	0.80952380952381
Arenimonas	0.857142857142857	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.928571428571429	0.857142857142857	1	0.80952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.904761904761905	0.952380952380953	0.714285714285714	0.666666666666667	0.904761904761905	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.833333333333333	0.952380952380953	0.898219696434944	0.761904761904762	0.952380952380953	1	0.80952380952381	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.80952380952381	0.857142857142857	0.80952380952381	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.898219696434944	0.826362120720149	0.898219696434944	0.80952380952381
Catellatospora	0.952380952380953	0.880952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.904761904761905	0.80952380952381	0.928571428571429	0.857142857142857	0.857142857142857	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.785714285714286	0.714285714285714	0.80952380952381	0.785714285714286	0.833333333333333	0.833333333333333	0.80952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.778457070243618	0.976190476190476	0.80952380952381	0.80952380952381	1	0.904761904761905	0.833333333333333	0.976190476190476	0.80952380952381	0.904761904761905	1	0.738095238095238	0.857142857142857	0.880952380952381	0.904761904761905	0.80952380952381	0.952380952380953	0.97007727214974	0.946124746911475	0.97007727214974	0.80952380952381
Panacagrimonas	0.857142857142857	0.833333333333333	0.904761904761905	0.80952380952381	0.857142857142857	0.785714285714286	0.928571428571429	0.666666666666667	0.880952380952381	0.80952380952381	0.714285714285714	0.738095238095238	0.857142857142857	0.714285714285714	0.976190476190476	0.952380952380953	0.714285714285714	0.666666666666667	0.690476190476191	0.738095238095238	0.738095238095238	0.714285714285714	0.738095238095238	0.785714285714286	0.833333333333333	0.80952380952381	0.833333333333333	0.730552019767088	0.833333333333333	0.714285714285714	0.666666666666667	0.904761904761905	1	0.785714285714286	0.928571428571429	0.738095238095238	0.80952380952381	0.904761904761905	0.761904761904762	0.857142857142857	0.833333333333333	0.928571428571429	0.714285714285714	0.857142857142857	0.850314645958414	0.802409595481884	0.850314645958414	0.761904761904762
Pseudolabrys	0.880952380952381	0.976190476190476	0.928571428571429	0.904761904761905	0.880952380952381	1	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.785714285714286	0.833333333333333	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.904761904761905	0.976190476190476	0.97007727214974	0.785714285714286	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.904761904761905	0.833333333333333	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.850314645958414	0.754504545005353	0.850314645958414	0.738095238095238
Ramlibacter	0.976190476190476	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.976190476190476	0.928571428571429	0.833333333333333	0.904761904761905	0.880952380952381	0.833333333333333	0.976190476190476	0.833333333333333	0.738095238095238	0.833333333333333	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	0.874267171196679	0.928571428571429	0.880952380952381	0.833333333333333	0.976190476190476	0.928571428571429	0.904761904761905	1	0.880952380952381	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.976190476190476	0.946124746911475	0.898219696434944	0.946124746911475	0.833333333333333
