Nocardioides	Aeromicrobium	Agromyces	Arthrobacter	Solirubrobacter	Cellulomonas	Gaiella	Conexibacter	g__Exophiala	Terrabacter	Paenibacillus	Saccharibacteria_genera_incertae_sedis	Aquabacterium	Phenylobacterium	g__Mortierella	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Haliangium	Rhizocola	g__Apodus	Knoellia	Saccharothrix	Sporosarcina	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Panacagrimonas	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Labilithrix	Variibacter	Adhaeribacter	Nitrincola	Lautropia	Thiomonas	Halobacteriovorax	Tumebacillus	Cohnella	Ardenticatena	Gp22	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Acidiphilium	Sulfurisoma	Armatimonadetes_gp5
Nocardioides	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.785714285714286	0.880952380952381	0.880952380952381	0.857142857142857	0.880952380952381	0.976190476190476	0.904761904761905	0.761904761904762	0.880952380952381	0.880952380952381	0.857142857142857	0.80952380952381	0.880952380952381	0.857142857142857	0.833333333333333	0.928571428571429	0.833333333333333	0.814385858101016	0.904761904761905	0.880952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.904761904761905	0.904761904761905	0.904761904761905	0.880952380952381	0.928571428571429	0.857142857142857	0.857142857142857	0.952380952380953	0.761904761904762	0.802409595481884	0.833333333333333	0.928571428571429	0.976190476190476	0.833333333333333	0.904761904761905	0.80952380952381	0.833333333333333	0.850314645958414	0.850314645958414	0.976190476190476	0.833333333333333	0.833333333333333	0.904761904761905	0.928571428571429	0.80952380952381	0.785714285714286	0.833333333333333	0.904761904761905	0.857142857142857	0.814385858101016	0.802409595481884	0.814385858101016	0.886243433815812
Aeromicrobium	0.904761904761905	1	0.976190476190476	0.857142857142857	0.976190476190476	1	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.928571428571429	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.904761904761905	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.785714285714286	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.738095238095238	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.946124746911475	0.814385858101016	0.946124746911475	0.898219696434944
Agromyces	0.928571428571429	0.976190476190476	1	0.928571428571429	1	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.833333333333333	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.898219696434944	0.874267171196679	0.922172221673209
Arthrobacter	0.904761904761905	0.857142857142857	0.928571428571429	1	0.928571428571429	0.857142857142857	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.80952380952381	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.80952380952381	0.928571428571429	0.857142857142857	0.874267171196679	0.952380952380953	0.857142857142857	0.80952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.857142857142857	0.833333333333333	0.880952380952381	0.738095238095238	0.976190476190476	0.928571428571429	0.880952380952381	0.785714285714286	0.898219696434944	0.80952380952381	0.928571428571429	0.833333333333333	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.814385858101016	0.790433332862751	0.833333333333333	0.857142857142857	0.738095238095238	0.952380952380953	0.785714285714286	0.904761904761905	0.928571428571429	0.833333333333333	0.857142857142857	0.904761904761905	0.778457070243618	0.898219696434944	0.778457070243618	0.922172221673209
Solirubrobacter	0.928571428571429	0.976190476190476	1	0.928571428571429	1	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	0.952380952380953	0.857142857142857	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.928571428571429	1	0.880952380952381	0.898219696434944	0.976190476190476	0.880952380952381	0.928571428571429	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.928571428571429	0.833333333333333	0.886243433815812	0.910195959054077	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.761904761904762	0.928571428571429	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.898219696434944	0.874267171196679	0.922172221673209
Cellulomonas	0.904761904761905	1	0.976190476190476	0.857142857142857	0.976190476190476	1	0.952380952380953	0.904761904761905	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.785714285714286	0.928571428571429	0.928571428571429	0.80952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.874267171196679	0.928571428571429	0.904761904761905	0.904761904761905	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.976190476190476	0.904761904761905	0.814385858101016	0.880952380952381	0.976190476190476	0.880952380952381	0.880952380952381	0.952380952380953	0.857142857142857	0.785714285714286	0.862290908577547	0.862290908577547	0.880952380952381	0.904761904761905	0.880952380952381	0.928571428571429	0.738095238095238	0.904761904761905	0.80952380952381	0.880952380952381	1	0.904761904761905	0.946124746911475	0.814385858101016	0.946124746911475	0.898219696434944
Gaiella	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.952380952380953	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.928571428571429	0.904761904761905	0.976190476190476	0.904761904761905	0.898219696434944	0.952380952380953	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.928571428571429	0.904761904761905	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.857142857142857	0.862290908577547	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.928571428571429	0.880952380952381	0.880952380952381	0.850314645958414	0.850314645958414	0.928571428571429	0.904761904761905	0.857142857142857	0.952380952380953	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.952380952380953	0.904761904761905	0.874267171196679	0.862290908577547	0.874267171196679	0.922172221673209
Conexibacter	0.928571428571429	0.904761904761905	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	1	0.904761904761905	0.976190476190476	0.857142857142857	0.952380952380953	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.946124746911475	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.952380952380953	0.928571428571429	0.880952380952381	0.857142857142857	0.857142857142857	0.80952380952381	0.952380952380953	0.976190476190476	0.928571428571429	0.880952380952381	0.922172221673209	0.833333333333333	0.952380952380953	0.857142857142857	0.833333333333333	0.857142857142857	0.928571428571429	0.952380952380953	0.766480807624486	0.814385858101016	0.857142857142857	0.928571428571429	0.833333333333333	0.928571428571429	0.833333333333333	0.952380952380953	0.904761904761905	0.785714285714286	0.904761904761905	0.857142857142857	0.826362120720149	0.922172221673209	0.826362120720149	0.874267171196679
g__Exophiala	0.785714285714286	0.80952380952381	0.904761904761905	0.928571428571429	0.904761904761905	0.80952380952381	0.857142857142857	0.904761904761905	1	0.952380952380953	0.833333333333333	0.976190476190476	0.833333333333333	0.690476190476191	0.928571428571429	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.904761904761905	0.761904761904762	0.838338383339281	0.928571428571429	0.714285714285714	0.80952380952381	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.690476190476191	0.904761904761905	0.571428571428572	0.976190476190476	0.857142857142857	0.761904761904762	0.761904761904762	0.97007727214974	0.904761904761905	0.904761904761905	0.761904761904762	0.904761904761905	0.690476190476191	0.976190476190476	0.833333333333333	0.802409595481884	0.874267171196679	0.761904761904762	0.761904761904762	0.595238095238095	0.928571428571429	0.642857142857143	0.904761904761905	1	0.833333333333333	0.80952380952381	0.857142857142857	0.670670706671425	0.97007727214974	0.670670706671425	0.838338383339281
Terrabacter	0.880952380952381	0.928571428571429	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	1	1	0.976190476190476	0.976190476190476	1	0.952380952380953	0.904761904761905	0.976190476190476	0.904761904761905	0.946124746911475	0.952380952380953	0.80952380952381	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.833333333333333	0.904761904761905	0.738095238095238	0.976190476190476	0.952380952380953	0.904761904761905	0.904761904761905	0.958101009530607	0.904761904761905	0.976190476190476	0.833333333333333	0.904761904761905	0.833333333333333	0.976190476190476	0.904761904761905	0.802409595481884	0.874267171196679	0.833333333333333	0.904761904761905	0.785714285714286	0.952380952380953	0.738095238095238	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.880952380952381	0.826362120720149	0.958101009530607	0.826362120720149	0.874267171196679
