Chondromyces	Phycicoccus	g__Exophiala	Terrabacter	Ideonella	Marmoricola	Gemmatimonas	Sporichthya	Ohtaekwangia	Oscillochloris	Nannocystis	Methyloceanibacter	Sulfuriferula	Amaricoccus	Labilithrix	Variibacter	Uliginosibacterium	Nitrincola	Tumebacillus	Gp3	Ardenticatena	Gp22	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Chondromyces	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Phycicoccus	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
g__Exophiala	0.976190476190476	0.976190476190476	1	0.952380952380953	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.946124746911475	0.97007727214974	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.874267171196679	0.928571428571429	0.833333333333333	0.904761904761905	1	0.922172221673209	0.97007727214974	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Terrabacter	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.785714285714286	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Ideonella	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.785714285714286	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Marmoricola	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.785714285714286	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Gemmatimonas	0.976190476190476	0.976190476190476	0.952380952380953	1	1	1	1	0.976190476190476	0.910195959054077	0.958101009530607	0.904761904761905	0.976190476190476	0.785714285714286	0.904761904761905	0.976190476190476	0.904761904761905	0.857142857142857	0.874267171196679	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.934148484292342	0.958101009530607	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Sporichthya	1	1	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.97007727214974	0.994029797388005	0.928571428571429	0.928571428571429	0.833333333333333	0.928571428571429	1	0.880952380952381	0.904761904761905	0.898219696434944	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ohtaekwangia	0.97007727214974	0.97007727214974	0.946124746911475	0.910195959054077	0.910195959054077	0.910195959054077	0.910195959054077	0.97007727214974	1	0.975903614457831	0.958101009530607	0.874267171196679	0.898219696434944	0.958101009530607	0.97007727214974	0.802409595481884	0.922172221673209	0.94578313253012	0.850314645958414	0.898219696434944	0.862290908577547	0.946124746911475	0.927710843373494	0.975903614457831	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Oscillochloris	0.994029797388005	0.994029797388005	0.97007727214974	0.958101009530607	0.958101009530607	0.958101009530607	0.958101009530607	0.994029797388005	0.975903614457831	1	0.910195959054077	0.898219696434944	0.874267171196679	0.910195959054077	0.994029797388005	0.898219696434944	0.898219696434944	0.885542168674699	0.874267171196679	0.922172221673209	0.934148484292342	0.97007727214974	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
