Niastella	Kineosporia	Pseudolabrys	Oscillochloris	Labilithrix	Variibacter	Gp3	Ardenticatena	Chelativorans	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Niastella	1	0.952380952380953	0.904761904761905	0.886243433815812	0.857142857142857	0.952380952380953	0.904761904761905	0.880952380952381	0.880952380952381	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Kineosporia	0.952380952380953	1	0.80952380952381	0.730552019767088	0.690476190476191	0.880952380952381	0.833333333333333	0.761904761904762	0.880952380952381	0.826362120720149	0.730552019767088	0.874267171196679	0.826362120720149	0.826362120720149	0.826362120720149
Pseudolabrys	0.904761904761905	0.80952380952381	1	0.898219696434944	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.904761904761905	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Oscillochloris	0.886243433815812	0.730552019767088	0.898219696434944	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.802409595481884	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Labilithrix	0.857142857142857	0.690476190476191	0.904761904761905	0.994029797388005	1	0.880952380952381	0.904761904761905	0.952380952380953	0.785714285714286	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.952380952380953	0.880952380952381	0.976190476190476	0.898219696434944	0.880952380952381	1	0.857142857142857	0.928571428571429	0.928571428571429	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Gp3	0.904761904761905	0.833333333333333	0.833333333333333	0.922172221673209	0.904761904761905	0.857142857142857	1	0.880952380952381	0.785714285714286	0.97007727214974	0.922172221673209	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.880952380952381	0.761904761904762	0.976190476190476	0.934148484292342	0.952380952380953	0.928571428571429	0.880952380952381	1	0.857142857142857	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.880952380952381	0.880952380952381	0.904761904761905	0.802409595481884	0.785714285714286	0.928571428571429	0.785714285714286	0.857142857142857	1	0.850314645958414	0.802409595481884	0.826362120720149	0.850314645958414	0.850314645958414	0.850314645958414
Roseiflexus	0.934148484292342	0.826362120720149	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.850314645958414	1	0.975903614457831	0.975903614457831	1	1	1
Acidiphilium	0.886243433815812	0.730552019767088	0.898219696434944	1	0.994029797388005	0.898219696434944	0.922172221673209	0.934148484292342	0.802409595481884	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Aciditerrimonas	0.958101009530607	0.874267171196679	0.898219696434944	0.927710843373494	0.922172221673209	0.898219696434944	0.946124746911475	0.934148484292342	0.826362120720149	0.975903614457831	0.927710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.934148484292342	0.826362120720149	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.850314645958414	1	0.975903614457831	0.975903614457831	1	1	1
Sneathiella	0.934148484292342	0.826362120720149	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.850314645958414	1	0.975903614457831	0.975903614457831	1	1	1
Terrimonas	0.934148484292342	0.826362120720149	0.922172221673209	0.975903614457831	0.97007727214974	0.922172221673209	0.97007727214974	0.958101009530607	0.850314645958414	1	0.975903614457831	0.975903614457831	1	1	1
