Promicromonospora	Phyllobacterium	Lentzea	Massilia	Bosea	Actinocorallia	Inquilinus	Cohnella	Saccharomonospora	Atopobium	Thermoleophilum	Pseudenhygromyxa
Promicromonospora	1	1	1	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.880952380952381	0.934148484292342
Phyllobacterium	1	1	1	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.880952380952381	0.934148484292342
Lentzea	1	1	1	0.952380952380953	0.976190476190476	0.904761904761905	0.976190476190476	0.952380952380953	0.976190476190476	0.833333333333333	0.880952380952381	0.934148484292342
Massilia	0.952380952380953	0.952380952380953	0.952380952380953	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.833333333333333	0.928571428571429	0.850314645958414
Bosea	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	1	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.898219696434944
Actinocorallia	0.904761904761905	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	1	0.880952380952381	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.826362120720149
Inquilinus	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.880952380952381	1	0.928571428571429	0.952380952380953	0.904761904761905	0.80952380952381	0.874267171196679
Cohnella	0.952380952380953	0.952380952380953	0.952380952380953	1	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.833333333333333	0.928571428571429	0.850314645958414
Saccharomonospora	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	1	0.857142857142857	0.904761904761905	0.886243433815812
Atopobium	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.80952380952381	0.80952380952381	0.904761904761905	0.833333333333333	0.857142857142857	1	0.761904761904762	0.742528282386221
Thermoleophilum	0.880952380952381	0.880952380952381	0.880952380952381	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.761904761904762	1	0.886243433815812
Pseudenhygromyxa	0.934148484292342	0.934148484292342	0.934148484292342	0.850314645958414	0.898219696434944	0.826362120720149	0.874267171196679	0.850314645958414	0.886243433815812	0.742528282386221	0.886243433815812	1
