Rhizobium	Chryseobacterium	Mycobacterium	Devosia	Mesorhizobium	Caulobacter	Rhodanobacter	Shinella	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Iamia	Reyranella	Afipia	Ochrobactrum	Actinocorallia	g__Didymella	g__Trichoderma	Inquilinus	Luteolibacter	Starkeya	Chthonomonas/Armatimonadetes_gp3
Rhizobium	1	0.976190476190476	1	0.904761904761905	0.833333333333333	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.785714285714286	0.833333333333333	0.952380952380953	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.898219696434944
Chryseobacterium	0.976190476190476	1	0.976190476190476	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.857142857142857	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	0.976190476190476	0.880952380952381	0.857142857142857	0.857142857142857	0.880952380952381	0.850314645958414
Mycobacterium	1	0.976190476190476	1	0.904761904761905	0.833333333333333	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.928571428571429	0.952380952380953	0.904761904761905	0.976190476190476	0.928571428571429	0.785714285714286	0.833333333333333	0.952380952380953	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.898219696434944
Devosia	0.904761904761905	0.880952380952381	0.904761904761905	1	0.904761904761905	0.904761904761905	0.80952380952381	1	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.857142857142857	0.928571428571429	0.785714285714286	0.738095238095238	0.880952380952381	0.904761904761905	0.690476190476191	0.833333333333333	0.714285714285714	0.761904761904762	0.718575757147955
Mesorhizobium	0.833333333333333	0.857142857142857	0.833333333333333	0.904761904761905	1	0.714285714285714	0.761904761904762	0.904761904761905	0.785714285714286	0.761904761904762	0.952380952380953	0.833333333333333	0.80952380952381	0.785714285714286	0.690476190476191	0.904761904761905	0.880952380952381	0.80952380952381	0.833333333333333	0.80952380952381	0.714285714285714	0.833333333333333	0.706599494528823
Caulobacter	0.928571428571429	0.904761904761905	0.928571428571429	0.904761904761905	0.714285714285714	1	0.80952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.785714285714286	0.976190476190476	0.833333333333333	0.595238095238095	0.833333333333333	0.952380952380953	0.666666666666667	0.80952380952381	0.761904761904762	0.714285714285714	0.730552019767088
Rhodanobacter	0.952380952380953	0.904761904761905	0.952380952380953	0.80952380952381	0.761904761904762	0.80952380952381	1	0.80952380952381	0.785714285714286	0.880952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.904761904761905	0.952380952380953	0.785714285714286	0.666666666666667	0.857142857142857	0.738095238095238	0.857142857142857	0.904761904761905	0.785714285714286	0.958101009530607
Shinella	0.904761904761905	0.880952380952381	0.904761904761905	1	0.904761904761905	0.904761904761905	0.80952380952381	1	0.880952380952381	0.785714285714286	0.976190476190476	0.880952380952381	0.857142857142857	0.928571428571429	0.785714285714286	0.738095238095238	0.880952380952381	0.904761904761905	0.690476190476191	0.833333333333333	0.714285714285714	0.761904761904762	0.718575757147955
Bosea	0.904761904761905	0.857142857142857	0.904761904761905	0.880952380952381	0.785714285714286	0.904761904761905	0.785714285714286	0.880952380952381	1	0.928571428571429	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.785714285714286	0.595238095238095	0.928571428571429	0.833333333333333	0.761904761904762	0.952380952380953	0.880952380952381	0.785714285714286	0.790433332862751
Rhodopseudomonas	0.928571428571429	0.904761904761905	0.928571428571429	0.785714285714286	0.761904761904762	0.833333333333333	0.880952380952381	0.785714285714286	0.928571428571429	1	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.80952380952381	0.714285714285714	0.857142857142857	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	0.904761904761905	0.934148484292342
