Rhizobium	Chryseobacterium	Mycobacterium	Devosia	Mesorhizobium	Caulobacter	Rhodanobacter	Shinella	Bosea	Rhodopseudomonas	Nitrobacter	Microvirga	Iamia	Reyranella	Afipia	Ochrobactrum	Actinocorallia	g__Didymella	g__Trichoderma	Inquilinus	Luteolibacter	Starkeya	Chthonomonas/Armatimonadetes_gp3
Nitrobacter	0.928571428571429	0.904761904761905	0.928571428571429	0.976190476190476	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.904761904761905	0.857142857142857	1	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.904761904761905	0.880952380952381	0.785714285714286	0.904761904761905	0.80952380952381	0.833333333333333	0.802409595481884
Microvirga	0.952380952380953	0.880952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.952380952380953	0.880952380952381	0.880952380952381	0.880952380952381	0.928571428571429	1	0.904761904761905	0.904761904761905	0.952380952380953	0.738095238095238	0.761904761904762	0.833333333333333	0.714285714285714	0.904761904761905	0.904761904761905	0.738095238095238	0.898219696434944
Iamia	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.80952380952381	0.785714285714286	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	1	0.857142857142857	0.80952380952381	0.761904761904762	0.761904761904762	0.80952380952381	0.761904761904762	0.928571428571429	0.880952380952381	0.880952380952381	0.946124746911475
Reyranella	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.785714285714286	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.857142857142857	0.904761904761905	0.904761904761905	0.857142857142857	1	0.904761904761905	0.714285714285714	0.80952380952381	0.976190476190476	0.714285714285714	0.833333333333333	0.80952380952381	0.761904761904762	0.814385858101016
Afipia	0.928571428571429	0.857142857142857	0.928571428571429	0.785714285714286	0.690476190476191	0.833333333333333	0.952380952380953	0.785714285714286	0.785714285714286	0.80952380952381	0.80952380952381	0.952380952380953	0.80952380952381	0.904761904761905	1	0.666666666666667	0.619047619047619	0.833333333333333	0.619047619047619	0.785714285714286	0.857142857142857	0.619047619047619	0.862290908577547
Ochrobactrum	0.785714285714286	0.857142857142857	0.785714285714286	0.738095238095238	0.904761904761905	0.595238095238095	0.785714285714286	0.738095238095238	0.595238095238095	0.714285714285714	0.80952380952381	0.738095238095238	0.761904761904762	0.714285714285714	0.666666666666667	1	0.714285714285714	0.785714285714286	0.880952380952381	0.690476190476191	0.690476190476191	0.857142857142857	0.742528282386221
Actinocorallia	0.833333333333333	0.857142857142857	0.833333333333333	0.880952380952381	0.880952380952381	0.833333333333333	0.666666666666667	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.761904761904762	0.761904761904762	0.80952380952381	0.619047619047619	0.714285714285714	1	0.833333333333333	0.857142857142857	0.880952380952381	0.761904761904762	0.857142857142857	0.670670706671425
g__Didymella	0.952380952380953	0.976190476190476	0.952380952380953	0.904761904761905	0.80952380952381	0.952380952380953	0.857142857142857	0.904761904761905	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.80952380952381	0.976190476190476	0.833333333333333	0.785714285714286	0.833333333333333	1	0.785714285714286	0.785714285714286	0.761904761904762	0.80952380952381	0.766480807624486
g__Trichoderma	0.80952380952381	0.880952380952381	0.80952380952381	0.690476190476191	0.833333333333333	0.666666666666667	0.738095238095238	0.690476190476191	0.761904761904762	0.880952380952381	0.785714285714286	0.714285714285714	0.761904761904762	0.714285714285714	0.619047619047619	0.880952380952381	0.857142857142857	0.785714285714286	1	0.833333333333333	0.833333333333333	0.952380952380953	0.790433332862751
Inquilinus	0.904761904761905	0.857142857142857	0.904761904761905	0.833333333333333	0.80952380952381	0.80952380952381	0.857142857142857	0.833333333333333	0.952380952380953	0.976190476190476	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.785714285714286	0.690476190476191	0.880952380952381	0.785714285714286	0.833333333333333	1	0.952380952380953	0.880952380952381	0.910195959054077
Luteolibacter	0.904761904761905	0.857142857142857	0.904761904761905	0.714285714285714	0.714285714285714	0.761904761904762	0.904761904761905	0.714285714285714	0.880952380952381	0.976190476190476	0.80952380952381	0.904761904761905	0.880952380952381	0.80952380952381	0.857142857142857	0.690476190476191	0.761904761904762	0.761904761904762	0.833333333333333	0.952380952380953	1	0.833333333333333	0.958101009530607
Starkeya	0.833333333333333	0.880952380952381	0.833333333333333	0.761904761904762	0.833333333333333	0.714285714285714	0.785714285714286	0.761904761904762	0.785714285714286	0.904761904761905	0.833333333333333	0.738095238095238	0.880952380952381	0.761904761904762	0.619047619047619	0.857142857142857	0.857142857142857	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	1	0.850314645958414
Chthonomonas/Armatimonadetes_gp3	0.898219696434944	0.850314645958414	0.898219696434944	0.718575757147955	0.706599494528823	0.730552019767088	0.958101009530607	0.718575757147955	0.790433332862751	0.934148484292342	0.802409595481884	0.898219696434944	0.946124746911475	0.814385858101016	0.862290908577547	0.742528282386221	0.670670706671425	0.766480807624486	0.790433332862751	0.910195959054077	0.958101009530607	0.850314645958414	1
