Actinoplanes	Steroidobacter	Umezawaea	Amycolatopsis	Dactylosporangium	Rudaibacter	Nitrobacter	Chitinophaga	Polaromonas	Kaistia	Chryseolinea	Hyphomicrobium	Geobacter	Dongia	Aquihabitans	Rhizocola	g__Apodus	Kinneretia	Ilumatobacter	Arenimonas	Curtobacterium	Panacagrimonas	Pseudolabrys	Ramlibacter	Chitinimonas	Variibacter	Parachlamydia	Thiomonas	Halobacteriovorax	Ardenticatena	Sanguibacter	Sulfurisoma	Methylosinus
Curtobacterium	0.880952380952381	0.857142857142857	0.785714285714286	0.833333333333333	0.904761904761905	0.738095238095238	0.80952380952381	0.80952380952381	0.857142857142857	0.857142857142857	0.761904761904762	0.80952380952381	0.761904761904762	0.833333333333333	0.714285714285714	0.857142857142857	0.850314645958414	0.904761904761905	0.761904761904762	0.761904761904762	1	0.690476190476191	0.833333333333333	0.690476190476191	0.833333333333333	0.857142857142857	0.714285714285714	0.857142857142857	0.833333333333333	0.761904761904762	0.658694444052292	0.658694444052292	0.730552019767088
Panacagrimonas	0.80952380952381	0.833333333333333	0.904761904761905	0.928571428571429	0.857142857142857	0.714285714285714	0.952380952380953	0.642857142857143	0.714285714285714	0.833333333333333	0.666666666666667	0.690476190476191	0.714285714285714	0.785714285714286	0.833333333333333	0.833333333333333	0.730552019767088	0.738095238095238	0.714285714285714	0.666666666666667	0.690476190476191	1	0.785714285714286	0.928571428571429	0.738095238095238	0.761904761904762	0.857142857142857	0.833333333333333	0.928571428571429	0.714285714285714	0.850314645958414	0.850314645958414	0.562884343099232
Pseudolabrys	0.857142857142857	0.976190476190476	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.785714285714286	0.714285714285714	0.833333333333333	0.857142857142857	0.928571428571429	0.976190476190476	0.976190476190476	1	0.904761904761905	0.976190476190476	0.97007727214974	0.880952380952381	0.976190476190476	0.928571428571429	0.833333333333333	0.785714285714286	1	0.904761904761905	0.928571428571429	0.976190476190476	0.738095238095238	0.976190476190476	0.880952380952381	0.976190476190476	0.850314645958414	0.850314645958414	0.826362120720149
Ramlibacter	0.80952380952381	0.928571428571429	0.976190476190476	0.928571428571429	0.880952380952381	0.833333333333333	0.833333333333333	0.571428571428572	0.738095238095238	0.761904761904762	0.833333333333333	0.833333333333333	0.880952380952381	0.904761904761905	0.952380952380953	0.928571428571429	0.874267171196679	0.738095238095238	0.880952380952381	0.833333333333333	0.690476190476191	0.928571428571429	0.904761904761905	1	0.880952380952381	0.833333333333333	0.833333333333333	0.928571428571429	0.928571428571429	0.880952380952381	0.946124746911475	0.946124746911475	0.730552019767088
Chitinimonas	0.880952380952381	0.952380952380953	0.928571428571429	0.880952380952381	0.904761904761905	0.833333333333333	0.714285714285714	0.619047619047619	0.833333333333333	0.714285714285714	0.928571428571429	0.880952380952381	0.952380952380953	0.928571428571429	0.952380952380953	0.952380952380953	0.97007727214974	0.785714285714286	0.952380952380953	0.928571428571429	0.833333333333333	0.738095238095238	0.928571428571429	0.880952380952381	1	0.857142857142857	0.785714285714286	0.952380952380953	0.880952380952381	0.952380952380953	0.874267171196679	0.874267171196679	0.826362120720149
Variibacter	0.833333333333333	0.928571428571429	0.857142857142857	0.833333333333333	0.904761904761905	0.80952380952381	0.80952380952381	0.761904761904762	0.80952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.928571428571429	0.976190476190476	0.80952380952381	0.928571428571429	0.934148484292342	0.904761904761905	0.928571428571429	0.857142857142857	0.857142857142857	0.761904761904762	0.976190476190476	0.833333333333333	0.857142857142857	1	0.666666666666667	0.928571428571429	0.833333333333333	0.928571428571429	0.742528282386221	0.742528282386221	0.742528282386221
Parachlamydia	0.928571428571429	0.857142857142857	0.904761904761905	0.952380952380953	0.904761904761905	0.857142857142857	0.857142857142857	0.785714285714286	0.904761904761905	0.690476190476191	0.80952380952381	0.714285714285714	0.714285714285714	0.738095238095238	0.880952380952381	0.857142857142857	0.682646969290558	0.80952380952381	0.714285714285714	0.80952380952381	0.714285714285714	0.857142857142857	0.738095238095238	0.833333333333333	0.785714285714286	0.666666666666667	1	0.857142857142857	0.952380952380953	0.714285714285714	0.922172221673209	0.922172221673209	0.778457070243618
Thiomonas	0.928571428571429	1	0.976190476190476	0.952380952380953	0.976190476190476	0.928571428571429	0.833333333333333	0.761904761904762	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.946124746911475	0.904761904761905	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.928571428571429	0.857142857142857	1	0.952380952380953	0.952380952380953	0.922172221673209	0.922172221673209	0.874267171196679
Halobacteriovorax	0.952380952380953	0.952380952380953	0.976190476190476	1	0.976190476190476	0.880952380952381	0.928571428571429	0.785714285714286	0.904761904761905	0.833333333333333	0.857142857142857	0.833333333333333	0.833333333333333	0.880952380952381	0.928571428571429	0.952380952380953	0.838338383339281	0.880952380952381	0.833333333333333	0.857142857142857	0.833333333333333	0.928571428571429	0.880952380952381	0.928571428571429	0.880952380952381	0.833333333333333	0.952380952380953	0.952380952380953	1	0.833333333333333	0.934148484292342	0.934148484292342	0.790433332862751
Ardenticatena	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.880952380952381	0.857142857142857	0.690476190476191	0.642857142857143	0.80952380952381	0.761904761904762	0.952380952380953	0.952380952380953	1	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.80952380952381	1	0.952380952380953	0.761904761904762	0.714285714285714	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.714285714285714	0.952380952380953	0.833333333333333	1	0.850314645958414	0.850314645958414	0.826362120720149
Sanguibacter	0.850314645958414	0.922172221673209	0.97007727214974	0.934148484292342	0.886243433815812	0.922172221673209	0.766480807624486	0.634741918814027	0.826362120720149	0.64671818143316	0.898219696434944	0.826362120720149	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.754504545005353	0.850314645958414	0.898219696434944	0.658694444052292	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.742528282386221	0.922172221673209	0.922172221673209	0.934148484292342	0.850314645958414	1	1	0.855421686746988
Sulfurisoma	0.850314645958414	0.922172221673209	0.97007727214974	0.934148484292342	0.886243433815812	0.922172221673209	0.766480807624486	0.634741918814027	0.826362120720149	0.64671818143316	0.898219696434944	0.826362120720149	0.850314645958414	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.754504545005353	0.850314645958414	0.898219696434944	0.658694444052292	0.850314645958414	0.850314645958414	0.946124746911475	0.874267171196679	0.742528282386221	0.922172221673209	0.922172221673209	0.934148484292342	0.850314645958414	1	1	0.855421686746988
Methylosinus	0.802409595481884	0.874267171196679	0.826362120720149	0.790433332862751	0.838338383339281	0.97007727214974	0.574860605718364	0.730552019767088	0.874267171196679	0.574860605718364	0.946124746911475	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.874267171196679	0.783132530120482	0.826362120720149	0.826362120720149	0.946124746911475	0.730552019767088	0.562884343099232	0.826362120720149	0.730552019767088	0.826362120720149	0.742528282386221	0.778457070243618	0.874267171196679	0.790433332862751	0.826362120720149	0.855421686746988	0.855421686746988	1
