Steroidobacter	Chondromyces	Bradyrhizobium	Galbitalea	Phycicoccus	Conexibacter	Terrabacter	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Rhizocola	g__Apodus	Sporichthya	Ilumatobacter	Nitrospira	Cellvibrio	Arenimonas	Niastella	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Ohtaekwangia	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Tumebacillus	Gp3	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Sanguibacter	Acidiphilium	Sulfurisoma	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Marmoricola	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Geobacter	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gemmatimonas	0.904761904761905	0.976190476190476	0.952380952380953	0.880952380952381	0.976190476190476	0.976190476190476	1	0.880952380952381	0.904761904761905	1	1	0.976190476190476	1	0.952380952380953	0.904761904761905	0.946124746911475	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.880952380952381	0.833333333333333	0.976190476190476	0.952380952380953	0.904761904761905	0.910195959054077	0.904761904761905	0.958101009530607	0.976190476190476	0.976190476190476	0.904761904761905	0.904761904761905	0.952380952380953	0.833333333333333	0.976190476190476	0.952380952380953	0.80952380952381	0.928571428571429	0.934148484292342	0.826362120720149	0.958101009530607	0.826362120720149	0.886243433815812	0.934148484292342	0.934148484292342	0.934148484292342
Dongia	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	1	0.904761904761905	0.802409595481884	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Rhizocola	1	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.928571428571429	0.718575757147955	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.80952380952381	0.785714285714286	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.910195959054077	0.97007727214974	0.898219696434944	0.910195959054077	0.946124746911475	0.946124746911475	0.898219696434944	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.946124746911475	1	0.910195959054077	0.97007727214974	0.826362120720149	0.814385858101016	0.898219696434944	0.850314645958414	0.874267171196679	0.97007727214974	0.874267171196679	0.813253012048193	0.97007727214974	0.897590361445783	0.898219696434944	0.910195959054077	0.934148484292342	0.946124746911475	0.826362120720149	0.838338383339281	0.97007727214974	0.838338383339281	0.934148484292342	0.874267171196679	0.921686746987952	0.807228915662651	0.897590361445783	0.807228915662651	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Sporichthya	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.97007727214974	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Nitrospira	0.80952380952381	0.904761904761905	0.857142857142857	0.785714285714286	0.904761904761905	0.928571428571429	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.826362120720149	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.690476190476191	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.976190476190476	0.904761904761905	0.785714285714286	0.80952380952381	1	0.666666666666667	0.880952380952381	0.928571428571429	0.642857142857143	0.928571428571429	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Cellvibrio	0.785714285714286	0.904761904761905	0.80952380952381	0.738095238095238	0.904761904761905	0.880952380952381	0.928571428571429	0.738095238095238	0.714285714285714	0.928571428571429	0.928571428571429	0.857142857142857	0.928571428571429	0.80952380952381	0.785714285714286	0.814385858101016	0.904761904761905	0.857142857142857	0.952380952380953	1	0.738095238095238	0.619047619047619	0.904761904761905	0.80952380952381	0.904761904761905	0.898219696434944	0.80952380952381	0.874267171196679	0.976190476190476	0.904761904761905	0.738095238095238	0.785714285714286	0.952380952380953	0.714285714285714	0.857142857142857	0.880952380952381	0.595238095238095	0.952380952380953	0.802409595481884	0.814385858101016	0.874267171196679	0.814385858101016	0.706599494528823	0.802409595481884	0.802409595481884	0.802409595481884
Arenimonas	0.952380952380953	0.833333333333333	0.928571428571429	1	0.833333333333333	0.857142857142857	0.880952380952381	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.952380952380953	0.898219696434944	0.833333333333333	0.952380952380953	0.785714285714286	0.738095238095238	1	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.706599494528823	0.928571428571429	0.802409595481884	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.898219696434944	0.802409595481884	0.898219696434944	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Niastella	0.833333333333333	0.857142857142857	0.904761904761905	0.833333333333333	0.857142857142857	0.857142857142857	0.833333333333333	0.833333333333333	0.928571428571429	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.904761904761905	0.833333333333333	0.850314645958414	0.857142857142857	0.880952380952381	0.690476190476191	0.619047619047619	0.833333333333333	1	0.80952380952381	0.904761904761905	0.666666666666667	0.790433332862751	0.761904761904762	0.886243433815812	0.714285714285714	0.857142857142857	0.952380952380953	0.833333333333333	0.690476190476191	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.642857142857143	0.934148484292342	0.610789393575762	0.886243433815812	0.610789393575762	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Rhodoligotrophos	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.952380952380953	0.952380952380953	0.976190476190476	0.833333333333333	0.880952380952381	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.874267171196679	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	0.833333333333333	0.80952380952381	1	0.904761904761905	0.857142857142857	0.886243433815812	0.80952380952381	0.934148484292342	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.976190476190476	0.761904761904762	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.886243433815812	0.778457070243618	0.934148484292342	0.778457070243618	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	0.976190476190476	0.904761904761905	1	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.976190476190476	0.97007727214974	0.904761904761905	0.976190476190476	0.857142857142857	0.80952380952381	0.928571428571429	0.904761904761905	0.904761904761905	1	0.904761904761905	0.802409595481884	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.857142857142857	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.850314645958414	0.898219696434944	0.850314645958414	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Ramlibacter	0.928571428571429	0.80952380952381	0.904761904761905	0.833333333333333	0.80952380952381	0.928571428571429	0.904761904761905	0.833333333333333	0.833333333333333	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	0.904761904761905	0.928571428571429	0.874267171196679	0.80952380952381	0.880952380952381	0.904761904761905	0.904761904761905	0.833333333333333	0.666666666666667	0.857142857142857	0.904761904761905	1	0.730552019767088	0.880952380952381	0.778457070243618	0.952380952380953	0.80952380952381	0.833333333333333	0.928571428571429	0.904761904761905	0.642857142857143	0.880952380952381	0.761904761904762	0.714285714285714	0.976190476190476	0.754504545005353	0.946124746911475	0.778457070243618	0.946124746911475	0.682646969290558	0.754504545005353	0.754504545005353	0.754504545005353
Ohtaekwangia	0.718575757147955	0.97007727214974	0.802409595481884	0.706599494528823	0.97007727214974	0.850314645958414	0.910195959054077	0.706599494528823	0.730552019767088	0.910195959054077	0.910195959054077	0.862290908577547	0.910195959054077	0.802409595481884	0.718575757147955	0.813253012048193	0.97007727214974	0.862290908577547	0.850314645958414	0.898219696434944	0.706599494528823	0.790433332862751	0.886243433815812	0.802409595481884	0.730552019767088	1	0.754504545005353	0.975903614457831	0.874267171196679	0.97007727214974	0.802409595481884	0.718575757147955	0.850314645958414	0.898219696434944	0.862290908577547	0.946124746911475	0.682646969290558	0.790433332862751	0.927710843373494	0.608433734939759	0.975903614457831	0.608433734939759	0.855421686746988	0.927710843373494	0.927710843373494	0.927710843373494
Chitinimonas	0.952380952380953	0.857142857142857	0.928571428571429	0.928571428571429	0.857142857142857	0.880952380952381	0.904761904761905	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.97007727214974	0.857142857142857	0.952380952380953	0.785714285714286	0.80952380952381	0.928571428571429	0.761904761904762	0.80952380952381	0.928571428571429	0.880952380952381	0.754504545005353	1	0.826362120720149	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.874267171196679	0.874267171196679	0.826362120720149	0.874267171196679	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Oscillochloris	0.814385858101016	0.994029797388005	0.898219696434944	0.802409595481884	0.994029797388005	0.922172221673209	0.958101009530607	0.802409595481884	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.958101009530607	0.898219696434944	0.814385858101016	0.897590361445783	0.994029797388005	0.934148484292342	0.874267171196679	0.874267171196679	0.802409595481884	0.886243433815812	0.934148484292342	0.898219696434944	0.778457070243618	0.975903614457831	0.826362120720149	1	0.898219696434944	0.994029797388005	0.898219696434944	0.814385858101016	0.874267171196679	0.922172221673209	0.934148484292342	0.97007727214974	0.802409595481884	0.814385858101016	0.975903614457831	0.668674698795181	1	0.668674698795181	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Methyloceanibacter	0.880952380952381	0.928571428571429	0.904761904761905	0.833333333333333	0.928571428571429	0.952380952380953	0.976190476190476	0.833333333333333	0.833333333333333	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.898219696434944	0.928571428571429	0.928571428571429	0.976190476190476	0.976190476190476	0.833333333333333	0.714285714285714	0.952380952380953	0.904761904761905	0.952380952380953	0.874267171196679	0.880952380952381	0.898219696434944	1	0.928571428571429	0.833333333333333	0.880952380952381	0.976190476190476	0.738095238095238	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.850314645958414	0.874267171196679	0.898219696434944	0.874267171196679	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Labilithrix	0.833333333333333	1	0.904761904761905	0.833333333333333	1	0.928571428571429	0.976190476190476	0.833333333333333	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.910195959054077	1	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.857142857142857	0.952380952380953	0.904761904761905	0.80952380952381	0.97007727214974	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.718575757147955	0.994029797388005	0.718575757147955	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.928571428571429	0.880952380952381	0.976190476190476	0.857142857142857	0.880952380952381	0.952380952380953	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.928571428571429	0.934148484292342	0.880952380952381	0.928571428571429	0.785714285714286	0.738095238095238	0.857142857142857	0.952380952380953	0.857142857142857	0.976190476190476	0.833333333333333	0.802409595481884	0.857142857142857	0.898219696434944	0.833333333333333	0.880952380952381	1	0.928571428571429	0.785714285714286	0.857142857142857	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.922172221673209	0.742528282386221	0.898219696434944	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	1	0.833333333333333	0.976190476190476	0.952380952380953	0.833333333333333	0.928571428571429	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	1	0.946124746911475	0.833333333333333	0.952380952380953	0.80952380952381	0.785714285714286	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.928571428571429	0.718575757147955	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.80952380952381	0.785714285714286	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.922172221673209	0.814385858101016	0.922172221673209	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Tumebacillus	0.80952380952381	0.904761904761905	0.857142857142857	0.785714285714286	0.904761904761905	0.928571428571429	0.952380952380953	0.785714285714286	0.80952380952381	0.952380952380953	0.952380952380953	0.880952380952381	0.952380952380953	0.857142857142857	0.80952380952381	0.826362120720149	0.904761904761905	0.880952380952381	1	0.952380952380953	0.785714285714286	0.690476190476191	0.976190476190476	0.857142857142857	0.904761904761905	0.850314645958414	0.785714285714286	0.874267171196679	0.976190476190476	0.904761904761905	0.785714285714286	0.80952380952381	1	0.666666666666667	0.880952380952381	0.928571428571429	0.642857142857143	0.928571428571429	0.802409595481884	0.826362120720149	0.874267171196679	0.826362120720149	0.754504545005353	0.802409595481884	0.802409595481884	0.802409595481884
Gp3	0.785714285714286	0.904761904761905	0.833333333333333	0.80952380952381	0.904761904761905	0.785714285714286	0.833333333333333	0.80952380952381	0.80952380952381	0.833333333333333	0.833333333333333	0.880952380952381	0.833333333333333	0.833333333333333	0.785714285714286	0.838338383339281	0.904761904761905	0.880952380952381	0.666666666666667	0.714285714285714	0.80952380952381	0.904761904761905	0.761904761904762	0.833333333333333	0.642857142857143	0.898219696434944	0.80952380952381	0.922172221673209	0.738095238095238	0.904761904761905	0.857142857142857	0.785714285714286	0.666666666666667	1	0.880952380952381	0.833333333333333	0.785714285714286	0.690476190476191	0.97007727214974	0.59881313095663	0.922172221673209	0.59881313095663	0.946124746911475	0.97007727214974	0.97007727214974	0.97007727214974
Ardenticatena	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.857142857142857	0.952380952380953	0.880952380952381	0.928571428571429	0.976190476190476	0.880952380952381	0.862290908577547	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.880952380952381	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.850314645958414	0.934148484292342	0.850314645958414	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Gp22	0.761904761904762	0.976190476190476	0.857142857142857	0.785714285714286	0.976190476190476	0.904761904761905	0.952380952380953	0.785714285714286	0.833333333333333	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.857142857142857	0.761904761904762	0.838338383339281	0.976190476190476	0.904761904761905	0.928571428571429	0.880952380952381	0.785714285714286	0.833333333333333	0.976190476190476	0.857142857142857	0.761904761904762	0.946124746911475	0.761904761904762	0.97007727214974	0.904761904761905	0.976190476190476	0.833333333333333	0.761904761904762	0.928571428571429	0.833333333333333	0.904761904761905	1	0.714285714285714	0.80952380952381	0.922172221673209	0.670670706671425	0.97007727214974	0.670670706671425	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
