Aeromicrobium	Sorangium	Agromyces	Umezawaea	Solirubrobacter	Cellulomonas	Bacillus	Blastococcus	Pseudonocardia	Gaiella	Terrabacter	Paenibacillus	Phenylobacterium	g__Mortierella	Ideonella	Marmoricola	Gemmatimonas	Aquihabitans	Haliangium	Knoellia	Rhizomicrobium	Saccharothrix	Sporosarcina	Nitrospira	Cellvibrio	Catellatospora	Peredibacter	Ramlibacter	Nannocystis	Methyloceanibacter	Streptosporangium	Amaricoccus	Povalibacter	Adhaeribacter	Nitrincola	Lautropia	Tumebacillus	Rubrobacter	Luteivirga	Nakamurella	Sanguibacter	Tahibacter	Sandaracinus	Sulfurisoma	Polyangium	Armatimonadetes_gp5
Rhizomicrobium	0.833333333333333	0.857142857142857	0.714285714285714	0.785714285714286	0.714285714285714	0.833333333333333	0.80952380952381	0.666666666666667	0.80952380952381	0.642857142857143	0.619047619047619	0.714285714285714	0.714285714285714	0.642857142857143	0.619047619047619	0.619047619047619	0.619047619047619	0.857142857142857	0.714285714285714	0.642857142857143	1	0.738095238095238	0.690476190476191	0.642857142857143	0.738095238095238	0.80952380952381	0.666666666666667	0.761904761904762	0.666666666666667	0.714285714285714	0.619047619047619	0.666666666666667	0.80952380952381	0.69462323190969	0.64671818143316	0.619047619047619	0.642857142857143	0.714285714285714	0.833333333333333	0.690476190476191	0.874267171196679	0.898219696434944	0.934148484292342	0.874267171196679	0.928571428571429	0.658694444052292
Saccharothrix	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.880952380952381	0.904761904761905	0.833333333333333	0.857142857142857	0.571428571428572	0.904761904761905	0.80952380952381	0.761904761904762	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.80952380952381	0.857142857142857	0.880952380952381	0.904761904761905	0.738095238095238	1	0.80952380952381	0.904761904761905	0.833333333333333	0.976190476190476	0.857142857142857	0.928571428571429	0.714285714285714	0.880952380952381	0.833333333333333	0.714285714285714	0.976190476190476	0.898219696434944	0.706599494528823	0.833333333333333	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.922172221673209	0.898219696434944	0.802409595481884	0.922172221673209	0.714285714285714	0.97007727214974
Sporosarcina	0.904761904761905	0.952380952380953	0.928571428571429	0.785714285714286	0.928571428571429	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.857142857142857	0.857142857142857	0.80952380952381	0.928571428571429	0.904761904761905	0.690476190476191	0.80952380952381	1	0.904761904761905	0.976190476190476	0.833333333333333	0.952380952380953	0.880952380952381	0.952380952380953	0.928571428571429	0.976190476190476	0.952380952380953	0.833333333333333	0.922172221673209	0.97007727214974	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.857142857142857	0.754504545005353	0.682646969290558	0.874267171196679	0.754504545005353	0.80952380952381	0.850314645958414
Nitrospira	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.976190476190476	0.928571428571429	0.857142857142857	0.976190476190476	0.690476190476191	0.952380952380953	0.952380952380953	0.904761904761905	0.857142857142857	1	0.952380952380953	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	1	0.642857142857143	0.904761904761905	0.904761904761905	1	0.952380952380953	0.880952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.976190476190476	0.880952380952381	0.904761904761905	0.880952380952381	0.934148484292342	0.886243433815812	0.880952380952381	1	0.952380952380953	0.928571428571429	0.976190476190476	0.826362120720149	0.754504545005353	0.766480807624486	0.826362120720149	0.738095238095238	0.97007727214974
Cellvibrio	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.833333333333333	0.928571428571429	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.928571428571429	0.880952380952381	0.976190476190476	0.952380952380953	0.738095238095238	0.833333333333333	0.976190476190476	0.952380952380953	1	0.857142857142857	0.976190476190476	0.904761904761905	0.976190476190476	0.976190476190476	0.928571428571429	0.976190476190476	0.857142857142857	0.922172221673209	0.97007727214974	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.814385858101016	0.742528282386221	0.874267171196679	0.814385858101016	0.857142857142857	0.886243433815812
Catellatospora	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.619047619047619	0.928571428571429	0.833333333333333	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.976190476190476	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.850314645958414	0.730552019767088	0.857142857142857	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381	0.922172221673209
Peredibacter	0.904761904761905	0.928571428571429	0.952380952380953	0.761904761904762	0.952380952380953	0.904761904761905	0.904761904761905	1	0.785714285714286	0.904761904761905	0.904761904761905	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.952380952380953	0.976190476190476	0.666666666666667	0.857142857142857	0.952380952380953	0.976190476190476	0.976190476190476	0.833333333333333	1	0.857142857142857	0.952380952380953	0.952380952380953	0.904761904761905	0.952380952380953	0.833333333333333	0.97007727214974	0.946124746911475	0.904761904761905	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.766480807624486	0.69462323190969	0.826362120720149	0.766480807624486	0.761904761904762	0.934148484292342
Ramlibacter	0.976190476190476	0.928571428571429	0.952380952380953	0.976190476190476	0.952380952380953	0.976190476190476	0.904761904761905	0.857142857142857	0.642857142857143	0.976190476190476	0.904761904761905	0.880952380952381	0.976190476190476	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.952380952380953	0.952380952380953	0.904761904761905	0.761904761904762	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.976190476190476	0.857142857142857	1	0.80952380952381	0.952380952380953	0.904761904761905	0.80952380952381	0.976190476190476	0.826362120720149	0.802409595481884	0.904761904761905	0.904761904761905	0.833333333333333	0.976190476190476	0.880952380952381	0.946124746911475	0.898219696434944	0.826362120720149	0.946124746911475	0.833333333333333	0.898219696434944
Nannocystis	0.880952380952381	0.928571428571429	0.928571428571429	0.738095238095238	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.785714285714286	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.666666666666667	0.714285714285714	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.80952380952381	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.706599494528823	0.610789393575762	0.826362120720149	0.706599494528823	0.833333333333333	0.802409595481884
Methyloceanibacter	0.976190476190476	0.952380952380953	1	0.904761904761905	1	0.976190476190476	0.904761904761905	0.952380952380953	0.738095238095238	0.976190476190476	0.976190476190476	0.952380952380953	0.904761904761905	0.976190476190476	0.976190476190476	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.714285714285714	0.880952380952381	0.928571428571429	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.952380952380953	0.928571428571429	1	0.904761904761905	0.928571428571429	0.904761904761905	0.886243433815812	0.910195959054077	0.904761904761905	0.976190476190476	0.904761904761905	0.976190476190476	0.928571428571429	0.874267171196679	0.802409595481884	0.814385858101016	0.874267171196679	0.833333333333333	0.922172221673209
Streptosporangium	0.880952380952381	0.904761904761905	0.904761904761905	0.80952380952381	0.904761904761905	0.880952380952381	0.952380952380953	0.904761904761905	0.690476190476191	0.928571428571429	0.833333333333333	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.833333333333333	0.785714285714286	0.904761904761905	0.880952380952381	0.619047619047619	0.833333333333333	0.976190476190476	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.880952380952381	0.904761904761905	1	0.880952380952381	0.857142857142857	0.886243433815812	0.910195959054077	1	0.880952380952381	0.857142857142857	0.880952380952381	0.833333333333333	0.754504545005353	0.682646969290558	0.814385858101016	0.754504545005353	0.738095238095238	0.850314645958414
Amaricoccus	0.880952380952381	0.928571428571429	0.928571428571429	0.738095238095238	0.928571428571429	0.880952380952381	0.904761904761905	0.952380952380953	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.785714285714286	0.904761904761905	0.904761904761905	0.904761904761905	0.904761904761905	0.80952380952381	0.928571428571429	0.904761904761905	0.666666666666667	0.714285714285714	0.952380952380953	0.904761904761905	0.976190476190476	0.738095238095238	0.952380952380953	0.80952380952381	1	0.928571428571429	0.880952380952381	1	0.738095238095238	0.874267171196679	0.994029797388005	0.880952380952381	0.904761904761905	0.880952380952381	0.880952380952381	0.833333333333333	0.706599494528823	0.610789393575762	0.826362120720149	0.706599494528823	0.833333333333333	0.802409595481884
Povalibacter	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.833333333333333	0.619047619047619	0.928571428571429	0.833333333333333	0.80952380952381	0.952380952380953	0.880952380952381	0.833333333333333	0.833333333333333	0.833333333333333	0.928571428571429	0.904761904761905	0.880952380952381	0.80952380952381	0.976190476190476	0.833333333333333	0.880952380952381	0.857142857142857	1	0.833333333333333	0.976190476190476	0.738095238095238	0.904761904761905	0.857142857142857	0.738095238095238	1	0.850314645958414	0.730552019767088	0.857142857142857	0.880952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.97007727214974	0.946124746911475	0.850314645958414	0.97007727214974	0.80952380952381	0.922172221673209
Adhaeribacter	0.862290908577547	0.898219696434944	0.886243433815812	0.718575757147955	0.886243433815812	0.862290908577547	0.898219696434944	0.97007727214974	0.754504545005353	0.850314645958414	0.802409595481884	0.850314645958414	0.826362120720149	0.934148484292342	0.802409595481884	0.802409595481884	0.802409595481884	0.754504545005353	0.886243433815812	0.934148484292342	0.69462323190969	0.898219696434944	0.922172221673209	0.934148484292342	0.922172221673209	0.850314645958414	0.97007727214974	0.826362120720149	0.874267171196679	0.886243433815812	0.886243433815812	0.874267171196679	0.850314645958414	1	0.879518072289157	0.886243433815812	0.934148484292342	0.994029797388005	0.862290908577547	0.958101009530607	0.765060240963855	0.716867469879518	0.855421686746988	0.765060240963855	0.718575757147955	0.94578313253012
Nitrincola	0.862290908577547	0.922172221673209	0.910195959054077	0.718575757147955	0.910195959054077	0.862290908577547	0.922172221673209	0.946124746911475	0.874267171196679	0.850314645958414	0.874267171196679	0.946124746911475	0.802409595481884	0.886243433815812	0.874267171196679	0.874267171196679	0.874267171196679	0.778457070243618	0.910195959054077	0.886243433815812	0.64671818143316	0.706599494528823	0.97007727214974	0.886243433815812	0.97007727214974	0.730552019767088	0.946124746911475	0.802409595481884	0.994029797388005	0.910195959054077	0.910195959054077	0.994029797388005	0.730552019767088	0.879518072289157	1	0.910195959054077	0.886243433815812	0.874267171196679	0.862290908577547	0.814385858101016	0.680722891566265	0.58433734939759	0.831325301204819	0.680722891566265	0.814385858101016	0.789156626506024
