Conexibacter	Aquabacterium	Kaistia	Hyphomicrobium	Ideonella	Marmoricola	Dissulfuribacter	Geobacter	Gemmatimonas	Dongia	Haliangium	Rhizocola	g__Apodus	Sporichthya	Ilumatobacter	Niastella	Rhodoligotrophos	Pseudolabrys	Actinocorallia	Oscillochloris	Methyloceanibacter	Sulfuriferula	Labilithrix	Variibacter	Thiomonas	Cohnella	Ardenticatena	Chelativorans	Roseiflexus	Thermoleophilum	Acidiphilium	Skermanella	Sneathiella	Terrimonas
Methyloceanibacter	0.952380952380953	0.857142857142857	0.690476190476191	0.833333333333333	0.976190476190476	0.976190476190476	0.952380952380953	0.928571428571429	0.976190476190476	0.904761904761905	1	0.880952380952381	0.898219696434944	0.928571428571429	0.928571428571429	0.714285714285714	0.952380952380953	0.904761904761905	0.738095238095238	0.898219696434944	1	0.761904761904762	0.928571428571429	0.833333333333333	0.880952380952381	0.761904761904762	0.928571428571429	0.714285714285714	0.850314645958414	0.690476190476191	0.898219696434944	0.850314645958414	0.850314645958414	0.850314645958414
Sulfuriferula	0.80952380952381	0.857142857142857	0.833333333333333	0.642857142857143	0.785714285714286	0.785714285714286	0.761904761904762	0.714285714285714	0.785714285714286	0.738095238095238	0.761904761904762	0.642857142857143	0.706599494528823	0.833333333333333	0.714285714285714	0.761904761904762	0.761904761904762	0.738095238095238	0.857142857142857	0.874267171196679	0.761904761904762	1	0.833333333333333	0.80952380952381	0.642857142857143	0.880952380952381	0.714285714285714	0.666666666666667	0.802409595481884	0.952380952380953	0.874267171196679	0.802409595481884	0.802409595481884	0.802409595481884
Labilithrix	0.928571428571429	0.880952380952381	0.714285714285714	0.857142857142857	0.976190476190476	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.904761904761905	0.928571428571429	0.833333333333333	0.910195959054077	1	0.952380952380953	0.857142857142857	0.952380952380953	0.904761904761905	0.666666666666667	0.994029797388005	0.928571428571429	0.833333333333333	1	0.880952380952381	0.833333333333333	0.690476190476191	0.952380952380953	0.785714285714286	0.97007727214974	0.761904761904762	0.994029797388005	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.952380952380953	0.952380952380953	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.857142857142857	0.928571428571429	0.904761904761905	0.976190476190476	0.833333333333333	0.928571428571429	0.934148484292342	0.880952380952381	0.928571428571429	0.952380952380953	0.857142857142857	0.976190476190476	0.80952380952381	0.898219696434944	0.833333333333333	0.80952380952381	0.880952380952381	1	0.928571428571429	0.833333333333333	0.928571428571429	0.928571428571429	0.922172221673209	0.880952380952381	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	0.928571428571429	0.857142857142857	0.833333333333333	0.952380952380953	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.976190476190476	0.880952380952381	1	0.946124746911475	0.833333333333333	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.738095238095238	0.814385858101016	0.880952380952381	0.642857142857143	0.833333333333333	0.928571428571429	1	0.761904761904762	0.952380952380953	0.857142857142857	0.862290908577547	0.714285714285714	0.814385858101016	0.862290908577547	0.862290908577547	0.862290908577547
Cohnella	0.833333333333333	0.857142857142857	0.928571428571429	0.690476190476191	0.738095238095238	0.738095238095238	0.690476190476191	0.690476190476191	0.738095238095238	0.785714285714286	0.761904761904762	0.761904761904762	0.718575757147955	0.690476190476191	0.690476190476191	0.690476190476191	0.690476190476191	0.785714285714286	0.976190476190476	0.718575757147955	0.761904761904762	0.880952380952381	0.690476190476191	0.833333333333333	0.761904761904762	1	0.690476190476191	0.690476190476191	0.670670706671425	0.928571428571429	0.718575757147955	0.670670706671425	0.670670706671425	0.670670706671425
Ardenticatena	0.952380952380953	0.880952380952381	0.761904761904762	0.952380952380953	0.976190476190476	0.976190476190476	0.928571428571429	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.952380952380953	1	0.880952380952381	0.928571428571429	0.976190476190476	0.666666666666667	0.934148484292342	0.928571428571429	0.714285714285714	0.952380952380953	0.928571428571429	0.952380952380953	0.690476190476191	1	0.857142857142857	0.958101009530607	0.714285714285714	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Chelativorans	0.857142857142857	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.80952380952381	0.738095238095238	0.857142857142857	0.80952380952381	0.904761904761905	0.714285714285714	0.857142857142857	0.934148484292342	0.785714285714286	0.857142857142857	0.880952380952381	0.738095238095238	0.904761904761905	0.738095238095238	0.802409595481884	0.714285714285714	0.666666666666667	0.785714285714286	0.928571428571429	0.857142857142857	0.690476190476191	0.857142857142857	1	0.850314645958414	0.761904761904762	0.802409595481884	0.850314645958414	0.850314645958414	0.850314645958414
Roseiflexus	0.898219696434944	0.874267171196679	0.778457070243618	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.850314645958414	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.886243433815812	0.922172221673209	0.64671818143316	0.975903614457831	0.850314645958414	0.802409595481884	0.97007727214974	0.922172221673209	0.862290908577547	0.670670706671425	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	1	1	1
Thermoleophilum	0.80952380952381	0.880952380952381	0.952380952380953	0.714285714285714	0.738095238095238	0.738095238095238	0.690476190476191	0.714285714285714	0.738095238095238	0.785714285714286	0.690476190476191	0.714285714285714	0.730552019767088	0.761904761904762	0.714285714285714	0.833333333333333	0.690476190476191	0.785714285714286	0.904761904761905	0.814385858101016	0.690476190476191	0.952380952380953	0.761904761904762	0.880952380952381	0.714285714285714	0.928571428571429	0.714285714285714	0.761904761904762	0.790433332862751	1	0.814385858101016	0.790433332862751	0.790433332862751	0.790433332862751
Acidiphilium	0.922172221673209	0.898219696434944	0.754504545005353	0.850314645958414	0.958101009530607	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.898219696434944	0.898219696434944	0.814385858101016	0.897590361445783	0.994029797388005	0.934148484292342	0.886243433815812	0.934148484292342	0.898219696434944	0.69462323190969	1	0.898219696434944	0.874267171196679	0.994029797388005	0.898219696434944	0.814385858101016	0.718575757147955	0.934148484292342	0.802409595481884	0.975903614457831	0.814385858101016	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.898219696434944	0.874267171196679	0.778457070243618	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.850314645958414	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.886243433815812	0.922172221673209	0.64671818143316	0.975903614457831	0.850314645958414	0.802409595481884	0.97007727214974	0.922172221673209	0.862290908577547	0.670670706671425	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	1	1	1
Sneathiella	0.898219696434944	0.874267171196679	0.778457070243618	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.850314645958414	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.886243433815812	0.922172221673209	0.64671818143316	0.975903614457831	0.850314645958414	0.802409595481884	0.97007727214974	0.922172221673209	0.862290908577547	0.670670706671425	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	1	1	1
Terrimonas	0.898219696434944	0.874267171196679	0.778457070243618	0.898219696434944	0.934148484292342	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.922172221673209	0.850314645958414	0.862290908577547	0.921686746987952	0.97007727214974	0.958101009530607	0.934148484292342	0.886243433815812	0.922172221673209	0.64671818143316	0.975903614457831	0.850314645958414	0.802409595481884	0.97007727214974	0.922172221673209	0.862290908577547	0.670670706671425	0.958101009530607	0.850314645958414	1	0.790433332862751	0.975903614457831	1	1	1
