Kribbella	Actinokineospora	Sulfuriferula	Nitrincola	Lautropia	Geodermatophilus	Cohnella	Pedobacter	Saccharomonospora	Microlunatus	Thermoleophilum	Acidiphilium	Pseudenhygromyxa
Kribbella	1	0.976190476190476	1	0.862290908577547	0.857142857142857	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.874267171196679	0.850314645958414
Actinokineospora	0.976190476190476	1	0.976190476190476	0.922172221673209	0.833333333333333	0.952380952380953	0.785714285714286	0.80952380952381	0.833333333333333	0.904761904761905	0.880952380952381	0.910195959054077	0.754504545005353
Sulfuriferula	1	0.976190476190476	1	0.862290908577547	0.857142857142857	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.928571428571429	0.952380952380953	0.874267171196679	0.850314645958414
Nitrincola	0.862290908577547	0.922172221673209	0.862290908577547	1	0.910195959054077	0.934148484292342	0.730552019767088	0.682646969290558	0.790433332862751	0.790433332862751	0.718575757147955	0.885542168674699	0.560240963855422
Lautropia	0.857142857142857	0.833333333333333	0.857142857142857	0.910195959054077	1	0.833333333333333	0.904761904761905	0.738095238095238	0.928571428571429	0.785714285714286	0.785714285714286	0.778457070243618	0.682646969290558
Geodermatophilus	0.904761904761905	0.952380952380953	0.904761904761905	0.934148484292342	0.833333333333333	1	0.738095238095238	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.802409595481884	0.730552019767088
Cohnella	0.880952380952381	0.785714285714286	0.880952380952381	0.730552019767088	0.904761904761905	0.738095238095238	1	0.833333333333333	0.976190476190476	0.761904761904762	0.928571428571429	0.718575757147955	0.850314645958414
Pedobacter	0.857142857142857	0.80952380952381	0.857142857142857	0.682646969290558	0.738095238095238	0.857142857142857	0.833333333333333	1	0.904761904761905	0.714285714285714	0.857142857142857	0.574860605718364	0.946124746911475
Saccharomonospora	0.904761904761905	0.833333333333333	0.904761904761905	0.790433332862751	0.928571428571429	0.833333333333333	0.976190476190476	0.904761904761905	1	0.785714285714286	0.904761904761905	0.69462323190969	0.886243433815812
Microlunatus	0.928571428571429	0.904761904761905	0.928571428571429	0.790433332862751	0.785714285714286	0.785714285714286	0.761904761904762	0.714285714285714	0.785714285714286	1	0.833333333333333	0.802409595481884	0.778457070243618
Thermoleophilum	0.952380952380953	0.880952380952381	0.952380952380953	0.718575757147955	0.785714285714286	0.785714285714286	0.928571428571429	0.857142857142857	0.904761904761905	0.833333333333333	1	0.814385858101016	0.886243433815812
Acidiphilium	0.874267171196679	0.910195959054077	0.874267171196679	0.885542168674699	0.778457070243618	0.802409595481884	0.718575757147955	0.574860605718364	0.69462323190969	0.802409595481884	0.814385858101016	1	0.524096385542169
Pseudenhygromyxa	0.850314645958414	0.754504545005353	0.850314645958414	0.560240963855422	0.682646969290558	0.730552019767088	0.850314645958414	0.946124746911475	0.886243433815812	0.778457070243618	0.886243433815812	0.524096385542169	1
