Steroidobacter	Galbitalea	Micromonospora	Rudaibacter	Chryseolinea	Hyphomicrobium	Ideonella	Marmoricola	Geobacter	Gemmatimonas	Dongia	Aquihabitans	Rhizocola	g__Apodus	Asticcacaulis	Kinneretia	Ilumatobacter	Arenimonas	Methylotenera	Aquimonas	Pseudolabrys	Chitinimonas	Variibacter	Thiomonas	Halobacteriovorax	Ardenticatena	Luteivirga	Roseiflexus	Sanguibacter	Sulfurisoma	Methylosinus	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Dongia	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.857142857142857	0.785714285714286	1	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.922172221673209	0.850314645958414	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Aquihabitans	0.952380952380953	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.857142857142857	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	1	0.952380952380953	0.898219696434944	0.80952380952381	0.761904761904762	0.928571428571429	0.928571428571429	0.761904761904762	0.880952380952381	0.904761904761905	0.952380952380953	0.80952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.976190476190476	0.814385858101016	0.97007727214974	0.97007727214974	0.826362120720149	0.766480807624486	0.814385858101016	0.814385858101016	0.814385858101016
Rhizocola	1	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	1	0.952380952380953	0.952380952380953	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
g__Apodus	0.946124746911475	0.898219696434944	0.802409595481884	0.802409595481884	0.898219696434944	0.922172221673209	0.946124746911475	0.946124746911475	0.97007727214974	0.946124746911475	0.97007727214974	0.898219696434944	0.946124746911475	1	0.850314645958414	0.802409595481884	0.97007727214974	0.898219696434944	0.754504545005353	0.742528282386221	0.97007727214974	0.97007727214974	0.934148484292342	0.946124746911475	0.838338383339281	0.97007727214974	0.874267171196679	0.921686746987952	0.807228915662651	0.807228915662651	0.783132530120482	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Asticcacaulis	0.857142857142857	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.904761904761905	0.80952380952381	0.857142857142857	0.850314645958414	1	0.761904761904762	0.928571428571429	0.928571428571429	0.952380952380953	0.833333333333333	0.904761904761905	0.80952380952381	0.857142857142857	0.857142857142857	0.690476190476191	0.928571428571429	0.785714285714286	0.886243433815812	0.778457070243618	0.778457070243618	0.874267171196679	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Kinneretia	0.904761904761905	0.857142857142857	0.880952380952381	0.880952380952381	0.857142857142857	0.904761904761905	0.714285714285714	0.714285714285714	0.80952380952381	0.714285714285714	0.880952380952381	0.761904761904762	0.904761904761905	0.802409595481884	0.761904761904762	1	0.80952380952381	0.857142857142857	0.785714285714286	0.785714285714286	0.880952380952381	0.785714285714286	0.904761904761905	0.904761904761905	0.880952380952381	0.80952380952381	0.666666666666667	0.778457070243618	0.754504545005353	0.754504545005353	0.826362120720149	0.802409595481884	0.778457070243618	0.778457070243618	0.778457070243618
Ilumatobacter	0.952380952380953	0.952380952380953	0.857142857142857	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.952380952380953	1	0.952380952380953	0.952380952380953	1	0.952380952380953	0.880952380952381	0.880952380952381	0.952380952380953	0.880952380952381	0.928571428571429	0.928571428571429	0.952380952380953	0.898219696434944	0.928571428571429	0.857142857142857	0.952380952380953	1	0.880952380952381	0.952380952380953	0.928571428571429	0.928571428571429	0.857142857142857	0.952380952380953	0.857142857142857	0.952380952380953	0.857142857142857	0.874267171196679	0.898219696434944	0.898219696434944	0.946124746911475	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Methylotenera	0.833333333333333	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.833333333333333	0.80952380952381	0.857142857142857	0.761904761904762	0.833333333333333	0.754504545005353	0.952380952380953	0.785714285714286	0.833333333333333	0.880952380952381	1	0.80952380952381	0.857142857142857	0.714285714285714	0.80952380952381	0.833333333333333	0.714285714285714	0.833333333333333	0.738095238095238	0.742528282386221	0.802409595481884	0.802409595481884	0.898219696434944	0.814385858101016	0.742528282386221	0.742528282386221	0.742528282386221
Aquimonas	0.857142857142857	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.833333333333333	0.738095238095238	0.738095238095238	0.833333333333333	0.738095238095238	0.785714285714286	0.880952380952381	0.857142857142857	0.742528282386221	0.833333333333333	0.785714285714286	0.833333333333333	0.952380952380953	0.80952380952381	1	0.785714285714286	0.833333333333333	0.690476190476191	0.857142857142857	0.80952380952381	0.833333333333333	0.785714285714286	0.742528282386221	0.886243433815812	0.886243433815812	0.934148484292342	0.790433332862751	0.742528282386221	0.742528282386221	0.742528282386221
Pseudolabrys	0.976190476190476	0.928571428571429	0.880952380952381	0.880952380952381	0.928571428571429	0.976190476190476	0.952380952380953	0.952380952380953	0.976190476190476	0.952380952380953	1	0.904761904761905	0.976190476190476	0.97007727214974	0.904761904761905	0.880952380952381	0.976190476190476	0.928571428571429	0.857142857142857	0.785714285714286	1	0.928571428571429	0.976190476190476	0.976190476190476	0.880952380952381	0.976190476190476	0.880952380952381	0.922172221673209	0.850314645958414	0.850314645958414	0.826362120720149	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Chitinimonas	0.952380952380953	0.928571428571429	0.833333333333333	0.833333333333333	0.928571428571429	0.880952380952381	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.928571428571429	0.952380952380953	0.952380952380953	0.97007727214974	0.80952380952381	0.785714285714286	0.952380952380953	0.928571428571429	0.714285714285714	0.833333333333333	0.928571428571429	1	0.857142857142857	0.952380952380953	0.880952380952381	0.952380952380953	0.904761904761905	0.874267171196679	0.874267171196679	0.874267171196679	0.826362120720149	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Variibacter	0.928571428571429	0.857142857142857	0.80952380952381	0.80952380952381	0.857142857142857	0.952380952380953	0.904761904761905	0.904761904761905	0.928571428571429	0.904761904761905	0.976190476190476	0.80952380952381	0.928571428571429	0.934148484292342	0.857142857142857	0.904761904761905	0.928571428571429	0.857142857142857	0.80952380952381	0.690476190476191	0.976190476190476	0.857142857142857	1	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.922172221673209	0.742528282386221	0.742528282386221	0.742528282386221	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	1	0.952380952380953	0.928571428571429	0.928571428571429	0.952380952380953	0.952380952380953	0.904761904761905	0.904761904761905	0.952380952380953	0.904761904761905	0.976190476190476	0.952380952380953	1	0.946124746911475	0.857142857142857	0.904761904761905	0.952380952380953	0.952380952380953	0.833333333333333	0.857142857142857	0.976190476190476	0.952380952380953	0.928571428571429	1	0.952380952380953	0.952380952380953	0.904761904761905	0.862290908577547	0.922172221673209	0.922172221673209	0.874267171196679	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
Halobacteriovorax	0.952380952380953	0.857142857142857	0.880952380952381	0.880952380952381	0.857142857142857	0.833333333333333	0.785714285714286	0.785714285714286	0.833333333333333	0.785714285714286	0.880952380952381	0.928571428571429	0.952380952380953	0.838338383339281	0.690476190476191	0.880952380952381	0.833333333333333	0.857142857142857	0.714285714285714	0.80952380952381	0.880952380952381	0.880952380952381	0.833333333333333	0.952380952380953	1	0.833333333333333	0.880952380952381	0.718575757147955	0.934148484292342	0.934148484292342	0.790433332862751	0.670670706671425	0.718575757147955	0.718575757147955	0.718575757147955
Ardenticatena	0.952380952380953	0.952380952380953	0.857142857142857	0.857142857142857	0.952380952380953	0.952380952380953	0.976190476190476	0.976190476190476	1	0.976190476190476	0.976190476190476	0.928571428571429	0.952380952380953	0.97007727214974	0.928571428571429	0.80952380952381	1	0.952380952380953	0.833333333333333	0.833333333333333	0.976190476190476	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	1	0.904761904761905	0.958101009530607	0.850314645958414	0.850314645958414	0.826362120720149	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Luteivirga	0.904761904761905	0.857142857142857	0.80952380952381	0.80952380952381	0.857142857142857	0.80952380952381	0.928571428571429	0.928571428571429	0.904761904761905	0.928571428571429	0.880952380952381	0.976190476190476	0.904761904761905	0.874267171196679	0.785714285714286	0.666666666666667	0.904761904761905	0.857142857142857	0.738095238095238	0.785714285714286	0.880952380952381	0.904761904761905	0.785714285714286	0.904761904761905	0.880952380952381	0.904761904761905	1	0.790433332862751	0.946124746911475	0.946124746911475	0.730552019767088	0.718575757147955	0.790433332862751	0.790433332862751	0.790433332862751
Roseiflexus	0.862290908577547	0.874267171196679	0.730552019767088	0.730552019767088	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.958101009530607	0.874267171196679	0.742528282386221	0.742528282386221	0.922172221673209	0.874267171196679	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.790433332862751	1	0.692771084337349	0.692771084337349	0.704819277108434	0.975903614457831	1	1	1
Sanguibacter	0.922172221673209	0.898219696434944	0.922172221673209	0.922172221673209	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.778457070243618	0.754504545005353	0.850314645958414	0.898219696434944	0.802409595481884	0.886243433815812	0.850314645958414	0.874267171196679	0.742528282386221	0.922172221673209	0.934148484292342	0.850314645958414	0.946124746911475	0.692771084337349	1	1	0.855421686746988	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Sulfurisoma	0.922172221673209	0.898219696434944	0.922172221673209	0.922172221673209	0.898219696434944	0.826362120720149	0.826362120720149	0.826362120720149	0.850314645958414	0.826362120720149	0.850314645958414	0.97007727214974	0.922172221673209	0.807228915662651	0.778457070243618	0.754504545005353	0.850314645958414	0.898219696434944	0.802409595481884	0.886243433815812	0.850314645958414	0.874267171196679	0.742528282386221	0.922172221673209	0.934148484292342	0.850314645958414	0.946124746911475	0.692771084337349	1	1	0.855421686746988	0.668674698795181	0.692771084337349	0.692771084337349	0.692771084337349
Methylosinus	0.874267171196679	0.946124746911475	0.97007727214974	0.97007727214974	0.946124746911475	0.898219696434944	0.730552019767088	0.730552019767088	0.826362120720149	0.730552019767088	0.826362120720149	0.826362120720149	0.874267171196679	0.783132530120482	0.874267171196679	0.826362120720149	0.826362120720149	0.946124746911475	0.898219696434944	0.934148484292342	0.826362120720149	0.826362120720149	0.742528282386221	0.874267171196679	0.790433332862751	0.826362120720149	0.730552019767088	0.704819277108434	0.855421686746988	0.855421686746988	1	0.77710843373494	0.704819277108434	0.704819277108434	0.704819277108434
Aciditerrimonas	0.838338383339281	0.898219696434944	0.778457070243618	0.778457070243618	0.898219696434944	0.922172221673209	0.886243433815812	0.886243433815812	0.934148484292342	0.886243433815812	0.898219696434944	0.766480807624486	0.838338383339281	0.873493975903614	0.934148484292342	0.802409595481884	0.934148484292342	0.898219696434944	0.814385858101016	0.790433332862751	0.898219696434944	0.826362120720149	0.898219696434944	0.838338383339281	0.670670706671425	0.934148484292342	0.718575757147955	0.975903614457831	0.668674698795181	0.668674698795181	0.77710843373494	1	0.975903614457831	0.975903614457831	0.975903614457831
Skermanella	0.862290908577547	0.874267171196679	0.730552019767088	0.730552019767088	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.958101009530607	0.874267171196679	0.742528282386221	0.742528282386221	0.922172221673209	0.874267171196679	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.790433332862751	1	0.692771084337349	0.692771084337349	0.704819277108434	0.975903614457831	1	1	1
Sneathiella	0.862290908577547	0.874267171196679	0.730552019767088	0.730552019767088	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.958101009530607	0.874267171196679	0.742528282386221	0.742528282386221	0.922172221673209	0.874267171196679	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.790433332862751	1	0.692771084337349	0.692771084337349	0.704819277108434	0.975903614457831	1	1	1
Terrimonas	0.862290908577547	0.874267171196679	0.730552019767088	0.730552019767088	0.874267171196679	0.898219696434944	0.934148484292342	0.934148484292342	0.958101009530607	0.934148484292342	0.922172221673209	0.814385858101016	0.862290908577547	0.921686746987952	0.886243433815812	0.778457070243618	0.958101009530607	0.874267171196679	0.742528282386221	0.742528282386221	0.922172221673209	0.874267171196679	0.922172221673209	0.862290908577547	0.718575757147955	0.958101009530607	0.790433332862751	1	0.692771084337349	0.692771084337349	0.704819277108434	0.975903614457831	1	1	1
