Promicromonospora	Phyllobacterium	Rhizobium	Flavobacterium	Lentzea	Mycobacterium	Kribbella	Massilia	Bosea	Rhodopseudomonas	Nitrobacter	Methylophilus	Iamia	Haloactinopolyspora	Panacagrimonas	Actinocorallia	Streptosporangium	Sulfuriferula	Gp6	Lautropia	Armatimonadetes_gp2	Inquilinus	Luteolibacter	Cohnella	Pedobacter	Saccharomonospora	Thermoleophilum	Pseudenhygromyxa	Ammoniphilus
Promicromonospora	1	1	0.857142857142857	0.904761904761905	1	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Phyllobacterium	1	1	0.857142857142857	0.904761904761905	1	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Rhizobium	0.857142857142857	0.857142857142857	1	0.833333333333333	0.857142857142857	1	0.595238095238095	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.80952380952381	0.904761904761905	0.80952380952381	0.833333333333333	0.833333333333333	0.619047619047619	0.595238095238095	0.880952380952381	0.619047619047619	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.761904761904762	0.80952380952381	0.761904761904762	0.802409595481884	0.874267171196679
Flavobacterium	0.904761904761905	0.904761904761905	0.833333333333333	1	0.904761904761905	0.833333333333333	0.904761904761905	0.976190476190476	0.952380952380953	0.80952380952381	0.904761904761905	0.690476190476191	0.761904761904762	0.80952380952381	0.857142857142857	0.952380952380953	0.833333333333333	0.904761904761905	0.761904761904762	0.833333333333333	0.785714285714286	0.857142857142857	0.714285714285714	0.976190476190476	0.80952380952381	0.928571428571429	0.976190476190476	0.850314645958414	0.946124746911475
Lentzea	1	1	0.857142857142857	0.904761904761905	1	0.857142857142857	0.857142857142857	0.952380952380953	0.976190476190476	0.952380952380953	0.857142857142857	0.857142857142857	0.857142857142857	0.904761904761905	0.857142857142857	0.904761904761905	0.857142857142857	0.857142857142857	0.928571428571429	0.857142857142857	0.857142857142857	0.976190476190476	0.904761904761905	0.952380952380953	0.928571428571429	0.976190476190476	0.880952380952381	0.934148484292342	0.850314645958414
Mycobacterium	0.857142857142857	0.857142857142857	1	0.833333333333333	0.857142857142857	1	0.595238095238095	0.857142857142857	0.904761904761905	0.928571428571429	0.928571428571429	0.80952380952381	0.904761904761905	0.80952380952381	0.833333333333333	0.833333333333333	0.619047619047619	0.595238095238095	0.880952380952381	0.619047619047619	0.80952380952381	0.904761904761905	0.904761904761905	0.857142857142857	0.761904761904762	0.80952380952381	0.761904761904762	0.802409595481884	0.874267171196679
Kribbella	0.857142857142857	0.857142857142857	0.595238095238095	0.904761904761905	0.857142857142857	0.595238095238095	1	0.880952380952381	0.833333333333333	0.690476190476191	0.714285714285714	0.571428571428572	0.642857142857143	0.690476190476191	0.714285714285714	0.857142857142857	0.857142857142857	1	0.642857142857143	0.857142857142857	0.738095238095238	0.761904761904762	0.571428571428572	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.850314645958414	0.814385858101016
Massilia	0.952380952380953	0.952380952380953	0.857142857142857	0.976190476190476	0.952380952380953	0.857142857142857	0.880952380952381	1	0.976190476190476	0.880952380952381	0.928571428571429	0.80952380952381	0.80952380952381	0.857142857142857	0.928571428571429	0.976190476190476	0.904761904761905	0.880952380952381	0.857142857142857	0.904761904761905	0.857142857142857	0.928571428571429	0.80952380952381	1	0.833333333333333	0.976190476190476	0.928571428571429	0.850314645958414	0.886243433815812
Bosea	0.976190476190476	0.976190476190476	0.904761904761905	0.952380952380953	0.976190476190476	0.904761904761905	0.833333333333333	0.976190476190476	1	0.928571428571429	0.904761904761905	0.833333333333333	0.833333333333333	0.928571428571429	0.880952380952381	0.928571428571429	0.833333333333333	0.833333333333333	0.904761904761905	0.833333333333333	0.80952380952381	0.952380952380953	0.880952380952381	0.976190476190476	0.857142857142857	0.952380952380953	0.904761904761905	0.898219696434944	0.910195959054077
Rhodopseudomonas	0.952380952380953	0.952380952380953	0.928571428571429	0.80952380952381	0.952380952380953	0.928571428571429	0.690476190476191	0.880952380952381	0.928571428571429	1	0.857142857142857	0.880952380952381	0.904761904761905	0.857142857142857	0.833333333333333	0.857142857142857	0.738095238095238	0.690476190476191	0.952380952380953	0.738095238095238	0.880952380952381	0.976190476190476	0.976190476190476	0.880952380952381	0.880952380952381	0.904761904761905	0.761904761904762	0.898219696434944	0.790433332862751
Nitrobacter	0.857142857142857	0.857142857142857	0.928571428571429	0.904761904761905	0.857142857142857	0.928571428571429	0.714285714285714	0.928571428571429	0.904761904761905	0.857142857142857	1	0.833333333333333	0.904761904761905	0.761904761904762	0.952380952380953	0.904761904761905	0.785714285714286	0.714285714285714	0.857142857142857	0.785714285714286	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.761904761904762	0.880952380952381	0.833333333333333	0.730552019767088	0.874267171196679
Methylophilus	0.857142857142857	0.857142857142857	0.80952380952381	0.690476190476191	0.857142857142857	0.80952380952381	0.571428571428572	0.80952380952381	0.833333333333333	0.880952380952381	0.833333333333333	1	0.857142857142857	0.857142857142857	0.904761904761905	0.738095238095238	0.80952380952381	0.571428571428572	0.976190476190476	0.80952380952381	0.80952380952381	0.928571428571429	0.928571428571429	0.80952380952381	0.738095238095238	0.833333333333333	0.595238095238095	0.658694444052292	0.622765656194895
Iamia	0.857142857142857	0.857142857142857	0.904761904761905	0.761904761904762	0.857142857142857	0.904761904761905	0.642857142857143	0.80952380952381	0.833333333333333	0.904761904761905	0.904761904761905	0.857142857142857	1	0.714285714285714	0.833333333333333	0.761904761904762	0.666666666666667	0.642857142857143	0.904761904761905	0.666666666666667	0.904761904761905	0.928571428571429	0.880952380952381	0.80952380952381	0.880952380952381	0.833333333333333	0.738095238095238	0.790433332862751	0.802409595481884
Haloactinopolyspora	0.904761904761905	0.904761904761905	0.80952380952381	0.80952380952381	0.904761904761905	0.80952380952381	0.690476190476191	0.857142857142857	0.928571428571429	0.857142857142857	0.761904761904762	0.857142857142857	0.714285714285714	1	0.785714285714286	0.761904761904762	0.761904761904762	0.690476190476191	0.904761904761905	0.761904761904762	0.619047619047619	0.880952380952381	0.880952380952381	0.857142857142857	0.738095238095238	0.833333333333333	0.738095238095238	0.790433332862751	0.778457070243618
Panacagrimonas	0.857142857142857	0.857142857142857	0.833333333333333	0.857142857142857	0.857142857142857	0.833333333333333	0.714285714285714	0.928571428571429	0.880952380952381	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.785714285714286	1	0.904761904761905	0.904761904761905	0.714285714285714	0.880952380952381	0.904761904761905	0.880952380952381	0.904761904761905	0.80952380952381	0.928571428571429	0.714285714285714	0.904761904761905	0.761904761904762	0.658694444052292	0.742528282386221
Actinocorallia	0.904761904761905	0.904761904761905	0.833333333333333	0.952380952380953	0.904761904761905	0.833333333333333	0.857142857142857	0.976190476190476	0.928571428571429	0.857142857142857	0.904761904761905	0.738095238095238	0.761904761904762	0.761904761904762	0.904761904761905	1	0.880952380952381	0.857142857142857	0.785714285714286	0.880952380952381	0.880952380952381	0.880952380952381	0.761904761904762	0.976190476190476	0.785714285714286	0.952380952380953	0.904761904761905	0.826362120720149	0.838338383339281
Streptosporangium	0.857142857142857	0.857142857142857	0.619047619047619	0.833333333333333	0.857142857142857	0.619047619047619	0.857142857142857	0.904761904761905	0.833333333333333	0.738095238095238	0.785714285714286	0.80952380952381	0.666666666666667	0.761904761904762	0.904761904761905	0.880952380952381	1	0.857142857142857	0.785714285714286	1	0.80952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.738095238095238	0.928571428571429	0.785714285714286	0.682646969290558	0.64671818143316
Sulfuriferula	0.857142857142857	0.857142857142857	0.595238095238095	0.904761904761905	0.857142857142857	0.595238095238095	1	0.880952380952381	0.833333333333333	0.690476190476191	0.714285714285714	0.571428571428572	0.642857142857143	0.690476190476191	0.714285714285714	0.857142857142857	0.857142857142857	1	0.642857142857143	0.857142857142857	0.738095238095238	0.761904761904762	0.571428571428572	0.880952380952381	0.857142857142857	0.904761904761905	0.952380952380953	0.850314645958414	0.814385858101016
Gp6	0.928571428571429	0.928571428571429	0.880952380952381	0.761904761904762	0.928571428571429	0.880952380952381	0.642857142857143	0.857142857142857	0.904761904761905	0.952380952380953	0.857142857142857	0.976190476190476	0.904761904761905	0.904761904761905	0.880952380952381	0.785714285714286	0.785714285714286	0.642857142857143	1	0.785714285714286	0.833333333333333	0.976190476190476	0.976190476190476	0.857142857142857	0.833333333333333	0.880952380952381	0.690476190476191	0.790433332862751	0.730552019767088
Lautropia	0.857142857142857	0.857142857142857	0.619047619047619	0.833333333333333	0.857142857142857	0.619047619047619	0.857142857142857	0.904761904761905	0.833333333333333	0.738095238095238	0.785714285714286	0.80952380952381	0.666666666666667	0.761904761904762	0.904761904761905	0.880952380952381	1	0.857142857142857	0.785714285714286	1	0.80952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.738095238095238	0.928571428571429	0.785714285714286	0.682646969290558	0.64671818143316
Armatimonadetes_gp2	0.857142857142857	0.857142857142857	0.80952380952381	0.785714285714286	0.857142857142857	0.80952380952381	0.738095238095238	0.857142857142857	0.80952380952381	0.880952380952381	0.880952380952381	0.80952380952381	0.904761904761905	0.619047619047619	0.880952380952381	0.880952380952381	0.80952380952381	0.738095238095238	0.833333333333333	0.80952380952381	1	0.904761904761905	0.80952380952381	0.857142857142857	0.857142857142857	0.904761904761905	0.761904761904762	0.778457070243618	0.706599494528823
