Bradyrhizobium	Geobacter	Dongia	g__Apodus	Asticcacaulis	Sporichthya	Ilumatobacter	Arenimonas	Niastella	Curtobacterium	Rhodoligotrophos	Pseudolabrys	Ramlibacter	Chitinimonas	Oscillochloris	Methyloceanibacter	Labilithrix	Variibacter	Thiomonas	Halobacteriovorax	Gp3	Ardenticatena	Gp22	Chelativorans	Luteivirga	Roseiflexus	Acidiphilium	Aciditerrimonas	Skermanella	Sneathiella	Terrimonas
Bradyrhizobium	1	0.976190476190476	1	0.97007727214974	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Geobacter	0.976190476190476	1	0.976190476190476	0.97007727214974	0.928571428571429	0.952380952380953	1	0.952380952380953	0.880952380952381	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Dongia	1	0.976190476190476	1	0.97007727214974	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
g__Apodus	0.97007727214974	0.97007727214974	0.97007727214974	1	0.850314645958414	0.910195959054077	0.97007727214974	0.898219696434944	0.850314645958414	0.850314645958414	0.874267171196679	0.97007727214974	0.874267171196679	0.97007727214974	0.897590361445783	0.898219696434944	0.910195959054077	0.934148484292342	0.946124746911475	0.838338383339281	0.838338383339281	0.97007727214974	0.838338383339281	0.934148484292342	0.874267171196679	0.921686746987952	0.897590361445783	0.873493975903614	0.921686746987952	0.921686746987952	0.921686746987952
Asticcacaulis	0.904761904761905	0.928571428571429	0.904761904761905	0.850314645958414	1	0.880952380952381	0.928571428571429	0.928571428571429	0.880952380952381	0.619047619047619	0.928571428571429	0.904761904761905	0.761904761904762	0.80952380952381	0.862290908577547	0.833333333333333	0.880952380952381	0.857142857142857	0.857142857142857	0.690476190476191	0.785714285714286	0.928571428571429	0.904761904761905	0.761904761904762	0.785714285714286	0.886243433815812	0.862290908577547	0.934148484292342	0.886243433815812	0.886243433815812	0.886243433815812
Sporichthya	0.904761904761905	0.952380952380953	0.904761904761905	0.910195959054077	0.880952380952381	1	0.952380952380953	0.833333333333333	0.857142857142857	0.619047619047619	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Ilumatobacter	0.976190476190476	1	0.976190476190476	0.97007727214974	0.928571428571429	0.952380952380953	1	0.952380952380953	0.880952380952381	0.761904761904762	0.928571428571429	0.976190476190476	0.880952380952381	0.952380952380953	0.934148484292342	0.928571428571429	0.952380952380953	0.928571428571429	0.952380952380953	0.833333333333333	0.880952380952381	1	0.904761904761905	0.857142857142857	0.904761904761905	0.958101009530607	0.934148484292342	0.934148484292342	0.958101009530607	0.958101009530607	0.958101009530607
Arenimonas	0.928571428571429	0.952380952380953	0.928571428571429	0.898219696434944	0.928571428571429	0.833333333333333	0.952380952380953	1	0.833333333333333	0.761904761904762	0.833333333333333	0.928571428571429	0.833333333333333	0.928571428571429	0.802409595481884	0.833333333333333	0.833333333333333	0.857142857142857	0.952380952380953	0.857142857142857	0.80952380952381	0.952380952380953	0.785714285714286	0.785714285714286	0.857142857142857	0.874267171196679	0.802409595481884	0.898219696434944	0.874267171196679	0.874267171196679	0.874267171196679
Niastella	0.904761904761905	0.880952380952381	0.904761904761905	0.850314645958414	0.880952380952381	0.857142857142857	0.880952380952381	0.833333333333333	1	0.785714285714286	0.80952380952381	0.904761904761905	0.666666666666667	0.761904761904762	0.886243433815812	0.714285714285714	0.857142857142857	0.952380952380953	0.833333333333333	0.690476190476191	0.904761904761905	0.880952380952381	0.833333333333333	0.880952380952381	0.642857142857143	0.934148484292342	0.886243433815812	0.958101009530607	0.934148484292342	0.934148484292342	0.934148484292342
Curtobacterium	0.833333333333333	0.761904761904762	0.833333333333333	0.850314645958414	0.619047619047619	0.619047619047619	0.761904761904762	0.761904761904762	0.785714285714286	1	0.547619047619048	0.833333333333333	0.690476190476191	0.833333333333333	0.634741918814027	0.595238095238095	0.619047619047619	0.857142857142857	0.857142857142857	0.833333333333333	0.714285714285714	0.761904761904762	0.5	0.928571428571429	0.619047619047619	0.730552019767088	0.634741918814027	0.706599494528823	0.730552019767088	0.730552019767088	0.730552019767088
Rhodoligotrophos	0.904761904761905	0.928571428571429	0.904761904761905	0.874267171196679	0.928571428571429	0.952380952380953	0.928571428571429	0.833333333333333	0.80952380952381	0.547619047619048	1	0.904761904761905	0.857142857142857	0.80952380952381	0.934148484292342	0.952380952380953	0.952380952380953	0.857142857142857	0.833333333333333	0.690476190476191	0.761904761904762	0.928571428571429	0.976190476190476	0.738095238095238	0.880952380952381	0.886243433815812	0.934148484292342	0.862290908577547	0.886243433815812	0.886243433815812	0.886243433815812
Pseudolabrys	1	0.976190476190476	1	0.97007727214974	0.904761904761905	0.904761904761905	0.976190476190476	0.928571428571429	0.904761904761905	0.833333333333333	0.904761904761905	1	0.904761904761905	0.928571428571429	0.898219696434944	0.904761904761905	0.904761904761905	0.976190476190476	0.976190476190476	0.880952380952381	0.833333333333333	0.976190476190476	0.857142857142857	0.904761904761905	0.880952380952381	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Ramlibacter	0.904761904761905	0.880952380952381	0.904761904761905	0.874267171196679	0.761904761904762	0.80952380952381	0.880952380952381	0.833333333333333	0.666666666666667	0.690476190476191	0.857142857142857	0.904761904761905	1	0.880952380952381	0.778457070243618	0.952380952380953	0.80952380952381	0.833333333333333	0.928571428571429	0.928571428571429	0.642857142857143	0.880952380952381	0.761904761904762	0.714285714285714	0.976190476190476	0.754504545005353	0.778457070243618	0.682646969290558	0.754504545005353	0.754504545005353	0.754504545005353
Chitinimonas	0.928571428571429	0.952380952380953	0.928571428571429	0.97007727214974	0.80952380952381	0.857142857142857	0.952380952380953	0.928571428571429	0.761904761904762	0.833333333333333	0.80952380952381	0.928571428571429	0.880952380952381	1	0.826362120720149	0.880952380952381	0.857142857142857	0.857142857142857	0.952380952380953	0.880952380952381	0.80952380952381	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.874267171196679	0.826362120720149	0.826362120720149	0.874267171196679	0.874267171196679	0.874267171196679
Oscillochloris	0.898219696434944	0.934148484292342	0.898219696434944	0.897590361445783	0.862290908577547	0.994029797388005	0.934148484292342	0.802409595481884	0.886243433815812	0.634741918814027	0.934148484292342	0.898219696434944	0.778457070243618	0.826362120720149	1	0.898219696434944	0.994029797388005	0.898219696434944	0.814385858101016	0.670670706671425	0.922172221673209	0.934148484292342	0.97007727214974	0.802409595481884	0.814385858101016	0.975903614457831	1	0.927710843373494	0.975903614457831	0.975903614457831	0.975903614457831
Methyloceanibacter	0.904761904761905	0.928571428571429	0.904761904761905	0.898219696434944	0.833333333333333	0.928571428571429	0.928571428571429	0.833333333333333	0.714285714285714	0.595238095238095	0.952380952380953	0.904761904761905	0.952380952380953	0.880952380952381	0.898219696434944	1	0.928571428571429	0.833333333333333	0.880952380952381	0.80952380952381	0.738095238095238	0.928571428571429	0.904761904761905	0.714285714285714	0.976190476190476	0.850314645958414	0.898219696434944	0.778457070243618	0.850314645958414	0.850314645958414	0.850314645958414
Labilithrix	0.904761904761905	0.952380952380953	0.904761904761905	0.910195959054077	0.880952380952381	1	0.952380952380953	0.833333333333333	0.857142857142857	0.619047619047619	0.952380952380953	0.904761904761905	0.80952380952381	0.857142857142857	0.994029797388005	0.928571428571429	1	0.880952380952381	0.833333333333333	0.690476190476191	0.904761904761905	0.952380952380953	0.976190476190476	0.785714285714286	0.857142857142857	0.97007727214974	0.994029797388005	0.922172221673209	0.97007727214974	0.97007727214974	0.97007727214974
Variibacter	0.976190476190476	0.928571428571429	0.976190476190476	0.934148484292342	0.857142857142857	0.880952380952381	0.928571428571429	0.857142857142857	0.952380952380953	0.857142857142857	0.857142857142857	0.976190476190476	0.833333333333333	0.857142857142857	0.898219696434944	0.833333333333333	0.880952380952381	1	0.928571428571429	0.833333333333333	0.857142857142857	0.928571428571429	0.833333333333333	0.928571428571429	0.785714285714286	0.922172221673209	0.898219696434944	0.898219696434944	0.922172221673209	0.922172221673209	0.922172221673209
Thiomonas	0.976190476190476	0.952380952380953	0.976190476190476	0.946124746911475	0.857142857142857	0.833333333333333	0.952380952380953	0.952380952380953	0.833333333333333	0.857142857142857	0.833333333333333	0.976190476190476	0.928571428571429	0.952380952380953	0.814385858101016	0.880952380952381	0.833333333333333	0.928571428571429	1	0.952380952380953	0.785714285714286	0.952380952380953	0.761904761904762	0.857142857142857	0.904761904761905	0.862290908577547	0.814385858101016	0.838338383339281	0.862290908577547	0.862290908577547	0.862290908577547
