#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_162	231	74	554	117	135	4	0	3	7	10	9	0	0	1	2	250	123	698	132	145	0	18	14	0	3	8	68	2	22	3	10	3	12	5	0	2	33	6	19	0
OTU_54	802	1045	1155	1525	1783	234	0	1	3	4	598	1	8	24	3	850	1444	1413	1380	1391	3	3	557	14	3	169	100	12	11	55	131	90	13	7	5	670	135	4	3	65
OTU_280	135	15	18	67	75	4	0	4	0	0	0	0	6	143	23	135	32	20	76	62	0	0	0	6	46	0	0	0	38	0	0	2	2	1	0	0	0	0	40	1
OTU_207	810	26	41	88	96	0	0	1	0	0	0	0	0	0	0	835	62	38	84	125	0	0	0	0	0	4	2	0	34	2	1	11	19	0	0	0	3	0	35	0
OTU_14	124	220	301	201	387	2139	94	64	2894	1337	19	607	628	889	480	128	263	293	192	277	98	2282	41	649	745	745	423	342	1762	3895	644	287	572	2330	834	8245	682	266	2160	2694
OTU_187	210	118	177	172	195	3	24	3	11	20	14	0	10	76	1	281	151	174	168	145	32	28	14	10	6	90	4	30	6	5	112	81	28	0	0	1	21	18	5	5
OTU_420	78	16	0	95	0	81	0	0	0	0	6	0	0	6	0	73	27	11	83	0	0	0	0	0	7	3	20	0	0	7	7	6	0	0	0	2	21	0	0	11
OTU_58	383	3463	781	954	1740	5	1	14	4	26	3	0	18	13	5	403	4571	799	858	1377	11	33	5	12	10	501	1	20	90	4	535	171	22	8	24	15	0	13	78	1
OTU_201	302	12	38	368	310	15	0	0	4	0	0	0	5	0	3	305	27	52	324	202	0	1	0	1	11	1	0	0	1	0	0	8	3	0	0	0	0	0	0	0
OTU_630	56	29	3	14	9	0	0	0	4	0	0	0	0	1	3	53	53	9	12	2	0	2	1	0	14	0	0	0	0	0	1	0	0	0	0	0	2	4	0	0
OTU_2158	4	1	1	3	1	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU_233	772	2	0	0	0	0	0	0	0	0	4	0	0	0	0	571	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_256	6	6	0	573	0	0	0	0	0	0	0	0	0	0	0	4	11	5	515	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_175	278	86	301	210	199	2	44	7	14	16	17	0	17	21	0	319	99	304	212	176	65	36	16	18	8	34	5	93	14	18	58	46	39	0	2	27	14	94	21	6
OTU_47	239	348	77	3986	107	44	0	138	29	0	241	5	1	34	9	256	545	95	4043	73	3	2	277	5	12	537	1033	27	950	591	436	4460	4475	991	333	1702	1446	24	1062	415
OTU_529	70	27	53	49	98	0	0	0	0	0	0	0	0	0	0	23	41	95	74	112	0	3	0	0	0	2	0	0	0	0	3	0	0	0	1	1	0	0	0	0
OTU_1226	13	0	8	0	6	0	0	0	0	0	0	0	0	0	0	1	0	26	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_144	68	42	68	14	779	18	0	1	70	0	369	0	7	199	0	66	28	54	17	663	0	0	495	2	0	34	0	10	0	0	31	5	5	263	2	0	0	8	0	1
OTU_3583	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	1	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_602	232	7	2	0	0	3	0	0	20	0	21	0	11	7	0	211	12	8	3	2	0	0	8	8	0	20	29	0	292	63	14	12	217	12	29	40	29	11	318	37
OTU_129	105	266	87	42	23	1	0	34	23	20	9	0	156	8	6	126	412	87	50	11	0	50	8	172	6	217	91	0	770	202	229	6	200	9	46	183	171	0	879	112
