	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
TAE0H9	0.8946	0.9329	0.939	0.9226	0.9357	0.874	0.9059	0.8884	0.7468	0.8636	0.9278	0.9188	0.732	0.7563	0.7842	0.8894	0.9306	0.9367	0.9185	0.9368	0.9127	0.8542	0.9203	0.7247	0.7874	0.8404	0.6159	0.9578	0.7719	0.0	0.8366	0.9122	0.8332	0.4645	0.6785	0.3661	0.6175	0.9633	0.7766	0.0514
TAH10	0.7577	0.7877	0.7959	0.7811	0.7544	0.7472	0.7899	0.8734	0.7496	0.7968	0.8547	0.8002	0.8064	0.7288	0.8313	0.7538	0.7876	0.785	0.7763	0.756	0.8029	0.795	0.8501	0.7984	0.8193	0.0708	0.7008	0.7416	0.7978	0.8366	0.0	0.5925	0.7584	0.8601	0.8511	0.8513	0.6991	0.7596	0.7977	0.8342
TAH1	0.8371	0.8656	0.8655	0.6556	0.821	0.8263	0.8353	0.9044	0.8461	0.8802	0.901	0.8581	0.8609	0.7856	0.902	0.8308	0.8675	0.8653	0.6519	0.823	0.8405	0.8793	0.8891	0.8545	0.8925	0.5845	0.8127	0.781	0.8461	0.9122	0.5925	0.0	0.5975	0.8695	0.9169	0.8886	0.8111	0.7987	0.8466	0.9114
TAH2	0.8875	0.8932	0.8954	0.8232	0.8691	0.8749	0.8702	0.9027	0.8469	0.8546	0.8998	0.8531	0.8605	0.8314	0.8822	0.8883	0.8934	0.8903	0.8184	0.8689	0.8725	0.856	0.892	0.8514	0.8778	0.7601	0.7078	0.8413	0.4908	0.8332	0.7584	0.5975	0.0	0.8047	0.8406	0.7994	0.7012	0.8508	0.469	0.8381
TAH3	0.9029	0.9482	0.9573	0.8885	0.9363	0.6646	0.8848	0.6663	0.5402	0.655	0.7116	0.7022	0.7137	0.6495	0.58	0.8979	0.9485	0.956	0.8843	0.9389	0.8871	0.6457	0.6998	0.7066	0.584	0.8589	0.6844	0.9566	0.6778	0.4645	0.8601	0.8695	0.8047	0.0	0.6505	0.4324	0.6876	0.9618	0.6757	0.4729
TAH4	0.9074	0.9519	0.9578	0.9458	0.9554	0.868	0.8949	0.8603	0.8622	0.8649	0.9171	0.8948	0.7719	0.7488	0.772	0.901	0.9521	0.9578	0.9419	0.9564	0.8984	0.8648	0.9118	0.7686	0.7771	0.852	0.793	0.9416	0.8001	0.6785	0.8511	0.9169	0.8406	0.6505	0.0	0.7162	0.7905	0.9451	0.8014	0.6807
TAH5	0.886	0.9196	0.9286	0.883	0.9263	0.8778	0.9207	0.8915	0.7278	0.8749	0.9273	0.9279	0.7399	0.787	0.8062	0.88	0.9181	0.9281	0.8793	0.9268	0.924	0.8647	0.924	0.733	0.8025	0.8521	0.5918	0.9618	0.7536	0.3661	0.8513	0.8886	0.7994	0.4324	0.7162	0.0	0.5871	0.9666	0.7524	0.3701
TAH6	0.8162	0.8419	0.8364	0.7535	0.8469	0.7182	0.7281	0.9002	0.7395	0.6835	0.7505	0.8558	0.6609	0.726	0.8416	0.821	0.8356	0.8311	0.7421	0.8473	0.7332	0.6718	0.7424	0.6535	0.8348	0.7063	0.0726	0.9253	0.6322	0.6175	0.6991	0.8111	0.7012	0.6876	0.7905	0.5871	0.0	0.9325	0.6363	0.6251
TAH7	0.8907	0.9404	0.9263	0.931	0.9019	0.9344	0.8434	0.9243	0.9047	0.8862	0.9217	0.8765	0.923	0.8735	0.8954	0.888	0.9444	0.9256	0.9298	0.899	0.8313	0.893	0.9222	0.9184	0.8948	0.7551	0.9345	0.0507	0.9276	0.9633	0.7596	0.7987	0.8508	0.9618	0.9451	0.9666	0.9325	0.0	0.9253	0.9642
TAH8	0.9083	0.9141	0.9027	0.8925	0.9211	0.733	0.8442	0.7974	0.7062	0.7085	0.7768	0.7267	0.8108	0.7566	0.7626	0.9093	0.9145	0.9016	0.8927	0.921	0.8427	0.7009	0.7718	0.806	0.7601	0.7971	0.6323	0.9216	0.0591	0.7766	0.7977	0.8466	0.469	0.6757	0.8014	0.7524	0.6363	0.9253	0.0	0.7869
TAH9	0.8907	0.933	0.9344	0.9188	0.932	0.8704	0.908	0.8889	0.746	0.861	0.9249	0.9155	0.7291	0.7547	0.7795	0.8862	0.9324	0.9311	0.915	0.933	0.9133	0.8532	0.918	0.7224	0.7838	0.8372	0.6271	0.958	0.7829	0.0514	0.8342	0.9114	0.8381	0.4729	0.6807	0.3701	0.6251	0.9642	0.7869	0.0
