TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10
funOTU_3	0.141553689291569	6.87860185989846	7.43891006810939	1.79850594175092	0.231547999661312	3.01576586381384	4.97373603691554	11.9784979434861	1.82749916946485	2.45646489877574	0.160000554703822	0.0775743907888723	0.436773326254185	0.163761001713651	0.00755616387687392	0.0345932886570488	0.340124906503237	0.0461552360786368	0.00302999289463869	0.2938560089978
funOTU_29	0.135479080915912	0.0922169055990919	0.0426134554175213	0.0491196241424992	0.00885644422667693	0.0167831146522037	0.0518176301944813	0.119697395974392	0.0322933622543532	0.0262379362424656	0.0184971739541991	0.0175754479131039	0.000203244916823725	0.00106020568838519	0.000260557375064618	0.00131090357016185	0.0619240861167328	0.00371022798059781	0.000139845825906401	0.0128573650100496
funOTU_7	0.0910680785056472	0.0311719117518057	0.170453821670085	0.998765690897484	0.656230505952568	0.0859135631005665	1.0987606986494	1.02399662531751	0.0661123951663923	0.931694264307929	0.00693644023282467	0.00101008321339677	0.0008129796672949	8.15542837219379e-05	0.00123764753155694	0.0726823201678626	0.000305044759195728	0.00163250031146304	0.00619983161518379	0.0245966982800949
funOTU_180	0.0284332509684112	0	0	0	0.000426816589237442	0.000399597967909612	0.0151292350932792	0.0124076568997846	0	0	0	0	0	0	0	0	0	0	0	0
funOTU_9	0.0261871772832943	0.155210143930866	0.13356456175641	0.275069895197996	0.0523917363288961	0.281316969408367	0.0434965508931777	0.0992612551982765	0.164009595701242	0.0663374237073658	0.00595377786650784	0.0406053451785503	0.008129796672949	0.00717677696753053	0.00293127046947695	0.0140557993911798	2.62246979480567	0.0479361455093238	0.00349614564766003	0.0291930509890015
funOTU_4	0.023839009339763	6.05709210227275	2.29222228842906	3.17203617240228	0.435993145906047	2.60857553451394	0.251901764303099	1.03494455787615	1.41989082541975	3.02181816649075	0.0020809320698474	0.059796926233089	0.292672680226164	0.0431422160889051	0.0196069424736125	0.0251984797375556	0.0228783569396796	0.236118908685245	0.0146838117201721	0.00534170720224283
funOTU_20	0.015722515795818	0.412378415883263	0.44457918413205	0.065492832189999	0.00640224883856164	0.0923071305871203	1.28636321380607	1.89399233264358	0.0864546706022053	0.0915852491482289	0.00346822011641234	0.00989881549128839	0	0.00742143981869635	0.000130278687532309	0.00138373154628195	0.0942588305914799	0.0129115933724804	4.66152753021337e-05	0.0103728500322622
funOTU_17	0.0142931961780164	2.00344474488168	0.709164220754272	0.123344833957831	0.00362794100851826	0.206592149409269	0.312418704676216	0.164218988379502	0.488723167345408	0.363865719588909	0	0.00121209985607613	0	0	6.51393437661545e-05	0.000582623808960822	0.000305044759195728	0.00207772766913478	0	0
funOTU_45	0.013935866273566	0.0279248376109926	0.0324371078551281	0.0174647552506664	0.198363009848101	0.0875119549722049	0.0321496245732183	0.0306542111641736	0.0124596437044355	0.0554462048897386	0.00335261277919859	0.01252503184612	0	0.000326217134887751	0	0.000582623808960822	0.0146421484413949	0.0170670487107499	0.000326306927114936	0.00254662785223205
funOTU_5	0.0130170179478363	0.059746164190961	0.11830004041282	0.0804106439666099	0.0154721013598573	0.168630342457856	0.116116879340918	0.0489007654285627	0.0297505778248765	0.14802156483957	0.0679193106130749	2.29349494433872	0.00752006192247783	0.0194099195258212	0.00898922943972932	0.0322627934212055	0.382526128031443	1.5962884863724	0.010814743870095	0.0565848286191072
