TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10
bacOTU_1	8.25018529049587	0.00496899016504813	0.119663762664988	0.00309185487405656	18.3696667072626	0.00314268969521926	0.11014130353009	27.6867084284683	0	0	0	0.00221115486565418	0	0.000579132060340835	0	0	0	0	0	0
bacOTU_8	0.114392876258009	1.27703047241737	0.241928911474867	0.0788422992884423	0.129399585921325	0.25455786531276	0.41608936889145	0.713042982230969	0.243234411066224	0.331902360015438	0.537139746680184	0.665557614561908	0.0796293998383725	0.0723915075426044	0.115071640249703	0.0970852794995983	1.25472573143271	0.318818232882607	0.0235425743530232	0.9146143430912
bacOTU_5	0.104771045544719	2.48946407268911	0.619129902484067	0.82707117881013	0.266410912190963	1.95475299042638	1.53953066489836	5.93889747042373	0.375448966459068	0.25261457401175	0.277432293837684	0.241015880356305	0.274777506484525	0.247868521825877	0.0135017391226318	0.0297378333602373	0.37802634216242	0.0931930219195313	0.00880844618650526	0.080857210041396
bacOTU_3	0.0759055534048473	9.704437792339	2.17215743098402	2.43019793100846	0.951467543539155	4.14206501829899	2.5234596431005	7.34621914587959	1.367562767613	0.850038822039539	0.207303575117603	0.44444212799649	0.216457382659238	0.101927242619987	0.18841063230218	0.196794485472159	1.09654449605979	0.293312774251998	0.0328314812406105	0.266431134726567
bacOTU_10	0.0534546150738361	1.13292975763097	0.104055445795642	0.202516494250705	0.0431331953071083	0.16970524354184	0.86154975205759	1.09771090685557	0.139279455299332	0.129073140006004	0.149505180568086	0.331673229848127	0.0190661943274976	0.00984524502579419	0.0144223122446295	0.0253646225719671	0.672940509806861	0.0539538547955181	0.00736706408325895	0.225339765689136
bacOTU_28	0.0459709689634991	0.571433868980535	0.148279010258789	0.193240929628535	0.0279097146104819	0.072281862990043	0.479726566486612	1.72631458855919	0.0767046275561536	0.0995707080046315	0.184954862558456	0.336095539579435	0.0437400928689652	0.0347479236204501	0.0171840316106223	0.0297378333602373	0.479905781894136	0.169709397811357	0.00672644981514947	0.17099311631705
bacOTU_9	0.0459709689634991	1.05839490515525	0.496864753674188	0.275175083791034	0.0608939227865059	1.55563139913353	0.38916593913965	1.26658950791027	0.237178782574949	0.755999820035165	0.174165828909213	0.933107353306063	0.772741640685052	0.139570826542141	0.0527795256611971	0.0564144191686855	0.560336918524438	0.361981316719022	0.0155348960016547	0.149784667781602
bacOTU_4	0.0427636920590689	1.00870500350477	0.689367328396125	0.452956739049286	0.220740470101084	1.04965835820323	0.479726566486612	1.59496456551664	0.317920495791952	0.87585345004074	0.256624871799858	1.37976063616821	2.20158467440458	0.247868521825877	0.0432669367338884	0.125073828544528	0.922277033360798	0.560139110695288	0.0219410386827495	0.316801199998256
bacOTU_13	0.0342109536472551	0.422364164029091	0.166488713273027	0.119036412651178	0.0253724678277108	0.439976557330696	0.63881956047452	0.863157294279594	0.0545006564214776	0.0755999820035165	0.0909361407579077	0.307350526325931	0.0706570730960207	0.00810784884477169	0.0122743082933017	0.0148689166801187	0.348534925397976	0.0470870005488158	0.00400383917568421	0.0874848502087235
bacOTU_27	0.0342109536472551	0.233542537757262	0.101454059650751	0.785331138010366	0.0202979742621686	0.537399937882493	0.670638159272101	0.318992913103328	0.031287413871589	0.483102324022471	0.140257437440163	0.780537667575925	0.224308168558796	0.0463305648272668	0.00951258892730879	0.0100583848130214	0.544250691198378	0.124584355618742	0.00896859975353263	0.331382008366377
bacOTU_6	0.0299345844413482	0.223604557427166	5.14033902230469	0.0618370974811312	1.06056915519831	0.835955458928323	0.149302655896344	0.253317901582055	0.0767046275561536	0.929326608043227	0.0192661315165059	0.325039765251164	0.299451405025992	0.927190428605677	0.212038675766786	0.0699713726123231	0.209120955238786	0.147146876715049	0.0148942817335453	0.0768806259409994
bacOTU_7	0.0267273075369181	1.16274369862126	0.262740000633995	0.500880489597163	0.180144521576747	0.776244354719157	0.58497270097092	2.54256116032359	0.339115195511416	0.182546298008491	0.0277432293837684	0.895517720589942	0.430671683632888	0.123934260912939	0.0696566995644869	0.141692029539954	0.305638319195148	0.796555092617467	0.0209801172805853	0.23594398995686
bacOTU_70	0.0256582152354413	0.432302144359188	0.12486653495477	0.256623954546694	0.0355214549587951	0.0879953114661393	0.210492268968616	1.21029664089204	0.15038144086667	0.219424338010206	0.0971013028431896	0.236593570624997	0.0684139914104327	0.0231652824136334	0.0343680632212447	0.044169428961529	0.225207182564846	0.132432189043544	0.01217167109408	0.131227275313085
bacOTU_20	0.0245891229339646	0.571433868980535	0.247131683764649	0.123674194962262	0.030446961393253	0.835955458928323	0.061189613072272	0.272082190588133	0.142307269544969	0.33559016401561	0.0154129052132047	0.17468123438668	0.0145800309563217	0.0208487541722701	0.00859201580531116	0.0148689166801187	0.10724151550707	0.0480679797269161	0.00736706408325895	0.0145808083681206
bacOTU_22	0.0245891229339646	0.422364164029091	0.694570100685907	0.200970566813676	0.111638858441928	0.355123935559776	0.301052896315578	0.853775149776555	0.120103298410293	0.278429202012951	0.0277432293837684	0.165836614924063	0.0571985829824929	0.0353270556807909	0.00705772726864846	0.023178017177832	0.061663871416565	0.0931930219195313	0.00512491414487579	0.0384403129704997
bacOTU_19	0.0213818460295345	0.367705272213562	0.15088039640368	0.115944557777121	0.032984208176024	0.135135656894428	0.450355552211922	1.51052526498929	0.053491385006265	0.136448748006347	0.248147773932596	0.32282861038551	0.137949523663659	0.0330105274394276	0.00675086956131591	0.0183674853107348	0.63272494149171	0.0382581879459128	0.00560537484595789	0.205456845187154
bacOTU_32	0.019243661426581	0.412426183698995	0.104055445795642	0.0943015736587251	0.0355214549587951	0.446261936721135	0.269234297517997	0.844393005273516	0.0484450279302023	0.0848194920039453	0.0778351713266837	0.280816667938081	0.30730219092555	0.154628260111003	0.00644401185398337	0.0284258701237563	0.600552486839589	0.0657256049327221	0.00688660338217684	0.10339118661031
bacOTU_53	0.019243661426581	0.168945665611636	0.0806429704916222	0.0602911700441029	0.0101489871310843	0.0377122763426311	0.112588888052981	0.40343221363068	0.0575284706671152	0.0442536480020584	0.023119357819807	0.0199003937908876	0.00224308168558796	0.00115826412068167	0.00214800395132779	0.00612249510357827	0.0991984018440393	0.00490489589050165	0.000480460701082105	0.0304871447697067
bacOTU_26	0.0181745691251043	0.82485236739799	0.0910485150711864	0.0742045169773574	0.109101611659156	0.072281862990043	0.308395649884251	0.6004572481945	0.0686304562344532	0.0958829040044599	0.182642926776476	0.134880446804905	0.0919663491091063	0.0353270556807909	0.00920573121997625	0.0271139068872752	0.710475040234336	0.0529728756174178	0.00832798548542315	0.318126728031722
bacOTU_11	0.0171054768236276	0.322984360728129	0.158684554838353	0.0541074602959898	0.0228352210449397	0.0377122763426311	0.286367389178233	0.150114312048625	0.0262410567955262	0.145668258006776	0.0747525902840428	0.384740946623827	0.0695355322532267	0.01389916944818	0.01810460473262	0.0406708603309128	0.855251086168879	0.218758356716373	0.0096092140216421	0.345962816734498
bacOTU_48	0.0138981999191974	0.322984360728129	0.166488713273027	0.0711126621033009	0.0126862339138554	0.179133312627498	0.161540578510798	0.40343221363068	0.0565191992519027	0.0516292560024015	0.0184954862558456	0.156991995461447	0.128977196921308	0.0671793189995369	0.010740019756639	0.0249273014931401	0.211801993126462	0.0843642093166283	0.00736706408325895	0.0556721774055513
bacOTU_16	0.0117600153162439	0.288201429572792	0.611325744049394	0.191695002191507	0.0735801567003613	0.263985934398418	0.061189613072272	0.806864427261359	0.230113882668461	0.140136552006518	0.00385322630330117	0.108346588417055	0.540582686226698	0.0382227159824951	0.00276171936599287	0.0139942745224646	0.00268103788767674	0.0951549802757319	0.00624598911406737	0.0132552803346551
bacOTU_25	0.0117600153162439	0.273294459077647	0.070237425912058	0.0525615328589615	0.0177607274793976	0.166562553846621	0.212939853491507	0.469107225151953	0.0302781424563764	0.0866633940040311	0.102495819667811	0.34936246877336	0.0605632055108749	0.0463305648272668	0.0285377667819264	0.0336737230696805	0.332448698071916	0.161861564386554	0.0118513639600253	0.100740130543379
bacOTU_139	0.0106909230147672	0.0496899016504813	0.00260138614489104	0.00154592743702828	0	0.00314268969521926	0.0220282607060179	0.0469107225151953	0.00403708566085019	0	0.000770645260660235	0	0	0	0.000306857707332542	0	0.00536207577535348	0	0	0.00132552803346551
