#OTU ID	TABS1	TABS2	TABS3	TABS4	TABS5	TAD10	TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAE0BS1	TAE0BS2	TAE0BS3	TAE0BS4	TAE0BS5	TAE0D1	TAE0D4	TAE0D5	TAE0D7	TAE0D9	TAE0H10	TAE0H6	TAE0H7	TAE0H8	TAE0H9	TAH10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9
OTU_95	39	186	158	22	38	0	6	0	0	2	0	0	6	31	1	33	191	186	12	36	0	0	0	6	1	11	0	5	0	0	10	19	17	0	0	0	0	0	0	0
OTU_28	434	123	812	271	594	1	14	3	1	3	4	0	2	3	2	430	117	810	292	576	4	6	0	3	2	8	34	32	2	0	9	20	14	6	5	1	41	18	2	0
OTU_9	406	151	217	147	121	75	637	142	215	478	340	684	76	133	443	399	113	218	151	139	789	453	288	81	415	380	199	4975	264	56	387	134	165	63	72	32	250	5332	289	53
OTU_23	1075	629	463	364	778	1	17	22	11	22	13	6	15	61	8	1039	662	468	337	703	29	16	8	27	12	217	27	31	20	11	166	99	47	2	7	4	5	34	16	5
OTU_738	276	155	108	101	180	5	4	10	5	3	2	1	4	16	3	303	148	125	94	146	5	10	1	3	1	401	4	67	8	0	364	70	30	0	1	0	4	51	10	0
OTU_27	817	205	1253	192	307	0	7	0	15	40	0	0	2	7	1	800	200	1129	170	294	8	39	3	5	2	4	29	6	0	0	14	20	16	0	0	0	26	3	0	0
OTU_44	301	245	317	458	187	0	4	3	4	8	9	0	1	4	7	290	226	327	462	193	2	16	12	4	6	18	37	1	0	4	18	23	8	0	4	3	26	2	1	4
OTU_92	306	35	58	250	67	13	4	5	29	5	5	4	9	18	9	307	46	60	229	67	4	9	3	9	15	9	55	2	0	6	4	10	21	43	18	21	40	4	0	3
OTU_19	522	20	3	1	2	0	2	555	0	0	0	2	937	1391	1291	574	25	4	0	2	5	0	0	954	1218	46	30	22	19	3575	62	3	27	2176	1557	1188	30	20	7	3695
OTU_46	385	225	190	490	1150	2	0	9	21	5	5	15	1	1	7	427	234	210	478	1161	0	11	13	2	6	130	229	13	3	7	143	19	49	41	2	10	274	10	3	7
OTU_35	547	346	542	426	341	75	116	20	37	28	25	5	28	27	183	527	386	552	441	345	96	25	32	27	183	207	667	32	97	120	200	34	53	12	19	75	775	24	76	141
OTU_168	18	11	37	36	54	0	2	0	0	0	0	0	0	0	0	15	12	39	36	59	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	3	0
OTU_29	212	45	30	34	161	30	3279	101	64	83	60	34	71	174	63	264	52	53	43	129	3353	78	62	85	72	196	16	144	21	2	176	334	82	2	17	1	25	138	26	2
OTU_76	171	29	98	144	147	0	0	4	0	9	1	1	0	18	83	146	26	89	164	177	0	10	3	0	70	9	3	29	1	0	4	4	20	0	0	0	0	21	0	0
OTU_79	439	98	384	159	389	0	0	1	9	6	0	11	21	13	1	415	117	375	175	367	1	5	1	28	6	12	10	5	6	0	21	15	15	0	0	0	15	4	4	2
OTU_26	84	7	26	81	133	20	197	9	148	37	25	49	81	651	55	85	8	17	73	124	162	27	27	95	52	2341	2	415	1	0	2413	684	150	0	0	1	5	341	1	11
OTU_173	67	32	69	16	33	0	6	1	4	5	3	2	0	34	21	104	36	78	18	38	1	6	1	2	12	4	0	0	1	0	7	2	1	0	0	0	0	0	1	0
OTU_117	90	26	69	28	99	0	11	0	0	1	0	1	0	1	1	71	28	80	29	93	10	0	0	2	1	22	0	0	0	0	19	2	2	0	0	0	0	0	0	0
OTU_61	618	136	37	13	85	1	0	0	1	2	0	2	0	0	1	587	137	52	18	89	0	0	0	0	1	1	17	1	5	0	5	3	5	0	2	0	9	0	2	2
OTU_311	7	12	9	4	0	0	0	0	4	0	0	0	0	1	0	13	15	9	2	1	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	0	0	0	1	7
OTU_639	5	1	6	2	2	0	0	0	0	0	0	0	0	1	0	2	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_269	14	10	6	3	7	1	0	6	4	1	1	2	1	0	0	22	6	12	2	9	0	0	3	2	0	0	5	0	0	2	0	1	0	0	0	0	3	2	0	0
OTU_30	24	22	43	53	32	4	0	11	9	20	3	0	12	124	3	15	29	54	37	28	0	24	6	14	7	45	1209	0	1754	216	63	26	476	17	19	271	1054	0	1555	149
OTU_160	133	8	10	7	22	0	0	0	0	0	0	0	0	0	0	139	12	12	8	36	0	0	0	0	0	1	1	0	6	1	0	7	11	0	0	0	2	0	13	0
OTU_166	21	24	50	69	169	0	0	3	0	2	3	0	2	0	1	30	29	58	55	168	2	1	8	1	2	0	0	1	1	0	0	5	0	5	0	0	0	0	0	0
OTU_163	68	2	29	33	38	1	0	1	1	0	1	0	0	2	0	67	3	22	30	47	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
OTU_113	228	4	31	5	25	0	0	0	0	0	0	0	0	0	0	251	7	23	5	27	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU_123	43	13	113	21	28	1	0	1	5	4	4	0	0	0	0	45	16	110	31	29	0	2	2	0	1	1	41	0	5	1	1	1	5	4	0	1	21	1	4	0
OTU_48	135	192	229	305	364	43	0	0	1	1	173	1	2	4	1	144	195	248	237	354	2	2	126	6	0	45	67	1	1	20	36	44	7	3	1	179	61	1	1	30
OTU_213	27	4	20	25	27	2	0	0	0	0	0	0	1	53	7	28	14	23	15	30	0	0	0	2	6	0	0	0	12	0	0	1	1	1	0	0	0	0	8	1
OTU_51	69	656	135	164	364	2	1	6	0	6	0	0	3	2	3	71	645	133	148	374	7	2	0	5	1	146	1	4	21	0	175	79	12	7	13	3	0	3	12	1
