OTUID	Kindom	Phylum	Class	Order	Family	Genus	Species
OTU_649	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_659	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_648	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Unassigned	Unassigned
OTU_663	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_664	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_675	Fungi	Basidiomycota	Agaricomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_647	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_662	Fungi	Basidiomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_681	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_650	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Unassigned	Unassigned
OTU_682	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_676	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_655	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_669	Fungi	Ascomycota	Sordariomycetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU_667	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_687	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_693	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_671	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Unassigned	Unassigned
OTU_692	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_661	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Unassigned	Unassigned
OTU_660	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unassigned	Unassigned
OTU_691	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Unassigned	Unassigned
OTU_694	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
