bacOTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
bacOTU_201	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned
bacOTU_212	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_naasensis
bacOTU_203	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_parvulus
bacOTU_197	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	Peredibacter_starrii
bacOTU_215	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga_aerophila
bacOTU_218	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiales	Iamiaceae	Aquihabitans	Aquihabitans_daechungensis
bacOTU_195	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus_ginsengisoli
bacOTU_196	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Jiangellaceae	Haloactinopolyspora	Haloactinopolyspora_alba
bacOTU_220	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Rhizobiales_incertae_sedis	Rhizomicrobium	Rhizomicrobium_electricum
bacOTU_200	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Panacagrimonas	Panacagrimonas_perspica
bacOTU_208	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_beijiangensis
bacOTU_226	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_lindanitolerans
bacOTU_206	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_lutea
bacOTU_207	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Thiomonas	Pseudogulbenkiania_gefcensis
bacOTU_204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia_insulae
bacOTU_238	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Nitrososphaera_viennensis
bacOTU_232	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophaga	Chitinophaga_ginsengisegetis
bacOTU_216	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus_alkaliphilus
bacOTU_230	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus	Thiobacillus_aquaesulis
bacOTU_211	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Afipia_massiliensis
bacOTU_213	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter_arvalis
bacOTU_219	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Haliangium_tepidum
bacOTU_235	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Nannocystis_exedens
bacOTU_237	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Nannocystis_exedens
bacOTU_236	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Pyxidicoccus	Pyxidicoccus_fallax
bacOTU_239	Bacteria	Acidobacteria	Acidobacteria_Gp22	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Gp22	Desulfuromusa_ferrireducens
bacOTU_222	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Nocardia	Nocardia_coeliaca
bacOTU_227	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Saprospiraceae	Lewinella	Lewinella_nigricans
bacOTU_221	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_pinihumi
bacOTU_223	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Gaiellaceae	Gaiella	Gaiella_occulta
bacOTU_242	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Lentzea_jiangxiensis
bacOTU_243	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Acidovorax_avenae
bacOTU_225	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	Inquilinus_ginsengisoli
bacOTU_234	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium_hagamense
bacOTU_224	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_agariperforans
bacOTU_228	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinocorallia	Actinocorallia_glomerata
bacOTU_229	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas_oryziterrae
bacOTU_233	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Aquimonas	Aquimonas_voraii
bacOTU_245	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium_subterraneum
bacOTU_252	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistlia	Tistlia_consotensis
