Variovorax	Flavobacterium	Actinoplanes	Lentzea	Streptomyces	Pseudoxanthomonas	Rhizobium	Promicromonospora	Nocardioides	Pseudomonas	Massilia	Umezawaea	Devosia	Galbitalea	Sphingomonas	Mesorhizobium	Herbaspirillum	Caulobacter	Phyllobacterium	Kribbella	Arthrobacter	Shinella	Aeromicrobium	Kineosporia	Chondromyces	Rudaibacter	Steroidobacter	Stenotrophomonas	Pantoea	Ideonella	Rhodanobacter	Bradyrhizobium	Phycicoccus	Chryseobacterium	Agromyces	Microbacterium	Solirubrobacter	Mycobacterium	Bosea	Altererythrobacter	Aquabacterium	Curtobacterium	Dactylosporangium	Actinosynnema	Reyranella	Haliangium	g__Podospora	g__Cladosporium	g__Nigrospora	g__Mortierella	g__Edenia	g__Metacordyceps	g__Mycosphaerella	g__Didymella	g__Bipolaris
Variovorax	1	0.757575757575757	-0.260606060606061	0.672727272727273	0.103030303030303	0.903030303030303	0.636363636363636	-0.0787878787878788	-0.393939393939394	0.381818181818182	0.345454545454545	0.163636363636364	0.115151515151515	0.0303030303030303	0.260606060606061	0.248484848484848	0.757575757575757	0.406060606060606	0.696969696969697	-0.0303030303030303	0.0666666666666667	0.406060606060606	-0.163636363636364	0.0424242424242424	0.0303030303030303	-0.333333333333333	0.0545454545454545	0.757575757575757	0.381818181818182	0.333333333333333	-0.0909090909090909	0.0181818181818182	-0.0787878787878788	0.624242424242424	-0.175757575757576	0.187878787878788	-0.260606060606061	-0.357575757575757	0.733333333333333	0.127272727272727	0.236363636363636	0.309090909090909	-0.151515151515151	0.00606060606060606	-0.224242424242424	-0.321212121212121	0.321212121212121	0.309090909090909	0.43030303030303	0.0303030303030303	0.333333333333333	-0.085106776115209	0.381818181818182	0.321212121212121	-0.0181818181818182
Flavobacterium	0.757575757575757	1	0.127272727272727	0.648484848484848	0.151515151515151	0.612121212121212	0.587878787878788	-0.0787878787878788	-0.151515151515151	-0.0303030303030303	0.684848484848485	0.624242424242424	0.0424242424242424	0.393939393939394	0.503030303030303	0.321212121212121	0.345454545454545	0.575757575757576	0.236363636363636	0.260606060606061	0.212121212121212	0.503030303030303	-0.0424242424242424	0.43030303030303	0.515151515151515	-0.0181818181818182	-0.0666666666666667	0.539393939393939	0.212121212121212	0.551515151515151	0.0545454545454545	0.187878787878788	0.333333333333333	0.624242424242424	0.115151515151515	0.212121212121212	0.103030303030303	-0.187878787878788	0.321212121212121	-0.0181818181818182	0.527272727272727	0.236363636363636	0.0909090909090909	0.2	0.187878787878788	0.139393939393939	0.151515151515151	0.551515151515151	0.406060606060606	0.418181818181818	0.260606060606061	0.316110882713634	0.672727272727273	0.660606060606061	0.321212121212121
Actinoplanes	-0.260606060606061	0.127272727272727	1	-0.2	0.539393939393939	-0.187878787878788	0.212121212121212	0.466666666666667	0.696969696969697	-0.236363636363636	0.575757575757576	0.6	0.6	0.757575757575757	0.442424242424242	0.539393939393939	-0.187878787878788	0.490909090909091	-0.00606060606060606	0.793939393939394	0.406060606060606	0.454545454545455	0.781818181818182	0.806060606060606	0.539393939393939	0.915151515151515	0.103030303030303	-0.309090909090909	-0.103030303030303	0.127272727272727	0.709090909090909	0.733333333333333	0.793939393939394	0.0303030303030303	0.83030303030303	0.224242424242424	0.696969696969697	0.624242424242424	-0.333333333333333	0.2	0.709090909090909	0.0303030303030303	0.866666666666667	0.212121212121212	0.890909090909091	0.927272727272727	-0.139393939393939	0.36969696969697	0.272727272727273	0.842424242424242	0.0424242424242424	0.838909650278489	0.551515151515151	0.612121212121212	0.806060606060606
Lentzea	0.672727272727273	0.648484848484848	-0.2	1	-0.284848484848485	0.709090909090909	0.296969696969697	0.248484848484848	-0.0909090909090909	0.6	0.284848484848485	0.163636363636364	-0.345454545454545	-0.187878787878788	0.490909090909091	-0.224242424242424	0.224242424242424	-0.0424242424242424	0.139393939393939	-0.248484848484848	0.36969696969697	0.321212121212121	-0.406060606060606	-0.151515151515151	0.381818181818182	-0.296969696969697	0.490909090909091	0.903030303030303	0.612121212121212	0.842424242424242	-0.212121212121212	-0.272727272727273	-0.175757575757576	0.466666666666667	-0.139393939393939	0.648484848484848	-0.00606060606060606	-0.127272727272727	0.709090909090909	0.381818181818182	-0.00606060606060606	0.503030303030303	-0.260606060606061	0.551515151515151	-0.212121212121212	0.00606060606060606	0.6	0.490909090909091	0.2	-0.175757575757576	0.709090909090909	-0.200608829414421	0.248484848484848	0.260606060606061	0.175757575757576
Streptomyces	0.103030303030303	0.151515151515151	0.539393939393939	-0.284848484848485	1	-0.103030303030303	0.381818181818182	0.260606060606061	0.551515151515151	-0.139393939393939	0.224242424242424	0.503030303030303	0.672727272727273	0.733333333333333	0.00606060606060606	0.927272727272727	0.539393939393939	0.624242424242424	0.418181818181818	0.76969696969697	-0.139393939393939	0.0424242424242424	0.854545454545454	0.636363636363636	0.187878787878788	0.648484848484848	-0.187878787878788	-0.236363636363636	-0.2	-0.321212121212121	0.490909090909091	0.745454545454545	0.757575757575757	0.103030303030303	0.721212121212121	-0.175757575757576	0.624242424242424	0.624242424242424	0.00606060606060606	-0.0666666666666667	0.539393939393939	-0.115151515151515	0.648484848484848	0.0909090909090909	0.721212121212121	0.321212121212121	0.103030303030303	0.00606060606060606	0.163636363636364	0.575757575757576	-0.284848484848485	0.729486652416078	0.151515151515151	0.127272727272727	0.127272727272727
Pseudoxanthomonas	0.903030303030303	0.612121212121212	-0.187878787878788	0.709090909090909	-0.103030303030303	1	0.527272727272727	0.0181818181818182	-0.43030303030303	0.515151515151515	0.284848484848485	-0.0545454545454545	0.0787878787878788	-0.139393939393939	0.296969696969697	0.103030303030303	0.6	0.2	0.672727272727273	-0.151515151515151	0.151515151515151	0.466666666666667	-0.260606060606061	-0.0787878787878788	-0.00606060606060606	-0.296969696969697	0.2	0.806060606060606	0.43030303030303	0.418181818181818	0.0303030303030303	-0.0545454545454545	-0.260606060606061	0.442424242424242	-0.224242424242424	0.345454545454545	-0.357575757575757	-0.393939393939394	0.745454545454545	0.36969696969697	0.163636363636364	0.309090909090909	-0.139393939393939	0.0545454545454545	-0.284848484848485	-0.212121212121212	0.333333333333333	0.296969696969697	0.406060606060606	-0.0303030303030303	0.563636363636364	-0.182371663104019	0.357575757575757	0.333333333333333	0.115151515151515
Rhizobium	0.636363636363636	0.587878787878788	0.212121212121212	0.296969696969697	0.381818181818182	0.527272727272727	1	0.224242424242424	-0.00606060606060606	0.00606060606060606	0.745454545454545	0.527272727272727	0.527272727272727	0.466666666666667	0.672727272727273	0.478787878787879	0.478787878787879	0.76969696969697	0.551515151515151	0.575757575757576	0.0424242424242424	0.76969696969697	0.333333333333333	0.527272727272727	0.272727272727273	0.127272727272727	-0.163636363636364	0.175757575757576	0.187878787878788	0.248484848484848	0.0666666666666667	0.624242424242424	0.418181818181818	0.672727272727273	0.418181818181818	0.333333333333333	0.224242424242424	0.00606060606060606	0.296969696969697	-0.333333333333333	0.76969696969697	0.357575757575757	0.466666666666667	-0.139393939393939	0.260606060606061	0.0181818181818182	-0.2	0.527272727272727	0.539393939393939	0.406060606060606	-0.175757575757576	0.413375769702444	0.612121212121212	0.6	0.36969696969697
Promicromonospora	-0.0787878787878788	-0.0787878787878788	0.466666666666667	0.248484848484848	0.260606060606061	0.0181818181818182	0.224242424242424	1	0.624242424242424	0.381818181818182	0.187878787878788	0.272727272727273	0.139393939393939	0.0666666666666667	0.418181818181818	0.0787878787878788	-0.0424242424242424	-0.0181818181818182	0.0909090909090909	0.296969696969697	0.406060606060606	0.309090909090909	0.36969696969697	0.212121212121212	0.151515151515151	0.357575757575757	0.381818181818182	0.0909090909090909	0.0787878787878788	0.296969696969697	0.0181818181818182	0.224242424242424	0.248484848484848	-0.0303030303030303	0.612121212121212	0.563636363636364	0.563636363636364	0.539393939393939	0.212121212121212	0.309090909090909	0.296969696969697	0.127272727272727	0.490909090909091	0.333333333333333	0.406060606060606	0.478787878787879	0.236363636363636	0.151515151515151	-0.163636363636364	0.0666666666666667	0.309090909090909	0.182371663104019	0.00606060606060606	0.0787878787878788	0.587878787878788
Nocardioides	-0.393939393939394	-0.151515151515151	0.696969696969697	-0.0909090909090909	0.551515151515151	-0.43030303030303	-0.00606060606060606	0.624242424242424	1	0.139393939393939	0.212121212121212	0.490909090909091	0.393939393939394	0.575757575757576	0.309090909090909	0.333333333333333	-0.115151515151515	0.212121212121212	-0.151515151515151	0.612121212121212	0.393939393939394	0.0787878787878788	0.745454545454545	0.503030303030303	0.551515151515151	0.806060606060606	0.454545454545455	-0.2	0.2	0.2	0.466666666666667	0.539393939393939	0.709090909090909	0.0545454545454545	0.76969696969697	0.357575757575757	0.903030303030303	0.963636363636364	-0.115151515151515	0.236363636363636	0.296969696969697	0.296969696969697	0.636363636363636	0.575757575757576	0.757575757575757	0.757575757575757	0.284848484848485	0.284848484848485	0.115151515151515	0.454545454545455	0.0545454545454545	0.644379876300868	0.115151515151515	0.151515151515151	0.43030303030303
Pseudomonas	0.381818181818182	-0.0303030303030303	-0.236363636363636	0.6	-0.139393939393939	0.515151515151515	0.00606060606060606	0.381818181818182	0.139393939393939	1	-0.224242424242424	-0.248484848484848	-0.0181818181818182	-0.357575757575757	0.0545454545454545	-0.212121212121212	0.418181818181818	-0.248484848484848	0.36969696969697	-0.296969696969697	0.418181818181818	0.0424242424242424	-0.151515151515151	-0.333333333333333	-0.0303030303030303	-0.127272727272727	0.781818181818182	0.709090909090909	0.709090909090909	0.454545454545455	0.0424242424242424	-0.224242424242424	-0.333333333333333	0.224242424242424	-0.224242424242424	0.466666666666667	-0.0424242424242424	0.187878787878788	0.721212121212121	0.696969696969697	-0.309090909090909	0.563636363636364	-0.163636363636364	0.466666666666667	-0.248484848484848	-0.0909090909090909	0.721212121212121	0.0545454545454545	0.139393939393939	-0.333333333333333	0.733333333333333	-0.334348049024035	-0.163636363636364	-0.175757575757576	-0.0545454545454545
