Promicromonospora	Flavobacterium	Rhizobium	Sphingomonas	Chryseobacterium	g__Acremonium	Mycobacterium	Microbacterium	g__Ophiosphaerella	g__Gibberella	Lysobacter	g__Pyrenochaetopsis	Burkholderia	Bacillus	Amycolatopsis	Sphingobium	Luteimonas	Achromobacter	Microvirga	Novosphingobium	Kaistia	g__Bipolaris	Chitinophaga	g__Pseudogymnoascus	Hyphomicrobium	Iamia	Pseudorhodoferax	Dissulfuribacter	Nocardia	Methylophilus	Reyranella	Afipia	Rhizocola	Nonomuraea	g__Didymella	Haloactinopolyspora	Panacagrimonas	Povalibacter	Pedomicrobium	Variibacter	Pedobacter	Chelativorans	Chelatococcus	Mucilaginibacter
Iamia	1.18449054439957e-07	4.40702791406345e-05	2.20564790222812e-09	2.20564790222812e-09	1.86581281853885e-07	0.00130725178033784	1.35439120556831e-05	0.000349610950046986	7.50399890111985e-07	0.0113907782618266	1.18449054439957e-07	0.0116467313805442	0.000225698556484369	1.90947257374294e-05	0.000179116588092182	0.00259660313572526	2.04831077698761e-06	4.28011558112778e-06	1.35439120556831e-05	1.35439120556831e-05	6.42647355423362e-06	3.26104938539924e-05	1.66560898969469e-05	0.000282012647046926	9.23718755277427e-05	0	0.0184985518802278	0.00667007118738677	0.0043838830609333	5.69709396671992e-05	7.8762015460858e-05	0.000204713377952181	0.000761820738647834	0.0316170693100201	0.00382907231003841	0.0116230348316563	0.00017172120944226	0.00031962614132326	0.00589947917816691	0.00216828711429609	4.04259444016751e-05	0.0049797309247699	0.00251093273377094	0.0907739028364981
Pseudorhodoferax	0.00521447933995862	0.00223270171767582	0.000818701045408342	0.000349610950046986	0.000209161804322107	0.00272814063463493	0.235635841277305	0.00138239120269041	0.0092743376584506	0.0588706140445147	0.00130725178033784	0.000818701045408342	0.127215995315987	0.0961571099142059	0.0658947203908874	0.00477608566555708	0.00059871519810121	0.00824232891210193	0.0983311879496131	0.00568479008886398	0.0184349895156923	0.00146104977384656	0.0380363921922446	0.0255036803158819	0.0172267385253585	0.00363634895773983	0	0.157006252196185	0.030763744437831	0.0237648001622949	0.0946162743459594	0.0733703557921478	0.079077470097584	0.0636700133231582	0.00724983323021421	0.209707425901979	0.0435244491824382	0.0267067335111415	0.0168133184087857	0.162551016303804	0.101213057773003	0.143688857854164	0.10894753896577	0.706386773087097
Dissulfuribacter	7.32003455339806e-06	0.00398857681268207	0.000818701045408342	0.000374943967328615	0.0076069102745941	0.00456834626692479	0.000243315331064655	0.0210498248670677	0.000152775345373964	0.00836856032702931	0.000193651643172682	0.143675472730951	2.77727033795856e-06	5.64206509816855e-08	3.6110599461333e-05	0.027987612204855	0.000923646534614136	0.00171941119897264	0.000225698556484369	0.000282012647046926	0.00234904091982681	0.00138239120269041	4.53549055874775e-05	0.000282012647046926	3.50590397951995e-07	0.000818701045408342	0.0762766829231364	0	0.0254769060304482	0.00457949951254156	0.000500366108482196	0.00880123407167532	0.000108929785270815	0.0267067335111415	0.108572903985957	0.00104083834621246	0.000500366108482196	0.000813990936641598	0.0141769013084548	0.000435078716498605	0.00615030733949511	5.10851071794644e-05	0.00306253869986013	0.29246009911594
Nocardia	0.000122434959328347	0.0165647173581562	0.000439384798424935	4.1102579184704e-05	2.32444714941331e-05	2.45439283599313e-07	0.00328359675062711	1.4359568620608e-06	0.000258341885340227	0.000582232356553722	0.000332937765332612	0.00122300998327198	0.00958394739886591	0.00257470169272673	0.000357280444546422	0.000299027727022711	8.30923874244497e-05	1.66560898969469e-05	0.00328359675062711	3.86814937004236e-06	0.00320626414934852	2.32444714941331e-05	0.000352518649029272	9.17831041585047e-06	0.00433585651453799	0.000424703944253181	0.00755911451255884	0.00576809455478888	0	0.0092713057296182	0.0082584099361117	0.0184800946675902	0.00446734667561089	0.00251093273377094	0.0906855533011522	0.0369908578158499	0.00418685670911299	0.0244648427497504	5.51052037556601e-06	0.0209257682854868	0.00694313217480643	0.0328958653303111	0.0209040287689187	0.492452378074871
Methylophilus	2.04831077698761e-06	0.0002620675462425	7.28779910675261e-08	2.46438245162167e-08	1.20293791672691e-05	0.00477608566555708	4.40702791406345e-05	0.000923646534614136	1.06611261857741e-05	0.0635344945679401	9.42738375990652e-06	0.035526524116891	4.40702791406345e-05	4.85755334493471e-05	0.000129763581946097	0.000325721658435161	2.38916465310971e-06	2.77727033795856e-06	7.06893364404458e-05	1.48935156613795e-06	0.000129763581946097	0.000770053379280218	3.36007453146129e-05	6.44925588968109e-05	5.34635170114489e-05	3.50590397951995e-07	0.00521447933995862	0.000460298412542638	0.00133105769438153	0	0.00017172120944226	0.000129956065644528	0.00216828711429609	0.0931300365239436	0.0237648001622949	0.00505304025866932	6.39025448309949e-05	0.000709570694760257	0.00438826312027971	0.00457949951254156	0.000500366108482196	0.00457949951254156	0.00205764520921946	0.137905778687647
Reyranella	3.50590397951995e-07	0.000109735338171724	1.49208187981271e-07	8.96481837550699e-07	7.73803618060897e-05	0.00891949507827314	9.32988232363828e-08	0.0059324373230873	4.40702791406345e-05	0.0136811796113897	8.96481837550699e-07	0.0433144165099354	1.82755749063004e-08	4.28011558112778e-06	1.20293791672691e-05	0.00417478638766571	5.18287251035083e-07	0.000100739403001067	4.3263269874737e-08	1.35439120556831e-05	3.21790259657274e-06	1.70628083552245e-05	4.64827006061644e-08	2.77727033795856e-06	2.04831077698761e-06	6.25178985597892e-07	0.0376328810248356	1.35439120556831e-05	0.00112229673490749	2.38916465310971e-06	0	1.51815806894742e-05	9.40328119282331e-05	0.0805099799225393	0.0114681925285307	0.000889606509657845	5.10851071794644e-05	0.000535710019872797	0.00724983323021421	0.00037452115514758	0.000633495370387909	9.95227980548239e-05	2.78963481476785e-05	0.0343381419966138
Afipia	8.45969510148163e-05	0.000193651643172682	7.50399890111985e-07	1.7498572958917e-06	0.000129763581946097	0.0255036803158819	3.26104938539924e-05	0.00891949507827314	0.00040178888017887	0.0701708057250953	4.28011558112778e-06	0.0726918417890812	7.32003455339806e-06	0.000209161804322107	0.000374943967328615	0.00568479008886398	2.38916465310971e-06	0.000225698556484369	1.48935156613795e-06	0.000100739403001067	5.62745160630644e-06	0.00059871519810121	2.45439283599313e-07	3.99231105590534e-05	5.34635170114489e-05	3.21790259657274e-06	0.0263119019523056	0.00123550880078635	0.00360825393543116	1.48935156613795e-06	3.28341878902788e-08	0	0.000709570694760257	0.260919922897663	0.00565606878059174	0.0173258016783089	0.00124310931168237	0.000639158587854422	0.020292529477274	0.00262951141274441	0.00139631465217796	0.00289713230060788	7.8762015460858e-05	0.0140478889066733
Rhizocola	1.97181613614609e-05	0.0011550773304115	3.71920703815108e-05	9.76599372267247e-06	0.000239803136646525	0.00118864358214383	2.87655403295418e-05	0.0109511299443037	8.62095436230923e-06	0.0101114689591609	9.40713498968631e-07	0.105982296006053	7.59208889121131e-06	7.79295097268264e-08	8.61641713402345e-07	0.00835635660441993	4.31845545214986e-05	0.000112559868365475	1.02590847867226e-06	6.32850312196097e-05	8.30923874244497e-05	3.36007453146129e-05	3.36316524663887e-07	6.32850312196097e-05	5.30817226694684e-08	2.58806145394948e-05	0.0291802035700115	1.02590847867226e-06	0.000441202854339188	0.000138606123461907	7.8832413121551e-07	2.32444714941331e-05	0	0.0344062186598428	0.0187107590366353	0.00748472078248761	0.000347779184025321	3.04768307906124e-05	0.0111853852591673	1.86138314480935e-05	0.00276920892142369	9.95227980548239e-05	7.8762015460858e-05	0.115082986808048
Nonomuraea	0.000878790662601152	0.154205386397835	0.0175691091535783	0.00656693914072557	0.00616463382556627	1.23658510433802e-07	0.0520533082739517	0.00147925313807189	0.000390652552507843	7.50163838863299e-05	0.0112212137664962	0.00360817375276239	0.0681595248018209	0.00396045180073048	0.00336103475531867	0.0214760303579206	0.013251712225478	0.00328178391524543	0.0461009599382995	0.00565931706310704	0.0886829136270108	0.00111417454581229	0.0134231561241801	0.0181782374999789	0.0384273309862209	0.00790194864289822	0.0214760303579206	0.00616463382556627	0.000176743689995477	0.036803495370131	0.0299062712488184	0.152700694230053	0.00894101401294244	8.03458066078199e-119	0.223421562103485	0.0529059222693326	0.0488744347961554	0.0773141199509494	0.00304816131758438	0.120420047423888	0.0470853583001902	0.0875223290104217	0.218273725922268	0.933779454351717
g__Didymella	0.00398857681268207	1.90947257374294e-05	0.000109735338171724	0.000525730789939475	7.73803618060897e-05	0.0658947203908874	0.0160814859673801	0.0642713028440202	0.00398857681268207	0.108777544328587	0.000209161804322107	0.0626776221113285	0.0315848269163221	0.0197085659158017	0.00824232891210193	0.0496215896422583	0.000679919907958634	0.0231938433767333	0.00315573053211054	0.00964034773549731	1.90947257374294e-05	0.000460298412542638	0.00614740702448909	0.0149969368546501	0.00417478638766571	0.000349610950046986	0.000923646534614136	0.045759980280991	0.0353946624422892	0.00521447933995862	0.00181343191554826	0.000638246691161088	0.0036933616711652	0.123382502791062	0	0.127439782508007	0.053248000640912	0.0124843521544191	0.131370902583534	0.0267067335111415	0.016458158113994	0.0259428445729783	0.0139380394727265	0.0269136842875208
Haloactinopolyspora	1.4847191523005e-05	0.00977046169797413	0.000369997404574645	0.0011550773304115	0.00506600548973029	0.0274482629834115	8.68533031285108e-05	0.0168520141212493	0.000913650599385811	0.00752133527140464	0.00360825393543116	0.0609339399398906	1.4847191523005e-05	0.000122434959328347	0.00083463928495943	0.00133105769438153	0.000572761937349697	0.00133105769438153	0.000519279820932217	6.62775608648894e-05	0.00601880426715442	0.000809594555054365	0.000850859259728163	0.000470015957874355	0.00105903542692637	0.00184493125972424	0.113083885775418	4.31845545214986e-05	0.0099021680922429	0.000536624988897257	3.36007453146129e-05	0.00328359675062711	0.000959305883985315	0.0164604066743872	0.0571561031248286	0	0.0013141714068705	0.0135705245084028	0.0230148217900146	0.0179047169369581	0.0261155105036886	0.00418685670911299	0.00738847021573036	0.468244523889854
Panacagrimonas	4.27441771444782e-07	0.000179116588092182	5.18287251035083e-07	1.18449054439957e-07	4.40702791406345e-05	0.00315573053211054	2.04831077698761e-06	0.00059871519810121	4.85755334493471e-05	0.0242939221868785	8.31712531832754e-06	0.0335113521388893	9.42738375990652e-06	1.06611261857741e-05	1.521727012972e-05	0.00223270171767582	4.28011558112778e-06	2.13281002451934e-05	2.13281002451934e-05	6.42647355423362e-06	0.000179116588092182	0.000140875554629218	4.76166479457176e-05	3.71678490515902e-06	2.77727033795856e-06	2.38916465310971e-06	0.01253638966857	1.35439120556831e-05	0.00039656533206819	4.27441771444782e-07	2.85894356790313e-07	5.87601279992557e-05	7.11811857839421e-06	0.0147593164967476	0.0166463816496372	6.32850312196097e-05	0	0.000813990936641598	0.0022720341333066	0.000761820738647834	0.00174513797782845	0.000660611392263069	0.000859151292608393	0.189076399503191
Povalibacter	1.49840431920713e-05	0.000961691414288546	1.58783875818652e-05	3.35888230339547e-06	0.000390652552507843	0.00360817375276239	0.000565855281835498	0.00684666708333785	1.18208264466213e-05	0.0247956007231872	1.33229484881413e-05	0.0656589324392738	6.42128439829222e-05	7.15491604881036e-07	0.000364275210003838	0.00873246980773009	0.000119359744082927	0.000179499364811924	2.10603964447341e-05	0.000186705926849472	0.000686132457125819	0.000283337286496139	4.61714016697624e-05	0.00238257918490006	9.24363263829725e-06	6.27849789310573e-06	0.00616463382556627	2.91067062109369e-05	0.00544082214458081	2.350106118592e-05	1.49840431920713e-05	1.99229365846261e-05	1.03967783967975e-07	0.028284728654519	0.00204175525201035	0.00230260181736779	2.91067062109369e-05	8.03458066078199e-119	0.0367128545779391	0.000841384367222468	0.00310103818885265	0.00299547685791228	0.000982200498394705	0.203525925807536
Pedomicrobium	5.87601279992557e-05	0.0108078897524504	0.000460298412542638	2.64641407093272e-05	0.000129763581946097	1.26271591843885e-06	0.00544554125241379	8.96481837550699e-07	0.000923646534614136	0.0015682598115482	0.000325721658435161	0.000492110824356531	0.00436797854042077	0.00456834626692479	0.000638246691161088	0.00040178888017887	4.85755334493471e-05	3.99231105590534e-05	0.0059324373230873	4.9145946739401e-06	0.00417478638766571	0.000129763581946097	0.000454485663703928	1.7498572958917e-06	0.00223270171767582	0.000679919907958634	0.00315573053211054	0.00247028949220901	4.38781707216814e-09	0.000430216119060645	0.000923646534614136	0.00417478638766571	0.00174950897643386	0.000244260686185023	0.0595782421081178	0.00495601223741274	0.000152775345373964	0.0098195630661529	0	0.028282654750661	0.0082584099361117	0.0237648001622949	0.0251409970827086	0.576649176411804
Variibacter	0.000349610950046986	0.0002620675462425	0.000492110824356531	0.000179116588092182	0.00123550880078635	0.0160814859673801	8.31712531832754e-06	0.0470210969967303	0.00040178888017887	0.0667919375086441	4.9145946739401e-06	0.273059897379955	2.13281002451934e-05	7.32003455339806e-06	4.28011558112778e-06	0.0325371669917594	0.000818701045408342	0.000923646534614136	4.28011558112778e-06	0.00040178888017887	8.31712531832754e-06	0.000638246691161088	4.99728740205402e-05	0.000179116588092182	3.28499476628525e-09	0.000140875554629218	0.0799888724598652	1.06611261857741e-05	0.00433585651453799	0.000460298412542638	8.31712531832754e-06	0.000193651643172682	4.64827006061644e-08	0.0527485451881762	0.00618869746669551	0.00344281558225924	2.64641407093272e-05	3.06725404773408e-05	0.00672792962173472	0	0.0016920242747119	3.5786027973048e-05	0.000170841510907253	0.0430853805141622
Pedobacter	2.49243852510202e-06	9.07564660525722e-05	2.72908307339838e-05	1.57295985874144e-05	4.31845545214986e-05	0.00386846844730441	3.19180195644475e-05	0.00157079455821367	4.1102579184704e-05	0.0328768030852189	4.1102579184704e-05	0.0733786689876477	0.0012581912053039	2.45325781158155e-05	0.00032129535876846	0.0206138480538136	0.000715547462597223	0.000268051248280082	0.000222390276703602	5.24267543319524e-05	5.46518526346794e-06	0.00118864358214383	0.000240806236276032	0.000672035552558425	0.000344930035828215	1.77342771131294e-07	0.0414014438774474	0.000715547462597223	0.000863832583930873	1.32077693706265e-05	1.97181613614609e-05	6.93884775867306e-05	0.000210916782064288	0.0140423828986504	0.00305604327253829	0.00597832656279533	9.90068293397821e-05	0.000249949900840631	0.00112229673490749	9.48061761951172e-05	0	0.00667007118738677	0.0148193647583263	0.0621800455220393
Chelativorans	0.000100739403001067	0.000460298412542638	0.000243315331064655	0.000349610950046986	0.00191162935496684	0.0210498248670677	3.6110599461333e-05	0.074468490732616	0.000303210145162489	0.0292717984190767	9.42738375990652e-06	0.187614117874796	1.7498572958917e-06	1.521727012972e-05	4.28011558112778e-06	0.0255036803158819	0.000119397063843866	0.00259660313572526	3.99231105590534e-05	0.000525730789939475	7.06893364404458e-05	0.000225698556484369	1.17246196295736e-05	6.44925588968109e-05	3.28499476628525e-09	0.000525730789939475	0.0675481801337168	2.85894356790313e-07	0.00835635660441993	0.000460298412542638	8.96481837550699e-07	0.000225698556484369	8.61641713402345e-07	0.0337131718168126	0.0059324373230873	0.00039656533206819	2.13281002451934e-05	0.000235230089042743	0.00521447933995862	1.49208187981271e-07	0.000809594555054365	0	0.000175836054516822	0.038426785287201
Chelatococcus	0.000595141572842536	0.00110995728545179	4.96167557228494e-05	3.6674717737115e-05	0.00095568991805164	0.0261050375074795	9.29650030854472e-06	0.0398966176005234	0.000927072461634924	0.0492905486848793	5.86549450750068e-06	0.0946537807541325	1.13598707122412e-07	0.000194605784291544	1.70595125290833e-05	0.00540231212813998	7.17328571924973e-06	0.000395584830091483	1.40579828628624e-08	0.000265022142049718	3.30528917566245e-05	7.97073008330808e-05	9.49789230673766e-07	1.05443016365811e-05	1.07836012790621e-06	0.000179697621941467	0.0459693027288346	0.000245685936278634	0.00432808943474201	0.000129255819161295	8.88668784865144e-08	6.25139858065955e-07	5.9943129469739e-07	0.119678242901995	0.00240163141683902	0.000945427660380748	3.13585432775906e-05	3.94728424253367e-05	0.00564539727929272	2.27026846155458e-06	0.00263719492428365	2.45425574420358e-06	0	0.00537395657146245
Mucilaginibacter	0.168047285525777	0.01048961275967	0.0402328707005054	0.0807924086072302	0.0747837940893035	0.839669410264964	0.00814834092084377	0.70015125561189	0.157928487594589	0.699445866264119	0.0265403305635421	0.800270886910436	0.0312960678162896	0.108356149836898	0.041473311586743	0.569175522559761	0.0539798178448333	0.237876247324803	0.00850636405589766	0.200984421259528	0.00145282850228646	0.108356149836898	0.0264300434805708	0.0467266873856702	0.0302962606207283	0.0355505820138927	0.597365385276419	0.178593025520342	0.36388772044101	0.0637564397121149	0.00887684705301229	0.0024263829100014	0.0493740653770449	0.898801762416135	0.00624505490256922	0.339272279356656	0.0985202876021693	0.10852447080685	0.449979216857533	0.0123271260369616	0.0207488642426497	0.01048961275967	0.0243924655632113	8.03458066078199e-119
