OTU_5	OTU_38	bacOTU_31	bacOTU_41	bacOTU_206	bacOTU_89	OTU_20	OTU_31	bacOTU_23	bacOTU_65	bacOTU_208	bacOTU_209	bacOTU_203	bacOTU_57	OTU_45	bacOTU_834	bacOTU_806	bacOTU_243	bacOTU_176	bacOTU_178	bacOTU_173	OTU_678	bacOTU_93	bacOTU_207	OTU_22	OTU_111	bacOTU_106	bacOTU_358	bacOTU_204	bacOTU_250	bacOTU_331	bacOTU_153	bacOTU_143	bacOTU_179	OTU_130	bacOTU_589	bacOTU_336	bacOTU_108	bacOTU_194	bacOTU_271	bacOTU_519	bacOTU_952	bacOTU_736	bacOTU_279	bacOTU_149	bacOTU_802	bacOTU_348	bacOTU_313	bacOTU_187	bacOTU_298	OTU_125	bacOTU_359	bacOTU_940	bacOTU_506	bacOTU_653	bacOTU_486	OTU_56	bacOTU_37	bacOTU_332	bacOTU_366	bacOTU_864	bacOTU_399	OTU_23	bacOTU_798	bacOTU_762	bacOTU_630	bacOTU_357	bacOTU_540	bacOTU_531	bacOTU_107	bacOTU_508	OTU_52	bacOTU_819	bacOTU_239	bacOTU_436	OTU_236	OTU_537	OTU_59	OTU_420
OTU_5	0	0.0180312504252164	0.0136966837101139	0.00654641531774498	0	0.0136966837101139	0.0180312504252164	0.0180312504252164	0.00654641531774498	0.0136966837101139	0.0136966837101139	0.00957043875412084	0.028196161837584	0.0136966837101139	0.00748252228070349	0.0225053280478143	0.0180312504252164	0.0180312504252164	0.0225053280478143	0.0339756348774975	0.028196161837584	0.010957854179219	0.0225053280478143	0.0339756348774975	0.0477712775783539	0.0365353622945675	0.028196161837584	0.02472394015057	0.00181776052748958	0.0180312504252164	0.00654641531774498	0.0435801792420759	0.0225053280478143	0.0406755371988175	0.0225053280478143	0.107758332791305	0.0406755371988175	0.0406755371988175	0.0225053280478143	0.00654641531774498	0.0406755371988175	0.028196161837584	0.0225053280478143	0.0477712775783539	0.0153679221947818	0.0339756348774975	0.00654641531774498	0.028196161837584	0.0477712775783539	0.0225053280478143	0.0225053280478143	0.0339756348774975	0.0136966837101139	0.0560087120470074	0.0136966837101139	0.0136966837101139	0.0595051385767363	0.0339756348774975	0.0136966837101139	0.0339756348774975	0.0225053280478143	0.00505388290093	0.0406755371988175	0.0153679221947818	0.00505388290093	0.0406755371988175	0.0197994402116515	0.0510203553988066	0.0688296949589023	0.0365353622945675	0.0197994402116515	0.00748252228070349	0.0197994402116515	0.0153679221947818	0.0153679221947818	0.028196161837584	0.0225053280478143	0.00748252228070349	0.0365353622945675
OTU_38	0.00159050042349787	0	0.00957043875412084	0.0136966837101139	0.0180312504252164	0.000375929908201385	0.00402133696822015	0	0.00181776052748958	0.00957043875412084	0.0180312504252164	0.028196161837584	0.00181776052748958	0.000375929908201385	0.00748252228070349	0.0180312504252164	0.0180312504252164	0.0649720765476272	0.0339756348774975	0.0180312504252164	0.00957043875412084	0.000681678122341679	0.0180312504252164	0.0845012848196182	0.00402133696822015	0.00505388290093	0.0845012848196182	0.00255201518375431	0.0180312504252164	0.0180312504252164	0.0406755371988175	0.010957854179219	0.00402133696822015	0.000375929908201385	0.00402133696822015	0.0845012848196182	0.0225053280478143	0.0225053280478143	0.0339756348774975	0.0649720765476272	0.028196161837584	0.0339756348774975	0.0339756348774975	0.00654641531774498	0.010957854179219	0.0845012848196182	0.0406755371988175	0.0560087120470074	0.0477712775783539	0.120699024307836	0.0956834551918553	0.0406755371988175	0.0225053280478143	0.00654641531774498	0.00654641531774498	0.0749075768623391	0.0153679221947818	0.0477712775783539	0.00654641531774498	0.0560087120470074	0.0956834551918553	0.00255201518375431	0.00402133696822015	1.3215364834799e-05	0.00255201518375431	0.00957043875412084	0.02472394015057	0.0305047045622282	0.0688296949589023	0.0365353622945675	0.02472394015057	0.0153679221947818	0.02472394015057	0.010957854179219	0.010957854179219	0.00181776052748958	0.0180312504252164	0.010957854179219	0.000681678122341679
bacOTU_31	0.000943062322340328	0.000506619066305208	0	0.000375929908201385	0.0136966837101139	0.00402133696822015	0.0339756348774975	0.00957043875412084	0.00654641531774498	0	0.0225053280478143	0.00402133696822015	0.00654641531774498	0.00402133696822015	0.00957043875412084	0.000375929908201385	0.0180312504252164	0.0136966837101139	0.00402133696822015	0.0477712775783539	0.0225053280478143	0.00181776052748958	0.000375929908201385	0.0180312504252164	0.028196161837584	0.0180312504252164	0.0225053280478143	0.00402133696822015	0.00181776052748958	0.0180312504252164	0.0406755371988175	0.00748252228070349	0.00181776052748958	0.0225053280478143	0.00654641531774498	0.0225053280478143	0.00181776052748958	0.00181776052748958	0.00402133696822015	0.0225053280478143	0.00181776052748958	0.028196161837584	0.028196161837584	0.0339756348774975	0.00748252228070349	0.0180312504252164	0.0225053280478143	0.00957043875412084	0.00654641531774498	0.0406755371988175	0.0225053280478143	0.00957043875412084	0.00181776052748958	0.0180312504252164	0.00957043875412084	0.0180312504252164	0.02472394015057	0.0180312504252164	0.00957043875412084	0.00957043875412084	0.0225053280478143	0.00402133696822015	0.0225053280478143	0.00654641531774498	0.00402133696822015	0.0365353622945675	0.0153679221947818	0.0153679221947818	0.0510203553988066	0.0197994402116515	0.0153679221947818	0.010957854179219	0.0153679221947818	0.00748252228070349	0.00748252228070349	0.00654641531774498	0.0180312504252164	0.00957043875412084	0.0180312504252164
bacOTU_41	0.000235899812159415	0.000943062322340328	1.93619630374592e-06	0	0.00654641531774498	0.00654641531774498	0.0225053280478143	0.0136966837101139	0.00402133696822015	0.000375929908201385	0.00957043875412084	0.000375929908201385	0.0136966837101139	0.00654641531774498	0.00402133696822015	0.00181776052748958	0.00957043875412084	0.00654641531774498	0.00181776052748958	0.0406755371988175	0.0180312504252164	0.00402133696822015	0.00181776052748958	0.00654641531774498	0.0339756348774975	0.0339756348774975	0.00654641531774498	0.00957043875412084	0.000375929908201385	0.00957043875412084	0.0225053280478143	0.0153679221947818	0.00654641531774498	0.0339756348774975	0.00957043875412084	0.028196161837584	0.00654641531774498	0.00654641531774498	0.00654641531774498	0.0180312504252164	0.00654641531774498	0.0180312504252164	0.0225053280478143	0.0406755371988175	0.010957854179219	0.00654641531774498	0.0136966837101139	0.00402133696822015	0.00957043875412084	0.0136966837101139	0.00957043875412084	0.00654641531774498	0.000375929908201385	0.0339756348774975	0.00654641531774498	0.00654641531774498	0.0435801792420759	0.00957043875412084	0.00654641531774498	0.00654641531774498	0.00957043875412084	0.00654641531774498	0.028196161837584	0.00957043875412084	0.00654641531774498	0.0435801792420759	0.00748252228070349	0.0197994402116515	0.0365353622945675	0.0153679221947818	0.00748252228070349	0.00748252228070349	0.00748252228070349	0.00505388290093	0.00505388290093	0.0136966837101139	0.0225053280478143	0.00402133696822015	0.028196161837584
bacOTU_206	0	0.00159050042349787	0.000943062322340328	0.000235899812159415	0	0.0136966837101139	0.0180312504252164	0.0180312504252164	0.00654641531774498	0.0136966837101139	0.0136966837101139	0.00957043875412084	0.028196161837584	0.0136966837101139	0.00748252228070349	0.0225053280478143	0.0180312504252164	0.0180312504252164	0.0225053280478143	0.0339756348774975	0.028196161837584	0.010957854179219	0.0225053280478143	0.0339756348774975	0.0477712775783539	0.0365353622945675	0.028196161837584	0.02472394015057	0.00181776052748958	0.0180312504252164	0.00654641531774498	0.0435801792420759	0.0225053280478143	0.0406755371988175	0.0225053280478143	0.107758332791305	0.0406755371988175	0.0406755371988175	0.0225053280478143	0.00654641531774498	0.0406755371988175	0.028196161837584	0.0225053280478143	0.0477712775783539	0.0153679221947818	0.0339756348774975	0.00654641531774498	0.028196161837584	0.0477712775783539	0.0225053280478143	0.0225053280478143	0.0339756348774975	0.0136966837101139	0.0560087120470074	0.0136966837101139	0.0136966837101139	0.0595051385767363	0.0339756348774975	0.0136966837101139	0.0339756348774975	0.0225053280478143	0.00505388290093	0.0406755371988175	0.0153679221947818	0.00505388290093	0.0406755371988175	0.0197994402116515	0.0510203553988066	0.0688296949589023	0.0365353622945675	0.0197994402116515	0.00748252228070349	0.0197994402116515	0.0153679221947818	0.0153679221947818	0.028196161837584	0.0225053280478143	0.00748252228070349	0.0365353622945675
bacOTU_89	0.000943062322340328	1.93619630374592e-06	8.76252396508624e-05	0.000235899812159415	0.000943062322340328	0	0.00957043875412084	0.000375929908201385	0.000375929908201385	0.00402133696822015	0.00957043875412084	0.0136966837101139	0.000375929908201385	0.00181776052748958	0.00505388290093	0.0136966837101139	0.00654641531774498	0.0560087120470074	0.0225053280478143	0.028196161837584	0.0225053280478143	1.3215364834799e-05	0.0136966837101139	0.0477712775783539	0.00654641531774498	0.00748252228070349	0.0560087120470074	0.000681678122341679	0.00957043875412084	0.00654641531774498	0.0225053280478143	0.00402133696822015	0.00181776052748958	0.00402133696822015	0.000375929908201385	0.0749075768623391	0.00957043875412084	0.00957043875412084	0.0225053280478143	0.0406755371988175	0.00957043875412084	0.0225053280478143	0.0136966837101139	0.0180312504252164	0.00402133696822015	0.0649720765476272	0.0225053280478143	0.0477712775783539	0.0180312504252164	0.0845012848196182	0.0560087120470074	0.0225053280478143	0.00957043875412084	0.00402133696822015	0.0136966837101139	0.0477712775783539	0.028196161837584	0.0560087120470074	0.00181776052748958	0.0225053280478143	0.0749075768623391	0.000681678122341679	0.00654641531774498	0.000681678122341679	0.000681678122341679	0.0153679221947818	0.00957043875412084	0.00957043875412084	0.0339756348774975	0.0136966837101139	0.00957043875412084	0.00654641531774498	0.00957043875412084	0.00402133696822015	0.00402133696822015	0.000375929908201385	0.00654641531774498	0.00505388290093	0.00505388290093
OTU_20	0.00159050042349787	8.76252396508624e-05	0.00526569102916174	0.0024953982859902	0.00159050042349787	0.000506619066305208	0	0.00402133696822015	0.00402133696822015	0.0339756348774975	0.00957043875412084	0.028196161837584	0.0225053280478143	0.00654641531774498	0.00748252228070349	0.0477712775783539	0.0180312504252164	0.0649720765476272	0.0560087120470074	0.0225053280478143	0.00957043875412084	0.010957854179219	0.0477712775783539	0.0749075768623391	0.0180312504252164	0.0365353622945675	0.0560087120470074	0.02472394015057	0.028196161837584	0.0180312504252164	0.0339756348774975	0.0560087120470074	0.028196161837584	0.00654641531774498	0.0225053280478143	0.163519445297888	0.0845012848196182	0.0845012848196182	0.0845012848196182	0.107758332791305	0.0845012848196182	0.0180312504252164	0.0406755371988175	0.00654641531774498	0.0406755371988175	0.0649720765476272	0.0560087120470074	0.0560087120470074	0.0956834551918553	0.0749075768623391	0.0845012848196182	0.0749075768623391	0.0406755371988175	0.028196161837584	0.00654641531774498	0.0560087120470074	0.0595051385767363	0.0406755371988175	0.0136966837101139	0.0749075768623391	0.0749075768623391	0.0153679221947818	0.0180312504252164	0.00505388290093	0.0153679221947818	0.028196161837584	0.028196161837584	0.0649720765476272	0.0649720765476272	0.0477712775783539	0.028196161837584	0.028196161837584	0.028196161837584	0.0225053280478143	0.0225053280478143	0.0225053280478143	0.0339756348774975	0.00748252228070349	0.00748252228070349
OTU_31	0.00159050042349787	0	0.000506619066305208	0.000943062322340328	0.00159050042349787	1.93619630374592e-06	8.76252396508624e-05	0	0.00181776052748958	0.00957043875412084	0.0180312504252164	0.028196161837584	0.00181776052748958	0.000375929908201385	0.00748252228070349	0.0180312504252164	0.0180312504252164	0.0649720765476272	0.0339756348774975	0.0180312504252164	0.00957043875412084	0.000681678122341679	0.0180312504252164	0.0845012848196182	0.00402133696822015	0.00505388290093	0.0845012848196182	0.00255201518375431	0.0180312504252164	0.0180312504252164	0.0406755371988175	0.010957854179219	0.00402133696822015	0.000375929908201385	0.00402133696822015	0.0845012848196182	0.0225053280478143	0.0225053280478143	0.0339756348774975	0.0649720765476272	0.028196161837584	0.0339756348774975	0.0339756348774975	0.00654641531774498	0.010957854179219	0.0845012848196182	0.0406755371988175	0.0560087120470074	0.0477712775783539	0.120699024307836	0.0956834551918553	0.0406755371988175	0.0225053280478143	0.00654641531774498	0.00654641531774498	0.0749075768623391	0.0153679221947818	0.0477712775783539	0.00654641531774498	0.0560087120470074	0.0956834551918553	0.00255201518375431	0.00402133696822015	1.3215364834799e-05	0.00255201518375431	0.00957043875412084	0.02472394015057	0.0305047045622282	0.0688296949589023	0.0365353622945675	0.02472394015057	0.0153679221947818	0.02472394015057	0.010957854179219	0.010957854179219	0.00181776052748958	0.0180312504252164	0.010957854179219	0.000681678122341679
bacOTU_23	0.000235899812159415	2.15503127483577e-05	0.000235899812159415	8.76252396508624e-05	0.000235899812159415	1.93619630374592e-06	8.76252396508624e-05	2.15503127483577e-05	0	0.00654641531774498	0.00181776052748958	0.00654641531774498	0.00402133696822015	0.00402133696822015	0.000681678122341679	0.0180312504252164	0.00181776052748958	0.0406755371988175	0.0180312504252164	0.0225053280478143	0.0180312504252164	0.000681678122341679	0.0180312504252164	0.028196161837584	0.00957043875412084	0.0197994402116515	0.028196161837584	0.00505388290093	0.00654641531774498	0.00181776052748958	0.00957043875412084	0.00957043875412084	0.00654641531774498	0.00957043875412084	0.00181776052748958	0.0845012848196182	0.0180312504252164	0.0180312504252164	0.028196161837584	0.0339756348774975	0.0180312504252164	0.0136966837101139	0.00957043875412084	0.0225053280478143	0.00654641531774498	0.0406755371988175	0.0136966837101139	0.0339756348774975	0.0225053280478143	0.0406755371988175	0.0339756348774975	0.0180312504252164	0.00654641531774498	0.0136966837101139	0.00957043875412084	0.028196161837584	0.0477712775783539	0.0406755371988175	0.000375929908201385	0.0180312504252164	0.0477712775783539	0.00255201518375431	0.00957043875412084	0.00255201518375431	0.00255201518375431	0.0197994402116515	0.00402133696822015	0.0136966837101139	0.0225053280478143	0.00957043875412084	0.00402133696822015	0.00402133696822015	0.00402133696822015	0.00181776052748958	0.00181776052748958	0.00402133696822015	0.00957043875412084	0.000681678122341679	0.010957854179219
bacOTU_65	0.000943062322340328	0.000506619066305208	0	1.93619630374592e-06	0.000943062322340328	8.76252396508624e-05	0.00526569102916174	0.000506619066305208	0.000235899812159415	0	0.0225053280478143	0.00402133696822015	0.00654641531774498	0.00402133696822015	0.00957043875412084	0.000375929908201385	0.0180312504252164	0.0136966837101139	0.00402133696822015	0.0477712775783539	0.0225053280478143	0.00181776052748958	0.000375929908201385	0.0180312504252164	0.028196161837584	0.0180312504252164	0.0225053280478143	0.00402133696822015	0.00181776052748958	0.0180312504252164	0.0406755371988175	0.00748252228070349	0.00181776052748958	0.0225053280478143	0.00654641531774498	0.0225053280478143	0.00181776052748958	0.00181776052748958	0.00402133696822015	0.0225053280478143	0.00181776052748958	0.028196161837584	0.028196161837584	0.0339756348774975	0.00748252228070349	0.0180312504252164	0.0225053280478143	0.00957043875412084	0.00654641531774498	0.0406755371988175	0.0225053280478143	0.00957043875412084	0.00181776052748958	0.0180312504252164	0.00957043875412084	0.0180312504252164	0.02472394015057	0.0180312504252164	0.00957043875412084	0.00957043875412084	0.0225053280478143	0.00402133696822015	0.0225053280478143	0.00654641531774498	0.00402133696822015	0.0365353622945675	0.0153679221947818	0.0153679221947818	0.0510203553988066	0.0197994402116515	0.0153679221947818	0.010957854179219	0.0153679221947818	0.00748252228070349	0.00748252228070349	0.00654641531774498	0.0180312504252164	0.00957043875412084	0.0180312504252164
