TAD1	TAD2	TAD3	TAD4	TAD5	TAD6	TAD7	TAD8	TAD9	TAD10	TAH1	TAH2	TAH3	TAH4	TAH5	TAH6	TAH7	TAH8	TAH9	TAH10	species	ID
bacOTU_1	8739.52434881087	1.08365843086259	59.8179453836151	2.46578720256442	7870.42069790195	1.15553501271089	49.1373662371697	3141.70126690088	0	0	0	1.06428267347808	0	1.31492439184747	0	0	0	0	0	0	bac	bacOTU_1
bacOTU_8	121.177802944507	278.500216731686	120.936280884265	62.8775736653927	55.4408087835634	93.5983360295817	185.630050229308	80.9113169381454	305.60486938879	241.513484502885	800.873262093531	320.349084716901	95.519978474371	164.365548980934	560.203167015237	294.781569512681	545.390980072253	352.609308885755	293.237582286056	734.980826587133	bac	bacOTU_8
bacOTU_5	110.985277463194	542.912873862159	309.492847854356	659.598076685982	114.142841613219	718.742777906171	686.831185848439	673.906100287448	471.722039056556	183.818596538307	413.650465356774	116.00681140911	329.611193327055	562.787639710717	65.7305049297879	90.293453724605	164.316513226897	103.070413366605	109.714741671654	64.9765658287175	bac	bacOTU_5
bacOTU_3	80.4077010192526	2116.38491547464	1085.82574772432	1938.10874121563	407.653005761496	1522.99514675295	1125.79165756715	833.599488981156	1718.23484656353	618.542868643499	309.088819947145	213.920817369093	259.652899233149	231.426692965155	917.239318792949	597.530208471651	476.634424892204	324.400564174894	408.936764412527	214.103110353643	bac	bacOTU_3
bacOTU_10	56.6251415628539	247.074122236671	52.0156046814044	161.509061767969	18.4802695945211	62.3988906863878	384.363398121861	124.560843181092	174.993659650013	93.9219106400107	222.911639664484	159.642401021711	22.8709807614691	22.353714661407	70.2121302659098	77.0150046474572	292.506700850717	59.6723445806662	91.7614203072013	181.082232637409	bac	bacOTU_10
bacOTU_28	48.6976217440544	124.620719549198	74.1222366710013	154.111700160276	11.9578215023372	26.5773052923504	214.020528499672	195.890556797615	96.3733198072534	72.4540453508654	275.766976904516	161.770966368668	52.4687205704292	78.8954635108481	83.6570062742755	90.293453724605	208.600396224216	187.696647499186	83.7821663674446	137.409458883681	bac	bacOTU_28
bacOTU_9	48.6976217440544	230.819245773732	248.374512353706	219.455061028233	26.0897923687357	571.989831291888	173.618694038	143.724049824337	297.996449404007	550.114048034349	259.680569918419	449.127288207748	926.947396744249	316.89677843524	256.946519270989	171.291993095206	243.561356485258	400.347184550288	193.496908039098	120.36642522369	bac	bacOTU_9
bacOTU_4	45.3001132502831	219.982661465106	344.603381014304	361.237825175687	94.575497336667	385.948694245436	214.020528499672	180.985840519536	399.442049201116	637.327250771501	382.626680455016	664.112388250319	2640.92560204493	562.787639710717	210.636390797729	379.763643606427	400.885677659946	619.50743191928	273.289447436665	254.580315296123	bac	bacOTU_4
bacOTU_13	36.2400906002265	92.1109666233203	83.2249674902471	94.9328072987301	10.8707468203066	161.774901779524	284.996724175584	97.9452783988076	68.4757798630484	55.0114048034349	135.585430311387	147.935291613453	84.7571639983856	18.4089414858646	59.7550044816253	45.1467268623025	151.497494464515	52.0776825431268	49.870337123479	70.3025138474649	bac	bacOTU_13
bacOTU_27	36.2400906002265	50.9319462505418	50.7152145643693	626.309949451362	8.69659745624524	197.596487173561	299.191963310767	36.1971681039072	39.3101699213797	351.536294109754	209.123290819258	375.691783737761	269.070361899637	105.193951347798	46.3101284732596	30.5404328774399	236.56916443305	137.788868395356	111.709555156593	266.297400937367	bac	bacOTU_27
bacOTU_6	31.7100792751982	48.7646293888167	2569.57087126138	49.3157440512884	454.397217088814	307.372313381095	66.6084297881633	28.7448099648675	96.3733198072534	676.237756608077	28.725726760887	156.449553001277	359.208933136015	2105.1939513478	1032.26770242008	212.455185234365	90.8984966787088	162.742757947271	185.517654099342	61.7809970174691	bac	bacOTU_6
bacOTU_7	28.312570781427	253.576072821847	131.339401820546	399.457526815436	77.1823024241765	285.417148139589	260.974011792968	288.512722239966	426.071519147857	132.832416476587	41.3650465356774	431.034482758621	516.615094847303	281.393819855358	339.109650433224	430.221750099588	132.851648991959	880.980796354562	261.32056652703	189.603749467405	bac	bacOTU_7
bacOTU_70	27.1800679501699	94.2782834850455	62.4187256176853	204.660337812847	15.2190455484292	32.3549803559048	93.906966586591	137.336314276589	188.942429622115	159.667248088018	144.777662874871	113.878246062154	82.0664603793892	52.5969756738988	167.314012548551	134.112335679193	97.8906887309171	146.468482152544	151.605824855376	105.453770771197	bac	bacOTU_70
bacOTU_20	26.0475651189128	124.620719549198	123.537061118336	98.6314881025768	13.0448961843679	307.372313381095	27.2985367984276	30.8740551474502	178.797869642404	244.196967664028	22.9805814087096	84.078331204768	17.4895735234764	47.3372781065089	41.8285031371377	45.1467268623025	46.6146136813891	53.1626342627753	91.7614203072013	11.7170856412441	bac	bacOTU_20
bacOTU_22	26.0475651189128	92.1109666233203	347.204161248374	160.276168166687	47.8312860093488	130.57545643633	134.308801048264	96.8806558075162	150.900329698199	202.602978666309	41.3650465356774	79.8212005108557	68.6129422844074	80.2103879026956	34.3591275769346	70.3757801088833	26.8034028667987	103.070413366605	63.8340315180531	30.8904985087346	bac	bacOTU_22
bacOTU_19	22.6500566251416	80.1907238838318	75.4226267880364	92.4670200961657	14.1319708663985	49.6880055465681	200.917230836427	171.404237197913	67.2077098655846	99.2888769622971	369.987360680225	155.385270327799	165.478272568277	74.9506903353057	32.8652524648939	55.7694861240207	275.026220720196	42.3131170662906	69.8184719728705	165.104388581167	bac	bacOTU_19
bacOTU_32	20.3850509626274	89.9436497615951	52.0156046814044	75.2065096782148	15.2190455484292	164.085971804946	120.113561913081	95.8160332162249	60.8673598782653	61.7201127062928	116.051936113984	135.163899531716	368.626395802502	351.084812623274	31.3713773528533	86.3099190014606	261.041836615779	72.6917652164479	85.7769798523838	83.0847890924585	bac	bacOTU_32
bacOTU_53	20.3850509626274	36.8443866493281	40.3120936280884	48.0828504500062	4.34829872812262	13.8664201525306	50.2293077091068	45.7787714255297	72.27998985544	32.201797933718	34.4708721130645	9.57854406130268	2.69070361899637	2.62984878369494	10.4571257842844	18.5898287080069	43.1185176552849	5.42475859824238	5.98444045481747	24.4993608862378	bac	bacOTU_53
bacOTU_26	19.2525481313703	179.88729952319	45.5136540962289	59.1788928615461	46.7442113273182	26.5773052923504	137.584625464075	68.1358458426488	86.2287598275425	69.7705621897223	272.319889693209	64.9212430821626	110.318848378851	80.2103879026956	44.816253361219	82.3263842783163	308.821815639203	58.5873928610177	103.730301216836	255.645504899872	bac	bacOTU_26
bacOTU_11	18.1200453001133	70.4377980060685	79.3237971391417	43.1512760448773	9.7836721382759	13.8664201525306	127.757152216641	17.0339614606622	32.9698199340604	105.997584865155	111.455819832242	185.185185185185	83.4118121888874	31.5581854043392	88.1386316103974	123.489576417474	371.751544109078	241.94423348161	119.688809096349	278.014486578611	bac	bacOTU_11
