g__Podospora	Variovorax	Lentzea	Pseudomonas	Actinoplanes	Flavobacterium	Promicromonospora	Nocardioides	Pseudoxanthomonas	Rhizobium	Streptomyces	g__Cladosporium	g__Mortierella	Sphingomonas	Devosia	Phyllobacterium	Massilia	g__Mycosphaerella	Galbitalea	Herbaspirillum	Mesorhizobium	g__Edenia	g__Metacordyceps	Umezawaea	Arthrobacter	Pantoea	Steroidobacter	Shinella	Kribbella	Caulobacter	g__Nigrospora	Rudaibacter	Aeromicrobium	Chondromyces	Stenotrophomonas	Kineosporia	Ideonella	Rhodanobacter	Chryseobacterium	Microbacterium	Altererythrobacter	Bosea	Mycobacterium	Bradyrhizobium	Agromyces	Solirubrobacter	Phycicoccus	Curtobacterium	Dactylosporangium	Aquabacterium	Actinosynnema	g__Didymella	g__Bipolaris	Reyranella	Haliangium
TAH1	21.4938205265986	382.626680455016	67.7927151556935	31.023784901758	807.767436516144	298.747558313226	310.23784901758	307.939790876709	259.680569918419	353.900953694128	445.823279328967	167.403794486008	635.721076344397	279.214064115822	414.799494427209	413.650465356774	318.281052510629	155.003513412971	302.194645524532	135.585430311387	395.266000229806	3.7200843219113	317.860538172199	111.455819832242	80.4320349304837	3.44708721130644	91.9223256348385	152.820866367919	224.060668734919	158.566011720096	27.6939610631174	190.73882569229	240.147075721016	118.349994254855	5.74514535217741	139.032517522693	24.1296104791451	172.354360565322	4.59611628174193	58.6004825922096	57.4514535217742	47.1101918878548	60.8985407330805	132.13834310008	94.2203837757095	64.3456279443869	78.1339767896128	5.74514535217741	75.8359186487418	62.047569803516	4.59611628174193	21.080477824164	25.2139048485098	9.19223256348385	6.89417442261288
TAH2	23.0674172731017	664.112388250319	637.505321413368	178.799489144317	349.084716900809	834.397616006812	214.985100042571	173.478075776926	449.127288207748	441.677309493402	169.220945083014	509.680076891391	74.6944940271865	322.477650063857	208.599404001703	116.00681140911	368.241805023415	683.509542770836	156.449553001277	144.742443593019	171.34951042997	38.4456954551696	41.1918165591103	185.185185185185	135.163899531716	290.549169859515	112.813963388676	169.220945083014	159.642401021711	229.885057471264	981.189070438006	73.4355044699873	55.3426990208599	150.063856960409	52.1498510004257	71.3069391230311	129.842486164325	45.7641549595573	358.663260962112	85.142613878246	43.6355896126011	52.1498510004257	27.67134951043	77.6926351638995	39.3784589186888	31.9284802043423	25.5427841634738	148.999574286931	34.0570455512984	59.5998297147722	8.51426138782461	28.010435260195	16.7513387340381	7.44997871434654	3.19284802043424
TAH3	3352.06858525132	2640.92560204493	641.732813130634	360.554284945513	103.59208933136	513.924391228306	259.652899233149	123.772366473833	926.947396744249	320.193730660568	199.112067805731	17.4308989363594	1.4229305254171	181.622494282255	118.39095923584	329.611193327055	59.1954796179201	0.355732631354274	73.9943495224001	369.971747612	187.003901520248	292.412222973213	0	83.4118121888874	45.7419615229382	6.72675904749092	106.282792950357	72.6489977129019	22.8709807614691	25.5616843804655	1.06719789406282	44.39660971344	29.59773980896	40.3605542849455	648.459572178125	10.7628144759855	45.7419615229383	9.41746266648729	2.69070361899636	30.9430916184582	79.3757567603928	134.535180949818	26.9070361899637	24.2163325709673	30.9430916184583	26.9070361899637	6.72675904749092	5.38140723799274	10.7628144759855	13.4535180949818	9.41746266648729	0.711465262708548	0	2.69070361899637	1.34535180949818
TAH4	700.318133616119	562.787639710717	390.532544378698	2166.99539776463	176.199868507561	194.608809993426	231.426692965155	293.228139381986	316.89677843524	316.89677843524	173.570019723866	134.464475079533	16.118769883351	194.608809993425	266.929651545037	562.787639710717	94.6745562130177	4.66595970307529	98.6193293885602	356.344510190664	97.3044049967127	116.224814422057	0	31.5581854043392	155.161078238001	529.91452991453	223.537146614069	105.193951347798	23.6686390532545	53.9119000657462	41.5694591728526	61.8014464168311	82.8402366863906	30.2432610124918	86.7850098619329	11.8343195266272	43.3925049309665	18.4089414858646	44.7074293228139	52.5969756738987	88.0999342537804	131.492439184747	60.4865220249836	36.8178829717292	28.9283366206443	23.6686390532545	7.88954635108481	93.3596318211703	11.8343195266272	9.20447074293228	5.25969756738987	4.66595970307529	1.27253446447508	2.62984878369494	2.62984878369494
TAH5	361.360905059882	210.636390797729	451.150283836271	1048.70032865253	646.847923513594	126.979384523454	918.73319390499	510.905288317897	256.946519270989	288.317896623842	165.82013743651	91.9978450955203	20.7202353818739	276.366895727517	183.746638780998	65.7305049297879	103.077382730804	3.72964236873731	98.5957573946818	38.8407529130565	71.7060053779504	907.131905018441	0.828809415274958	88.1386316103974	212.13026590977	121.003884075292	182.252763668957	140.42426053182	71.7060053779504	13.4448760083657	2.90083295346235	153.869136540186	67.2243800418285	119.51000896325	13.4448760083657	49.2978786973409	121.003884075291	46.3101284732596	1.49387511204063	97.1018822826412	125.485509411414	32.8652524648939	70.2121302659097	43.3223782491784	62.7427547057066	67.2243800418285	13.4448760083657	11.9510008963251	40.3346280250971	25.3958769046908	10.4571257842844	5.38726119928723	34.3955907339107	8.96325067224379	11.9510008963251
TAH6	2554.42025766326	379.763643606427	552.383481609348	219.094409772939	389.05855796043	216.438719957509	601.513743194795	901.606692338334	171.291993095206	338.600451467269	285.486655158678	242.720407091798	10.0965227575623	293.453724604966	159.341388925773	90.293453724605	134.112335679193	3.23088728241993	150.04647457177	99.5883680786084	99.5883680786084	27.4625419005694	2.42316546181495	123.489576417474	127.473111140619	176.603372726065	167.308458372062	104.899747709468	80.9985393706015	33.1961226928695	4.8463309236299	98.2605231708936	88.9656088168902	134.112335679193	42.4910370468729	23.901208338866	90.293453724605	9.29491435400345	6.6392245385739	152.702164387199	47.802416677732	91.6212986323197	148.718629664055	57.0973310317355	92.9491435400344	120.833886602045	26.5568981542956	47.802416677732	33.1961226928695	17.2619838002921	122.16173150976	2.01930455151246	6.05791365453738	7.96706944628868	5.31137963085912
TAH7	0	400.885677659946	171.308705279105	90.8984966787088	552.383172124461	346.113506584314	477.799790234239	412.539331080293	243.561356485258	383.405197529426	793.61379792565	46.2471309650235	387.448186084753	230.742337722876	275.026220720196	164.316513226897	227.246241696772	23.6374224932342	261.041836615779	289.010604824612	284.349143456474	1.02771402144497	191.497379329245	371.751544109078	136.347745018063	1.16536534203473	66.4258244959795	144.505302412306	292.506700850717	350.774967952453	4.79599876674317	115.371168861438	221.419414986598	115.371168861438	1.16536534203473	235.403799091015	30.2994988929029	15.1497494464515	24.4726721827293	8.1575573942431	13.9843841044167	27.9687682088335	62.9297284698753	103.71751544109	69.9219205220836	76.9141125742921	104.882880783126	5.82682671017364	82.7409392844657	87.4024006526046	0	15.0731389811928	19.1839950669727	10.4882880783126	3.49609602610419
TAH8	201.851232296197	619.50743191928	1219.48573288489	167.082564825865	391.6675707931	880.980796354562	325.485515894542	291.85201258544	400.347184550288	346.099598567864	147.553433872193	1113.24857811977	25.6496041039366	328.740371053488	124.769447759575	103.070413366605	406.856894868178	881.286941005911	119.344689161332	88.966041011175	67.2670066182055	131.593621054979	0.278800044608007	241.94423348161	317.890853857004	131.279158077466	137.788868395356	180.101985461646	59.6723445806662	97.6456547683628	18.9584030333445	57.5024411413692	37.9733101876967	128.02430291852	105.240316805902	49.9077791038299	206.14082673321	6.50971031789085	212.650537051101	150.808289031138	75.9466203753933	65.0971031789085	17.3592275143756	35.8034067483997	57.5024411413692	28.2087447108604	15.1893240750787	41.2281653466421	22.783986112618	33.6335033091027	7.59466203753933	89.4948143191703	37.638006022081	3.25485515894543	5.42475859824238
TAH10	509.391007398976	254.580315296123	309.970174691095	66.041755432467	775.458031529613	509.160630592246	218.363868768641	537.920749893481	120.36642522369	208.777162334896	442.053685556028	143.868968570164	1268.89268323531	229.015764806135	193.864507882403	64.9765658287175	189.603749467405	47.1131347625372	416.489135066042	96.9322539412015	188.538559863655	42.3702017327515	966.925947005628	278.014486578611	140.60502769493	20.2386024712399	118.236046016191	82.019599488709	182.147422241158	128.887942053685	6.64010624169987	283.340434597359	205.581593523648	183.212611844908	10.6518960374947	221.559437579889	67.1069450362164	340.86067319983	5.32594801874733	19.1734128674904	76.6936514699616	19.1734128674904	106.518960374947	62.8461866212185	62.8461866212185	97.997443544951	139.53983809118	8.52151682999574	37.2816361312314	28.7601193012356	46.8683425649766	15.493581230633	18.6555365838234	10.6518960374947	14.9126544524925
rowSumAbun	7723.97135908545	6115.82576974049	4441.8617723791	4329.19051211873	4192.05936717707	3921.35141355385	3558.19865325566	3553.2424467249	3145.16551193109	2997.86907880663	2822.25402189064	2467.06217523557	2440.76450234379	2336.24211237034	1945.46771327873	1910.44356088027	1901.28949780733	1802.53277643108	1676.77577024637	1619.98215247572	1562.37290057163	1560.38880090054	1521.00645598788	1514.94947480782	1350.94597784352	1280.92792872494	1206.56818953649	1151.83565611558	1117.27370199245	1091.87421711331	1089.66136048692	1078.71609060379	1029.09205879389	1019.24809478001	966.133069633331	813.006693459278	757.9511715596	664.070095468667	661.239767088856	655.226469725524	608.475316187466	602.013498375292	581.702124747621	573.652011898299	539.432717463913	538.028350865924	417.906883463708	368.81568515914	348.827410448934	336.759272324128	214.869399800004	181.936438331939	159.168820108348	63.2881230738068	55.1581126402635
